source_headword	SW	example_SW
abolish	kufuta	Sheria itafuta ada ya zamani.
abortion	utoaji mimba	Utoaji mimba bado ni suala nyeti la kimatibabu.
absence	kutokuwepo	Kutokuwepo kwake kulichelewesha uamuzi wa mwisho.
absent	asiyekuwepo	Wanachama wawili walikuwa hawapo darasani.
absurd	upuuzi	Madai hayo yalionekana kuwa ya upuuzi kwa kila mtu.
abundance	wingi	Bonde hilo lina wingi wa maji.
abuse	unyanyasaji	Ripoti ilieleza kuhusu unyanyasaji mahali pa kazi.
academy	chuo	Chuo hicho kinatoa mafunzo kwa wanamuziki vijana.
accelerate	kuharakisha	Ufadhili mpya utaharakisha utafiti.
acceptance	kukubali	Kukubali kwake ukosoaji kulinivutia.
accessible	inayofikika	Jumba la makumbusho linafikika kwa watumiaji wa viti vya magurudumu.
accomplishment	mafanikio	Kumaliza kitabu kulikuwa mafanikio ya kweli.
accordance	mujibu	Kazi ilifanywa kwa mujibu wa sera.
accordingly	ipasavyo	Ushahidi ulibadilika, na tulichukua hatua ipasavyo.
accountability	uwajibikaji	Sera hii inaongeza uwajibikaji kwa mameneja.
accountable	anayewajibika	Mameneja wanawajibika kwa usalama.
accumulate	kujilimbikiza	Vumbi linaweza kujilimbikiza nyuma ya skrini.
accumulation	mrundikano	Mrundikano wa data ulichukua miezi.
accusation	shtaka	Shtaka hilo lilishtua kamati.
accused	mshtakiwa	Mshtakiwa alifikishwa mahakamani.
acquisition	ununuzi	Ununuzi huo ulipanua kampuni haraka.
acre	ekari	Shamba lina ukubwa wa ekari moja.
activation	uwezeshaji	Uwezeshaji wa kadi huchukua dakika.
activist	mwanaharakati	Mwanaharakati alizungumza kwenye mkutano.
acute	kali	Alisikia maumivu kali baada ya kukimbia.
adaptation	urekebishaji	Urekebishaji huo ulibadilisha mwisho wa riwaya.
adhere	kuzingatia	Wafanyakazi lazima wazingatie sheria za usalama.
adjacent	karibu na	Hoteli iko karibu na kituo.
adjustment	marekebisho	Marekebisho madogo yalitatua tatizo.
administer	kusimamia	Wauguzi wanasimamia chanjo kwa uangalifu.
administrative	ya kiutawala	Wafanyakazi wa kiutawala hushughulikia fomu.
administrator	msimamizi	Msimamizi aliweka upya nenosiri langu.
admission	kiingilio	Kiingilio kwenye jumba la makumbusho ni bure.
adolescent	kijana	Kijana huyo alihitaji msaada wa ziada.
adoption	kuasili	Kuasili kulimpa mtoto nyumba tulivu.
adverse	mbaya	Dawa hiyo ilisababisha madhara mbaya.
advocate	mtetezi	Mtetezi huyo alitetea haki za wapangaji.
aesthetic	ya kupendeza	Chumba kina mtindo wa kupendeza na mtulivu.
affection	upendo	Alionyesha upendo kwa familia yake.
aftermath	athari	Athari za dhoruba zilikuwa ngumu.
aggression	uchokozi	Mwalimu aligundua uchokozi wakati wa mapumziko.
agricultural	ya kilimo	Mauzo ya kilimo nje ya nchi yaliongezeka mwaka huu.
aide	msaidizi	Msaidizi alipanga ratiba ya waziri.
albeit	ingawa	Mpango ulifanikiwa, ingawa kwa polepole.
alert	kuonya	Tafadhali onya wafanyakazi mara moja.
align	kupanga	Mishale inalingana na barabara.
alignment	mpangilio	Mpangilio wa magurudumu uliboresha udhibiti wa gari.
alike	sawa	Mapacha hao huvaa sawa mwishoni mwa wiki.
allegation	madai	Madai hayo yalionekana kwenye gazeti.
allege	kudai	Wanadai kuwa fedha zilipotea.
allegedly	kwa madai	Dereva alidaiwa kupuuza onyo hilo.
alliance	muungano	Vyama viliunda muungano wa muda.
allocate	kutenga	Jiji litatenga pesa kwa ajili ya shule.
allocation	mgao	Mgao wa viti haukuwa wa haki.
allowance	posho	Posho yake inashughulikia chakula cha mchana na usafiri.
ally	mshirika	Kanada ikawa mshirika wa karibu.
aluminium	alumini	Fremu imetengenezwa kwa alumini.
amateur	mwanagenzi	Mpiga picha mwanagenzi alipiga picha.
ambassador	balozi	Balozi alikutana na wanafunzi wa ndani.
amend	kurekebisha	Bunge lilipiga kura kurekebisha sheria.
amendment	marekebisho	Marekebisho yalibadilisha aya moja.
amid	katikati ya	Hotuba ilikuja katikati ya mvutano unaoongezeka.
analogy	mlinganisho	Mwalimu alitumia mlinganisho rahisi.
anchor	nanga	Boti iliweka nanga karibu na kisiwa.
angel	malaika	Mtoto alivaa vazi la malaika.
anonymous	isiyotajwa jina	Malalamiko yalikuwa ya mtu asiyejulikana.
apparatus	kifaa	Kifaa cha maabara kinahitaji kusafishwa.
appealing	ya kuvutia	Ofa inaonekana ya kuvutia kwa wanafunzi.
appetite	hamu ya chakula	Mazoezi yaliongeza hamu yake ya chakula.
applaud	kupiga makofi	Watazamaji walianza kupiga makofi kwa sauti kubwa.
applicable	inayotumika	Punguzo linatumika leo.
appoint	kuteua	Bodi itateua mkurugenzi.
appreciation	shukrani	Alionyesha shukrani kwa msaada wao.
arbitrary	kiholela	Makataa yalionekana ya kiholela kwa wafanyakazi.
architectural	ya usanifu	Jiji linalinda urithi wake wa usanifu.
archive	hifadhi	Hifadhi huhifadhi picha za zamani.
arena	uwanja	Mjadala ulihamia katika uwanja wa umma.
arguably	kwa ubishi	Hii inasemekana ni riwaya yake bora zaidi.
arm	kuwapa silaha	Walinzi watawapa silaha msafara huo.
array	anuwai	Duka hutoa anuwai ya zana.
articulate	kueleza wazi	Anaweza kueleza wazi mawazo magumu.
ash	majivu	Majivu yalifunika gari baada ya moto.
aspiration	matarajio	Matarajio yake ni kuwa daktari wa upasuaji.
aspire	kutarajia	Wanafunzi wengi wanatarajia kusoma nje ya nchi.
assassination	mauaji	Mauaji hayo yalibadilisha siasa za nchi.
assault	shambulio	Shambulio hilo lilitokea karibu na kituo.
assemble	kuunganisha	Wafanyakazi huunganisha samani kwa mkono.
assembly	mkutano	Mkutano wa shule huanza saa tatu.
assert	kusisitiza	Alijaribu kusisitiza mamlaka yake.
assertion	madai	Madai yake yalishangaza jopo.
assurance	hakikisho	Meneja alitoa hakikisho la msaada.
asylum	hifadhi	Familia iliomba hifadhi mpakani.
atrocity	ukatili	Filamu ilielezea ukatili wa wakati wa vita.
attain	kufikia	Wakimbiaji wachache hufikia kasi hiyo.
attendance	mahudhurio	Mahudhurio yaliboreka baada ya tangazo.
attorney	wakili	Wakili alimuuliza shahidi maswali.
attribute	kuhusisha	Wanasayansi wanahusisha ongezeko hilo na uchafuzi wa mazingira.
audit	ukaguzi	Ukaguzi ulipata makosa kadhaa.
authentic	halisi	Mkahawa hutoa chakula halisi cha kikanda.
authorize	kuidhinisha	Mameneja pekee ndio wanaoweza kuidhinisha kurejeshewa pesa.
auto	gari	Sekta ya magari ilibadilika haraka.
autonomy	uhuru	Kanda inataka uhuru zaidi.
availability	upatikanaji	Upatikanaji wa viti ni mdogo.
await	kusubiri	Jumbe kadhaa zinasubiri jibu lako.
backdrop	mandhari	Milima iliunda mandhari ya kuvutia.
backing	uungaji mkono	Pendekezo lilipata uungaji mkono kutoka kwa wapigakura.
backup	nakala mbadala	Mfumo huunda nakala mbadala kila siku.
bail	dhamana	Hakimu aliweka dhamana saa sita mchana.
ballot	kura	Kila mpigakura alipokea kura.
banner	bango	Bango lilitundikwa juu ya lango.
bare	tupu	Chumba kilikuwa na kuta tupu.
barrel	pipa	Pipa lilikuwa limejaa maji.
bass1	besi	Besi ilisikika kwa kina na nzuri.
battlefield	uwanja wa vita	Uwanja wa vita wa zamani ulikuja kuwa ukumbusho.
bay	ghuba	Kijiji kiko kando ya ghuba tulivu.
beam	boriti	Boriti ya chuma inashikilia paa.
beast	mnyama	Hadithi inaeleza mnyama mkali.
behalf	niaba	Alizungumza kwa niaba ya timu yake.
beloved	mpendwa	Mwalimu mpendwa amestaafu leo.
bench	benchi	Waliketi kwenye benchi la mbao.
benchmark	kigezo	Jaribio lilikuja kuwa kigezo cha sekta.
beneath	chini ya	Nyaraka zilikuwa chini ya folda.
beneficiary	mnufaika	Mwanawe alikuwa mnufaika mkuu.
betray	kusaliti	Usisaliti uaminifu wa rafiki yako.
bind	kufunga	Makubaliano yatafunga kampuni zote mbili.
biography	wasifu	Wasifu wake uliuzwa nakala nyingi.
bishop	askofu	Askofu alitembelea kanisa la kijiji.
bizarre	kawaida	Filamu ilikuwa na mwisho wa ajabu.
blade	ubao	Ubao ulikata kamba.
blast	mlipuko	Mlipuko ulivunja madirisha ya karibu.
bleed	kuvuja damu	Kikato kilianza kuvuja damu nyingi.
blend	kuchanganya	Changanya mchuzi hadi uwe laini.
bless	kubariki	Padri atabariki nyumba.
blessing	baraka	Kuwa na msaada ilikuwa baraka.
boast	kujivunia	Anapenda kujivunia kuhusu pesa.
bonus	bonasi	Wafanyakazi walipata bonasi ya likizo.
