source_headword	PT-BR	example_PT-BR
toss	atirar	Ela atirou as chaves sobre a mesa.
total	totalizar	Os reparos totalizam mais do que o esperado.
toxic	tóxico	A fumaça tóxica forçou todos a sair.
trademark	a marca registrada	O logotipo tornou-se a marca registrada da empresa.
trail	a trilha	A trilha levava pela floresta.
trailer	o trailer	O trailer mostrou o final do filme.
transaction	a transação	A transação apareceu no meu extrato bancário.
transcript	o histórico escolar	O estudante solicitou um histórico escolar oficial.
transformation	a transformação	A cidade viu uma grande transformação.
transit	o trânsito	O pacote foi danificado durante o transporte.
transmission	a transmissão	A transmissão de dados foi segura.
transparency	a transparência	O relatório pediu maior transparência.
transparent	transparente	O processo deve ser transparente para todos.
trauma	o trauma	O acidente deixou um trauma profundo.
treaty	o tratado	Os países assinaram um tratado de paz.
tremendous	tremendo	A equipe fez um progresso tremendo.
tribal	tribal	O museu exibiu arte tribal.
tribunal	o tribunal	O tribunal ouviu as provas durante toda a semana.
tribute	o tributo	O show foi um tributo a ela.
trio	o trio	O trio se apresentou no festival.
triumph	o triunfo	A vitória foi um triunfo pessoal.
trophy	o troféu	O capitão ergueu o troféu com orgulho.
troubled	em dificuldades	A empresa em dificuldades precisava de nova liderança.
trustee	o curador	O curador administra o fundo de bolsas de estudo.
tuition	a mensalidade	Sua mensalidade aumentou este ano.
turnout	o comparecimento	O comparecimento dos eleitores foi maior do que o esperado.
turnover	a rotatividade	A rotatividade de funcionários caiu após as mudanças.
twist	girar	Ela girou a tampa para abrir.
undergraduate	o estudante de graduação	O estudante de graduação juntou-se a um projeto de pesquisa.
underlying	subjacente	O relatório explicou as causas subjacentes.
undermine	minar	O escândalo minou a confiança do público.
undoubtedly	sem dúvida	Ela é sem dúvida a melhor candidata.
unify	unificar	O plano visa unificar as equipes.
unprecedented	sem precedentes	A tempestade causou danos sem precedentes.
unveil	revelar	A empresa revelará o design amanhã.
upcoming	próximo	A próxima eleição chamou a atenção do público.
upgrade	atualizar	Atualizamos o software na noite passada.
uphold	manter	Mantemos a decisão original.
utility	os serviços públicos	O apartamento inclui todos os custos de serviços públicos.
utilize	utilizar	A equipe utilizou os dados disponíveis.
utterly	totalmente	A explicação foi totalmente confusa.
vacuum	o vácuo	O vácuo na liderança criou tensão.
vague	vago	Sua resposta foi vaga e fraca.
validity	a validade	O estudo questionou a validade do teste.
vanish	desaparecer	O arquivo desapareceu da pasta.
variable	a variável	O preço é uma variável importante.
varied	variado	O curso oferece tarefas variadas.
vein	a veia	A enfermeira encontrou uma veia rapidamente.
venture	o empreendimento	O novo empreendimento atraiu investidores.
verbal	verbal	Eles chegaram a um acordo verbal.
verdict	o veredito	O júri entregou seu veredito.
verify	verificar	Por favor, verifique seu endereço de e-mail.
verse	o verso	Ela citou um verso do poema.
versus	versus	O debate era privacidade versus segurança.
vessel	a embarcação	A embarcação transportou grãos pelo mar.
veteran	o veterano	O veterano treinou os novos funcionários.
viable	viável	A proposta é financeiramente viável.
vibrant	vibrante	A cidade tem uma cena artística vibrante.
vice	o vício	A ganância era seu maior vício.
vicious	cruel	O ataque cruel chocou a cidade.
villager	o aldeão	Um aldeão nos guiou até o rio.
violate	violar	A empresa pode violar as regras de segurança.
violation	a violação	O inspetor relatou uma violação grave.
virtue	a virtude	A paciência é uma virtude importante.
vocal	franco	Ela foi franca sobre a decisão.
vow	jurar	Ele jurou terminar o trabalho.
vulnerability	a vulnerabilidade	A auditoria revelou uma vulnerabilidade de segurança.
vulnerable	vulnerável	As crianças são vulneráveis durante o calor extremo.
ward	a ala	O paciente foi transferido para outra ala.
warehouse	o armazém	O armazém estoca peças de reposição.
warfare	a guerra	A guerra moderna depende da tecnologia.
warrant	o mandado	A polícia mostrou um mandado de busca.
warrior	o guerreiro	O guerreiro protegeu a vila.
weaken	enfraquecer	O ferimento enfraqueceu seu aperto.
weave	tecer	Ela aprendeu a tecer cestas.
weed	a erva daninha	Uma erva daninha cresceu entre as pedras.
well	o poço	O poço da vila secou.
well-being	o bem-estar	O sono é vital para o bem-estar.
whatsoever	qualquer	Ele não demonstrou interesse algum.
whereby	pelo qual	A lei criou um sistema pelo qual as famílias poderiam recorrer.
whilst	enquanto	Ela trabalhava enquanto ele descansava.
whip	chicotear	O vento pode chicotear as bandeiras.
wholly	totalmente	A decisão foi totalmente inesperada.
widen	alargar	A cidade planeja alargar a estrada.
widow	a viúva	A viúva mora perto da escola.
width	a largura	Meça a largura da porta.
willingness	a disposição	Sua disposição em ajudar impressionou a todos.
wipe	limpar	Limpe a tela com um pano.
wit	o espírito	Seu espírito tornou o discurso animado.
withdrawal	a retirada	A retirada do financiamento atrasou o projeto.
workout	o treino	O treino durou quarenta minutos.
worship	o culto	As pessoas se reuniram para o culto ao amanhecer.
worthwhile	proveitoso	A viagem foi proveitosa.
worthy	digno	A instituição de caridade é digna de apoio.
yell	gritar	Não grite com os funcionários.
yield	o rendimento	O rendimento da fazenda melhorou nesta temporada.
youngster	o jovem	O jovem fez muitas perguntas.
