simplified	ET	example_ET
挨	taluma	Ta pidas terve öö vastu ja lõpuks ootas koidu ära.
癌症	vähk	Vähi varajane avastamine on väga tähtis.
暧昧	ebamäärane	Tema vastus oli väga ebamäärane.
爱不释手	käest panna ei raatsi	Ta armastas seda raamatut nii väga, et ei raatsinud seda käest panna.
爱戴	armastama ja austama	See õpetaja on õpilaste seas väga armastatud ja austatud.
安宁	rahulik	Siinsed ööd on väga rahulikud.
安详	rahulik	Vana inimese näoilme oli väga rahulik.
安置	ümber asustama	Valitsus asustas katastroofis kannatanud inimesed ümber.
按摩	massaaž	Broneerisin massaaži.
暗示	vihjama	Ta vihjas mulle, et ma enam ei küsiks.
案件	juhtum	Politsei uurib seda juhtumit.
案例	näide	See juhtum on väga esinduslik näide.
昂贵	kallis	See seade on väga kallis.
凹凸	ebatasane	Selle tee pind on ebatasane.
熬	vastu pidama	Ta pidas kolm rasket päeva vastu, enne kui raporti valmis sai.
奥秘	saladus	Teadlane tahab selle saladuse paljastada.
巴不得	väga ootama	Ma ei jõua ära oodata, et kohe teele asuda.
巴结	pugema	Ta ei taha juhtidele pugeda.
扒	kinni hoidma	Laps hoidis uksest kinni ja vaatas välja.
疤	arm	Tema käsivarrel on arm.
拔苗助长	liigsest kiirustamisest rikkuma	Selline lapse õppima sundimine teeb kiirustamisega ainult kahju.
把关	kontrollima	See leping vajab juristi kontrolli.
把手	käepide	Ukse käepide on katki.
罢工	streik	Töötajad otsustasid homme streikida.
霸道	võimutsev	Ta räägib liiga võimutsevalt.
掰	pooleks murdma	Ta murdis leiva kaheks pooleks.
摆脱	vabanema	Ta vabanes lõpuks halvast harjumusest.
拜访	külastama	Me läheme nädalavahetusel õpetajale külla.
拜年	uusaastatervitusi viima	Kevadpühade ajal läheme vanavanematele uusaastatervitusi viima.
拜托	paluma	Selle asja usaldan sinu hoolde.
败坏	kahjustama	Selline käitumine kahjustab ettevõtte mainet.
斑	laik	Kassil on must laik.
颁布	välja kuulutama	Uued eeskirjad kuulutatakse välja järgmisel nädalal.
颁发	välja andma	Kool andis tublidele õpilastele tunnistused.
版本	versioon	Sellel tarkvaral on uus versioon.
伴侣	kaaslane	Ta peab koera oma kaaslaseks.
伴随	kaasnema	Eduga kaasneb sageli surve.
半途而废	pooleli jätma	Uurimistööd ei tohi pooleli jätta.
扮演	mängima	Ta mängib filmis arsti.
榜样	eeskuju	Vanemad on lastele eeskujuks.
绑架	röövima	Politsei hoidis ära inimröövi juhtumi.
磅	nael	See kast kaalub kakskümmend naela.
包庇	varjama	Keegi ei tohi kuritegu varjata.
包袱	koorem	Pärast koorma mahapanekut tundis ta end palju kergemalt.
包围	ümbritsema	Ajakirjanikud ümbritsesid näitleja.
包装	pakend	Selle kingituse pakend on väga ilus.
保管	hoidma	Neid dokumente hoian mina.
保密	saladuses hoidma	Koosoleku sisu tuleb saladuses hoida.
保姆	lapsehoidja	Nad palkasid lapsehoidja.
保守	konservatiivne	Tema mõtted on üsna konservatiivsed.
保卫	kaitsma	Sõdurid kaitsevad piiri.
保养	hooldama	Seda autot tuleb regulaarselt hooldada.
保障	tagama	Seadus tagab kodanike õigused.
保重	enda eest hoolitsema	Palun hoolitse enda eest, kui kodust eemal oled.
饱和	küllastus	See turg on juba küllastumisele lähedal.
饱经沧桑	palju läbi elanud	See vana inimene on palju raskusi ja muutusi läbi elanud.
报酬	tasu	Ta sai mõistliku tasu.
报仇	kätte maksma	Ta ei taha kätte maksta, vaid ainult uuesti alustada.
报答	tasuma	Ma tasun sinu abi tegudega.
报复	kättemaks	Kättemaks süvendab konflikti ainult veelgi.
报警	politseisse teatama	Tulekahju avastamisel tuleb kohe politseisse teatada.
报销	hüvitama	Reisikulud saab hüvitada.
抱负	ambitsioon	Tal on lapsepõlvest saadik suured ambitsioonid.
暴力	vägivald	Me oleme igasuguse vägivalla vastu.
暴露	paljastuma	See probleem tuli järk-järgult ilmsiks.
曝光	avalikustamine	Pärast foto avalikustamist äratas see tähelepanu.
爆发	puhkema	Vulkaan purskas äkki.
爆炸	plahvatus	Laboris toimus plahvatus.
卑鄙	alatu	Selline alatu käitumine ajab vihale.
悲哀	kurb	Seda uudist kuuldes tundis ta suurt kurbust.
悲惨	traagiline	See oli traagiline ajalooperiood.
北极	Arktika	Teadlased teevad Arktikas uurimistööd.
备份	varukoopia	Palun tee kõigepealt olulistest failidest varukoopia.
备忘录	memo	Ta kirjutas põhipunktid memosse.
背叛	reetmine	Ta ei suutnud sõbra reetmist vastu võtta.
背诵	peast ette lugema	Õpilased loevad teksti peast ette.
被动	passiivne	Läbirääkimistel ei tohi me liiga passiivsed olla.
被告	kostja	Kostja eitas kõiki süüdistusi.
贝壳	merekarp	Laps korjas mere ääres merekarpe.
奔波	ringi jooksma	Ta jookseb töö pärast kõikjal ringi.
奔驰	kihutama	Auto kihutas maanteel.
本能	instinkt	Laste kaitsmine on vanemate instinkt.
本钱	kapital	Äri tegemiseks on vaja kapitali.
本人	mina ise	Mina ise olen valmis vastutust kandma.
本身	ise	Selle plaani endaga pole probleemi.
本事	võimekus	Ta on väga võimekas.
笨拙	kohmakas	Tema liigutused on veidi kohmakad.
崩溃	kokku varisema	Süsteem jooksis äkki kokku.
甭	pole vaja	Selle pärast pole sul vaja muretseda.
蹦	hüppama	Kutsikas hüppas murul ringi.
迸发	puhkema	Rahvahulgast puhkes aplaus.
逼迫	sundima	Nad sundisid teda lepingule alla kirjutama.
鼻涕	nohu	Lapsel on külmetus ja tal jookseb kogu aeg nina.
比方	näiteks	Näiteks võime kõigepealt ühe kuu proovida.
比喻	metafoor	See metafoor on väga ilmekas.
比重	osakaal	Teenindussektori osakaal muutub järjest suuremaks.
鄙视	põlgama	Ära põlga teiste pingutusi.
弊病	puudus	Sellel süsteemil on üsna palju puudusi.
弊端	kitsaskoht	Uus plaan lahendas vana süsteemi kitsaskohad.
臂	käsivars	Tema parem käsivars sai vigastada.
闭塞	eraldatud	Selle mägiküla liiklus oli varem väga eraldatud.
编织	kuduma	Vanaema koob kampsunit.
边疆	piiriala	Paljud sõdurid valvavad kodumaa piiriala.
边界	piir	Kaks riiki määrasid piiri uuesti.
边境	piiriala	Piirialadel tugevdati turvakontrolle.
边缘	serv	Tass on laua serval.
鞭策	tagant kannustama	Õpetaja sõnad on mind alati tagant kannustanud.
扁	lame	See karp on lai ja lame.
贬低	halvustama	Ära halvusta kergekäeliselt teiste pingutusi.
贬义	halvustav tähendus	Sellel sõnal on siin halvustav varjund.
便利	mugav	Metroo teeb liikumise mugavamaks.
便条	sedel	Ta jättis lauale sedeli.
便于	mugav kasutamiseks	See disain on eakatele kasutamiseks mugav.
变故	ootamatu õnnetus	Peres juhtus äkki ootamatu õnnetus.
变迁	muutused	Linna muutused tekitasid temas palju mõtteid.
变质	halvaks minema	Piim läheb pikalt seistes halvaks.
辨认	tuvastama	Politsei palus tal fotol oleva inimese tuvastada.
辩护	kaitsma	Advokaat kaitses kostjat.
辩解	õigustama	Ta püüdis oma viga õigustada.
辩证	dialektiline	Me peaksime seda probleemi dialektiliselt vaatlema.
辫子	pats	Väikesel tüdrukul on kaks patsi.
遍布	üle kogu ala levima	Seda taime leidub üle kogu riigi.
标本	preparaat	Muuseumis on väljas loomade preparaadid.
标记	märk	Palun tee tähtsate lõikude kõrvale märkmeid.
标题	pealkiri	Selle artikli pealkiri on väga köitev.
表决	hääletama	Esindajad hääletavad ettepaneku üle.
表态	seisukohta avaldama	Ta pole veel avalikult seisukohta avaldanud.
表彰	tunnustama	Ettevõte tunnustas silmapaistvaid töötajaid.
憋	tagasi hoidma	Ta hoidis naeru tagasi ega öelnud midagi.
别墅	luksuseramu	Nad ostsid äärelinna luksuseramu.
别致	omanäoline	Selle kohviku sisekujundus on väga omanäoline.
别扭	kohmakas	See lause kõlab veidi kohmakalt.
濒临	väljasuremise äärel	See loom on väljasuremise äärel.
冰雹	rahe	Eile pärastlõunal sadas tugevat rahet.
丙	kolmas	C-rühma võistlus algab pärastlõunal.
并非	sugugi mitte	Asjad pole sugugi nii, nagu sa arvad.
并列	esikohta jagama	Need kaks projekti jagavad esikohta.
剥削	ekspluateerimine	Vanas ühiskonnas oli tõsine ekspluateerimine.
拨	valima	Palun vali see telefoninumber.
播种	külvama	Talunikud hakkavad kevadel seemneid külvama.
波浪	laine	Merel kerkisid suured lained.
波涛	suured lained	Laev liikus suurte lainete vahel edasi.
伯母	tädi	Lähen nädalavahetusel tädile külla.
博大精深	laiahaardeline ja sügav	Hiina kultuur on laiahaardeline ja sügav.
博览会	mess	Rahvusvaheline mess meelitas kohale palju ettevõtteid.
搏斗	võitlema	Politsei asus kurjategijaga võitlusse.
薄弱	nõrk	Tema grammatika alus on üsna nõrk.
不顾	hoolimata	Ta tormas ohust hoolimata sisse.
不愧	vääriline	Ta on tõesti kogenud eksperdi nime vääriline.
不料	ootamatult	Ootamatult tühistati koosolek.
不像话	lubamatu	Niimoodi külalisi kohelda on lubamatu.
不屑一顾	põlglikult kõrvale heitma	Ta heitis need kuulujutud põlgusega kõrvale.
哺乳	imetama	Ema imetab imikut.
捕捉	tabamine	Fotograaf tabas suurepärase hetke.
补偿	hüvitama	Ettevõte hüvitab sinu kahju.
补救	heastama	Me jõuame seda veel heastada.
补贴	toetus	Valitsus maksab madala sissetulekuga peredele toetusi.
不得已	sunnitud	Ta lahkus kodukohast ainult sunnitult.
不妨	võiksid	Sa võiksid kõigepealt tema selgitust kuulata.
不敢当	pole väärt	Te kiidate mind nii palju, ma pole seda väärt.
不禁	ei suutnud hoiduda	Seda uudist kuuldes ei suutnud ta naeru tagasi hoida.
不堪	talumatu	Siinne müra on talumatu.
不可思议	uskumatu	See tulemus on tõesti uskumatu.
不免	paratamatu	Esimest korda lavale minnes oli ta paratamatult veidi närvis.
不时	aeg-ajalt	Ta tõstis aeg-ajalt pilgu kellale.
不惜	kõhklemata	Kellegi päästmiseks võttis ta kõhklemata riski.
不相上下	võrdsed	Kahe meeskonna jõud on võrdsed.
不言而喻	iseenesestmõistetav	Aususe tähtsus on iseenesestmõistetav.
不由得	tahtmatult	Vana fotot nähes meenus mulle tahtmatult lapsepõlv.
不择手段	vahendeid valimata	Ta kasutab raha teenimiseks kõiki vahendeid valimata.
不止	rohkem kui	Koosolekul osales rohkem kui sada inimest.
布告	teade	Kooli väravale pandi üles teade.
布局	planeering	Selle korteri planeering on väga mõistlik.
布置	määrama	Õpetaja andis uue kodutöö.
步伐	samm	Meeskond liikus edasi ühtlaste sammudega.
部署	juurutama	Ettevõte juurutab uut müügiplaani.
部位	koht	Arst kontrollis vigastatud kohta.
才干	võimekus	Ta on juhtimises väga võimekas.
裁缝	rätsep	See rätsep on väga osav.
裁判	kohtunik	Kohtunik teatas, et võistlus peatatakse.
裁员	töötajaid koondama	Ettevõte otsustas kahjumi tõttu töötajaid koondada.
财富	rikkus	Teadmised on samuti rikkus.
财务	rahandus	Rahandusosakond kontrollib kontosid.
财政	riigirahandus	Eelarvetulud on tänavu mõnevõrra kasvanud.
彩票	loteriipilet	Ta ostab aeg-ajalt loteriipileti.
采购	hankima	Ettevõte saatis kellegi seadmeid hankima.
采集	koguma	Teadlased kogusid metsas proove.
采纳	vastu võtma	Juht võttis meie ettepaneku vastu.
参谋	nõuandja	Ta annab sageli juhile nõu.
参照	lähtuma	Palun täida vorm selle formaadi järgi.
残疾	puudega	See jaam pakub abi puudega reisijatele.
残酷	julm	Sõda on väga julm.
残留	alles jääma	Tassi sisse jäi veel kohvilõhn.
残忍	julm	Loomade väärkohtlemine on julm tegu.
灿烂	särav	Ta näitas säravat naeratust.
仓促	kiirustades	See otsus tehti liiga kiirustades.
仓库	ladu	Kaup on juba lattu toimetatud.
舱	salong	Reisijad sisenevad lennuki salongi.
苍白	kahvatu	Tema nägu paistis väga kahvatu.
操劳	vaeva nägema	Ema on selle pere nimel aastaid vaeva näinud.
操练	drillima	Sõdurid drillivad igal hommikul.
操纵	juhtima	Seda masinat juhib arvuti.
操作	käsitsema	Palun käsitse seadet juhiste järgi.
嘈杂	kärarikas	Jaamas on väga kärarikas.
草案	eelnõu	Komitee arutab eelnõu.
草率	hooletu	Nii tähtsat otsust ei tohi teha hooletult.
侧面	külg	Küljelt vaadates paistab see hoone kõrgem.
测量	mõõtma	Insener mõõdab silla pikkust.
策划	kavandama	Nad kavandasid suure ürituse.
策略	strateegia	See strateegia aitas ettevõttel kulusid vähendada.
层出不穷	üksteise järel esile kerkima	Uusi probleeme kerkib üksteise järel esile.
层次	ülesehitus	Selle artikli ülesehitus on väga selge.
差别	erinevus	Kahe meetodi vahel pole suurt erinevust.
插座	pistikupesa	Selles toas pole piisavalt pistikupesi.
查获	konfiskeerima	Toll konfiskeeris partii võltskaupa.
刹那	hetk	Hetkega kustusid kõik tuled.
岔	hargnema	Autod hargnesid eesoleval ristmikul eri suundadesse.
诧异	hämmastunud	Tema otsus pani kõik väga hämmastuma.
柴油	diislikütus	See veoauto kasutab diislikütust.
搀	toetama	Õde toetas vana inimese palatisse.
缠绕	väänduma	Väädid väänduvad ümber okste.
馋	isutama	Kooki nähes hakkas lapsel suu vett jooksma.
产业	tööstusharu	Turism on siin oluline tööstusharu.
阐述	selgitama	Professor selgitas oma seisukohta üksikasjalikult.
颤抖	värisema	Tal oli nii külm, et kogu keha värises.
昌盛	õitsev	Me loodame, et riik on jõukas ja õitsev.
偿还	tagasi maksma	Ta maksis laenu õigel ajal tagasi.
尝试	proovima	Me võime proovida uut meetodit.
场合	olukord	Sellises olukorras ei sobi nalja teha.
场面	vaatepilt	Pulma vaatepilt oli väga elav.
场所	koht	See on avalik koht, palun ärge suitsetage.
敞开	pärani avama	Palun jäta aken mõneks ajaks pärani lahti.
倡导	propageerima	Kool propageerib tervislikku eluviisi.
倡议	algatus	See keskkonnaalgatus sai toetust.
畅通	takistusteta	Pärast vihma lakkamist muutus tee taas takistusteta läbitavaks.
畅销	hästi müüma	See romaan müüb väga hästi.
超越	ületama	Ta ületas lõpuks oma rekordi.
钞票	pangatäht	Rahakotti oli jäänud ainult mõni pangatäht.
嘲笑	välja naerma	Ära naera teiste puudusi välja.
巢穴	pesa	Jahimees avastas looma pesa.
朝代	dünastia	Tangi dünastia on üks dünastia Hiina ajaloos.
潮流	suundumus	Noored pööravad moesuundumustele palju tähelepanu.
撤退	taganema	Väed taganesid pärast käsu saamist.
撤销	tühistama	Kohus tühistas esialgse otsuse.
沉淀	settima	Muda settib aegamisi põhja.
沉闷	rõhuv	Tänane ilm on kuum ja rõhuv.
沉思	mõtisklema	Ta istus akna ääres ja mõtiskles.
沉重	raske	See uudis tegi kõigi meele raskeks.
沉着	rahulik	Ohu korral tuleb rahulikuks jääda.
陈旧	vananenud	See masin on juba väga vananenud.
陈列	välja panema	Näitusesaalis on välja pandud palju kultuurimälestisi.
陈述	esitama	Palun esita faktid selgelt.
称心如意	meelepärane	See töö on talle väga meelepärane.
衬托	esile tõstma	Valge sein tõstab lillede värvi esile.
称号	tiitel	Ta sai silmapaistva õpetaja tiitli.
乘	sõitma	Ma sõidan iga päev metrooga tööle.
呈现	omandama	Taevas omandas õrna punaka tooni.
城堡	loss	Mäetipul on vana loss.
惩罚	karistama	Kool karistab õpilasi, kes spikerdavad.
成本	kulu	Tooraine hinnatõus suurendas kulusid.
成交	tehingut sõlmima	See äritehing sõlmiti lõpuks.
成天	terve päeva	Ta istub terve päeva arvuti ees.
成效	tulemus	Uus juhtimismeetod näitas peagi tulemusi.
成心	meelega	Ta ei teinud seda meelega, et sind piinlikku olukorda panna.
成员	liige	Iga liige peab koosolekul osalema.
承办	korraldama	See ettevõte korraldas näituse.
承包	lepinguga enda peale võtma	Nad võtsid selle projekti lepinguga enda peale.
承诺	lubama	Ta lubas ülesande õigel ajal lõpetada.
橙	apelsin	Ostsin mitu värsket apelsini.
澄清	selgitama	Juht tuli välja ja selgitas arusaamatust.
盛	kulbiga tõstma	Ta tõstis külalisele kausitäie suppi.
诚挚	siiras	Palun võta vastu minu siiras tänu.
秤	kaal	See kaal pole väga täpne.
吃苦	raskusi taluma	Noored peaksid õppima raskusi taluma.
吃力	pingutust nõudev	Selle kasti liigutamine nõuab palju pingutust.
持久	püsiv	Edu nõuab püsivat pingutust.
迟钝	aeglane	Tema reaktsioonid on viimasel ajal veidi aeglased.
迟缓	aeglane	Pärast vihma muutus liiklus aeglaseks.
迟疑	kõhklema	Ta kõhkles hetke, enne kui vastas.
赤道	ekvaator	Ekvaatori lähedal on aasta läbi palav.
赤字	puudujääk	Ettevõttel tekkis tänavu puudujääk.
充当	toimima	Ta toimis projektis koordinaatorina.
充沛	külluslik	Lastel on väga palju energiat.
充实	täisväärtuslik	See kogemus muutis mu elu täisväärtuslikumaks.
充足	piisav	Enne reisi tuleb valmistada piisavalt vett.
冲动	impulss	Ära tee otsust hetkeimpulsi ajel.
冲击	mõju	Uus tehnoloogia avaldas traditsioonilistele tööstusharudele mõju.
冲突	konflikt	Mõlemad pooled püüdsid konflikti vältida.
崇拜	imetlema	Paljud noored imetlevad seda teadlast.
崇高	ülev	Arsti kohustus on ülev.
崇敬	austama	Õpilased austavad seda õpetajat väga.
重叠	kattuma	Need kaks ülesannet kattuvad osaliselt.
稠密	tihe	Siinne rahvastik on väga tihe.
筹备	ette valmistama	Nad valmistavad pulmi ette.
丑恶	kole	Ta paljastas juhtumi taga oleva koleda tõe.
出路	väljapääs	Haridus annab noortele rohkem võimalusi.
出卖	reetma	Ta ei reeda sõpru.
出身	päritolu	Ta on pärit tavalisest perest.
出神	süvenenud	Ta kuulas muusikat täiesti süvenenult.
出息	tulevikuväljavaade	Sellel lapsel on tulevikus häid väljavaateid.
初步	esialgne	Me oleme jõudnud esialgse kokkuleppeni.
除	välja arvatud	Kõik peale tema on kohale jõudnud.
储备	reserv	Ettevõttel on vaja rohkem rahalisi reserve.
储存	salvestama	Need andmed salvestatakse automaatselt.
储蓄	säästma	Ta säästab iga kuu osa palgast.
处分	karistus	Kool määras talle tõsise karistuse.
处境	olukord	Nende praegune olukord on väga raske.
处置	käsitlema	Need vanad seadmed tuleb nõuetekohaselt käsitleda.
触犯	rikkuma	Nii tehes rikub seadust.
川流不息	lakkamatu vool	Tänaval on sõidukite lakkamatu vool.
穿越	läbima	Rong läbis pika tunneli.
传达	edastama	Palun edasta see sõnum kõigile.
传单	flaier	Vabatahtlikud jagasid tänaval flaiereid.
传授	edasi andma	Õpetaja andis õpilastele kogemusi edasi.
船舶	laevad	Sadamas seisab palju laevu.
喘气	hingeldama	Ta hingeldas pärast jooksu lakkamatult.
串	ritta lükkima	Ta lükkis helmed kaelakeeks ritta.
床单	voodilina	Palun vaheta voodilina ära.
创立	asutama	Nad asutasid selle ettevõtte koos.
创新	uuendama	Ettevõtte areng nõuab pidevat uuendamist.
创业	ettevõtet alustama	Paljud noored valivad ettevõtte alustamise.
创作	looma	Kirjanik loob praegu pikka romaani.
吹牛	hooplema	Ära hoople, näita tõendeid.
吹捧	ülistama	Meedia ülistas seda toodet liigselt.
炊烟	köögisuits	Õhtul tõusis külast köögisuits.
垂直	risti	Need kaks joont on teineteisega risti.
锤	vasar	Tööline lõi raudplaati vasaraga.
纯粹	puhtalt	Tema abi tuli puhtalt heast tahtest.
纯洁	puhas	Lapse süda on väga puhas.
慈善	heategevuslik	See ettevõte osaleb sageli heategevusüritustel.
慈祥	heatahtlik	Vanaema naeratus on väga heatahtlik.
磁带	kassett	Seda vana kassetti saab veel mängida.
