simplified	LO	example_LO
啊	ຄຳຊ່ວຍຢືນຢັນ; ອາ	ດີອາ, ພວກເຮົາໄປດຽວນີ້.
阿姨	ປ້າ; ນ້າສາວ; ຜູ້ດູແລເດັກ	ປ້າເຮັດວຽກຢູ່ຊູເປີມາເກັດ.
矮	ຕ່ຳ; ເຕ້ຍ	ໂຕະນີ້ຕ່ຳໜ້ອຍໜຶ່ງ.
爱好	ຄວາມມັກ; ງານອະດິເລກ	ຄວາມມັກຂອງຂ້ອຍແມ່ນຟັງດົນຕີ.
安静	ງຽບ; ສະຫງົບ	ໃນຫໍສະໝຸດງຽບຫຼາຍ.
把	ຈັບ; ຖື; ຄຳຊ່ວຍກຳມະ	ກະລຸນາປິດປະຕູ.
搬	ຍ້າຍ; ຂົນຍ້າຍ	ພວກເຮົາຈະຍ້າຍເຮືອນມື້ອື່ນ.
班	ຫ້ອງຮຽນ; ກຸ່ມ	ຫ້ອງຮຽນຂອງພວກເຮົາມີນັກຮຽນຊາວຄົນ.
办法	ວິທີ; ທາງແກ້	ວິທີນີ້ດີຫຼາຍ.
办公室	ຫ້ອງການ	ຜູ້ຈັດການຢູ່ໃນຫ້ອງການ.
半	ເຄິ່ງ	ຂ້ອຍລໍຖ້າເຄິ່ງຊົ່ວໂມງ.
帮忙	ຊ່ວຍ; ຊ່ວຍເຫຼືອ	ເຈົ້າຊ່ວຍໄດ້ບໍ?
包	ກະເປົາ; ຫໍ່	ນາງຊື້ກະເປົາໃໝ່ໜຶ່ງໃບ.
饱	ອີ່ມ	ຂ້ອຍອີ່ມແລ້ວ.
北方	ພາກເໜືອ	ລະດູໜາວໃນພາກເໜືອໜາວຫຼາຍ.
被	ຄຳຊ່ວຍຮູບຖືກກະທຳ; ຖືກ	ລົດຖີບຂອງຂ້ອຍຖືກໝູ່ຢືມໄປແລ້ວ.
鼻子	ດັງ	ດັງຂອງລາວແດງໜ້ອຍໜຶ່ງ.
