source_headword	FR	example_FR
ability	la capacité; l'aptitude	Sa capacité à nager est claire.
able	capable; pouvoir	Il peut venir aujourd'hui.
abroad	à l'étranger; vers l'étranger	Elle veut étudier à l'étranger.
accept	accepter	Veuillez accepter ce petit cadeau.
accident	l'accident	L'accident est arrivé près de l'école.
according to	selon; d'après	Selon le rapport, la pluie arrive.
achieve	réaliser; atteindre	Tu peux atteindre ton objectif.
act	agir; jouer; l'acte	Il peut jouer dans une pièce.
active	actif; active	Elle est active chaque jour.
actually	en fait; en réalité	En fait, j'ai besoin de plus de temps.
advantage	l'avantage	Ce plan a un avantage.
adventure	l'aventure	Leur voyage était une aventure.
advertise	faire de la publicité; annoncer	Ils annoncent le nouveau poste.
advertisement	la publicité; l'annonce	J'ai vu une annonce.
advertising	la publicité	La publicité aide à vendre la nourriture.
affect	affecter; influencer	Le sommeil peut affecter la santé.
against	contre; en opposition à	Ne t'appuie pas contre le mur.
ah	ah	Ah, maintenant je comprends.
airline	la compagnie aérienne	La compagnie aérienne est très occupée.
alive	vivant; vivante	Le petit poisson est vivant.
all right	bien; d'accord	Tout va bien maintenant.
allow	permettre; autoriser	Ici, les chiens sont autorisés.
almost	presque	Nous sommes presque prêts.
alone	seul; seule	Elle vit seule.
along	le long de; sur	Marche le long de cette route.
already	déjà	Je connais déjà la réponse.
alternative	l'alternative; l'autre option	Ce train est une alternative.
although	bien que; même si	Même s'il est tard, nous pouvons rester.
among	parmi	Il se tenait parmi les arbres.
amount	la quantité; le montant	La quantité est trop petite.
ancient	ancien; ancienne	Ce vieux mur est célèbre.
ankle	la cheville	J'ai mal à la cheville aujourd'hui.
anybody	quelqu'un; n'importe qui	Quelqu'un peut répondre ?
any more	plus; ne plus	Je n'ai plus besoin de rien.
anyway	de toute façon	De toute façon, nous pouvons commencer.
anywhere	n'importe où; partout	Assieds-toi n'importe où.
app	l'application	Cette application est utile.
appear	apparaître	Son nom apparaîtra ici.
appearance	l'apparence; l'aspect	Son apparence est différente.
apply	postuler; appliquer	Postule pour le poste aujourd'hui.
architect	l'architecte	L'architecte a un plan.
architecture	l'architecture	J'aime l'architecture moderne.
argue	se disputer; argumenter	Ne te dispute pas avec ta sœur.
argument	la dispute; l'argument	La dispute a été courte.
army	l'armée	L'armée est grande.
arrange	organiser; arranger	Veuillez organiser la réunion.
arrangement	l'arrangement; l'accord	Cet accord fonctionne bien.
asleep	endormi; endormie	Le bébé est endormi.
assistant	l'assistant; l'assistante	L'assistant m'a aidé.
athlete	l'athlète	L'athlète court vite.
attack	attaquer; l'attaque	Le chien peut attaquer.
attend	assister à; fréquenter	J'assiste au cours aujourd'hui.
attention	l'attention	Veuillez faire attention.
attractive	attirant; attrayant	Le jardin est attrayant.
audience	le public; l'audience	Le public était silencieux.
author	l'auteur; l'autrice	L'auteur a écrit ce livre.
available	disponible	La nourriture est disponible maintenant.
average	moyen; la moyenne	Le résultat moyen était bon.
avoid	éviter	Évite la route très fréquentée.
award	le prix; la récompense	Elle a reçu un prix.
awful	affreux; horrible	Le temps était horrible.
background	le fond; les antécédents	L'image a un fond sombre.
badly	mal	Il a mal joué aujourd'hui.
bar	le bar; le comptoir	Nous nous sommes vus au bar de l'hôtel.
baseball	le baseball	Le baseball est populaire ici.
based	basé; fondé	Le film est basé sur un livre.
basketball	le basket-ball	Nous jouons au basket après l'école.
bean	le haricot	Ce haricot est vert.
bear (animal)	l'ours	L'ours vit dans la forêt.
beat	battre; frapper	Notre équipe peut les battre.
beef	le bœuf	J'ai mangé du bœuf au dîner.
behave	se comporter	Comporte-toi bien en classe, s'il te plaît.
behaviour	le comportement	Son comportement était poli.
belong	appartenir	Ces chaussures m'appartiennent.
belt	la ceinture	Sa ceinture est noire.
benefit	l'avantage; le bénéfice	L'exercice a un vrai avantage.
billion	le milliard	Un milliard est un nombre énorme.
bin	la poubelle	Mets le papier dans la poubelle.
biology	la biologie	La biologie est ma meilleure matière.
birth	la naissance	Sa naissance a eu lieu en mai.
biscuit	le biscuit	Elle mange un biscuit.
bit	un peu; le morceau	J'ai besoin d'un peu plus de temps.
blank	le blanc; vide	Écris ton nom dans le blanc.
blood	le sang	Le sang est rouge.
blow	souffler	Le vent peut souffler fort.
board	le tableau; la planche	Écris cela au tableau.
boil	bouillir; faire bouillir	Fais d'abord bouillir l'eau.
bone	l'os	Le chien a un os.
borrow	emprunter	Puis-je emprunter ton stylo ?
