source_headword	TH	example_TH
strengthen	เสริมสร้าง	นโยบายใหม่จะเสริมสร้างความปลอดภัยออนไลน์.
strictly	อย่างเคร่งครัด	ตั๋วถูกจำกัดอย่างเคร่งครัดให้สองใบต่อคน.
striking	โดดเด่น	ภาพวาดนี้มีสีสันที่โดดเด่น.
stroke	การลากเส้น	เธอวาดการลากเส้นหนึ่งเส้นข้ามกระดาษ.
stunning	งดงาม	วิวภูเขานั้นงดงามมาก.
subsequent	ถัดไป	การประชุมถัดไปได้ยืนยันงบประมาณ.
subsequently	ในเวลาต่อมา	ถนนปิดลงในเวลาต่อมาการจราจรก็เคลื่อนตัวช้า.
suburb	ชานเมือง	พวกเขาอาศัยอยู่ในชานเมืองที่เงียบสงบ.
suffering	ความทุกข์ทรมาน	ยาช่วยลดความทุกข์ทรมานของเขา.
sufficient	เพียงพอ	ทีมมีเวลาเพียงพอ.
sufficiently	อย่างเพียงพอ	ห้องอุ่นอย่างเพียงพอ.
super	สุดยอด	แท็บเล็ตใหม่นี้เร็วสุดยอด.
surgeon	ศัลยแพทย์	ศัลยแพทย์ได้ซ่อมแซมเข่าที่เสียหาย.
survival	การอยู่รอด	น้ำสะอาดเป็นสิ่งจำเป็นสำหรับการอยู่รอด.
survivor	ผู้รอดชีวิต	ผู้รอดชีวิตได้เล่าถึงเหตุการณ์น้ำท่วม.
suspend	ระงับ	โรงเรียนอาจระงับการเดินทาง.
sustainable	ยั่งยืน	ฟาร์มใช้วิธีการที่ยั่งยืน.
swallow	กลืน	กลืนยาพร้อมกับน้ำ.
sympathetic	เห็นอกเห็นใจ	ผู้จัดการเห็นอกเห็นใจปัญหาของเธอ.
tackle	จัดการ	เราจำเป็นต้องจัดการกับปัญหาที่อยู่อาศัย.
tag	ป้าย	กระเป๋ามีป้ายราคา.
tap	ก๊อกน้ำ	เธอปิดก๊อกน้ำ.
technological	ทางเทคโนโลยี	การเปลี่ยนแปลงทางเทคโนโลยีส่งผลกระทบต่อทุกสถานที่ทำงาน.
teens	วัยรุ่น	วัยรุ่นหลายคนใช้สื่อสังคมออนไลน์ทุกวัน.
temple	วัด	วัดตั้งอยู่ใกล้แม่น้ำ.
temporarily	ชั่วคราว	สำนักงานปิดชั่วคราว.
tendency	แนวโน้ม	เขามีแนวโน้มที่จะมาสาย.
tension	ความตึงเครียด	ความตึงเครียดเพิ่มขึ้นระหว่างการสนทนา.
