source_headword	LT	example_LT
ability	gebėjimas; įgūdis	Jos gebėjimas plaukti yra aiškus.
able	galintis; pajėgus	Jis gali ateiti šiandien.
abroad	užsienyje	Ji nori studijuoti užsienyje.
accept	priimti	Prašau, priimk šią mažą dovaną.
accident	nelaimė; avarija	Nelaimė įvyko netoli mokyklos.
according to	pagal	Pagal pranešimą ateina lietus.
achieve	pasiekti	Gali pasiekti savo tikslą.
act	veikti; vaidinti	Jis gali vaidinti spektaklyje.
active	aktyvus	Ji yra aktyvi kiekvieną dieną.
actually	iš tikrųjų	Iš tikrųjų man reikia daugiau laiko.
advantage	pranašumas	Šis planas turi pranašumą.
adventure	nuotykis	Jų kelionė buvo nuotykis.
advertise	reklamuoti	Jie reklamuoja naują darbą.
advertisement	skelbimas; reklama	Mačiau skelbimą.
advertising	reklama; reklamavimas	Reklama padeda parduoti maistą.
affect	paveikti; turėti įtakos	Miegas gali paveikti tavo sveikatą.
against	prieš; prie	Nesiremk į sieną.
ah	ach	Ah, dabar suprantu.
airline	oro linijų bendrovė	Oro linijų bendrovė labai užimta.
alive	gyvas	Maža žuvis yra gyva.
all right	gerai; tvarkoje	Dabar viskas gerai.
allow	leisti; sudaryti sąlygas	Čia leidžia šunis.
almost	beveik	Mes beveik pasiruošę.
alone	vienas; viena	Ji gyvena viena.
along	palei; išilgai	Eik palei šį kelią.
already	jau	Aš jau žinau atsakymą.
alternative	alternatyva	Šis traukinys yra alternatyva.
although	nors; kad ir	Nors vėlu, galime pasilikti.
among	tarp	Jis stovėjo tarp medžių.
amount	kiekis; suma	Kiekis yra per mažas.
ancient	senovinis; antiškas	Ši senovinė siena yra garsi.
ankle	kulkšnis	Šiandien man skauda kulkšnį.
anybody	kas nors; bet kas	Ar kas nors gali atsakyti?
any more	daugiau	Man to daugiau nereikia.
anyway	vis tiek; šiaip ar taip	Vis tiek galime pradėti dabar.
anywhere	bet kur	Sėsk bet kur, kur nori.
app	programėlė	Ši programėlė yra naudinga.
appear	pasirodyti	Jos vardas pasirodys čia.
appearance	išvaizda; pasirodymas	Jo išvaizda yra kitokia.
apply	kreiptis; taikyti	Šiandien kreipkis dėl darbo.
architect	architektas	Architektas turi planą.
architecture	architektūra	Man patinka moderni architektūra.
argue	ginčytis	Nesiginčyk su seserimi.
argument	ginčas; argumentas	Ginčas buvo trumpas.
army	kariuomenė	Kariuomenė yra didelė.
arrange	organizuoti; sutvarkyti	Prašau, organizuok susitikimą.
arrangement	susitarimas; tvarka	Susitarimas gerai veikia.
asleep	užmigęs; miegantis	Kūdikis užmigo.
assistant	asistentas; padėjėjas	Asistentas man padėjo.
athlete	sportininkas; atletas	Sportininkas greitai bėga.
attack	ataka; pulti	Šuo gali pulti.
attend	dalyvauti; lankyti	Šiandien dalyvauju pamokoje.
attention	dėmesys	Prašau, dabar atkreipk dėmesį.
attractive	patrauklus	Sodas yra patrauklus.
audience	auditorija; publika	Publika buvo tyli.
author	autorius	Autorius parašė šią knygą.
available	prieinamas; turimas	Maistas dabar prieinamas.
average	vidutinis; vidurkis	Vidutinis rezultatas buvo geras.
avoid	vengti	Venk judraus kelio.
award	apdovanojimas; prizas	Ji laimėjo apdovanojimą.
awful	baisus	Oras buvo baisus.
background	fonas; kilmė	Paveikslas turi tamsų foną.
badly	blogai	Šiandien jis žaidė blogai.
bar	baras	Susitikome viešbučio bare.
baseball	beisbolas	Beisbolas čia populiarus.
based	pagrįstas; paremtas	Filmas paremtas knyga.
basketball	krepšinis	Po mokyklos žaidžiame krepšinį.
bean	pupelė; grūdas	Ši pupelė yra žalia.
bear (animal)	meška; lokys	Meška gyvena miške.
beat	nugalėti; mušti	Mūsų komanda gali juos nugalėti.
beef	jautiena	Vakarienei valgiau jautieną.
behave	elgtis	Prašau, elkis gražiai pamokoje.
behaviour	elgesys	Jo elgesys buvo mandagus.
belong	priklausyti	Šie batai priklauso man.
belt	diržas	Jo diržas juodas.
benefit	nauda	Sportas turi tikrą naudą.
billion	milijardas	Milijardas yra didžiulis skaičius.
bin	šiukšliadėžė; dėžė	Įdėk popierių į šiukšliadėžę.
biology	biologija	Biologija yra mano geriausias dalykas.
birth	gimimas	Jos gimimas buvo gegužę.
biscuit	sausainis	Ji valgo sausainį.
bit	truputis; gabalėlis	Man reikia dar trupučio laiko.
blank	tuščias; tuščia vieta	Įrašyk vardą į tuščią vietą.
blood	kraujas	Kraujas yra raudonas.
blow	pūsti	Vėjas gali stipriai pūsti.
board	lenta	Parašyk tai ant lentos.
boil	virti; užvirti	Pirmiausia užvirk vandenį.
bone	kaulas	Šuo turi kaulą.
borrow	pasiskolinti	Ar galiu pasiskolinti tavo rašiklį?
boss	vadovas; šefas	Mano vadovas yra draugiškas.
bottom	dugnas; apačia	Pasirašyk apačioje.
bowl	dubuo	Dubuo yra pilnas.
brain	smegenys	Tavo smegenims reikia poilsio.
bridge	tiltas	Tiltas yra senas.
bright	šviesus; protingas	Kambarys yra šviesus.
brilliant	puikus; nuostabus	Ta idėja yra puiki.
broken	sulūžęs; sugedęs	Kėdė sulūžusi.
brush	šepetys; valyti	Dabar išsivalyk dantis.
burn	degti; sudeginti	Nesudegink duonos.
businessman	verslininkas	Verslininkas atėjo anksti.
button	mygtukas; saga	Paspausk raudoną mygtuką.
camp	stovykla; stovyklauti	Stovyklaujame netoli ežero.
camping	stovyklavimas	Stovyklavimas vasarą smagus.
can2	skardinė	Atsargiai atidaryk skardinę.
care	rūpestis; priežiūra	Rūpinkis savo sveikata.
careful	atsargus	Būk atsargus ant laiptų.
carefully	atsargiai	Atsargiai perskaityk klausimą.
carpet	kilimas	Kilimas yra minkštas.
cartoon	animacinis filmas	Šis animacinis filmas juokingas.
case	atvejis; dėžutė	Įdėk tai į dėžutę.
cash	grynieji	Mokėjau grynaisiais.
castle	pilis	Pilis yra labai sena.
catch	pagauti	Dabar pagauk kamuolį.
cause	priežastis; sukelti	Lietus gali sukelti problemų.
celebrate	švęsti	Švenčiame mano gimtadienį.
celebrity	įžymybė	Įžymybė buvo labai maloni.
certain	tikras; tam tikras	Esu dėl to tikras.
