source_headword	RO	example_RO
crawl	a merge de-a bușilea	Bebelușul a început să meargă de-a bușilea pe covor.
creator	creatorul	Creatorul a mulțumit tuturor pentru sprijin.
credibility	credibilitatea	Martorul și-a pierdut credibilitatea în timpul interogatoriului.
credible	credibil	Raportul a oferit dovezi credibile.
creep	a pătrunde	Ceața a început să pătrundă prin vale.
critique	critica	Profesorul a oferit o critică detaliată.
crown	coroana	Regina purta o coroană de argint.
crude	rudimentar	Desenul era rudimentar, dar clar.
crush	a zdrobi	Stâncile grele pot zdrobi țeava.
crystal	cristalul	Cristalul reflecta lumina dimineții.
cult	cultul	Cultul și-a izolat membrii.
cultivate	a cultiva	Fermierii cultivă orez în această regiune.
curiosity	curiozitatea	Curiozitatea a condus-o spre știință.
custody	custodia	Copilul a rămas în custodia tatălui ei.
cutting	decupajul	Ziarul a publicat un decupaj despre el.
cynical	cinic	Remarca lui cinică a supărat echipa.
dam	barajul	Barajul reține apa râului.
damaging	dăunător	Articolul dăunător a afectat campania.
dawn	zorii	Am plecat din sat în zori.
debris	resturile	Resturile de la furtună au blocat drumul.
debut	debutul	Debutul ei a atras atenția națională.
decision-making	luarea deciziilor	Luarea deciziilor corecte necesită informații clare.
decisive	decisiv	Acțiunea ei decisivă a prevenit daune suplimentare.
declaration	declarația	Ministrul a citit o declarație oficială.
dedicated	dedicat	Asistenta dedicată a lucrat peste noapte.
dedication	dedicarea	Dedicarea lui i-a inspirat pe jucătorii mai tineri.
deed	fapta	Fapta curajoasă a salvat două vieți.
deem	a considera	Instanța poate considera contractul invalid.
default	implicit	Folosește setarea implicită deocamdată.
defect	defectul	Inspectorii au găsit un defect grav.
defensive	defensiv	Tonul său defensiv i-a surprins pe toți.
deficiency	deficiența	Deficiența de fier poate afecta sănătatea.
deficit	deficitul	Deficitul bugetar i-a îngrijorat pe oficiali.
defy	a sfida	Protestatarii au ales să sfideze interdicția.
delegate	delegatul	Fiecare delegat a primit un card de vot.
delegation	delegația	Delegația a sosit înainte de prânz.
delicate	delicat	Sticla delicată s-a spart ușor.
demon	demonul	Povestea descrie un demon antic.
denial	negarea	Negarea sa a înfuriat victimele.
denounce	a condamna	Liderii condamnă violența în școli.
dense	dens	Pădurea densă a blocat lumina soarelui.
density	densitatea	Densitatea populației este mare în centrul orașului.
dependence	dependența	Dependența țării de petrol a scăzut.
depict	a înfățișa	Pictura murală înfățișează viața din sat.
deploy	a desfășura	Armata va desfășura personal suplimentar.
deployment	desfășurarea	Desfășurarea trupelor a început luni.
deprive	a priva	Lipsa somnului îi poate priva pe studenți de concentrare.
deputy	adjunctul	Adjunctul a semnat acordul.
descend	a coborî	Poteca a început să coboare brusc.
descent	coborârea	Avionul și-a început coborârea.
designate	a desemna	Orașul va desemna un nou parc.
desirable	de dorit	Iluminatul bun este de dorit în sălile de clasă.
desktop	desktopul	Fișierul este pe desktopul meu.
