source_headword	FI	example_FI
incur	aiheuttaa	Viivästykset voivat aiheuttaa lisäkuluja.
indicator	indikaattori	Työttömyys on yksi talouden indikaattori.
indictment	syyte	Syytekirjelmässä lueteltiin kolme syytettä.
indigenous	kotoperäinen	Kotoperäiset kasvit kasvavat täällä hyvin.
induce	aiheuttaa	Lääke voi aiheuttaa uneliaisuutta.
indulge	suoda itselleen	Hän ei salli itselleen kalliita tapoja.
inequality	eriarvoisuus	Tuloerot ovat edelleen merkittävä ongelma.
infamous	surullisenkuuluisa	Vankilasta tuli surullisenkuuluisa maailmanlaajuisesti.
infant	vauva	Vauva nukkui pinnasängyssä.
infect	tartuttaa	Virus voi tartuttaa terveitä soluja.
inflict	aiheuttaa	Älä aiheuta eläimille kipua.
influential	vaikutusvaltainen	Hän on vaikutusvaltainen oikeustieteilijä.
inherent	luontainen	Suunnitteluun liittyy luontaisia riskejä.
inhibit	estää	Pelko voi estää rehellisen keskustelun.
initiate	aloittaa	Johtaja aloittaa tarkastuksen.
inject	pistää	Sairaanhoitaja pistää rokotteen.
injection	pistos	Pistos vähensi kipua.
injustice	epäoikeudenmukaisuus	Päätös paljasti selvän epäoikeudenmukaisuuden.
inmate	vanki	Vanki pyysi oikeudellista neuvontaa.
insertion	lisäys	Lomake vaatii yhden tekstin lisäyksen.
insider	sisäpiiriläinen	Sisäpiiriläinen vuoti raportin.
inspect	tarkastaa	Viranomaiset tarkastavat sillan vuosittain.
inspection	tarkastus	Tarkastuksessa löytyi vakavia vaurioita.
inspiration	inspiraatio	Hänen puheensa antoi minulle inspiraatiota.
instinct	vaisto	Hänen ensimmäinen vaistonsa oli auttaa.
institutional	institutionaalinen	Institutionaaliset säännöt muokkasivat päätöstä.
instruct	ohjeistaa	Käsikirja ohjeistaa uutta henkilökuntaa.
instrumental	ratkaiseva	Hänen neuvonsa olivat ratkaisevia neuvotteluissa.
insufficient	riittämätön	Todisteet olivat riittämättömiä syytteisiin.
insult	loukkaus	Hänen loukkauksensa päätti keskustelun.
intact	ehjä	Muinainen muuri säilyi ehjänä.
intake	saanti	Sokerin saannin tulisi pysyä kohtuullisena.
integral	olennainen	Luottamus on olennainen osa tiimiä.
integrated	integroitu	Koulu tarjoaa integroitua tukea.
integration	integraatio	Integraatio paransi koko järjestelmää.
integrity	rehellisyys	Tuomari osoitti suurta rehellisyyttä.
intensify	voimistua	Myrsky saattaa voimistua yön aikana.
intensity	intensiteetti	Harjoittelun intensiteetti kasvoi.
intensive	intensiivinen	He suorittivat intensiivisen kielikoulutuksen.
intent	aikomus	Hänen aikomustaan oli vaikea todistaa.
interactive	interaktiivinen	Museossa on interaktiivisia näyttelyitä.
interface	käyttöliittymä	Käyttöliittymässä on helppo navigoida.
interfere	puuttua	Älä puutu tutkintaan.
interference	häiriö	Signaalihäiriö keskeytti puhelun.
interim	väliaikainen	Väliaikainen raportti saapuu huomenna.
interior	sisäpuoli	Sisäseinät kaipaavat maalia.
intermediate	keskitasoinen	Hän liittyi keskitason luokalle.
intervene	puuttua asiaan	Poliisin piti puuttua asiaan nopeasti.
intervention	väliintulo	Varhainen väliintulo auttoi potilasta.
intimate	intiimi	He pitivät intiimin perheseremonian.
intriguing	kiehtova	Tiedot paljastivat kiehtovan kuvion.
investigator	tutkija	Tutkija haastatteli jokaista todistajaa.
invisible	näkymätön	Kaasu on näkymätöntä ja vaarallista.
invoke	vedota	Asianajaja yritti vedota ennakkotapaukseen.
involvement	osallisuus	Hänen osallisuutensa jäi epäselväksi.
ironic	ironinen	Ironinen kommentti sai kaikki nauramaan.
ironically	ironisesti	Ironista kyllä, reitti kesti kauemmin.
irony	ironia	Ironia oli ilmeistä kaikille.
