simplified	ES	example_ES	FR	example_FR	DE	example_DE
吧	la partícula de sugerencia; vamos; ¿vale?	Vamos.	la particule de suggestion; allons-y; d'accord ?	Allons-y.	die Vorschlagspartikel; lass uns; doch	Gehen wir.
白	blanco	Esta prenda es blanca.	blanc	Ce vêtement est blanc.	weiß	Dieses Kleidungsstück ist weiß.
百	cien	Este móvil cuesta cien yuanes.	cent	Ce téléphone coûte cent yuans.	hundert	Dieses Handy kostet hundert Yuan.
帮助	ayudar; la ayuda	Por favor, ayúdame.	aider; l'aide	Aidez-moi, s'il vous plaît.	helfen; die Hilfe	Bitte hilf mir.
报纸	el periódico	Papá lee el periódico.	le journal	Papa lit le journal.	die Zeitung	Papa liest die Zeitung.
比	que; comparar	Hoy hace más calor que ayer.	que; comparer	Aujourd'hui, il fait plus chaud qu'hier.	als; vergleichen	Heute ist es heißer als gestern.
别	no; otro	No te vayas.	ne pas; autre	Ne pars pas.	nicht; andere/-r/-s	Geh nicht weg.
长	largo	Este camino es largo.	long	Cette route est longue.	lang	Diese Straße ist lang.
唱歌	cantar	A mi hermana menor le gusta cantar.	chanter	Ma petite sœur aime chanter.	singen	Meine jüngere Schwester singt gern.
出	salir	Él salió.	sortir	Il est sorti.	hinausgehen; herauskommen	Er ist hinausgegangen.
穿	llevar puesto; ponerse	Llevo ropa blanca.	porter; mettre	Je porte des vêtements blancs.	tragen; anziehen	Ich trage weiße Kleidung.
船	el barco; la barca	El barco está en el agua.	le bateau	Le bateau est sur l'eau.	das Boot; das Schiff	Das Boot ist auf dem Wasser.
次	la vez	He estado en Pekín una vez.	la fois	Je suis allé une fois à Pékin.	das Mal	Ich war einmal in Peking.
从	de; desde	Voy de casa a la escuela.	de; depuis	Je vais de la maison à l'école.	von; aus	Ich gehe von zu Hause zur Schule.
错	equivocado; el error	Te equivocas.	faux; l'erreur	Tu as tort.	falsch; der Fehler	Du liegst falsch.
打篮球	jugar al baloncesto	Mi hermano mayor está jugando al baloncesto.	jouer au basket	Mon grand frère joue au basket.	Basketball spielen	Mein älterer Bruder spielt Basketball.
大家	todos; todo el mundo	Todos han venido.	tout le monde	Tout le monde est venu.	alle; jeder	Alle sind gekommen.
但是	pero; sin embargo	Estoy muy ocupado, pero muy contento.	mais; cependant	Je suis très occupé, mais très content.	aber; jedoch	Ich bin sehr beschäftigt, aber sehr froh.
到	llegar a	He llegado a la escuela.	arriver à	Je suis arrivé à l'école.	ankommen; erreichen	Ich bin in der Schule angekommen.
得	la partícula de complemento de grado	Él corre muy rápido.	la particule de complément de degré	Il court très vite.	die Gradkomplement-Partikel	Er läuft sehr schnell.
等	esperar	Te espero.	attendre	Je t'attends.	warten	Ich warte auf dich.
