source_headword	IS	example_IS
fridge	ísskápur	Mjólkin er í ísskápnum.
frog	froskur	Froskur stökk í tjörnina.
furniture	húsgögn	Þessi húsgögn eru gömul en sterk.
further	frekari	Við þurfum frekari upplýsingar.
gallery	gallerí	Galleríið er opið í dag.
gap	bil; skarð	Það er bil í veggnum.
gas	bensín	Bíllinn þarf bensín.
gate	hlið	Lokaðu hliðinu, vinsamlegast.
general	almennur	Þetta er almenn regla.
gift	gjöf	Hún keypti gjöf.
goal	markmið	Markmið okkar er einfalt.
god	Guð	Margir biðja til Guðs.
gold	gull; gullinn	Hringurinn er úr gulli.
golf	golf	Hann spilar golf í dag.
government	ríkisstjórn	Ríkisstjórnin breytti lögunum.
grass	gras	Grasið er blautt.
greet	heilsa	Heilsaðu hverjum gesti kurteislega.
ground	jörð	Sestu á jörðina.
guest	gestur	Gesturinn okkar kom snemma.
guide	leiðsögumaður; leiðarvísir	Leiðsögumaðurinn sýndi okkur safnið.
gun	byssa	Lögreglan fann byssu.
guy	strákur; gaur	Þessi strákur er bróðir minn.
habit	venja	Daglegur lestur er góð venja.
hall	gangur; salur	Bíddu á ganginum.
happily	hamingjusamlega	Þau bjuggu hamingjusamlega saman.
headache	höfuðverkur	Ég er með höfuðverk.
heart	hjarta	Hjarta hennar slær hratt.
heat	hita; hiti	Hitaðu súpuna hægt.
heavy	þungur	Þessi taska er þung.
height	hæð	Mældu hæð borðsins.
helpful	hjálplegur; gagnlegur	Ráð þitt var gagnlegt.
hero	hetja	Hann er hetjan mín.
hers	hennar	Blái frakkinn er hennar.
herself	sjálf	Hún eldaði kvöldmatinn sjálf.
hide	fela	Feldu lykilinn undir kassanum.
hill	hæð; hóll	Við klifruðum upp hæðina.
himself	sjálfur	Hann lagaði það sjálfur.
hit	lemja	Ekki lemja hurðina.
hockey	íshokkí	Við horfðum á íshokkí í gærkvöldi.
hold	halda	Haltu í höndina á mér.
hole	gat	Það er gat á sokknum mínum.
huge	risastór	Herbergið er risastórt.
human	manneskja	Hver manneskja þarf vatn.
hurt	meiða; verkja	Hnéð á mér verkjar.
ideal	fullkominn	Þetta herbergi er fullkomið til náms.
identify	bera kennsl á	Geturðu borið kennsl á þennan fugl?
ill	veikur	Hún er veik í dag.
illness	veikindi	Veikindin stóðu í viku.
image	mynd	Myndin er skýr.
immediately	strax	Komdu hingað strax.
impossible	ómögulegur	Þessi þraut virðist ómöguleg.
included	innifalinn	Morgunmatur er innifalinn.
including	þar á meðal	Tíu manns komu, þar á meðal ég.
increase	aukast	Verð hækkar á sumrin.
incredible	ótrúlegur	Útsýnið var ótrúlegt.
independent	sjálfstæður	Systir mín er sjálfstæð.
individual	einstaklingur; stakur	Hver einstaklingur hefur númer.
industry	iðnaður	Staðbundinn iðnaður er að vaxa.
informal	óformlegur	Þessi tölvupóstur er óformlegur.
injury	meiðsli	Meiðsli hans eru ekki alvarleg.
insect	skordýr	Skordýr lenti á bollanum.
inside	inni	Bíddu inni í húsinu.
instead	í staðinn	Drekktu vatn í staðinn.
instruction	leiðbeining	Lestu hverja leiðbeiningu vandlega.
instructor	kennari; leiðbeinandi	Leiðbeinandinn útskýrði æfinguna.
instrument	hljóðfæri; tæki	Hún spilar á hljóðfæri.
intelligent	gáfaður	Hann er gáfaður nemandi.
international	alþjóðlegur	Þetta er alþjóðlegur flugvöllur.
introduction	kynning; inngangur	Inngangurinn var stuttur.
invent	finna upp	Börn geta fundið upp nýja leiki.
invention	uppfinning	Uppfinningin sparaði tíma.
invitation	boð	Ég fékk boð.
invite	bjóða	Bjóddu vini þínum líka.
involve	fela í sér	Starfið mun fela í sér ferðalög.
item	hlutur	Veldu einn hlut.
itself	sjálft	Vélin slekkur sjálf á sér.
jam	sulta	Settu sultu á brauðið.
jazz	djass	Djass hljómar vel í kvöld.
jewellery	skartgripir	Hún geymir skartgripi í kassa.
joke	brandari	Sagðu mér brandara.
journalist	blaðamaður	Blaðamaðurinn spurði spurninga.
jump	hoppa	Hoppaðu yfir línuna.
kid	barn	Barnið hlær.
kill	drepa	Ekki drepa skordýrið.
king	konungur	Konungurinn bjó í höll.
knee	hné	Hnéð á mér verkjar.
knife	hnífur	Notaðu beittan hníf.
knock	banka	Banka áður en þú kemur inn.
knowledge	þekking	Þekking vex með æfingu.
lab	rannsóknarstofa	Rannsóknarstofan er lokuð.
lady	kona; frú	Konan brosti til okkar.
lake	vatn; stöðuvatn	Vatnið er kyrrt.
lamp	lampi	Kveiktu á lampanum.
laptop	fartölva	Fartölvan mín er ný.
last1 (taking time)	vara	Myndin varir í tvær klukkustundir.
laughter	hlátur	Við heyrðum hlátur úti.
law	lög	Lögin breyttust í gær.
lawyer	lögfræðingur	Lögfræðingurinn hringdi í mig.
lazy	latur	Ekki vera latur.
lead1	leiða	Góðir leiðtogar leiða með fordæmi.
leader	leiðtogi	Hún er leiðtogi liðsins.
learning	nám	Nám tekur tíma.
least	minnstur	Veldu þann ódýrasta.
lecture	fyrirlestur	Fyrirlesturinn byrjar klukkan tíu.
lemon	sítróna	Bættu sítrónu í teið.
lend	lána	Geturðu lánað mér fimm dollara?
less	minna	Borðaðu minna sykur.
level	stig; þrep	Þetta stig er auðvelt.
lifestyle	lífsstíll	Hann hefur heilbrigðan lífsstíl.
lift	lyfta	Lyftu kassanum varlega.
light	kveikja	Kveiktu varlega á kertinu.
light (not heavy)	léttur	Þessi taska er létt.
likely	líklegur	Rigning er líkleg á morgun.
link	tengill	Sendu mér tengilinn.
listener	hlustandi	Vertu góður hlustandi.
lock	læsa	Læstu hurðinni.
lorry	vörubíll	Vörubíllinn flutti kassa.
lost	týndur; villtur	Við erum villt.
loud	hávær	Tónlistin er hávær.
loudly	hátt	Vinsamlegast talaðu ekki hátt.
lovely	dásamlegur	Hvílíkur dásamlegur garður!
low	lágur	Stóllinn er lágur.
luck	heppni	Gangi þér vel í prófinu.
lucky	heppinn	Þú ert heppinn í dag.
mail	póstur	Ég fékk póst í morgun.
major	stór; mikilvægur	Þetta er stórt vandamál.
male	karlkyns	Karlfuglinn er skær.
manage	ráða við; stjórna	Geturðu ráðið við þetta verkefni?
manager	stjóri	Stjórinn er upptekinn.
manner	háttur; framkoma	Talaðu á kurteisan hátt.
mark	merkja	Merktu svarið þitt skýrt.
marry	giftast	Þau munu giftast í júní.
material	efni	Þetta efni er mjúkt viðkomu.
mathematics	stærðfræði	Stærðfræði er uppáhaldsfagið mitt.
maths	stærðfræði	Stærðfræði er erfið fyrir mig.
matter	skipta máli	Það skiptir ekki máli.
may modal	má; mega	Þú mátt fara núna.
media	fjölmiðlar	Fjölmiðlar fjölluðu um söguna.
medical	læknisfræðilegur	Hún þarf læknishjálp.
medicine	lyf	Taktu þetta lyf eftir hádegismat.
memory	minni	Minnið mitt er gott.
mention	nefna	Ekki nefna nafnið mitt.
metal	málmur; úr málmi	Hliðið er úr málmi.
method	aðferð	Þessi aðferð virkar vel.
middle	miðja	Stattu í miðjunni.
might modal	gæti	Það gæti rignt seinna.
mind	hugur; skipta um skoðun	Ég skipti um skoðun.
mine (belongs to me)	minn; mín	Þessi bók er mín.
mirror	spegill	Horfðu í spegilinn.
missing	týndur	Lyklarnir mínir eru týndir.
mobile	farsími	Farsíminn minn er á borðinu.
monkey	api	Apinn klifraði upp í tréð.
moon	tungl	Tunglið er bjart.
mostly	aðallega	Bekkurinn er aðallega rólegur.
motorcycle	mótorhjól	Hann ekur mótorhjóli.
movement	hreyfing	Ég sá hreyfingu í trjánum.
musical	söngleikur; tónlistarlegur	Þetta er tónlistarmynd.
musician	tónlistarmaður	Tónlistarmaðurinn spilaði á gítar.
myself	sjálfur; sjálf	Ég bjó þetta til sjálfur.
narrow	þröngur	Vegurinn er þröngur.
national	þjóðlegur	Þetta er þjóðhátíðardagur.
nature	náttúra	Ég elska náttúruna.
nearly	næstum	Við erum næstum komin.
necessary	nauðsynlegur	Er þetta nauðsynlegt?
neck	háls	Hálsinn á mér verkjar.
neither	hvorugur	Hvorugt svarið er rétt.
nervous	taugaveiklaður	Hún er taugaveikluð.
network	net	Netið liggur niðri.
noise	hávaði	Ég heyrði mikinn hávaða.
noisy	hávær	Gatan er hávær.
none	enginn	Enginn þeirra kom.
normal	eðlilegur	Þetta er eðlilegt.
normally	venjulega	Ég vakna venjulega snemma.
notice	taka eftir	Tókstu eftir skiltinu?
novel	skáldsaga	Hún skrifaði skáldsögu.
nowhere	hvergi	Það er hvergi hægt að sitja.
nut	hneta	Hnetan er hörð.
ocean	haf	Hafið er djúpt.
offer	tilboð	Ég tók tilboðinu.
officer	lögreglumaður; embættismaður	Lögreglumaðurinn skoðaði miðann minn.
oil	olía	Bættu olíu á pönnuna.
onto	upp á	Settu það upp á hilluna.
opportunity	tækifæri	Þetta er gott tækifæri.
option	valkostur	Veldu besta valkostinn.
ordinary	venjulegur	Þetta var venjulegur dagur.
organization	samtök	Samtökin hjálpa nemendum.
organize	skipuleggja	Vinsamlegast skipuleggðu skrárnar.
original	upprunalegur; frumrit	Geymdu upprunalega kvittunina.
ourselves	sjálf	Við elduðum kvöldmatinn sjálf.
oven	ofn	Ofninn er heitur.
owner	eigandi	Eigandinn opnaði búðina.
pack	pakka	Pakkaðu töskunni þinni núna.
pain	verkur	Ég finn verk í bakinu.
painter	málari	Málarinn kláraði vegginn.
palace	höll	Höllin er gömul.
pants	buxur	Þessar buxur eru of langar.
parking	bílastæði	Það er erfitt að finna bílastæði hér.
particular	sérstakur	Ég þarf sérstaka bók.
pass	rétta	Réttu mér saltið.
passenger	farþegi	Hver farþegi þarf miða.
patient	þolinmóður	Vertu þolinmóður við börn.
pattern	mynstur	Þetta mynstur er einfalt.
peace	friður	Við viljum öll frið.
penny	peningur; smámynt	Ég fann smámynt.
