source_headword	ES	example_ES
absolutely	absolutamente	Estoy absolutamente de acuerdo contigo.
academic	académico	El año académico empieza en septiembre.
access	el acceso	Los estudiantes necesitan acceso a la biblioteca.
accommodation	el alojamiento	Reservamos alojamiento cerca de la estación.
account	la cuenta	Ella abrió una nueva cuenta bancaria.
achievement	el logro	Terminar el curso fue un gran logro.
ad	el anuncio	El anuncio mostró un teléfono nuevo.
addition	la adición	La piscina es una adición útil.
admire	admirar	Admiro su actitud tranquila.
admit	admitir	Él admitió su error.
advanced	avanzado	Esta es una clase avanzada de inglés.
advise	aconsejar	Los médicos aconsejan hacer ejercicio regularmente.
afford	poder pagar	No podemos pagar un taxi.
aged	de edad	El curso es para niños de diez años.
agent	el agente	El agente de viajes cambió nuestros boletos.
agreement	el acuerdo	Llegaron a un acuerdo hoy.
ahead	adelante	El camino adelante está despejado.
aim	tener como objetivo	Nuestro objetivo es terminar pronto.
alarm	la alarma	La alarma sonó a las seis.
album	el álbum	Este álbum tiene diez canciones.
alcohol	el alcohol	El hotel no sirve alcohol.
alcoholic	alcohólico	Esta bebida no es alcohólica.
amazed	asombrado	Ella quedó asombrada por el resultado.
ambition	la ambición	Su ambición es convertirse en piloto.
ambitious	ambicioso	Ella tiene un plan ambicioso.
analyse	analizar	Necesitamos analizar los resultados.
analysis	el análisis	Su análisis fue claro y cuidadoso.
announce	anunciar	Anunciarán al ganador mañana.
announcement	el anuncio	El anuncio sorprendió a todos.
annoy	molestar	La música fuerte puede molestar a los vecinos.
annoyed	molesto	Él parecía molesto después del retraso.
annoying	molesto	Ese sonido es realmente molesto.
apart	separados	Las casas están a dos metros de distancia.
apologize	disculparse	Me disculpo por llegar tarde.
application	la solicitud	Por favor completa la solicitud en línea.
appointment	la cita	Tengo una cita con el dentista mañana.
appreciate	agradecer	Agradezco tu ayuda.
approximately	aproximadamente	La caminata toma aproximadamente veinte minutos.
arrest	arrestar	La policía arrestó al conductor.
arrival	la llegada	Nuestra llegada fue más tarde de lo esperado.
assignment	la tarea	La tarea vence el viernes.
assist	asistir	Las enfermeras asisten al médico.
atmosphere	el ambiente	El café tiene un ambiente relajado.
attach	adjuntar	Adjunta el archivo a tu correo.
attitude	la actitud	Su actitud cambió después de la reunión.
attract	atraer	Las flores brillantes atraen a las abejas.
attraction	la atracción	El castillo es una atracción popular.
authority	la autoridad	La autoridad local reparó la carretera.
aware	consciente	Ella es consciente del riesgo.
backwards	hacia atrás	Él caminó hacia atrás con cuidado.
bake	hornear	Horneo pan cada domingo.
balance	el equilibrio	Los buenos zapatos ayudan a tu equilibrio.
ban	prohibir	La ciudad prohibirá los coches.
bank (river)	la orilla	Nos sentamos en la orilla del río.
base	la base	El equipo regresó a la base.
basic	básico	Todos necesitan habilidades básicas de computadora.
basis	la base	La confianza es la base de la amistad.
battery	la batería	La batería de mi teléfono está baja.
battle	la batalla	La batalla duró toda la noche.
beauty	la belleza	Admiramos la belleza de las montañas.
bee	la abeja	Una abeja se posó en la flor.
belief	la creencia	Su creencia le dio valor.
bell	la campana	La campana de la escuela sonó fuerte.
bend	doblar	Dobla las rodillas al levantar.
bite	morder	El perro podría morder a extraños.
block	bloquear	Un árbol caído bloqueó la carretera.
bomb	la bomba	La bomba dañó varios edificios.
border	la frontera	Cruzaron la frontera de noche.
bother	molestar	Por favor no molestes a tu hermana.
branch	la rama	Una rama se rompió en la tormenta.
brand	la marca	Esta marca es popular entre estudiantes.
brave	valiente	El hombre valiente salvó al niño.
breath	el aliento	Toma un aliento profundo.
breathe	respirar	No puedo respirar con este humo.
breathing	la respiración	Su respiración era lenta.
bride	la novia	La novia llevaba un vestido blanco.
bubble	la burbuja	Una burbuja flotó sobre el vaso.
bury	enterrar	Enterraron la caja en la arena.
calm	tranquilo	Mantén la calma durante el examen.
campaign	la campaña	La campaña recaudó dinero para escuelas.
campus	el campus	Los estudiantes viven cerca del campus.
candidate	el candidato	Cada candidato respondió tres preguntas.
cap	la gorra	Él llevaba una gorra de béisbol.
captain	el capitán	El capitán habló con el equipo.
careless	descuidado	Un error descuidado nos costó tiempo.
category	la categoría	Elige la categoría correcta.
ceiling	el techo	El techo fue pintado de blanco.
celebration	la celebración	La celebración duró toda la noche.
central	central	El hotel tiene una ubicación central.
ceremony	la ceremonia	La ceremonia comenzó al mediodía.
chain	la cadena	Ella llevaba una cadena de plata.
challenge	el desafío	Este proyecto es un verdadero desafío.
champion	el campeón	La campeona agradeció a su entrenadora.
channel	el canal	Cambia el canal, por favor.
chapter	el capítulo	Lee el próximo capítulo esta noche.
charge	el cargo	No hay cargo para los niños.
cheat	hacer trampa	No hagas trampa en el examen.
cheerful	alegre	Ella sonó alegre esta mañana.
chemical	químico	El olor químico era fuerte.
chest	el pecho	Le dolía el pecho después de correr.
childhood	la infancia	Recuerdo mi casa de la infancia.
claim	afirmar	Afirman que el producto es seguro.
clause	la cláusula	Esta cláusula cambia el significado.
click	hacer clic	Haz clic en el botón azul.
client	el cliente	El cliente pidió más detalles.
cloth	el paño	Limpia la mesa con este paño.
clue	la pista	La pista nos ayudó a resolverlo.
coal	el carbón	El tren antiguo usaba carbón.
coin	la moneda	Él encontró una moneda en el suelo.
collection	la colección	Su colección de sellos es grande.
coloured	de color	Ella llevaba una bufanda de color.
combine	combinar	Combina la harina y el agua.
commercial	comercial	La pausa comercial duró cinco minutos.
commit	comprometerse	Debemos comprometernos con el plan.
communication	la comunicación	La buena comunicación evita errores.
comparison	la comparación	Esta comparación es útil.
competitive	competitivo	El mercado es muy competitivo.
competitor	el competidor	Nuestro principal competidor bajó los precios.
complaint	la queja	Ella presentó una queja por el ruido.
complex	complejo	Las instrucciones son demasiado complejas.
concentrate	concentrarse	No puedo concentrarme con música.
conclude	concluir	Concluimos la reunión ahora.
conclusion	la conclusión	Su conclusión parecía razonable.
confident	seguro	Ella se sintió segura antes de la entrevista.
confirm	confirmar	Por favor confirma tu dirección de correo.
confuse	confundir	Estos dos nombres me confunden.
confused	confundido	Me sentí confundido por el mapa.
connection	la conexión	La conexión a internet es lenta.
consequence	la consecuencia	Dormir poco tiene una consecuencia.
consist	consistir	La comida consta de tres platos.
consume	consumir	Los coches grandes consumen más combustible.
consumer	el consumidor	El consumidor quiere información clara.
contact	el contacto	Contáctame después del almuerzo.
container	el recipiente	Pon la sopa en un recipiente.
content1	el contenido	El contenido del curso es útil.
continuous	continuo	La máquina hacía un ruido continuo.
contrast	el contraste	El contraste entre ellos es claro.
convenient	conveniente	La estación es muy conveniente.
convince	convencer	Ella lo convenció de intentarlo otra vez.
costume	el disfraz	Él llevaba un disfraz de pirata.
cottage	la casa de campo	Alquilaron una pequeña casa de campo.
cotton	el algodón	Esta camisa está hecha de algodón.
countryside	el campo	Caminamos por el campo.
court	el tribunal	El caso llegó al tribunal.
covered	cubierto	La mesa estaba cubierta de papeles.
cruel	cruel	Fue cruel reírse.
cultural	cultural	El museo ofrece eventos culturales.
currency	la moneda	La moneda local es el euro.
current	actual	La situación actual es difícil.
currently	actualmente	Ella actualmente estudia en el extranjero.
curtain	la cortina	Cierra la cortina por la noche.
custom	la costumbre	Esta costumbre es muy antigua.
damage	el daño	La tormenta causó daños graves.
decade	la década	Vivieron allí durante una década.
decorate	decorar	Decoramos la habitación juntos.
define	definir	¿Puedes definir este término?
definite	definido	Necesitamos una respuesta definida.
definition	la definición	Escribe la definición en tu cuaderno.
deliver	entregar	Entregan comida a nuestra casa.
departure	la salida	La hora de salida cambió.
