source_headword	TL	example_TL
incur	magkaroon	Ang mga pagkaantala ay maaaring magkaroon ng dagdag na gastos.
indicator	tagapagpahiwatig	Ang kawalan ng trabaho ay isang pang-ekonomiyang tagapagpahiwatig.
indictment	sakdal	Ang sakdal ay naglista ng tatlong kaso.
indigenous	katutubo	Mahusay tumubo rito ang mga katutubong halaman.
induce	magdulot	Ang gamot ay maaaring magdulot ng antok.
indulge	pagbigyan	Hindi niya pinagbibigyan ang mga mamahaling gawi.
inequality	hindi pagkakapantay-pantay	Ang hindi pagkakapantay-pantay sa kita ay nananatiling isang malaking isyu.
infamous	kilabot	Naging kilabot sa buong mundo ang kulungan.
infant	sanggol	Natulog ang sanggol sa kuna.
infect	makahawa	Maaaring makahawa ang virus sa malulusog na selula.
inflict	manakit	Huwag manakit ng mga hayop.
influential	maimpluwensya	Siya ay isang maimpluwensyang iskolar sa batas.
inherent	likas	Ang disenyo ay may mga likas na panganib.
inhibit	pigilan	Maaaring pigilan ng takot ang tapat na talakayan.
initiate	simulan	Sisimulan ng tagapamahala ang pagsusuri.
inject	magturok	Ituturok ng nars ang bakuna.
injection	iniksyon	Nabawasan ang sakit dahil sa iniksyon.
injustice	kawalan ng katarungan	Ibinunyag ng desisyon ang malinaw na kawalan ng katarungan.
inmate	bilanggo	Humingi ng legal na payo ang bilanggo.
insertion	pagpasok	Kailangan ng form ng isang pagpasok ng teksto.
insider	tagaloob	May nag-leak na tagaloob sa ulat.
inspect	suriin	Taunang sinusuri ng mga opisyal ang tulay.
inspection	inspeksyon	Nakakita ng malubhang pinsala ang inspeksyon.
inspiration	inspirasyon	Nagbigay sa akin ng inspirasyon ang kanyang talumpati.
instinct	instinct	Ang una niyang instinct ay tumulong.
institutional	institusyonal	Hinubog ng mga institusyonal na panuntunan ang desisyon.
instruct	turuan	Tuturuan ng manwal ang mga bagong tauhan.
instrumental	mahalaga	Naging mahalaga ang kanyang payo sa mga negosasyon.
insufficient	hindi sapat	Hindi sapat ang ebidensya para sa mga kaso.
insult	pang-iinsulto	Tinapos ng kanyang pang-iinsulto ang pag-uusap.
intact	buo	Nananatiling buo ang sinaunang pader.
intake	pag-inom	Ang pag-inom ng asukal ay dapat na katamtaman.
integral	mahalaga	Mahalaga ang tiwala sa koponan.
integrated	pinagsama	Nag-aalok ang paaralan ng pinagsamang suporta.
integration	integrasyon	Pinabuti ng integrasyon ang buong sistema.
integrity	integridad	Nagpakita ng malaking integridad ang hukom.
intensify	tumindi	Maaaring tumindi ang bagyo sa gabi.
intensity	tindi	Tumaas ang tindi ng pagsasanay.
intensive	masinsinan	Nakatapos sila ng masinsinang pagsasanay sa wika.
intent	layunin	Mahirap patunayan ang kanyang layunin.
interactive	interactive	Ang museo ay may mga interactive na display.
interface	interface	Madaling gamitin ang interface.
interfere	manghimasok	Huwag manghimasok sa imbestigasyon.
interference	panghihimasok	Naantala ng panghihimasok ng signal ang tawag.
interim	pansamantala	Darating bukas ang pansamantalang ulat.
interior	loob	Kailangang pinturahan ang mga dingding sa loob.
intermediate	intermediate	Sumali siya sa intermediate class.
intervene	mamagitan	Kailangang mabilis na mamagitan ng mga pulis.
intervention	interbensyon	Nakatulong sa pasyente ang maagang interbensyon.
intimate	matalik	Nagsagawa sila ng matalik na seremonya ng pamilya.
intriguing	nakakaintriga	Ang data ay nagpakita ng nakakaintrigang pattern.
investigator	imbestigador	Kinausap ng imbestigador ang bawat saksi.
invisible	hindi nakikita	Ang gas ay hindi nakikita at mapanganib.
invoke	gamitin	Sinubukan ng abogado na gamitin ang nakaraan.
involvement	pagkakasangkot	Nananatiling hindi malinaw ang kanyang pagkakasangkot.
ironic	mapang-uyam	Nagpatawa sa lahat ang mapang-uyam na komento.
ironically	kakatwa	Kakatwa, mas matagal ang ruta.
irony	kabalintunaan	Malinaw sa lahat ang kabalintunaan.
irrelevant	hindi nauugnay	Ang detalyeng iyon ay hindi nauugnay rito.
isolation	paghihiwalay	Ang paghihiwalay ay maaaring makasama sa kalusugan ng isip.
judicial	hudisyal	Magsisimula sa Lunes ang hudisyal na pagsusuri.
junction	kanto	Kumaliwa sa kanto.
jurisdiction	hurisdiksyon	May limitadong hurisdiksyon ang korte.
just	makatarungan	Gumawa ang hukom ng makatarungang desisyon.
justification	katwiran	Kailangan natin ng malinaw na katwiran sa paggastos.
kidnap	kumidnap	Sinubukan ng mga kriminal na kumidnap sa diplomatiko.
kidney	bato	Bumuti ang paggana ng kanyang bato.
kingdom	kaharian	Lumawak ang kaharian sa ilalim ng kanyang pamumuno.
lad	binatilyo	Binuhat ng batang binatilyo ang mga bag.
landlord	kasero	Inayos ng kasero ang pampainit.
landmark	palatandaan	Ang tore ay naging palatandaan ng lungsod.
lap	kandungan	Umupo ang bata sa kanyang kandungan.
large-scale	malawakan	Nagplano ang lungsod ng mga malawakang pagkukumpuni.
laser	laser	Sinukat ng laser ang distansya.
latter	huli	Ang huling opsyon ay mukhang mas ligtas.
lawn	damuhan	Naglaro ang mga bata sa damuhan.
lawsuit	demanda	Inayos ng kumpanya ang demanda.
layout	layout	Mukhang mas malinaw ang layout ng pahina.
leak	tagas	Binaha ng tagas sa tubo ang kusina.
leap	paglundag	Gumawa ng biglaang paglundag ang mga benta.
legacy	pamana	Hinubog ng kanyang pamana ang unibersidad.
legendary	maalamat	Bumalik sa entablado ang maalamat na mang-aawit.
legislation	batas	Pinoprotektahan ng bagong batas ang mga nangungupahan.
legislative	lehislatibo	Nagpulong ngayon ang lehislatibong komite.
legislature	lehislatura	Inaprubahan ng lehislatura ang badyet.
legitimate	lehitimo	Naglabas sila ng mga lehitimong alalahanin.
lengthy	mahaba	Naantala ng mahabang debate ang pagboto.
lesbian	lesbiyana	Nagsalita ang lesbiyanang aktibista sa forum.
lesser	mas mababa	Piliin ang mas mababang panganib.
lethal	nakakamatay	Maaaring nakakamatay ang kemikal.
liable	mananagot	Ang mga driver ay mananagot sa mga pinsala.
liberal	liberal	Sinusuportahan niya ang mga liberal na patakarang panlipunan.
liberation	pagpapalaya	Binago ng pagpapalaya ang kinabukasan ng bansa.
liberty	kalayaan	Pinoprotektahan ng batas ang personal na kalayaan.
license	lisensyahan	Maaaring lisensyahan ng estado ang mga bagong klinika.
lifelong	panghabambuhay	Nakipagkaibigan siya doon ng panghabambuhay.
likelihood	posibilidad	Tumaas ang posibilidad ng pag-ulan.
limb	paa o kamay	Dahan-dahang gumaling ang napinsalang paa o kamay.
linear	tuwid	Nagpapakita ang tsart ng tuwid na takbo.
line-up	listahan	Ang listahan ng pagdiriwang ay may mga lokal na banda.
linger	magtagal	Maaaring magtagal ang amoy nang ilang oras.
listing	listahan	Mukhang tumpak ang listahan ng apartment.
literacy	literasiya	Lumawak ang mga programa sa literasiya ng mga nasa hustong gulang.
liver	atay	Sinasala ng atay ang mga mapaminsalang sangkap.
lobby	lobby	Puno ng tao ang lobby pagkalipas ng tanghali.
log	log	Nagtatago ang system ng isang pang-araw-araw na log.
logic	lohika	Nabigo ang lohika ng kanyang argumento.
long-standing	matagal na	Niresolba nila ang isang matagal nang alitan.
long-time	matagal nang	Siya ay isang matagal nang boluntaryo.
loom	magbanta	Nagbabanta ang madidilim na ulap sa lambak.
loop	loop	Bumubuo ng isang loop ang trail.
loyalty	katapatan	Pinahanga ng kanyang katapatan ang koponan.
machinery	makinarya	Nag-install ng bagong makinarya ang pabrika.
magical	mahiwaga	Mukhang mahiwaga ang hardin sa gabi.
magistrate	mahistrado	Dininig ng mahistrado ang kaso.
magnetic	magnetic	Naapektuhan ng magnetic field ang compass.
magnitude	tindi	Malinaw ang tindi ng pinsala.
mainland	mainland	Ikinokonekta ng ferry ang mga isla sa mainland.
mainstream	mainstream	Pumasok ang ideya sa mainstream na pulitika.
maintenance	pagpapanatili	Pinipigilan ng regular na pagpapanatili ang mga pagkasira.
