source_headword	BN	example_BN
ability	ক্ষমতা; দক্ষতা	তার সাঁতারের দক্ষতা স্পষ্ট.
able	সক্ষম	সে আজ আসতে পারে.
abroad	বিদেশে	সে বিদেশে পড়তে চায়.
accept	গ্রহণ করা	দয়া করে এই ছোট উপহারটি গ্রহণ করুন.
accident	দুর্ঘটনা	দুর্ঘটনাটি স্কুলের কাছে ঘটেছে.
according to	অনুযায়ী	রিপোর্ট অনুযায়ী বৃষ্টি আসছে.
achieve	অর্জন করা	তুমি তোমার লক্ষ্য অর্জন করতে পারো.
act	অভিনয় করা; কাজ	সে নাটকে অভিনয় করতে পারে.
active	সক্রিয়	সে প্রতিদিন সক্রিয় থাকে.
actually	আসলে	আসলে আমার আরও সময় দরকার.
advantage	সুবিধা	এই পরিকল্পনার একটি সুবিধা আছে.
adventure	অভিযান; রোমাঞ্চ	তাদের ভ্রমণ ছিল এক রোমাঞ্চ.
advertise	বিজ্ঞাপন দেওয়া	তারা নতুন চাকরির বিজ্ঞাপন দেয়.
advertisement	বিজ্ঞাপন	আমি একটি বিজ্ঞাপন দেখেছি.
advertising	বিজ্ঞাপন	বিজ্ঞাপন খাবার বিক্রি করতে সাহায্য করে.
affect	প্রভাবিত করা	ঘুম তোমার স্বাস্থ্যকে প্রভাবিত করতে পারে.
against	বিরুদ্ধে; ঠেস দিয়ে	দেয়ালের গায়ে ঠেস দিও না.
ah	আহ	আহ, এখন আমি বুঝেছি.
airline	বিমান সংস্থা	বিমান সংস্থাটি খুব ব্যস্ত.
alive	জীবিত	ছোট মাছটি জীবিত.
all right	ঠিক আছে	এখন সবকিছু ঠিক আছে.
allow	অনুমতি দেওয়া	তারা এখানে কুকুরের অনুমতি দেয়.
almost	প্রায়	আমরা প্রায় প্রস্তুত.
alone	একা	সে একা থাকে.
along	বরাবর	এই রাস্তা বরাবর হাঁটো.
already	ইতিমধ্যে	আমি ইতিমধ্যে উত্তর জানি.
alternative	বিকল্প	এই ট্রেনটি একটি বিকল্প.
although	যদিও	যদিও দেরি হয়েছে, আমরা থাকতে পারি.
among	মধ্যে	সে গাছগুলোর মধ্যে দাঁড়িয়েছিল.
amount	পরিমাণ; টাকা	টাকার পরিমাণ খুব কম.
ancient	প্রাচীন	এই প্রাচীন দেয়ালটি বিখ্যাত.
ankle	গোড়ালি	আজ আমার গোড়ালি ব্যথা করছে.
anybody	যে কেউ	কেউ কি এর উত্তর দিতে পারে?
any more	আর	আমার আর দরকার নেই.
anyway	যাই হোক	যাই হোক, আমরা এখন শুরু করতে পারি.
anywhere	যে কোথাও	তুমি যেখানে খুশি বসো.
app	অ্যাপ	এই অ্যাপটি উপকারী.
appear	দেখা দেওয়া	তার নাম এখানে দেখা দেবে.
appearance	চেহারা	তার চেহারা আলাদা.
apply	আবেদন করা; প্রয়োগ করা	আজ চাকরির জন্য আবেদন করো.
architect	স্থপতি	স্থপতির একটি পরিকল্পনা আছে.
architecture	স্থাপত্য	আমি আধুনিক স্থাপত্য পছন্দ করি.
argue	তর্ক করা	তোমার বোনের সঙ্গে তর্ক করো না.
argument	তর্ক	তর্কটি ছোট ছিল.
army	সেনাবাহিনী	সেনাবাহিনী বড়.
arrange	ব্যবস্থা করা	দয়া করে সভার ব্যবস্থা করো.
arrangement	ব্যবস্থা	ব্যবস্থাটি ভালো কাজ করে.
asleep	ঘুমিয়ে	শিশুটি ঘুমিয়ে আছে.
assistant	সহকারী	সহকারী আমাকে সাহায্য করেছে.
athlete	ক্রীড়াবিদ	ক্রীড়াবিদ দ্রুত দৌড়ায়.
attack	আক্রমণ; আক্রমণ করা	কুকুরটি আক্রমণ করতে পারে.
attend	উপস্থিত থাকা	আমি আজ ক্লাসে উপস্থিত থাকি.
attention	মনোযোগ	দয়া করে এখন মনোযোগ দাও.
attractive	আকর্ষণীয়	বাগানটি আকর্ষণীয়.
audience	দর্শক	দর্শকরা চুপ ছিল.
author	লেখক	লেখক এই বইটি লিখেছেন.
available	উপলব্ধ	খাবার এখন উপলব্ধ.
average	গড়	গড় নম্বর ভালো ছিল.
avoid	এড়ানো	ব্যস্ত রাস্তা এড়াও.
award	পুরস্কার	সে একটি পুরস্কার জিতেছে.
awful	ভয়ানক	আবহাওয়া ভয়ানক ছিল.
background	পটভূমি	ছবিটির পটভূমি গাঢ়.
badly	খারাপভাবে	সে আজ খারাপভাবে খেলেছে.
bar	বার	আমরা হোটেলের বারে দেখা করেছি.
baseball	বেসবল	বেসবল এখানে জনপ্রিয়.
based	ভিত্তিক	ফিল্মটি একটি বইয়ের ওপর ভিত্তিক.
basketball	বাস্কেটবল	আমরা স্কুলের পরে বাস্কেটবল খেলি.
bean	শিম	এই শিমটি সবুজ.
bear (animal)	ভালুক	ভালুক বনে থাকে.
beat	হারানো; মারা	আমাদের দল তাদের হারাতে পারে.
beef	গরুর মাংস	আমি রাতের খাবারে গরুর মাংস খেয়েছি.
behave	আচরণ করা	দয়া করে ক্লাসে ভালো আচরণ করো.
behaviour	আচরণ	তার আচরণ ভদ্র ছিল.
belong	কারও হওয়া	এই জুতাগুলো আমার.
belt	বেল্ট	তার বেল্ট কালো.
benefit	লাভ	ব্যায়ামের সত্যিকারের লাভ আছে.
billion	শত কোটি	শত কোটি একটি বিশাল সংখ্যা.
bin	আবর্জনার পাত্র	কাগজটি আবর্জনার পাত্রে রাখো.
biology	জীববিজ্ঞান	জীববিজ্ঞান আমার সেরা ক্লাস.
