source_headword	TR	example_TR
ability	yetenek; beceri	Onun yüzme yeteneği açık.
able	yapabilen; gücü yeten	O bugün gelebilir.
abroad	yurt dışında; yurt dışına	Yurt dışında okumak istiyor.
accept	kabul etmek	Lütfen bu küçük hediyeyi kabul et.
accident	kaza	Kaza okulun yakınında oldu.
according to	-e göre	Rapora göre yağmur geliyor.
achieve	başarmak	Hedefine ulaşabilirsin.
act	rol yapmak; davranmak	Bir oyunda rol yapabilir.
active	aktif; hareketli	O her gün aktif.
actually	aslında	Aslında daha fazla zamana ihtiyacım var.
advantage	avantaj	Bu planın bir avantajı var.
adventure	macera	Onların gezisi bir maceraydı.
advertise	reklamını yapmak	Yeni işi duyuruyorlar.
advertisement	reklam	Bir reklam gördüm.
advertising	reklamcılık	Reklamcılık yiyecek satmaya yardım eder.
affect	etkilemek	Uyku sağlığını etkileyebilir.
against	karşı; dayanarak	Duvara yaslanma.
ah	ah	Ah, şimdi anlıyorum.
airline	hava yolu	Hava yolu çok yoğun.
alive	canlı	Küçük balık canlı.
all right	iyi; tamam	Şimdi her şey iyi.
allow	izin vermek	Burada köpeklere izin veriyorlar.
almost	neredeyse	Neredeyse hazırız.
alone	yalnız	O yalnız yaşıyor.
along	boyunca	Bu yol boyunca yürü.
already	zaten	Cevabı zaten biliyorum.
alternative	alternatif	Bu tren bir alternatif.
although	-e rağmen	Geç olmasına rağmen kalabiliriz.
among	arasında	Ağaçların arasında durdu.
amount	miktar	Miktar çok küçük.
ancient	eski; antik	Bu antik duvar ünlü.
ankle	ayak bileği	Bugün ayak bileğim ağrıyor.
anybody	herhangi biri; kimse	Buna kimse cevap verebilir mi?
any more	artık; daha fazla	Artık daha fazlasına ihtiyacım yok.
anyway	yine de; her neyse	Yine de şimdi başlayabiliriz.
anywhere	herhangi bir yerde	İstediğin yere otur.
app	uygulama	Bu uygulama yararlı.
appear	görünmek	Onun adı burada görünecek.
appearance	görünüş	Onun görünüşü farklı.
apply	başvurmak	Bugün işe başvur.
architect	mimar	Mimarın bir planı var.
architecture	mimarlık	Modern mimarlığı severim.
argue	tartışmak	Kız kardeşinle tartışma.
argument	tartışma	Tartışma kısa sürdü.
army	ordu	Ordu büyük.
arrange	düzenlemek; ayarlamak	Lütfen toplantıyı ayarla.
arrangement	düzenleme; anlaşma	Bu düzenleme iyi çalışıyor.
asleep	uykuda	Bebek uykuda.
assistant	asistan; yardımcı	Asistan bana yardım etti.
athlete	sporcu	Sporcu hızlı koşar.
attack	saldırmak	Köpek saldırabilir.
attend	katılmak; devam etmek	Bugün derse katılıyorum.
attention	dikkat	Lütfen şimdi dikkat et.
attractive	çekici	Bahçe çekici.
audience	seyirci; izleyici	Seyirciler sessizdi.
author	yazar	Yazar bu kitabı yazdı.
available	mevcut; kullanılabilir	Yiyecek şimdi mevcut.
average	ortalama	Ortalama puan iyiydi.
avoid	kaçınmak	Yoğun yoldan kaçın.
award	ödül	O bir ödül kazandı.
awful	berbat; korkunç	Hava berbat.
background	arka plan	Resmin koyu bir arka planı var.
badly	kötü	O bugün kötü oynadı.
bar	bar	Otel barında buluştuk.
baseball	beyzbol	Beyzbol burada popüler.
based	dayalı	Film bir kitaba dayalı.
