source_headword	KM	example_KM
abandon	បោះបង់	ម្សិលមិញពួកគេបានបោះបង់ផែនការ.
absolute	ដាច់ខាត	នៅទីនេះត្រូវការភាពស្មោះត្រង់ដាច់ខាត.
acceptable	អាចទទួលយកបាន	ដំណោះស្រាយនេះអាចទទួលយកបាន.
accompany	អមដំណើរ	តន្ត្រីបានអមឈុតទាំងមូល.
accurate	ត្រឹមត្រូវ	របាយការណ៍ត្រូវតែត្រឹមត្រូវ.
accuse	ចោទប្រកាន់	នាងមិនចង់ចោទប្រកាន់គាត់ដោយគ្មានភស្តុតាងទេ.
acknowledge	ទទួលស្គាល់	គាត់បានទទួលស្គាល់បញ្ហាដោយច្បាស់.
acquire	ទទួលបាន	នាងបានទទួលជំនាញថ្មីយ៉ាងលឿន.
actual	ពិតប្រាកដ	តម្លៃពិតប្រាកដខ្ពស់ជាងការរំពឹងទុក.
adapt	សម្របខ្លួន	ក្រុមបានសម្របខ្លួនទៅនឹងច្បាប់ថ្មី.
additional	បន្ថែម	យើងត្រូវការព័ត៌មានបន្ថែម.
administration	រដ្ឋបាល	រដ្ឋបាលបានបញ្ជូនសេចក្តីជូនដំណឹង.
adopt	ទទួលយក	សាលាបានទទួលយកគោលនយោបាយថ្មី.
advance	ជំរុញទៅមុខ	ការស្រាវជ្រាវបានជំរុញគម្រោងទៅមុខ.
affair	កិច្ចការ	នេះជាកិច្ចការឯកជនរបស់គ្រួសារ.
afterwards	បន្ទាប់មក	ពួកគេបានជួបគ្នាម្តងទៀតបន្ទាប់មក.
agency	ភ្នាក់ងារ	ភ្នាក់ងារបានរៀបចំដំណើរកម្សាន្ត.
agenda	របៀបវារៈ	របៀបវារៈមានចំណុចសំខាន់ប្រាំ.
aggressive	ឈ្លានពាន	សំឡេងរបស់គាត់ស្តាប់ទៅឈ្លានពាន.
aid	ជំនួយ	ភូមិនោះទទួលបានជំនួយបន្ទាន់.
aircraft	យន្តហោះ	យន្តហោះបានចុះចតយឺត.
alter	ផ្លាស់ប្តូរ	ការសម្រេចចិត្តនេះអាចផ្លាស់ប្តូរផែនការ.
anger	កំហឹង	កំហឹងរបស់នាងថយចុះបន្តិចម្តង.
angle	មុំ	ថតរូបពីមុំនេះល្អជាង.
anniversary	ខួប	ពួកគេបានប្រារព្ធខួបទីដប់.
annual	ប្រចាំឆ្នាំ	របាយការណ៍ប្រចាំឆ្នាំចេញនៅខែមិថុនា.
anxious	ព្រួយបារម្ភ	គាត់ព្រួយបារម្ភអំពីលទ្ធផល.
apparent	ជាក់ស្តែង	មូលហេតុជាក់ស្តែងគឺការខ្វះពេល.
apparently	តាមមើលទៅ	តាមមើលទៅនាងមិនបានឮសំណួរទេ.
appeal	ទាក់ទាញ	គំនិតនេះទាក់ទាញសិស្សជាច្រើន.
approach	វិធីសាស្រ្ត	វិធីសាស្រ្តថ្មីនេះមានប្រសិទ្ធភាព.
appropriate	សមរម្យ	សម្លៀកបំពាក់នេះសមរម្យសម្រាប់ពិធី.
approval	ការយល់ព្រម	គម្រោងត្រូវការការយល់ព្រមជាមុន.
approve	យល់ព្រម	គណៈកម្មាធិការបានយល់ព្រមលើផែនការ.
arise	កើតឡើង	បញ្ហាថ្មីអាចកើតឡើងពេលក្រោយ.
armed	ប្រដាប់អាវុធ	ប៉ូលិសបានឃើញបុរសប្រដាប់អាវុធ.
arms	អាវុធ	ប្រទេសនោះបានកាត់បន្ថយការទិញអាវុធ.
artificial	សិប្បនិម្មិត	ពន្លឺសិប្បនិម្មិតធ្វើឱ្យបន្ទប់ភ្លឺ.
artistic	សិល្បៈ	ការរចនានេះមានអារម្មណ៍សិល្បៈខ្លាំង.
ashamed	ខ្មាស់អៀន	គាត់ខ្មាស់អៀនចំពោះកំហុសរបស់ខ្លួន.
aspect	ទិដ្ឋភាព	យើងពិភាក្សាទិដ្ឋភាពសំខាន់មួយ.
assess	វាយតម្លៃ	គ្រូបានវាយតម្លៃការងាររបស់សិស្ស.
assessment	ការវាយតម្លៃ	ការវាយតម្លៃនឹងចាប់ផ្តើមសប្តាហ៍ក្រោយ.
associate	ភ្ជាប់	មនុស្សជាច្រើនភ្ជាប់ក្លិននេះជាមួយផ្ទះ.
associated	ពាក់ព័ន្ធ	ហានិភ័យពាក់ព័ន្ធត្រូវបានពន្យល់ច្បាស់.
association	សមាគម	សមាគមបានរៀបចំសិក្ខាសាលា.
assume	សន្មត	កុំសន្មតថាពួកគេដឹងរឿងនេះ.
attempt	ព្យាយាម	គាត់បានព្យាយាមពន្យល់ម្តងទៀត.
bacteria	បាក់តេរី	បាក់តេរីអាចលូតលាស់ក្នុងទឹកកខ្វក់.
barrier	ឧបសគ្គ	ភាសាគឺជាឧបសគ្គសម្រាប់ពួកគេ.
basically	ជាមូលដ្ឋាន	ជាមូលដ្ឋានគំនិតនេះសាមញ្ញណាស់.
bear (deal with)	ទ្រាំទ្រ	នាងមិនអាចទ្រាំទ្រសម្ពាធនេះបានទៀតទេ.
beg	អង្វរ	កុមារបានអង្វរសុំជំនួយ.
being	ជីវិត	គ្រប់ជីវិតត្រូវការទឹក.
bent	កោង	ដំបងដែកនោះកោង.
bet	ភ្នាល់	ខ្ញុំភ្នាល់ថាអ្នកនឹងចូលចិត្តរឿងនេះ.
beyond	លើសពី	បញ្ហានេះលើសពីការគ្រប់គ្រងរបស់យើង.
bitter	ល្វីង	ថ្នាំនេះមានរសជាតិល្វីង.
blame	បន្ទោស	កុំបន្ទោសក្រុមទាំងមូល.
blind	ខ្វាក់	ឆ្កែជួយបុរសខ្វាក់ឆ្លងផ្លូវ.
bond	ចំណង	ពួកគេមានចំណងគ្រួសាររឹងមាំ.
breast	ទ្រូង	វេជ្ជបណ្ឌិតបានពិនិត្យការឈឺទ្រូង.
brief	ខ្លី	គាត់បានផ្តល់ការពន្យល់ខ្លី.
broad	ទូលំទូលាយ	ផ្លូវនេះទូលំទូលាយជាងមុន.
broadcast	ផ្សាយ	ស្ថានីយ៍បានផ្សាយព័ត៌មានពេលល្ងាច.
budget	ថវិកា	ថវិកាឆ្នាំនេះត្រូវបានកាត់បន្ថយ.
bullet	គ្រាប់កាំភ្លើង	ប៉ូលិសបានរកឃើញគ្រាប់កាំភ្លើងនៅទីនោះ.
bunch	ក្រុម	ក្រុមក្មេងៗឈរនៅមុខហាង.
bush	ព្រៃតូច	បាល់បានធ្លាក់ចូលព្រៃតូច.
cable	ខ្សែ	ខ្សែនេះភ្ជាប់កុំព្យូទ័រទៅអេក្រង់.
calculate	គណនា	នាងបានគណនាចំណាយទាំងអស់.
cancel	លុបចោល	ពួកគេលុបចោលការប្រជុំ.
cancer	មហារីក	ការពិនិត្យដំបូងអាចរកឃើញមហារីក.
capable	មានសមត្ថភាព	នាងមានសមត្ថភាពដឹកនាំក្រុម.
capacity	សមត្ថភាព	សាលនេះមានសមត្ថភាពដាក់មនុស្សប្រាំរយនាក់.
capture	ចាប់យក	កាមេរ៉ាចាប់យករូបភាពច្បាស់.
cast	សម្តែង	គាត់ត្រូវបានជ្រើសឱ្យសម្តែងតួសំខាន់.
cell	កោសិកា	កោសិកានីមួយៗមានរចនាសម្ព័ន្ធផ្ទាល់ខ្លួន.
chairman	ប្រធាន	ប្រធានបានបើកកិច្ចប្រជុំ.
characteristic	លក្ខណៈ	ភាពស្ងប់គឺជាលក្ខណៈរបស់គាត់.
chief	ចម្បង	មូលហេតុចម្បងគឺការខ្វះទឹក.
circumstance	កាលៈទេសៈ	គាត់ធ្វើបានល្អក្រោមកាលៈទេសៈលំបាក.
cite	ដកស្រង់	និស្សិតបានដកស្រង់ប្រភពពីរ.
citizen	ពលរដ្ឋ	ពលរដ្ឋគ្រប់រូបមានសិទ្ធិបោះឆ្នោត.
civil	ស៊ីវិល	អង្គការស៊ីវិលបានជួយជនរងគ្រោះ.
classic	បុរាណ	នេះជាឧទាហរណ៍បុរាណនៃបញ្ហា.
closely	យ៉ាងជិតស្និទ្ធ	គ្រូបានមើលការងារយ៉ាងជិតស្និទ្ធ.
collapse	ដួលរលំ	អគារចាស់បានដួលរលំបន្ទាប់ពីព្យុះ.
combination	ការរួមបញ្ចូល	ការរួមបញ្ចូលពណ៌នេះស្អាត.
comfort	ការលួងលោម	ពាក្យរបស់នាងផ្តល់ការលួងលោម.
command	បញ្ជា	មន្ត្រីបានចេញបញ្ជាថ្មី.
commission	គណៈកម្មការ	គណៈកម្មការបានពិនិត្យរបាយការណ៍.
commitment	ការប្តេជ្ញា	ការងារនេះត្រូវការការប្តេជ្ញាខ្ពស់.
committee	គណៈកម្មាធិការ	គណៈកម្មាធិការប្រជុំនៅថ្ងៃសុក្រ.
commonly	ជាទូទៅ	ពាក្យនេះត្រូវបានប្រើជាទូទៅ.
complicated	ស្មុគស្មាញ	នីតិវិធីនេះស្មុគស្មាញពេក.
component	សមាសភាគ	សមាសភាគនេះខូច.
concentration	ការផ្តោតអារម្មណ៍	សំឡេងរំខានប៉ះពាល់ការផ្តោតអារម្មណ៍.
concept	គំនិត	គំនិតនេះងាយយល់.
concern	ការព្រួយបារម្ភ	សុវត្ថិភាពជាការព្រួយបារម្ភធំ.
concerned	ព្រួយបារម្ភ	ឪពុកម្តាយព្រួយបារម្ភអំពីកូន.
conduct	អនុវត្ត	ក្រុមនឹងអនុវត្តការសិក្សាថ្មី.
confidence	ទំនុកចិត្ត	ជោគជ័យនេះផ្តល់ទំនុកចិត្តដល់នាង.
conflict	ជម្លោះ	ជម្លោះបានបញ្ឈប់ការងារ.
confusing	ច្របូកច្របល់	សេចក្តីណែនាំនេះច្របូកច្របល់.
conscious	ដឹងខ្លួន	អ្នកជំងឺនៅតែដឹងខ្លួន.
conservative	អភិរក្សនិយម	គាត់មានទស្សនៈអភិរក្សនិយម.
consideration	ការពិចារណា	សំណើនេះត្រូវការការពិចារណាបន្ថែម.
consistent	ស្ថិរភាព	លទ្ធផលនៅតែស្ថិរភាព.
constant	ថេរ	សំឡេងរំខានថេរធ្វើឱ្យគាត់ធុញ.
constantly	ជានិច្ច	នាងពិនិត្យទូរស័ព្ទជានិច្ច.
construct	សាងសង់	ក្រុមហ៊ុននឹងសាងសង់ស្ពានថ្មី.
construction	ការសាងសង់	ការសាងសង់ចាប់ផ្តើមនៅខែក្រោយ.
contemporary	សម័យទំនើប	សារមន្ទីរបង្ហាញសិល្បៈសម័យទំនើប.
contest	ការប្រកួត	នាងបានឈ្នះការប្រកួតសរសេរ.
contract	កិច្ចសន្យា	ពួកគេចុះហត្ថលេខាលើកិច្ចសន្យា.
contribute	រួមចំណែក	មនុស្សគ្រប់គ្នាអាចរួមចំណែកដល់គម្រោង.
contribution	ការរួមចំណែក	ការរួមចំណែករបស់គាត់មានតម្លៃ.
convert	បម្លែង	កម្មវិធីអាចបម្លែងឯកសារ.
convinced	ជឿជាក់	នាងជឿជាក់ថាគម្រោងនឹងជោគជ័យ.
core	ស្នូល	ក្រុមស្នូលនៅដដែល.
corporate	សាជីវកម្ម	សេចក្តីសម្រេចសាជីវកម្មត្រូវបានប្រកាស.
council	ក្រុមប្រឹក្សា	ក្រុមប្រឹក្សាបានអនុម័តថវិកា.
county	ខោនធី	ខោនធីបានបើកមជ្ឈមណ្ឌលថ្មី.
courage	ភាពក្លាហាន	នាងបង្ហាញភាពក្លាហានខ្លាំង.
crash	គ្រោះថ្នាក់បុក	គ្រោះថ្នាក់បុកបានកើតឡើងនៅព្រឹកនេះ.
creation	ការបង្កើត	ការបង្កើតការងារថ្មីជាគោលដៅសំខាន់.
creature	សត្វ	សត្វចម្លែកមួយរស់នៅក្នុងរឿងនេះ.
crew	នាវិក	នាវិកបានរៀបចំយន្តហោះ.
crisis	វិបត្តិ	វិបត្តិនេះត្រូវការចម្លើយលឿន.
criterion	លក្ខណៈវិនិច្ឆ័យ	គុណភាពគឺជាលក្ខណៈវិនិច្ឆ័យសំខាន់.
critic	អ្នករិះគន់	អ្នករិះគន់បានសរសើរខ្សែភាពយន្ត.
critical	សំខាន់ណាស់	ម៉ោងដំបូងសំខាន់ណាស់.
criticism	ការរិះគន់	ការរិះគន់ជួយឱ្យក្រុមកែលម្អ.
criticize	រិះគន់	គាត់មិនចង់រិះគន់មិត្តរួមការងារ.
crop	ដំណាំ	ដំណាំឆ្នាំនេះលូតលាស់ល្អ.
crucial	សំខាន់ខ្លាំង	ព័ត៌មាននេះសំខាន់ខ្លាំងសម្រាប់សេចក្តីសម្រេច.
cure	ព្យាបាល	ថ្នាំនេះអាចព្យាបាលរោគសញ្ញា.
