hsk_key	source_word	simplified	KA	example_KA	HY	example_HY
3606:白白	白白	白白	ტყუილად; უშედეგოდ	მან ერთი საათი ტყუილად ელოდა.	իզուր; ապարդյուն	Նա մեկ ժամ իզուր սպասեց։
3607:白领	白领	白领	ოფისის თანამშრომელი; თეთრსაყელოიანი მუშაკი	ამ ქალაქში ბევრი ახალგაზრდა ოფისის თანამშრომელია.	գրասենյակային աշխատող; սպիտակ օձիքավոր աշխատող	Այս քաղաքում շատ երիտասարդ գրասենյակային աշխատողներ կան։
3609:摆放	摆放	摆放	დალაგება; განთავსება	გთხოვთ, მასალები მაგიდაზე წესრიგით დაალაგოთ.	դասավորել; տեղադրել	Խնդրում եմ նյութերը սեղանին կոկիկ դասավորեք։
3610:百分点	百分点	百分点	პროცენტული პუნქტი	უმუშევრობის დონე ორი პროცენტული პუნქტით შემცირდა.	տոկոսային կետ	Գործազրկության մակարդակը երկու տոկոսային կետով նվազեց։
3611:百货	百货	百货	უნივერმაღი; ფართო მოხმარების საქონელი	ამ უნივერმაღში შაბათ-კვირას ბევრი ხალხია.	հանրախանութ; բազմատեսակ ապրանքներ	Այս հանրախանութում հանգստյան օրերին շատ մարդ կա։
3613:败	败	败	დამარცხება; წაგება	ჩვენმა გუნდმა ბოლოს ერთი ქულით წააგო.	պարտվել; պարտություն կրել	Մեր թիմը վերջում մեկ միավորի տարբերությամբ պարտվեց։
3616:版	版	版	გამოცემა; ვერსია	ამ წიგნის ახალი გამოცემა გამოვიდა.	հրատարակություն; տարբերակ	Այս գրքի նոր հրատարակությունը լույս է տեսել։
3621:棒球	棒球	棒球	ბეისბოლი	ბავშვები პარკში ბეისბოლს თამაშობენ.	բեյսբոլ	Երեխաները այգում բեյսբոլ են խաղում։
3623:保健	保健	保健	ჯანმრთელობაზე ზრუნვა; პროფილაქტიკა	ხანდაზმულები სულ უფრო მეტ ყურადღებას აქცევენ ჯანმრთელობაზე ზრუნვას.	առողջապահական խնամք; առողջության պահպանում	Տարեց մարդիկ ավելի ու ավելի մեծ ուշադրություն են դարձնում առողջության պահպանմանը։
3624:保暖	保暖	保暖	სითბოს შენარჩუნება	ზამთარში გარეთ გასვლისას სითბოს შენარჩუნებას უნდა მიაქციოთ ყურადღება.	տաք պահել	Ձմռանը դուրս գալուց պետք է տաք մնալուն ուշադրություն դարձնել։
3625:保修	保修	保修	საგარანტიო შეკეთება	ამ კომპიუტერს ერთი წელი უფასო საგარანტიო შეკეთება ეკუთვნის.	երաշխիքով վերանորոգել	Այս համակարգիչը մեկ տարի կարող է անվճար վերանորոգվել երաշխիքով։
3627:爆	爆	爆	გასკდომა; აფეთქება	ბურთი უცებ გასკდა.	պայթել; ճայթել	Փուչիկը հանկարծ պայթեց։
3629:报刊	报刊	报刊	გაზეთები და ჟურნალები	ბიბლიოთეკაში ბევრი ჩინურენოვანი გაზეთი და ჟურნალია.	թերթեր և ամսագրեր	Գրադարանում շատ չիներեն թերթեր և ամսագրեր կան։
3635:悲剧	悲剧	悲剧	ტრაგედია	ეს უბედური შემთხვევა ტრაგედია იყო.	ողբերգություն	Այս վթարը ողբերգություն էր։
3636:悲伤	悲伤	悲伤	სევდიანი; მწუხარე	ამ ამბის გაგების შემდეგ ის ძალიან დამწუხრდა.	տխուր; վշտացած	Այս լուրը լսելուց հետո նա շատ տխրեց։
3638:北美洲	北美洲	北美洲	ჩრდილოეთი ამერიკა	კანადა ჩრდილოეთ ამერიკაში მდებარეობს.	Հյուսիսային Ամերիկա	Կանադան գտնվում է Հյուսիսային Ամերիկայում։
3640:被迫	被迫	被迫	იძულებული გახდომა	ძლიერი წვიმის გამო მატჩის გაუქმება მოუხდათ.	ստիպված լինել; հարկադրված լինել	Ուժեղ անձրևի պատճառով խաղը հարկադրված չեղարկվեց։
3641:背心	背心	背心	უსახელო მაისური; ჟილეტი	ზაფხულში ის ხშირად უსახელო მაისურს იცვამს.	անթև շապիկ; ժիլետ	Ամռանը նա հաճախ անթև շապիկ է հագնում։
