source_headword	PT	example_PT
institute	o instituto	O instituto abriu um novo programa de investigação.
institution	a instituição	A instituição mudou as suas regras de admissão.
insurance	o seguro	O seu seguro cobriu os custos do hospital.
intended	pretendido	A mensagem chegou ao seu público pretendido.
intense	intenso	O debate tornou-se intenso muito rapidamente.
internal	interno	A empresa iniciou uma revisão interna.
interpret	interpretar	Por favor, interprete os resultados com cuidado.
interrupt	interromper	Não interrompa o orador agora.
investigation	a investigação	A investigação revelou erros graves.
investment	o investimento	O investimento criou muitos postos de trabalho locais.
joy	a alegria	O seu sucesso trouxe grande alegria.
judgement	o julgamento	O seu julgamento melhorou com a experiência.
junior	júnior	Ela juntou-se à equipa como analista júnior.
justice	a justiça	A família exigiu justiça após o julgamento.
justify	justificar	Deves justificar essa decisão claramente.
labour	a mão de obra	O projeto exige mão de obra qualificada.
landscape	a paisagem	A paisagem mudou depois da tempestade.
largely	em grande parte	O plano foi, em grande parte, bem-sucedido.
launch	lançar	Eles vão lançar o produto amanhã.
leadership	a liderança	Uma forte liderança ajudou a equipa a recuperar.
league	a liga	O nosso clube juntou-se a uma liga regional.
lean	encostar	Não se encoste na parede molhada.
licence	a licença	A licença expira no próximo mês.
limited	limitado	Temos tempo limitado hoje.
lively	animado	A reunião tornou-se animada depois do almoço.
load	a carga	O camião transportava uma carga pesada.
loan	o empréstimo	O banco aprovou o empréstimo.
logical	lógico	O seu argumento era claro e lógico.
long-term	a longo prazo	Esta é uma solução a longo prazo.
loose	solto	A pega parece solta.
lord	o senhor	O senhor possuía várias aldeias.
lower	baixar	Eles baixam os preços durante o inverno.
lung	o pulmão	Fumar pode danificar um pulmão.
maintain	manter	Mantemos um contacto regular.
majority	a maioria	A maioria apoiou a proposta.
mass	a massa	Uma massa de nuvens cobriu o céu.
massive	maciço	O terramoto causou danos maciços.
master	o mestre	Ela tornou-se uma mestre da negociação.
matching	a condizer	Ele usava sapatos e cinto a condizer.
maximum	máximo	A sala atingió a capacidade máxima.
means	o meio	O e-mail é o nosso principal meio de contacto.
measurement	a medição	A medição estava ligeiramente errada.
melt	derreter	A neve vai derreter até ao meio-dia.
military	militar	A base militar fechou no ano passado.
mineral	o mineral	O ferro é um mineral importante.
minimum	mínimo	A idade mínima é de dezoito anos.
minister	o ministro	O ministro respondeu a perguntas difíceis.
minor	menor	O acidente causou danos menores.
minority	a minoria	Uma minoria opôs-se à nova regra.
mission	a missão	A sua missão terminou em segurança.
mixed	misto	As notícias receberam reações mistas.
modify	modificar	Podemos modificar o design mais tarde.
monitor	o monitor	A enfermeira monitorará a sua condição.
moral	moral	A história tem uma lição moral.
motor	o motor	O motor parou sem aviso.
mount	montar	Eles montam câmeras perto da entrada.
multiple	múltiplo	Múltiplos fatores causaram o atraso.
multiply	multiplicar	Multiplique o número por dez.
mysterious	misterioso	Uma luz misteriosa apareceu lá fora.
neat	arrumado	A mesa dela está sempre arrumada.
nerve	o nervo	O ferimento danificou um nervo.
nevertheless	no entanto	A tarefa foi difícil; no entanto, terminamos.
nightmare	o pesadelo	A jornada se tornou um pesadelo.
notion	a noção	Rejeite a noção de que a mudança é impossível.
numerous	numeroso	Numerosos estudos apoiam esta ideia.
obey	obedecer	Os motoristas devem obedecer à sinalização.
objective	o objetivo	O nosso objetivo é reduzir o desperdício.
obligation	a obrigação	Os pais têm a obrigação de proteger as crianças.
observation	a observação	A sua observação mudou a discussão.
observe	observar	Os cientistas observam os pássaros a cada primavera.
obtain	obter	Você deve obter permissão por escrito.
occasionally	ocasionalmente	Ela trabalha ocasionalmente de casa.
offence	a ofensa	O comentário causou uma ofensa séria.
offend	ofender	Eu não tive a intenção de ofender ninguém.
offensive	ofensivo	O cartaz continha linguagem ofensiva.
opening	a vaga	A vaga de emprego atraiu muitos candidatos.
operate	funcionar	A máquina pode funcionar automaticamente.
opponent	o oponente	O seu oponente criticou a política.
oppose	opor-se	Muitos moradores se opõem ao plano.
opposed	oposto	Os grupos tinham opiniões opostas.
opposition	a oposição	A proposta enfrentou forte oposição.
organ	o órgão	O coração é um órgão vital.
origin	a origem	A origem do incêndio é desconhecida.
otherwise	caso contrário	Vá agora; caso contrário, você vai se atrasar.
outcome	o resultado	O resultado surpreendeu a todos.
outer	exterior	A parede exterior precisa de reparos.
outline	o esboço	Por favor, resuma o seu argumento principal.
overall	geral	O resultado geral foi positivo.
owe	dever	Eu te devo um pedido de desculpas.
pace	o ritmo	Caminhe a um ritmo constante.
panel	o painel	O painel discutiu a política climática.
parliament	o parlamento	O parlamento aprovou a nova lei.
participant	o participante	Cada participante assinou o formulário.
partly	em parte	O atraso foi em parte culpa nossa.
passage	a passagem	Leia a passagem antes de responder.
pension1	a pensão	A sua pensão o sustenta após a aposentadoria.
permanent	permanente	Eles precisam de uma solução permanente.
permit	permitir	As regras permitem visitas curtas.
perspective	a perspectiva	Tente ver a perspectiva dela.
