source_headword	LO	example_LO
abolish	ຍົກເລີກ	ກົດໝາຍຈະຍົກເລີກຄ່າທຳນຽມເກົ່າ.
abortion	ການເອົາລູກອອກ	ການຫຼຸລູກຍັງຄົງເປັນບັນຫາທາງການແພດທີ່ລະອຽດອ່ອນ.
absence	ການຂາດ	ການຂາດຂອງນາງເຮັດໃຫ້ການຕັດສິນໃຈຂັ້ນສຸດທ້າຍຊ້າລົງ.
absent	ຂາດ	ສະມາຊິກສອງຄົນຂາດຮຽນ.
absurd	ໄຮ້ສາລະ	ຂໍ້ກ່າວອ້າງນັ້ນຟັງເບິ່ງຄືໄຮ້ສາລະສຳລັບທຸກຄົນ.
abundance	ຄວາມອຸດົມສົມບູນ	ຮ່ອມພູມີນ້ຳຢ່າງອຸດົມສົມບູນ.
abuse	ການລ່ວງລະເມີດ	ບົດລາຍງານໄດ້ອະທິບາຍເຖິງການລ່ວງລະເມີດໃນບ່ອນເຮັດວຽກ.
academy	ສະຖາບັນ	ສະຖາບັນນີ້ຝຶກອົບຮົມນັກດົນຕີໜຸ່ມ.
accelerate	ເລັ່ງ	ເງິນທຶນໃໝ່ຈະເລັ່ງການຄົ້ນຄວ້າ.
acceptance	ການຍອມຮັບ	ການຍອມຮັບຄຳວິຈານຂອງລາວເຮັດໃຫ້ຂ້ອຍປະທັບໃຈ.
accessible	ເຂົ້າເຖິງໄດ້	ຫໍພິພິທະພັນສາມາດເຂົ້າເຖິງໄດ້ສຳລັບຜູ້ໃຊ້ລໍ້ຍູ້.
accomplishment	ຄວາມສຳເລັດ	ການອ່ານປຶ້ມຈົນຈົບແມ່ນຄວາມສຳເລັດທີ່ແທ້ຈິງ.
accordance	ຄວາມສອດຄ່ອງ	ວຽກງານດັ່ງກ່າວໄດ້ເຮັດສອດຄ່ອງກັບນະໂຍບາຍ.
accordingly	ຕາມນັ້ນ	ຫຼັກຖານມີການປ່ຽນແປງ, ແລະພວກເຮົາກໍໄດ້ປະຕິບັດຕາມນັ້ນ.
accountability	ຄວາມຮັບຜິດຊອບ	ນະໂຍບາຍດັ່ງກ່າວເພີ່ມຄວາມຮັບຜິດຊອບໃຫ້ແກ່ຜູ້ຈັດການ.
accountable	ມີຄວາມຮັບຜິດຊອບ	ຜູ້ຈັດການມີຄວາມຮັບຜິດຊອບຕໍ່ຄວາມປອດໄພ.
accumulate	ສະສົມ	ຂີ້ຝຸ່ນສາມາດສະສົມຢູ່ທາງຫຼັງໜ້າຈໍໄດ້.
accumulation	ການສະສົມ	ການສະສົມຂໍ້ມູນໃຊ້ເວລາຫຼາຍເດືອນ.
