source_headword	PT-BR	example_PT-BR
hunt	procurar	Eles procuram cogumelos no outono.
hurricane	o furacão	O furacão danificou muitas casas.
hurry	a pressa	Hoje não há pressa.
identity	a identidade	A identidade dela permaneceu secreta.
ignore	ignorar	Não ignore este aviso.
illegal	ilegal	É ilegal estacionar aqui.
imaginary	imaginário	A história tem uma ilha imaginária.
immediate	imediato	Precisamos de uma resposta imediata.
immigrant	o imigrante	O imigrante aprendeu inglês rapidamente.
impact	o impacto	A notícia teve um forte impacto.
import	importar	O país vai importar mais arroz.
importance	a importância	Ela entendeu a importância do sono.
impression	a impressão	A primeira impressão dele foi positiva.
impressive	impressionante	O museu tem uma entrada impressionante.
improvement	a melhoria	Houve uma melhoria clara este mês.
incredibly	incrivelmente	A prova foi incrivelmente difícil.
indeed	de fato	Foi de fato um dia estranho.
indicate	indicar	A placa vai indicar a saída.
indirect	indireto	Ela deu uma resposta indireta.
indoor	interno	O hotel tem uma piscina interna.
indoors	dentro de casa	Ficamos dentro de casa durante a tempestade.
influence	a influência	O professor dele teve uma forte influência.
ingredient	o ingrediente	A farinha é o ingrediente principal.
injure	ferir	Não machuque suas costas.
injured	ferido	O jogador ferido saiu do campo.
innocent	inocente	A criança parecia completamente inocente.
intelligence	a inteligência	Ela mostrou grande inteligência na aula.
intend	pretender	Pretendo estudar no exterior.
intention	a intenção	A intenção dele era ajudar.
invest	investir	Eles investem dinheiro em educação.
investigate	investigar	A polícia vai investigar o acidente.
involved	envolvido	Vários estudantes estavam envolvidos.
iron	o ferro	O portão é feito de ferro.
issue	o problema	Este é um problema sério.
IT	a tecnologia da informação	Ela trabalha com tecnologia da informação.
journal	o diário	Ele escreve em um diário.
judge	o juiz	O juiz ouviu com atenção.
keen	animado	Ela está animada para aprender.
keyboard	o teclado	Meu teclado parou de funcionar.
kick	chutar	Chute a bola suavemente.
killing	o assassinato	O assassinato chocou a vila.
kind (caring)	gentil	Foi uma atitude gentil.
kiss	o beijo	Ela deu um beijo no bebê.
label	a etiqueta	Leia a etiqueta antes de usar.
laboratory	o laboratório	O laboratório está fechado hoje.
lack	a falta	A falta de sono prejudica a memória.
latest	o mais recente	Você leu o relatório mais recente?
lay	colocar	Coloque o livro sobre a mesa.
layer	a camada	Adicione outra camada de tinta.
leading	de destaque	Ela é uma cientista de destaque.
leaf	a folha	Uma folha caiu no meu casaco.
leather	o couro	A bolsa dele é feita de couro.
legal	legal	Precisamos de aconselhamento legal.
leisure	o lazer	Ler é minha atividade de lazer favorita.
length	o comprimento	Meça o comprimento da sala.
lie2 (tell a lie)	mentir	Não minta para seus pais.
limit	o limite	O limite de velocidade é cinquenta.
lip	o lábio	Ela mordeu o lábio.
liquid	o líquido	A água é um líquido transparente.
literature	a literatura	Ela estuda literatura francesa.
live2	ao vivo	A banda tocou ao vivo ontem à noite.
living	vivo	Plantas vivas precisam de luz.
locate	localizar	Você consegue localizar o arquivo?
located	localizado	O escritório fica no centro.
location	a localização	Esta é uma boa localização.
lonely	solitário	Ele se sentiu solitário depois da mudança.
loss	a perda	A perda foi difícil para todos.
luxury	o luxo	O hotel oferece luxo de verdade.
mad	bravo	Ela estava brava com o atraso.
magic	a magia	O show estava cheio de magia.
mainly	principalmente	O grupo é principalmente de estudantes.
mall	o shopping	Nos encontramos no shopping.
management	a gestão	Uma boa gestão economiza tempo.
marketing	o marketing	O marketing ajuda a vender o produto.
marriage	o casamento	O casamento deles durou trinta anos.
meanwhile	enquanto isso	Eu preparei o jantar enquanto isso.
measure	medir	Meça a mesa com cuidado.
medium	médio	Pedi uma pizza média.
mental	mental	O estresse afeta a saúde mental.
mess	a bagunça	Limpe esta bagunça.
mild	suave	A sopa tem um sabor suave.
mine (hole in the ground)	a mina	A mina fechou no ano passado.
mix	misturar	Misture os ovos com leite.
mixture	a mistura	A mistura ficou grossa.
mood	o humor	A música mudou o humor dela.
mud	a lama	Os sapatos dele estavam cobertos de lama.
murder	o assassinato	O assassinato aconteceu à noite.
muscle	o músculo	O exercício desenvolve músculos.
mystery	o mistério	A casa antiga é um mistério.
nail	a unha	Quebrei uma unha.
narrative	a narrativa	O romance tem uma narrativa clara.
nation	a nação	Toda a nação comemorou.
native	nativo	O espanhol é a língua nativa dela.
naturally	naturalmente	As crianças aprendem naturalmente brincando.
necessarily	necessariamente	Comida cara não é necessariamente melhor.
needle	a agulha	A agulha é muito afiada.
neighbourhood	o bairro	Eles moram em um bairro tranquilo.
net	a rede	O pescador consertou sua rede.
nor	nem	Ele nem sorriu nem falou.
northern	do norte	Eles visitaram a costa norte.
nuclear	nuclear	O debate foi sobre energia nuclear.
obvious	óbvio	A resposta era óbvia.
obviously	obviamente	Obviamente, precisamos de mais tempo.
occasion	a ocasião	Esta é uma ocasião especial.
occur	ocorrer	Acidentes podem ocorrer em qualquer lugar.
odd	estranho	Essa foi uma pergunta estranha.
official	oficial	O resultado oficial chegou hoje.
old-fashioned	antiquado	O telefone dela parece antiquado.
operation	a operação	A operação durou duas horas.
organized	organizado	A mesa dela está muito organizada.
organizer	o organizador	O organizador recebeu os convidados.
originally	originalmente	Ela veio originalmente do Canadá.
ought modal	deveria	Você deveria descansar.
ours	nosso	Esta mesa é nossa.
outdoor	externo	Compramos móveis externos.
outdoors	ao ar livre	As crianças devem brincar ao ar livre.
package	o pacote	O pacote chegou esta manhã.
painful	doloroso	O corte foi doloroso.
pale	pálido	O rosto dele parecia pálido.
pan	a frigideira	Aqueça a frigideira primeiro.
participate	participar	Todos podem participar.
particularly	particularmente	Gosto particularmente desta música.
passion	a paixão	A música é a paixão dela.
path	o caminho	Siga o caminho pelo parque.
payment	o pagamento	O pagamento vence amanhã.
peaceful	pacífico	O jardim é pacífico.
percentage	a porcentagem	Uma pequena porcentagem concordou.
perfectly	perfeitamente	O plano funcionou perfeitamente.
performance	o desempenho	O desempenho dela foi excelente.
personally	pessoalmente	Pessoalmente, prefiro chá.
persuade	persuadir	Você consegue persuadi-lo a participar?
photographer	o fotógrafo	O fotógrafo tirou muitas fotos.
photography	a fotografia	A fotografia é o hobby favorito dele.
pin	o alfinete	Coloque um alfinete no mapa.
pipe	o cano	O cano transporta água.
planning	o planejamento	O planejamento leva tempo.
pleasant	agradável	Tivemos uma noite agradável.
pleasure	o prazer	Foi um prazer conhecer você.
plenty	muito	Temos muito tempo.
plot	o enredo	O enredo era fácil de acompanhar.
plus1	mais	Dois mais três são cinco.
poem	o poema	Ela escreveu um poema curto.
poet	o poeta	O poeta leu em voz alta.
poetry	a poesia	Ele gosta de poesia moderna.
poison	o veneno	Mantenha o veneno longe das crianças.
poisonous	venenoso	Alguns cogumelos são venenosos.
policy	a política	A empresa mudou sua política.
political	político	O discurso foi político.
politician	o político	O político respondeu a perguntas.
politics	a política	A política pode ser complicada.
port	o porto	O navio entrou no porto.
portrait	o retrato	O retrato está pendurado no hall.
possibly	talvez	Ela talvez chegue tarde.
pot	o vaso	A planta precisa de um vaso maior.
pour	despejar	Despeje o leite devagar.
poverty	a pobreza	Muitas famílias vivem na pobreza.
powder	o pó	Adicione o pó à água.
powerful	poderoso	O motor é poderoso.
practical	prático	Esta é uma solução prática.
pray	orar	Eles oram todas as manhãs.
prayer	a oração	Ela fez uma oração silenciosa.
prediction	a previsão	A previsão dele estava correta.
prepared	preparado	Estou preparado para a prova.
presentation	a apresentação	A apresentação dela foi clara.
press	pressionar	Pressione o botão uma vez.
pressure	a pressão	A pressão pode afetar sua saúde.
pretend	fingir	Não finja estar dormindo.
previous	anterior	A aula anterior foi mais fácil.
previously	anteriormente	Morávamos em Roma anteriormente.
priest	o padre	O padre falou suavemente.
primary	principal	A saúde é nossa principal preocupação.
prince	o príncipe	O príncipe visitou a escola.
princess	a princesa	A princesa usava um vestido azul.
printing	a impressão	Imprimir o relatório levou alguns minutos.
prisoner	o prisioneiro	O prisioneiro fugiu à noite.
private	privado	Esta é uma conversa privada.
producer	o produtor	O produtor gostou do filme.
production	a produção	A produção começa na próxima semana.
profession	a profissão	Ensinar é uma profissão respeitada.
profit	o lucro	A loja teve lucro.
promote	promover	Eles promovem uma alimentação saudável.
proper	adequado	Use sapatos adequados para trilha.
properly	corretamente	Feche a porta corretamente.
property	a propriedade	Eles compraram uma propriedade perto do rio.
protest	o protesto	O protesto terminou pacificamente.
proud	orgulhoso	Ela se sentiu orgulhosa do filho.
prove	provar	Você consegue provar sua resposta?
punish	punir	O professor não o puniu.
punishment	o castigo	O castigo parecia justo.
qualification	a qualificação	Você precisa de uma qualificação para este trabalho.
qualified	qualificado	Ela é uma enfermeira qualificada.
qualify	classificar-se	Nossa equipe pode se classificar.
queue	a fila	Esperamos em uma fila longa.
quit	parar	Ele decidiu parar de fumar.
quotation	a citação	A redação começa com uma citação.
quote	citar	Posso citar suas palavras?
race (people)	a raça	O formulário pergunta sobre raça.
