hsk_key	source_word	simplified	KA	example_KA	HY	example_HY
5001:物体	物体	物体	ობიექტი; ფიზიკური სხეული	ეს ობიექტი წყალში ნელა ჩაიძირა.	առարկա; ֆիզիկական մարմին	Այս առարկան ջրի մեջ դանդաղ խորտակվեց։
5005:喜剧	喜剧	喜剧	კომედია	ამ კომედიამ მთელი მაყურებელი გაუჩერებლად აცინა.	կատակերգություն	Այս կատակերգությունը ամբողջ հանդիսատեսին անընդհատ ծիծաղեցրեց։
5006:喜事	喜事	喜事	სასიხარულო ამბავი; ზეიმი	ოჯახში სასიხარულო ამბავი იყო და ნათესავები მოსალოცად მოვიდნენ.	ուրախ իրադարձություն; տոն	Տանը ուրախ իրադարձություն էր, և բոլոր ազգականները եկան շնորհավորելու։
5007:洗漱	洗漱	洗漱	დაბანა და მოწესრიგება	ის ყოველ დილით ექვს საათზე დგება და იბანს.	լվացվել և հարդարվել	Նա ամեն առավոտ ժամը վեցին արթնանում է և լվացվում։
5011:戏曲	戏曲	戏曲	ტრადიციული ჩინური ოპერა	ბაბუას განსაკუთრებით უყვარს ადგილობრივი ოპერის მოსმენა.	ավանդական չինական օպերա	Պապիկը հատկապես սիրում է լսել տեղական օպերա։
5014:下功夫	下功夫	下功夫	ძალისხმევის ჩადება; გულმოდგინედ მუშაობა	ის მზად არის იეროგლიფების კარგად დასაწერად ბევრი იშრომოს.	ջանք գործադրել; համառորեն աշխատել	Նա պատրաստ է ջանք գործադրել, որ չինական նշանները լավ գրի։
5015:下单	下单	下单	შეკვეთის განთავსება	მე სახელმძღვანელო უკვე ინტერნეტით შევუკვეთე.	պատվեր ձևակերպել	Ես արդեն առցանց պատվիրել եմ դասագիրքը։
5017:下线	下线	下线	ოფლაინზე გასვლა; ფუნქციის გაუქმება	ეს ძველი ფუნქცია ხვალ ოფიციალურად გაუქმდება.	անցանց դառնալ; դադարեցվել	Այս հին գործառույթը վաղը պաշտոնապես կդադարեցվի։
5018:下旬	下旬	下旬	თვის ბოლო ათი დღე	გამოფენა აგვისტოს ბოლოს გაიხსნება.	ամսվա վերջին տասնօրյակ	Ցուցահանդեսը կբացվի օգոստոսի վերջին տասնօրյակում։
5023:显	显	显	გამოჩენა; ჩანდეს	ეს ტანსაცმელი მას უფრო ენერგიულად აჩენს.	երևալ; թվալ; ցույց տալ	Այս հագուստը նրան ավելի աշխույժ է ցույց տալիս։
5024:险	险	险	საშიში; სახიფათო	მთის გზა სახიფათოა, ამიტომ ნელა იარე.	վտանգավոր; ռիսկային	Լեռնային ճանապարհը վտանգավոր է, ուստի մեքենան դանդաղ վարիր։
5026:限	限	限	შეზღუდვა	თითო ადამიანს მხოლოდ ორი ბილეთის ყიდვა შეუძლია.	սահմանափակել	Յուրաքանչյուր մարդ կարող է գնել առավելագույնը երկու տոմս։
5027:线	线	线	ხაზი; ძაფი	გთხოვ, ამ ხაზის გასწვრივ გაჭერი.	գիծ; թել	Խնդրում եմ, կտրիր այս գծի երկայնքով։
5028:现存	现存	现存	არსებული; შემორჩენილი	არსებული მასალები ამ დასკვნის დასამტკიცებლად საკმარისი არ არის.	գոյություն ունեցող; պահպանված	Գոյություն ունեցող նյութերը բավարար չեն այս եզրակացությունը ապացուցելու համար։
5029:限度	限度	限度	ზღვარი; ლიმიტი	მისმა მოთმინებამ უკვე ზღვარს მიაღწია.	սահման; չափ	Նրա համբերությունն արդեն սահմանին է հասել։
5030:现货	现货	现货	მარაგში არსებული საქონელი	ეს ტელეფონი მარაგშია და დღესვე გაიგზავნება.	առկա ապրանք; պահեստում եղած ապրանք	Այս հեռախոսը առկա է և կարող է այսօր ուղարկվել։
5033:限于	限于	限于	შემოიფარგლება; შეზღუდულია	რეგისტრაცია ოცდაათი ადამიანით არის შეზღუდული.	սահմանափակված լինել	Գրանցումը սահմանափակված է երեսուն մարդով։
5036:相传	相传	相传	გადმოცემით; ლეგენდის თანახმად	გადმოცემით, ამ ხიდს სამასი წლის ისტორია აქვს.	ըստ ավանդության; ասում են	Ըստ ավանդության՝ այս կամուրջը երեք հարյուր տարվա պատմություն ունի։
5038:相连	相连	相连	დაკავშირებული იყოს	ორი ქალაქი სწრაფი რკინიგზით არის დაკავშირებული.	կապված լինել	Երկու քաղաքները կապված են արագընթաց երկաթուղով։
5039:香水	香水	香水	სუნამო	მას ძალიან მძაფრი სუნის სუნამო არ მოსწონს.	օծանելիք	Նրան շատ ուժեղ հոտով օծանելիք դուր չի գալիս։
5052:小偷儿	小偷儿	小偷儿	ქურდი	ის ქურდი პოლიციამ მალე დაიჭირა.	գող	Այդ գողին ոստիկանությունը շուտով բռնեց։
5053:笑容	笑容	笑容	ღიმილი	მისმა სახეზე ღიმილმა ყველა დაამშვიდა.	ժպիտ	Նրա դեմքի ժպիտը բոլորին հանգստացրեց։
5054:效应	效应	效应	ეფექტი; ზეგავლენა	ამ პოლიტიკის ეფექტს ჯერ კიდევ დაკვირვება სჭირდება.	ազդեցություն; էֆեկտ	Այս քաղաքականության ազդեցությունը դեռ պետք է դիտարկել։
5060:心爱	心爱	心爱	საყვარელი; ძვირფასი	მან მოგზაურობაში თავისი საყვარელი ფოტოაპარატი წაიღო.	սիրելի; թանկագին	Նա ճանապարհորդության տարավ իր սիրելի տեսախցիկը։
5061:心底	心底	心底	გულის სიღრმე	მან მასწავლებელს დახმარებისთვის გულის სიღრმიდან მადლობა გადაუხადა.	սրտի խորքը	Նա սրտի խորքից շնորհակալություն հայտնեց ուսուցչին օգնության համար։
5062:新款	新款	新款	ახალი მოდელი; ახალი სტილი	ამ მაღაზიამ ახლახან ახალი სტილის ფეხსაცმლის პარტია დადო.	նոր մոդել; նոր ոճ	Այս խանութը նոր ոճի կոշիկների խմբաքանակ է նոր դրել վաճառքի։
5064:新媒体	新媒体	新媒体	ახალი მედია	ახალმა მედიამ ხალხის ინფორმაციის მიღების გზა შეცვალა.	նոր մեդիա	Նոր մեդիան փոխել է մարդկանց տեղեկատվություն ստանալու ձևը։
5065:心目	心目	心目	წარმოდგენა; გონებაში	ჩემს წარმოდგენაში ის გამორჩეული მწერალია.	պատկերացում; մտքում	Իմ պատկերացմամբ՝ նա հիանալի գրող է։
