simplified	UZ	example_UZ
挨	chidamoq	U tun bo'yi chidadi va nihoyat tong otishini kutdi.
癌症	saraton	Saratonni erta aniqlash juda muhim.
暧昧	noaniq	Uning javobi juda noaniq edi.
爱不释手	qo'lidan qo'ygisi kelmaslik	U bu kitobni qo'lidan qo'ygisi kelmadi.
爱戴	hurmat va mehr bilan sevmoq	Bu o'qituvchi o'quvchilar tomonidan juda hurmat qilinadi.
安宁	osoyishta	Bu yerda kechalar osoyishta.
安详	sokin	Qariyaning chehrasi sokin edi.
安置	joylashtirmoq	Hukumat ofatdan zarar ko'rgan aholini joylashtirdi.
按摩	massaj	Men massajga yozildim.
暗示	ishora qilmoq	U menga boshqa so'ramaslikni ishora qildi.
案件	ish	Politsiya bu ishni tekshirmoqda.
案例	namunaviy holat	Bu holat juda namunaviy.
昂贵	qimmat	Bu uskuna juda qimmat.
凹凸	notekis	Bu yo'l yuzasi notekis.
熬	bardosh bermoq	U hisobotni tugatish uchun uch kun bardosh berdi.
奥秘	sir	Olimlar bu sirni ochmoqchi.
巴不得	intiqlik bilan xohlamoq	Men darhol jo'nashni intiqlik bilan xohlayman.
巴结	xushomad qilmoq	U rahbarga xushomad qilishni xohlamaydi.
扒	yulmoq; yopishmoq	Bola eshikka yopishib tashqariga qaradi.
疤	chandiq	Uning qo'lida chandiq bor.
拔苗助长	shoshirib zarar yetkazmoq	Bolani bunday majburlash faqat shoshirib zarar yetkazadi.
把关	tekshirib nazorat qilmoq	Bu shartnomani advokat tekshirib nazorat qilishi kerak.
把手	tutqich	Eshik tutqichi buzildi.
罢工	ish tashlash	Ishchilar ertaga ish tashlashga qaror qildi.
霸道	zo'ravon	Uning gaplari juda zo'ravon.
掰	bo'lib sindirmoq	U nonni ikki bo'lakka bo'ldi.
摆脱	qutulmoq	U nihoyat yomon odatdan qutuldi.
拜访	borib ko'rmoq	Biz hafta oxiri o'qituvchini borib ko'ramiz.
拜年	yangi yil bilan tabriklash	Bahor bayramida biz buvi-buvani tabriklashga bordik.
拜托	iltimos qilmoq	Bu ishni sizdan iltimos qilaman.
败坏	obro'sini buzmoq	Bunday xatti-harakat kompaniya obro'sini buzadi.
斑	dog'	Mushuk tanasida qora dog' bor.
颁布	e'lon qilmoq	Yangi qoida kelasi hafta e'lon qilinadi.
颁发	topshirmoq	Maktab a'lochi o'quvchilarga mukofot yorlig'i topshirdi.
版本	versiya	Bu dasturiy ta'minotning yangi versiyasi bor.
伴侣	hamroh	U itini o'z hamrohi deb biladi.
伴随	hamroh bo'lmoq	Muvaffaqiyat ko'pincha bosim bilan hamroh bo'ladi.
半途而废	yarim yo'lda tashlab ketmoq	Tadqiqotni yarim yo'lda tashlab bo'lmaydi.
扮演	rol o'ynamoq	U filmda shifokor rolini o'ynaydi.
