source_headword	ET	example_ET
ability	võime; oskus	Tema ujumisoskus on selge.
able	võimeline; suutma	Ta saab täna tulla.
abroad	välismaal	Ta tahab välismaal õppida.
accept	vastu võtma	Palun võta see väike kingitus vastu.
accident	õnnetus	Õnnetus juhtus kooli lähedal.
according to	järgi; kohaselt	Raporti järgi tuleb vihma.
achieve	saavutama	Sa võid oma eesmärgi saavutada.
act	näitlema; tegu	Ta oskab näidendis näidelda.
active	aktiivne	Ta on iga päev aktiivne.
actually	tegelikult	Tegelikult vajan ma rohkem aega.
advantage	eelis	Sellel plaanil on eelis.
adventure	seiklus	Nende reis oli seiklus.
advertise	reklaamima	Nad reklaamivad uut töökohta.
advertisement	reklaam	Ma nägin reklaami.
advertising	reklaam	Reklaam aitab toitu müüa.
affect	mõjutama	Uni võib sinu tervist mõjutada.
against	vastu	Ära toetu vastu seina.
ah	ah	Ah, nüüd ma saan aru.
airline	lennufirma	Lennufirma on väga hõivatud.
alive	elus	Väike kala on elus.
all right	korras; hästi	Kõik on nüüd korras.
allow	lubama	Nad lubavad siin koeri.
almost	peaaegu	Me oleme peaaegu valmis.
alone	üksi	Ta elab üksi.
along	mööda	Kõnni mööda seda teed.
already	juba	Ma tean juba vastust.
alternative	alternatiiv	See rong on alternatiiv.
although	kuigi	Kuigi on hilja, võime jääda.
among	seas; hulgas	Ta seisis puude seas.
amount	kogus; summa	Summa on liiga väike.
ancient	iidne	See iidne müür on kuulus.
ankle	pahkluu	Mu pahkluu valutab täna.
anybody	keegi	Kas keegi saab sellele vastata?
any more	enam	Ma ei vaja enam.
anyway	igal juhul	Igal juhul võime nüüd alustada.
anywhere	ükskõik kuhu; kuskile	Istu kuhu tahad.
app	rakendus	See rakendus on kasulik.
appear	ilmuma	Tema nimi ilmub siia.
appearance	välimus	Tema välimus on teistsugune.
apply	kandideerima; rakendama	Kandideeri tööle täna.
architect	arhitekt	Arhitektil on plaan.
architecture	arhitektuur	Mulle meeldib moodne arhitektuur.
argue	vaidlema	Ära vaidle oma õega.
argument	vaidlus	Vaidlus oli lühike.
army	sõjavägi	Sõjavägi on suur.
arrange	korraldama	Palun korralda koosolek.
arrangement	korraldus	See korraldus töötab hästi.
asleep	magama; uinunud	Beebi magab.
assistant	abiline; assistent	Abiline aitas mind.
athlete	sportlane	Sportlane jookseb kiiresti.
attack	rünnak; ründama	Koer võib rünnata.
