source_headword	UZ	example_UZ
prey	o'lja	Boyqushlar tunda o'lja ovlaydi.
privatization	xususiylashtirish	Xususiylashtirish temir yo'l tizimini o'zgartirdi.
privilege	imtiyoz	Ta'lim imtiyoz bo'lmasligi kerak.
probe	tekshiruv	Tekshiruv jiddiy xatolarni aniqladi.
problematic	muammoli	Kelishuv muammoligicha qolmoqda.
proceedings	sud jarayoni	Sud jarayoni dushanba kuni boshlandi.
proceeds	tushum	Tushum mahalliy maktablarni qo'llab-quvvatlaydi.
processing	ishlov berish	Tasvirga ishlov berish vaqt talab etadi.
processor	protsessor	Sinov paytida protsessor ishlamay qoldi.
proclaim	e'lon qilmoq	Rahbarlar g'alabani juda erta e'lon qilishadi.
productive	samarali	Uchrashuv samarali o'tdi.
productivity	unumdorlik	Treningdan so'ng unumdorlik oshdi.
profitable	foydali	Do'kon bu yil foydali bo'ldi.
profound	chuqur	Nutq chuqur ta'sir qoldirdi.
projection	prognoz	Prognoz barqaror o'sishni ko'rsatmoqda.
prominent	taniqli	U taniqli olima bo'ldi.
pronounced	yaqqol	Uning talaffuzi yanada yaqqol sezila boshladi.
propaganda	targ'ibot	Kampaniya onlayn targ'ibotdan foydalangan.
proposition	taklif	Bu taklif xavfli taklifdir.
prosecute	jinoiy javobgarlikka tortmoq	Rasmiylar jiddiy firibgarlik ishlarini jinoiy javobgarlikka tortadilar.
prosecution	ayblovchi tomon	Ayblovchi tomon yangi dalillarni taqdim etdi.
prosecutor	prokuror	Prokuror guvohni so'roq qildi.
prospective	bo'lajak	Bo'lajak talabalar kampusnya sayohat qilishdi.
prosperity	farovonlik	Savdo mintaqaga farovonlik keltirdi.
protective	himoya qiluvchi	U himoya qo'lqoplarini kiydi.
protocol	protokol	Protokol yozma rozilikni talab qiladi.
province	viloyat	Viloyat transportga sarmoya kiritdi.
provincial	viloyatga oid	Viloyat rasmiylari rejani e'lon qilishdi.
provision	qoida	Shartnomada xavfsizlik qoidasi mavjud.
