source_headword	TA	example_TA
rock (music)	ராக் இசை	எனக்கு ராக் இசை பிடிக்கும்.
role	பங்கு	அவளின் பங்கு முக்கியமானது.
roof	கூரை	கூரைக்கு பழுது தேவை.
round	வட்டமான	மேசை வட்டமானது.
route	பாதை	இந்த பாதை குறுகியது.
rubbish	குப்பை	குப்பையை வெளியே வை.
rude	முரட்டுத்தனமான	அந்த கருத்து முரட்டுத்தனமாக இருந்தது.
runner	ஓட்டப்பந்தய வீரர்	ஓட்டப்பந்தய வீரர் சோர்வாக தெரிகிறார்.
running	ஓடுதல்	ஓடுதல் என்னை ஆரோக்கியமாக வைத்திருக்கிறது.
sadly	வருத்தமாக	வருத்தமாக, ரயிலை தவறவிட்டோம்.
safe	பாதுகாப்பான	இந்த தெரு பாதுகாப்பாக தெரிகிறது.
sail	கப்பலில் செல்லு	நாங்கள் சனிக்கிழமை கப்பலில் செல்கிறோம்.
sailing	கப்பல் பயணம்	கப்பல் பயணம் இங்கே பிரபலமானது.
salary	சம்பளம்	அவரின் சம்பளம் இப்போது அதிகம்.
sale	விற்பனை	விற்பனை நாளை தொடங்குகிறது.
sauce	சாஸ்	அரிசியில் சாஸ் சேர்க்கவும்.
save	சேமி	உன் வேலையை இப்போது சேமி.
scared	பயந்த	குழந்தை பயந்ததாக உணர்கிறது.
scary	பயமுறுத்தும்	இந்த கதை பயமுறுத்துகிறது.
scene	காட்சி	இறுதி காட்சி நகைச்சுவையாக இருந்தது.
schedule	அட்டவணை	இன்றைய அட்டவணையை பார்.
score	மதிப்பெண்	மதிப்பெண் என்ன?
screen	திரை	திரையை கவனமாக சுத்தம் செய்.
search	தேடு	படங்களுக்கு இணையத்தில் தேடு.
season	காலம்	கோடை ஒரு பரபரப்பான காலம்.
seat	இருக்கை	தயவுசெய்து இந்த இருக்கையை எடு.
second1 (next after the first)	இரண்டாவதாக	இரண்டாவதாக, கைகளை கழுவு.
secondly	இரண்டாவதாக	இரண்டாவதாக, பதிலை சரிபார்.
secret	ரகசியம்	இந்த ரகசியத்தை பாதுகாப்பாக வை.
secretary	செயலாளர்	செயலாளர் இன்று அழைத்தார்.
seem	தோன்று	நீ சோர்வாக தெரிகிறாய்.
sense	அர்த்தம்	இந்த திட்டத்திற்கு அர்த்தம் உள்ளது.
separate	தனியான	காகிதங்களை தனியாக வை.
series	தொடர்	இந்த தொடர் பிரபலமானது.
serious	தீவிரமான	இந்த பிரச்சினை தீவிரமானது.
serve	பரிமாறு	அவர்கள் மதிய உணவை பரிமாறுகிறார்கள்.
service	சேவை	சேவை வேகமாக இருந்தது.
several	பல	பல மாணவர்கள் சீக்கிரம் வந்தனர்.
shake	குலுக்கு	முதலில் பாட்டிலை குலுக்கு.
shall modal	வேண்டுமா	நாம் இப்போது தொடங்கலாமா?
shape	வடிவம்	ஒரு சதுர வடிவம் வரை.
sheet	தாள்	தாளை படுக்கையில் போடு.
ship	கப்பல்	கப்பல் இன்று புறப்பட்டது.
shoulder	தோள்	என் தோள் வலிக்கிறது.
shout	கத்து	வகுப்பில் கத்தாதே.
shut	மூடு	தயவுசெய்து ஜன்னலை மூடு.
side	பக்கம்	இந்த பக்கத்தில் உட்கார்.
sign	அடையாளம்	அடையாளத்தை கவனமாக படி.
silver	வெள்ளி	வெள்ளி ஒரு பிரகாசமான உலோகம்.
simple	எளிய	இந்த பயிற்சி எளியது.
since	முதல்	நான் மதியம் முதல் காத்திருக்கிறேன்.
singing	பாடுதல்	பாடுதல் எனக்கு ஓய்வளிக்கிறது.
single	ஒற்றை	நான் ஒற்றை டிக்கெட் வாங்கினேன்.
sir	ஐயா	ஐயா, உங்கள் பை தயார்.
site	தளம்	இந்த தளம் பாதுகாப்பானது.
size	அளவு	உனக்கு எந்த அளவு வேண்டும்?
ski	ஸ்கீ செய்	நாங்கள் குளிர்காலத்தில் ஸ்கீ செய்கிறோம்.
skiing	ஸ்கீ செய்வது	குளிர்காலத்தில் ஸ்கீ செய்வது மகிழ்ச்சி தரும்.
skin	தோல்	அவளின் தோல் உலர்ந்ததாக உணர்கிறது.
sky	வானம்	வானம் தெளிவாக உள்ளது.
slowly	மெதுவாக	பனியில் மெதுவாக நட.
smartphone	ஸ்மார்ட்போன்	என் ஸ்மார்ட்போன் புதியது.
smell	மணம் வீசு	சூப் நல்ல மணம் வீசுகிறது.
smile	சிரி	கேமராவுக்காக சிரி.
smoke	புகை	புகை அறையை நிரப்பியது.
smoking	புகைபிடித்தல்	புகைபிடித்தல் அனுமதிக்கப்படவில்லை.
soap	சோப்பு	சோப்பும் தண்ணீரும் பயன்படுத்து.
soccer	கால்பந்து	கால்பந்து இங்கே பிரபலமானது.
social	சமூக	இது ஒரு சமூக நிகழ்வு.
society	சமூகம்	சமூகம் காலத்துடன் மாறுகிறது.
sock	காலுறை	ஒரு காலுறை காணவில்லை.
soft	மென்மையான	இந்த போர்வை மென்மையானது.
soldier	சிப்பாய்	சிப்பாய் வீட்டிற்கு வந்தார்.
solution	தீர்வு	நாங்கள் ஒரு தீர்வைக் கண்டோம்.
solve	தீர்த்து விடு	இந்த புதிரை தீர்த்து விடு.
somewhere	எங்காவது	அதை எங்காவது பாதுகாப்பாக வை.
sort	வகை	உனக்கு எந்த வகை வேண்டும்?
source	மூலம்	முதலில் மூலத்தை சரிபார்.
speaker	பேச்சாளர்	பேச்சாளர் சத்தமாக இருந்தார்.
specific	குறிப்பிட்ட	எனக்கு குறிப்பிட்ட பதில் வேண்டும்.
speech	பேச்சு	அவளின் பேச்சு குறுகியது.
speed	வேகம்	இங்கே உன் வேகத்தை குறை.
spider	சிலந்தி	சுவரில் ஒரு சிலந்தி உள்ளது.
spoon	கரண்டி	சூப்புக்கு கரண்டி பயன்படுத்து.
square	சதுர	ஒரு சதுர பெட்டியை வரை.
stage	மேடை	இசைக்குழு மேடையில் உள்ளது.
stair	படி	படி உடைந்துள்ளது.
stamp	அஞ்சல் முத்திரை	கடிதத்தில் அஞ்சல் முத்திரை ஒட்டு.
state	கூறு	உன் பெயரை தெளிவாக கூறு.
steal	திருடு	பணத்தை திருடாதே.
step	படி	ஒரு படி முன்னேறு.
stomach	வயிறு	என் வயிறு வலிக்கிறது.
stone	கல்	கல் கனமாக உள்ளது.
store	கடை	கடை சீக்கிரம் மூடுகிறது.
storm	புயல்	ஒரு புயல் வருகிறது.
straight	நேராக	நேராக வீட்டிற்கு போ.
strange	விசித்திரமான	அந்த ஒலி விசித்திரமாக உள்ளது.
strategy	திட்டம்	எங்களுக்கு ஒரு திட்டம் தேவை.
stress	மன அழுத்தம்	வேலை மன அழுத்தத்தை ஏற்படுத்தலாம்.
structure	அமைப்பு	இந்த அமைப்பு வலிமையானது.
stupid	முட்டாள்தனமான	அது ஒரு முட்டாள்தனமான தவறு.
succeed	வெற்றி பெறு	நீ இங்கே வெற்றி பெற முடியும்.
successful	வெற்றிகரமான	அவள் வெற்றிகரமானவளானாள்.
such	அத்தகைய	அத்தகைய உதவி பயனுள்ளது.
suddenly	திடீரென	திடீரென, நாய் ஓடிப்போனது.
suggest	பரிந்துரை செய்	நான் ஒரு குறுகிய ஓய்வை பரிந்துரைக்கிறேன்.
suggestion	பரிந்துரை	உன் பரிந்துரை உதவியானது.
suit	சூட்	இந்த சூட் விலையுயர்ந்தது.
support	ஆதரி	நாங்கள் எங்கள் அணியை ஆதரிக்கிறோம்.
suppose	நினை	நீ சரி என்று நினைக்கிறேன்.
surprise	ஆச்சரியம்	ஆச்சரியம் அவளை மகிழ்ச்சிப்படுத்தியது.
surprised	ஆச்சரியப்பட்ட	அவள் இன்று ஆச்சரியப்பட்டாள்.
surprising	ஆச்சரியமான	முடிவு ஆச்சரியமானது.
survey	கணக்கெடுப்பு	தயவுசெய்து கணக்கெடுப்பை முடி.
sweet	இனிப்பு	இந்த தேநீர் இனிப்பாக உள்ளது.
symbol	சின்னம்	இந்த சின்னம் ஆபத்தை குறிக்கிறது.
system	அமைப்பு	அமைப்பு நன்றாக வேலை செய்கிறது.
tablet	டேப்லெட்	என் டேப்லெட் மேசையில் உள்ளது.
target	இலக்கு	இலக்கை கவனமாக அடி.
task	பணி	இந்த பணி எளிது.
taste	சுவை பார்	முதலில் சூப்பை சுவை பார்.
teaching	கற்பித்தல்	கற்பித்தல் கடினமான வேலை.
technology	தொழில்நுட்பம்	தொழில்நுட்பம் விரைவாக மாறுகிறது.
teenage	பதின்பருவ	என் பதின்பருவ சகோதரன் கடினமாக படிக்கிறான்.
temperature	வெப்பநிலை	வெப்பநிலை குறைவாக உள்ளது.
term	பருவம்	இந்த பருவம் விரைவில் முடியும்.
themselves	அவர்களே	அவர்களே இரவு உணவு சமைத்தனர்.
thick	தடிமனான	இந்த புத்தகம் தடிமனானது.
thief	திருடன்	திருடன் ஓடிப்போனான்.
thin	மெல்லிய	காகிதம் மெல்லியது.
thinking	சிந்தனை	சிந்தனைக்கு நேரம் பிடிக்கும்.
thought	எண்ணம்	எனக்கு ஒரு விசித்திரமான எண்ணம் வந்தது.
throw	எறி	பந்தை மெதுவாக எறி.
tidy	சுத்தமான	உன் அறையை சுத்தமாக வை.
tie	கட்டு	உன் காலணிகளை இப்போது கட்டு.
tip	டிப்	சேவைக்காக ஒரு டிப் விட்டு வை.
tool	கருவி	சரியான கருவியை பயன்படுத்து.
top	மேல்	மேல் அலமாரி நிரம்பியுள்ளது.
touch	தொடு	கண்ணாடியை தொடாதே.
tour	சுற்றுப்பயணம்	நாங்கள் நகர சுற்றுப்பயணம் செய்தோம்.
tourism	சுற்றுலா	சுற்றுலா இந்த நகரத்திற்கு உதவுகிறது.
towards	நோக்கி	நிலையத்தை நோக்கி நட.
towel	துண்டு	ஒரு சுத்தமான துண்டை கொண்டு வா.
tower	கோபுரம்	கோபுரம் மிகவும் பழமையானது.
toy	விளையாட்டு பொருள்	விளையாட்டு கார் சிவப்பாக உள்ளது.
track	பாதை	பாதை வடக்கே செல்கிறது.
tradition	பாரம்பரியம்	இந்த பாரம்பரியம் பழமையானது.
traditional	பாரம்பரிய	அவள் பாரம்பரிய உடை அணிந்தாள்.
trainer	பயிற்சியாளர்	என் பயிற்சியாளர் உதவியானவர்.
training	பயிற்சி	பயிற்சி நாளை தொடங்குகிறது.
transport	போக்குவரத்து	பொது போக்குவரத்து தாமதமாக உள்ளது.
traveller	பயணி	பயணி உதவி கேட்டார்.
trouble	சிக்கல்	நேற்று எங்களுக்கு சிக்கல் இருந்தது.
truck	லாரி	லாரி வெளியே உள்ளது.
twin	இரட்டை	என் இரட்டை சகோதரி உயரமானவர்.
typical	வழக்கமான	இது ஒரு வழக்கமான நாள்.
underground	நிலத்தடி	ரயில் நிலத்தடியில் ஓடுகிறது.
understanding	புரிதல்	உன் புரிதல் சரியானது.
unfortunately	துரதிருஷ்டவசமாக	துரதிருஷ்டவசமாக, கடை மூடப்பட்டுள்ளது.
unhappy	மகிழ்ச்சியற்ற	அவன் மகிழ்ச்சியற்றதாக தெரிகிறான்.
uniform	சீருடை	அவள் பள்ளி சீருடை அணிகிறாள்.
unit	அலகு	இந்த அலகு சிறியது.
united	ஒற்றுமையான	அணி ஒற்றுமையாக இருந்தது.
unusual	அசாதாரண	அந்த ஒலி அசாதாரணமானது.
used to modal	முன்பு வழக்கம்	நாங்கள் முன்பு இங்கே வாழ்வது வழக்கம்.
user	பயனர்	ஒவ்வொரு பயனருக்கும் எண் உள்ளது.
usual	வழக்கமான	நான் என் வழக்கமான இருக்கையை எடுத்தேன்.
valley	பள்ளத்தாக்கு	பள்ளத்தாக்கு பசுமையாக உள்ளது.
van	வேன்	வேன் நிரம்பியுள்ளது.
variety	பலவகை	எங்களுக்கு மேலும் பலவகை தேவை.
vehicle	வாகனம்	இந்த வாகனம் மெதுவானது.
view	காட்சி	காட்சி அழகாக உள்ளது.
virus	வைரஸ்	ஒரு வைரஸ் அவனை நோயாளியாக்கியது.
voice	குரல்	அவளின் குரல் அமைதியாக உள்ளது.
war	போர்	போர் பல ஆண்டுகளுக்கு முன் முடிந்தது.
washing	துவைத்த துணிகள்	துவைத்த துணிகள் வெளியே உள்ளன.
wave	அலை	ஒரு அலை படகை மோதியது.
weak	பலவீனமான	என் கால்கள் பலவீனமாக உணர்கின்றன.
web	வலை	வலை பக்கம் திறந்துள்ளது.
wedding	திருமணம்	திருமணம் விரைவில் தொடங்குகிறது.
weight	எடை	முதலில் எடையை சரிபார்.
wet	ஈரமான	என் காலணிகள் ஈரமாக உள்ளன.
wheel	சக்கரம்	சக்கரம் உடைந்துள்ளது.
while	சிறிது நேரம்	சிறிது நேரம் இங்கே காத்திரு.
whole	முழு	நான் முழு ஆப்பிளையும் சாப்பிட்டேன்.
whose	யாருடைய	இந்த தொலைபேசி யாருடையது?
wide	அகலமான	சாலை அகலமானது.
wild	காட்டு	காட்டு விலங்குகள் இங்கே வாழ்கின்றன.
wind1	காற்று	காற்று வலுவாக உள்ளது.
winner	வெற்றியாளர்	வெற்றியாளர் சிரித்தார்.
wish	விருப்பம்	ஒரு விருப்பம் கேள்.
wood	மரம்	நாற்காலி மரத்தால் செய்யப்பட்டது.
