simplified	KK	example_KK
爱	жақсы көру; ұнату	Мен анамды жақсы көремін.
八	сегіз	Менде сегіз кітап бар.
爸爸	әке; әкей	Әкем үйде.
杯子	стақан; кесе	Бұл стақан үлкен.
北京	Бейжің	Мен Бейжіңде жұмыс істеймін.
本	кітаптарға арналған есептік сөз; том	Менде бір кітап бар.
不	емес; жоқ	Мен күріш жемеймін.
不客气	оқасы жоқ	Рақмет. Оқасы жоқ.
菜	тағам; көкөніс	Бұл тағам дәмді.
茶	шай	Мен шай ішемін.
吃	жеу	Мен алма жеймін.
出租车	такси	Мен мектепке таксимен барамын.
打电话	телефон соғу; қоңырау шалу	Мен қоңырау шалып жатырмын.
大	үлкен	Бұл мектеп үлкен.
的	-ның; -нің; тәуелдік көрсеткіші	Бұл менің кітабым.
点	сағат; нүкте; аздап	Қазір сағат сегіз.
电脑	компьютер	Компьютерім үстелдің үстінде.
电视	теледидар	Мен теледидар көремін.
电影	кино; фильм	Маған кино ұнайды.
东西	зат; нәрсе	Бұл қандай зат?
都	бәрі; барлығы	Біз бәріміз оқушымыз.
读	оқу	Мен кітап оқимын.
对不起	кешіріңіз; кешір	Кешіріңіз, мен сізді танымаймын.
多	көп; көбірек	Менің достарым көп.
多少	қанша; неше	Бұл стақан қанша тұрады?
儿子	ұл; ұл бала	Менің ұлым оқушы.
二	екі	Ақпанда суық болады.
饭馆	мейрамхана; асхана	Мейрамхана мектептің алдында.
飞机	ұшақ	Мен Бейжіңге ұшақпен барамын.
分钟	минут	Мен бес минут оқимын.
高兴	қуанышты; риза	Мен бүгін өте қуаныштымын.
个	жалпы есептік сөз	Менде бір дос бар.
工作	жұмыс істеу; жұмыс	Мен Бейжіңде жұмыс істеймін.
狗	ит	Маған иттер ұнайды.
汉语	қытай тілі	Мен қытай тілін үйренемін.
好	жақсы	Бүгін ауа райы жақсы.
喝	ішу	Мен су ішемін.
和	және; бірге	Мен досыммен мектепке барамын.
很	өте	Ол өте әдемі.
后面	артында; кейін	Мектеп мейрамхананың артында.
回	қайту	Мен үйге қайтып бара жатырмын.
会	істей алу; білу	Мен қытайша сөйлей аламын.
火车站	теміржол вокзалы	Теміржол вокзалы үлкен.
几	неше; бірнеше	Сенде неше дос бар?
家	үй; отбасы	Менің үйім Бейжіңде.
叫	аталу; шақыру	Сенің атың кім?
今天	бүгін	Бүгін ыстық.
九	тоғыз	Қазір сағат тоғыз.
开	ашу; қосу	Мен компьютерді қосып жатырмын.
看	қарау; көру; оқу	Мен кітап оқимын.
看见	көру	Мен мұғалімді көріп тұрмын.
块	бөлік; юань	Бұл кітап он юань тұрады.
来	келу	Ол мектепке келеді.
老师	мұғалім	Мұғалім мектепте.
了	аяқталғандық шылауы	Мен күріш жедім.
冷	суық	Бүгін суық.
里	ішінде; -да; -де	Стақанда су бар.
零	нөл	Нөл бір емес.
六	алты	Қазір сағат алты.
妈妈	ана; апа	Анам шай ішіп отыр.
吗	иә-жоқ сұрақ шылауы	Сен оқушысың ба?
买	сатып алу	Мен алма сатып алып жатырмын.
猫	мысық	Мысық орындықтың үстінде.
没	жоқ; істемеген	Менде ақша жоқ.
没关系	оқасы жоқ; ештеңе етпейді	Оқасы жоқ.
米饭	пісірілген күріш; күріш	Мен күріш жеймін.
名字	ат; есім	Сенің атың кім?
明天	ертең	Ертең мен Бейжіңге барамын.
哪	қай; қайда; қай жаққа	Сен қайда бара жатырсың?
那	анау; сол; ол	Анау менің мұғалімім.
呢	сұрақ шылауы; ше	Сен ше?
能	істей алу; мүмкін болу	Мен барсам бола ма?
你	сен; сіз	Қалың қалай?
年	жыл	Бір жылда он екі ай бар.
女儿	қыз; қыз бала	Оның қызы өте әдемі.
朋友	дос	Ол менің досым.
漂亮	әдемі	Ол өте әдемі.
苹果	алма	Маған алма ұнайды.
七	жеті	Қазір сағат жеті.
前面	алдында; алды	Мейрамхана дүкеннің алдында.
钱	ақша	Менде ақша жоқ.
请	өтінемін; шақыру; сұрау	Өтінемін, шай ішіңіз.
去	бару	Мен мектепке барамын.
热	ыстық	Бүгін ыстық.
人	адам; кісі; адамдар	Мектепте адамдар көп.
认识	тану; білу	Мен оны танимын.
日	күн; ай-күні	Бүгін бірінші наурыз.
三	үш	Менде үш стақан бар.
商店	дүкен	Дүкен мектептің алдында.
上	үстінде; жоғарыда	Кітап үстелдің үстінде.
上午	таңертең; түске дейін	Таңертең мен қытай тілін үйренемін.
少	аз; кем	Оқушылар аз.
什么	не	Бұл не?
十	он	Менде он кітап бар.
时候	уақыт; кез	Сен қашан келесің?
是	болу; болып табылады	Мен оқушымын.
书	кітап	Мен кітап оқимын.
谁	кім	Ол кім?
水	су	Мен су ішемін.
水果	жеміс; жеміс-жидек	Мен жеміс-жидек сатып алып жатырмын.
睡觉	ұйықтау	Мен ұйықтауға бара жатырмын.
说话	сөйлеу	Мұғалім сөйлеп жатыр.
四	төрт	Менде төрт дос бар.
岁	жас	Мен он жастамын.
他	ол; ер адам	Ол мұғалім.
她	ол; әйел адам	Ол оқушы қыз.
太	тым; өте	Бұл стақан тым үлкен.
天气	ауа райы	Бүгін ауа райы жақсы.
听	тыңдау; есту	Мен мұғалімнің сөйлеп жатқанын тыңдап отырмын.
同学	сыныптас; курстас	Ол менің сыныптасым.
喂	алло	Алло?
我	мен; мені; менің	Мен дәрігермін.
我们	біз	Біз мектепке бара жатырмыз.
五	бес	Менде бес алма бар.
喜欢	ұнату	Маған шай ішу ұнайды.
下	астында; төмен; келесі	Кітап үстелдің астында.
下午	түстен кейін	Түстен кейін мен дүкенге барамын.
下雨	жаңбыр жауу	Бүгін жаңбыр жауып жатыр.
先生	мырза; күйеу	Сәлеметсіз бе, мырза.
现在	қазір	Қазір мен мектептемін.
想	қалау; ойлау	Мен су ішкім келеді.
小	кіші; кішкентай	Бұл стақан кішкентай.
小姐	ханым; бойжеткен	Сәлеметсіз бе, ханым.
些	бірнеше; біраз	Менде бірнеше кітап бар.
写	жазу	Мен иероглифтер жазамын.
谢谢	рақмет	Рақмет.
星期	апта; аптаның күні	Бүгін дүйсенбі.
学生	оқушы; студент	Мен оқушымын.
学习	оқу; үйрену	Мен қытай тілін үйренемін.
学校	мектеп	Мектеп үлкен.
一	бір	Менде бір стақан бар.
衣服	киім; киім-кешек	Мен киім сатып алып жатырмын.
医生	дәрігер	Ол дәрігер.
医院	аурухана	Аурухана мектептің алдында.
椅子	орындық	Орындық үстелдің артында.
有	бар; ие болу	Менің достарым бар.
月	ай	Бүгін төртінші мамыр.
再见	сау бол; көріскенше	Сау болыңыз, ұстаз.
在	-да; -де; болу	Мен үйдемін.
怎么	қалай	Бұл иероглиф қалай оқылады?
怎么样	қалай; қалайсың	Бүгін қалайсың?
这	бұл; бұлар; мынау	Бұл менің кітабым.
中国	Қытай	Мен Қытайға барамын.
中午	түс	Түсте мен күріш жеймін.
住	тұру; өмір сүру	Мен Бейжіңде тұрамын.
桌子	үстел	Кітап үстелдің үстінде.
字	иероглиф; әріп; жазу	Бұл иероглиф кішкентай.
昨天	кеше	Кеше мен кино көрдім.
坐	отыру; міну	Мен ұшаққа мініп Бейжіңге барамын.
做	істеу; жасау	Мен тамақ дайындаймын.
