source_headword	PT	example_PT
toss	atirar	Ela atirou as chaves para cima da mesa.
total	totalizar	As reparações totalizam mais do que o esperado.
toxic	tóxico	O fumo tóxico forçou toda a gente a ir lá para fora.
trademark	a marca registada	O logótipo tornou-se a marca registada da empresa.
trail	o trilho	O trilho levava pela floresta.
trailer	o trailer	O trailer mostrou o final do filme.
transaction	a transação	A transação apareceu no meu extrato bancário.
transcript	o certificado de habilitações	O aluno pediu um certificado de habilitações oficial.
transformation	a transformação	A cidade assistiu a uma grande transformação.
transit	o trânsito	A encomenda foi danificada durante o trânsito.
transmission	a transmissão	A transmissão de dados foi segura.
transparency	a transparência	O relatório pedia maior transparência.
transparent	transparente	O processo deve ser transparente para todos.
trauma	o trauma	O acidente deixou um trauma profundo.
treaty	o tratado	Os países assinaram um tratado de paz.
tremendous	tremendo	A equipa fez um tremendo progresso.
tribal	tribal	O museu exibia arte tribal.
tribunal	o tribunal	O tribunal ouviu os testemunhos toda a semana.
tribute	a homenagem	O concerto foi uma homenagem a ela.
trio	o trio	O trio atuou no festival.
triumph	o triunfo	A vitória foi um triunfo pessoal.
trophy	o troféu	O capitão levantou o troféu com orgulho.
troubled	conturbado	A empresa conturbada precisava de nova liderança.
trustee	o administrador	O administrador gere o fundo de bolsas de estudo.
tuition	a propina	A sua propina aumentou este ano.
turnout	a afluência	A afluência às urnas foi maior do que o esperado.
turnover	a rotatividade	A rotatividade de pessoal diminuiu após as mudanças.
twist	torcer	Ela torceu a tampa para abrir.
undergraduate	o aluno de licenciatura	O aluno de licenciatura juntou-se a um projeto de investigação.
underlying	subjacente	O relatório explicou as causas subjacentes.
undermine	minar	O escândalo minou a confiança pública.
undoubtedly	sem dúvida	Ela é sem dúvida a melhor candidata.
unify	unificar	O plano visa unificar as equipas.
unprecedented	sem precedentes	A tempestade causou danos sem precedentes.
unveil	revelar	A empresa vai revelar o design amanhã.
upcoming	próximo	A próxima eleição atraiu a atenção do público.
upgrade	atualizar	Nós atualizámos o software ontem à noite.
uphold	manter	Nós mantemos a decisão original.
utility	o serviço público	O apartamento inclui todas as despesas com serviços.
utilize	utilizar	A equipa utilizou os dados disponíveis.
utterly	totalmente	A explicação foi totalmente confusa.
vacuum	o vazio	O vazio na liderança criou tensão.
vague	vago	A resposta dele foi vaga e fraca.
validity	a validade	O estudo questionou a validade do teste.
vanish	desaparecer	O ficheiro desapareceu da pasta.
variable	a variável	O preço é uma variável importante.
varied	variado	O curso oferece trabalhos variados.
vein	a veia	A enfermeira encontrou uma veia rapidamente.
venture	o empreendimento	O novo empreendimento atraiu investidores.
verbal	verbal	Eles chegaram a um acordo verbal.
verdict	o veredicto	O júri deu o seu veredicto.
verify	verificar	Por favor, verifique o seu endereço de email.
verse	o verso	Ela citou um verso do poema.
versus	contra	O debate foi privacidade contra segurança.
vessel	o navio	O navio transportou cereais através do mar.
veteran	o veterano	O veterano treinou o novo pessoal.
viable	viável	A proposta é financeiramente viável.
vibrant	vibrante	A cidade tem uma cena artística vibrante.
vice	o vício	A ganância era o seu maior vício.
vicious	cruel	O ataque cruel chocou a cidade.
villager	o aldeão	Um aldeão guiou-nos até ao rio.
violate	violar	A empresa pode violar as regras de segurança.
violation	a violação	O inspetor reportou uma violação grave.
virtue	a virtude	A paciência é uma virtude importante.
vocal	franco	Ela foi franca sobre a decisão.
vow	jurar	Ele jurou terminar o trabalho.
vulnerability	a vulnerabilidade	A auditoria revelou uma vulnerabilidade de segurança.
vulnerable	vulnerável	As crianças estão vulneráveis durante o calor extremo.
ward	a enfermaria	O paciente mudou-se para outra enfermaria.
warehouse	o armazém	O armazém guarda peças de reposição.
warfare	a guerra	A guerra moderna depende da tecnologia.
warrant	o mandado	A polícia mostrou um mandado de busca.
warrior	o guerreiro	O guerreiro protegeu a aldeia.
weaken	enfraquecer	A lesão enfraqueceu o seu aperto.
weave	tecer	Ela aprendeu a tecer cestos.
weed	a erva daninha	Uma erva daninha cresceu entre as pedras.
well	o poço	O poço da aldeia secou.
well-being	o bem-estar	O sono é vital para o bem-estar.
whatsoever	de todo	Ele não demonstrou interesse de todo.
whereby	pelo qual	A lei criou um sistema pelo qual as famílias poderiam recorrer.
whilst	enquanto	Ela trabalhou enquanto ele descansava.
whip	chicotear	O vento pode sacudir as bandeiras.
wholly	totalmente	A decisão foi totalmente inesperada.
widen	alargar	A cidade planeia alargar a estrada.
widow	a viúva	A viúva mora perto da escola.
width	a largura	Meça a largura da porta.
willingness	a disposição	A sua disposição para ajudar impressionou todos.
wipe	limpar	Limpe o ecrã com um pano.
wit	o humor	O seu humor tornou o discurso animado.
withdrawal	a retirada	A retirada do financiamento atrasou o projeto.
workout	o treino	O treino durou quarenta minutos.
worship	o culto	As pessoas reuniram-se para o culto ao amanhecer.
worthwhile	proveitoso	A viagem valeu a pena.
worthy	digno	A instituição de caridade é digna de apoio.
yell	gritar	Não grite com o pessoal.
yield	o rendimento	O rendimento da quinta melhorou esta temporada.
youngster	o jovem	O jovem fez muitas perguntas.
