source_headword	RO	example_RO
toss	a arunca	A aruncat cheile pe masă.
total	a totaliza	Reparațiile totalizează mai mult decât se aștepta.
toxic	toxic	Fumul toxic i-a forțat pe toți să iasă afară.
trademark	o marcă înregistrată	Logoul a devenit marca înregistrată a companiei.
trail	o potecă	Poteca ducea prin pădure.
trailer	un trailer	Trailerul a arătat finalul filmului.
transaction	o tranzacție	Tranzacția a apărut pe extrasul meu de cont.
transcript	o foaie matricolă	Studentul a solicitat o foaie matricolă oficială.
transformation	o transformare	Orașul a cunoscut o transformare majoră.
transit	un tranzit	Pachetul a fost deteriorat în timpul tranzitului.
transmission	o transmisie	Transmisia datelor a fost sigură.
transparency	o transparență	Raportul a cerut o transparență mai mare.
transparent	transparent	Procesul ar trebui să fie transparent pentru toată lumea.
trauma	o traumă	Accidentul a lăsat o traumă profundă.
treaty	un tratat	Țările au semnat un tratat de pace.
tremendous	enorm	Echipa a făcut un progres enorm.
tribal	tribal	Muzeul a expus artă tribală.
tribunal	un tribunal	Tribunalul a audiat probe toată săptămâna.
tribute	un tribut	Concertul a fost un tribut adus ei.
trio	un trio	Trioul a cântat la festival.
triumph	un triumf	Victoria a fost un triumf personal.
trophy	un trofeu	Căpitanul a ridicat trofeul cu mândrie.
troubled	aflat în dificultate	Compania aflată în dificultate avea nevoie de o nouă conducere.
trustee	un administrator	Administratorul gestionează fondul de burse.
tuition	o taxă de școlarizare	Taxa ei de școlarizare a crescut anul acesta.
turnout	o prezență la vot	Prezența la vot a fost mai mare decât se aștepta.
turnover	o fluctuație	Fluctuația personalului a scăzut după schimbări.
twist	a răsuci	A răsucit capacul pentru a-l deschide.
undergraduate	un student	Studentul s-a alăturat unui proiect de cercetare.
underlying	subiacent	Raportul a explicat cauzele subiacente.
undermine	a submina	Scandalul a subminat încrederea publicului.
undoubtedly	fără îndoială	Ea este, fără îndoială, cel mai bun candidat.
unify	a unifica	Planul își propune să unifice echipele.
unprecedented	fără precedent	Furtuna a provocat daune fără precedent.
unveil	a dezvălui	Compania va dezvălui designul mâine.
upcoming	viitor	Viitoarele alegeri au atras atenția publicului.
upgrade	a actualiza	Am actualizat software-ul aseară.
uphold	a menține	Menținem decizia originală.
utility	o utilitate	Apartamentul include toate costurile cu utilitățile.
utilize	a utiliza	Echipa a utilizat datele disponibile.
utterly	absolut	Explicația a fost absolut confuză.
vacuum	un vid	Vidul din conducere a creat tensiune.
vague	vag	Răspunsul lui a fost vag și slab.
validity	o valabilitate	Studiul a pus la îndoială valabilitatea testului.
vanish	a dispărea	Fișierul a dispărut din dosar.
variable	o variabilă	Prețul este o variabilă importantă.
varied	variat	Cursul oferă sarcini variate.
vein	o venă	Asistenta a găsit o venă rapid.
venture	o afacere	Noua afacere a atras investitori.
verbal	verbal	Au ajuns la un acord verbal.
verdict	un verdict	Juriul a dat verdictul.
verify	a verifica	Vă rugăm să vă verificați adresa de e-mail.
verse	un vers	Ea a citat un vers din poezie.
versus	versus	Dezbaterea a fost intimitate versus securitate.
vessel	o navă	Nava a transportat cereale peste mare.
veteran	un veteran	Veteranul a instruit noul personal.
viable	viabil	Propunerea este viabilă din punct de vedere financiar.
vibrant	vibrant	Orașul are o scenă artistică vibrantă.
vice	un viciu	Lăcomia a fost cel mai mare viciu al său.
vicious	brutal	Atacul brutal a șocat orașul.
villager	un sătean	Un sătean ne-a ghidat până la râu.
violate	a încălca	Compania ar putea încălca regulile de siguranță.
violation	o încălcare	Inspectorul a raportat o încălcare gravă.
virtue	o virtute	Răbdarea este o virtute importantă.
vocal	vocal	Ea a fost vocală în privința deciziei.
vow	a jura	El a jurat să termine munca.
vulnerability	o vulnerabilitate	Auditul a relevat o vulnerabilitate de securitate.
vulnerable	vulnerabil	Copiii sunt vulnerabili în timpul căldurii extreme.
ward	o secție	Pacientul a fost mutat pe o altă secție.
warehouse	un depozit	Depozitul stochează piese de schimb.
warfare	un război	Războiul modern se bazează pe tehnologie.
warrant	un mandat	Poliția a prezentat un mandat de percheziție.
warrior	un războinic	Războinicul a protejat satul.
weaken	a slăbi	Rănirea i-a slăbit strânsoarea.
weave	a țese	A învățat să împletească coșuri.
weed	o buruiană	O buruiană a crescut între pietre.
well	o fântână	Fântâna satului a secat.
well-being	o bunăstare	Somnul este vital pentru bunăstare.
whatsoever	deloc	Nu a arătat absolut niciun interes.
whereby	prin care	Legea a creat un sistem prin care familiile puteau face apel.
whilst	în timp ce	Ea a lucrat în timp ce el s-a odihnit.
whip	a biciui	Vântul poate biciui steagurile.
wholly	în întregime	Decizia a fost în întregime neașteptată.
widen	a lărgi	Orașul intenționează să lărgească drumul.
widow	o văduvă	Văduva locuiește lângă școală.
width	o lățime	Măsurați lățimea ușii.
willingness	o disponibilitate	Dorința ei de a ajuta a impresionat pe toată lumea.
wipe	a șterge	Ștergeți ecranul cu o cârpă.
wit	un spirit	Spiritul său a făcut discursul plin de viață.
withdrawal	o retragere	Retragerea finanțării a întârziat proiectul.
workout	un antrenament	Antrenamentul a durat patruzeci de minute.
worship	o închinare	Oamenii s-au adunat pentru închinare în zori.
worthwhile	care merită	Călătoria a fost una care a meritat.
worthy	demn	Organizația de caritate este demnă de sprijin.
yell	a țipa	Nu țipați la personal.
yield	o recoltă	Randamentul fermei s-a îmbunătățit în acest sezon.
youngster	un tânăr	Tânărul a pus multe întrebări.
