source_headword	JA	example_JA
abandon	放棄する	彼らは昨日その計画を放棄しました。
absolute	絶対的な	ここでは絶対的な正直さが必要です。
acceptable	受け入れられる	彼の答えは受け入れられるものでした。
accompany	同行する	彼女の兄が彼女を家まで送りました。
accurate	正確な	その報告書は正確に見えます。
accuse	告発する	彼らは彼がうそをついたと非難しました。
acknowledge	認める	その間違いを認めてください。
acquire	習得する	彼女は新しい技能をすぐに習得しました。
actual	実際の	実際の費用はもっと低かったです。
adapt	適応する	私たちはその変化に適応しました。
additional	追加の	今日、追加の支援が到着しました。
administration	運営陣	運営陣は方針を変更しました。
adopt	採用する	彼らは新しい方法を採用しました。
advance	進展	私たちは小さな進展を遂げました。
affair	出来事	その出来事は世間の信頼を損ないました。
afterwards	その後	その後、みんな落ち着いた気分になりました。
agency	機関	その機関は三人の翻訳者を雇いました。
agenda	議題	安全が議題に上がっています。
aggressive	攻撃的な	彼の口調は攻撃的に聞こえました。
aid	援助	医療援助がすぐに到着しました。
aircraft	航空機	その航空機は無事に着陸しました。
alter	変更する	その合意を変更しないでください。
anger	怒り	彼の怒りはみんなを驚かせました。
angle	角度	別のカメラ角度を試してください。
anniversary	記念日	彼らの記念日は明日です。
annual	年次の	年次会議は月曜日に始まります。
anxious	不安な	彼女は手術の前に不安を感じました。
apparent	明らかな	彼の失望は明らかでした。
apparently	どうやら	どうやら電車は遅れているようです。
appeal	不服申し立て	その決定には不服申し立てが出るかもしれません。
approach	方法	彼女の方法はその問題を解決しました。
appropriate	適切な	適切な返答を選んでください。
approval	承認	そのプロジェクトには承認が必要です。
approve	承認する	取締役会は予算を承認しました。
arise	生じる	問題は後で生じるかもしれません。
armed	武装した	武装した警備員が外に立っていました。
arms	武器	彼らは武器を置きました。
artificial	人工の	その花は人工のように見えました。
artistic	芸術的な	彼女には芸術的な才能があります。
ashamed	恥じている	彼は後で恥ずかしく感じました。
aspect	側面	あらゆる側面を慎重に考えてください。
assess	評価する	私たちは被害を評価しなければなりません。
assessment	評価	その評価には二時間かかりました。
associate	結びつける	人々は煙を危険と結びつけます。
associated	関連した	ストレスは病気と関連しています。
association	協会	その協会は若い芸術家を支援しています。
assume	思う	あなたが同意していると思います。
attempt	試み	彼の最初の試みは失敗しました。
bacteria	細菌	細菌はすぐに広がることがあります。
barrier	障壁	言語が障壁になりました。
basically	基本的に	基本的に、私たちにはもっと時間が必要です。
bear (deal with)	耐える	私はこの騒音に耐えられません。
