source_headword	LV	example_LV
stranger	svešinieks	Kāds svešinieks paprasīja ceļu.
strength	spēks	Viņas spēks palīdzēja komandai.
string	aukla	Apsieniet kasti ar auklu.
strongly	stingri	Es stingri nepiekrītu šai idejai.
studio	studija	Mākslinieks strādā nelielā studijā.
stuff	mantas	Noliec savas mantas uz plaukta.
substance	viela	Policija atrada dīvainu vielu.
successfully	veiksmīgi	Viņi veiksmīgi pabeidza projektu.
sudden	pēkšņs	Pēkšņs troksnis mūs pamodināja.
suffer	ciest	Daudzi augi cieš sausā laikā.
suitable	piemērots	Šī jaka ir piemērota skolai.
summarize	apkopot	Vai vari apkopot rakstu?
summary	kopsavilkums	Šovakar uzraksti īsu kopsavilkumu.
supply	apgāde	Pilsētai nepieciešama tīra ūdens apgāde.
supporter	atbalstītājs	Katrs atbalstītājs skaļi uzgavilēja.
surely	noteikti	Mēs noteikti varam to atrisināt.
surface	virsma	Virsma šķita auksta un gluda.
survive	izdzīvot	Šie dzīvnieki izdzīvo aukstās ziemās.
switch	izslēgt	Izslēdz virtuves gaismu.
symptom	simptoms	Klepus var būt simptoms.
tail	aste	Sunim ir gara aste.
talent	talants	Viņai ir talants mūzikā.
talented	talantīgs	Viņš ir talantīgs jauns aktieris.
tape	līmlente	Izmanto līmlenti, lai aizvērtu kasti.
tax	nodoklis	Ikvienam ir jāmaksā šis nodoklis.
technical	tehnisks	Mums bija tehniska problēma.
technique	metode	Šī metode ietaupa laiku.
tend	mēdz	Bērni mēdz mācīties ātri.
tent	telts	Mēs gulējām nelielā teltī.
theirs	viņu	Zilie velosipēdi ir viņu.
theme	tēma	Ballītei bija pludmales tēma.
theory	teorija	Viņa teorija izskaidro problēmu.
therefore	tāpēc	Lija lietus, tāpēc mēs palikām iekšā.
though	kaut arī	Kaut arī nogurusi, viņa turpināja strādāt.
throat	kakls	Šorīt man sāp kakls.
throughout	visu	Cilvēki dejoja visu vakaru.
tight	ciešs	Šīs kurpes šķiet pārāk ciešas.
till	līdz	Pagaidi šeit, līdz es atgriezīšos.
tin	bundža	Atver pupiņu bundžu.
tiny	sīks	Sīks putns nolaidās netālu.
toe	kājas pirksts	Vakar es savainoju kājas pirkstu.
tongue	mēle	Viņa apdedzināja mēli ar tēju.
total	kopējais	Kopējās izmaksas bija zemas.
totally	pilnīgi	Es pilnīgi saprotu tavas bažas.
trade	tirdzniecība	Starptautiskā tirdzniecība rada darbavietas.
translate	tulkot	Lūdzu, iztulko šo teikumu.
translation	tulkojums	Tulkojums izklausās dabiski.
treat	izturēties	Izturies pret visiem ar cieņu.
treatment	ārstēšana	Pacientam šodien nepieciešama ārstēšana.
trend	tendence	Šī tendence pieaug visā pasaulē.
trick	triks	Tas kāršu triks mani pārsteidza.
truth	patiesība	Lūdzu, saki patiesību.
tube	tūbiņa	Viegli saspied tūbiņu.
typically	parasti	Studenti parasti ierodas pirms deviņiem.
tyre	riepa	Automašīnai nepieciešama jauna riepa.
ugly	neglīts	Tā sienas krāsa izskatās neglīta.
unable	nespējīgs	Viņš nespēja atbildēt.
uncomfortable	neērts	Šis krēsls ir neērts.
underwear	apakšveļa	Iepako ceļojumam tīru apakšveļu.
unemployed	bez darba	Viņa bija bez darba divus mēnešus.
unemployment	bezdarbs	Ziemas laikā bezdarbs pieauga.
unfair	netaisnīgs	Lēmums šķita netaisnīgs.
union	arodbiedrība	Arodbiedrība prasīja drošāku darbu.
unless	ja vien ne	Neaizej, ja vien es nepiezvanu.
unlike	atšķirībā no	Atšķirībā no Toma, Annai patīk ziema.
unlikely	maz ticams	Sniegs šonedēļ ir maz ticams.
unnecessary	nevajadzīgs	Papildu somas ir nevajadzīgas.
unpleasant	nepatīkams	Istabā bija nepatīkama smaka.
update	atjaunināt	Man jāatjaunina savs telefons.
upon	reiz	Reiz dzīvoja karalis.
upset	sarūgtināts	Viņa jutās sarūgtināta pēc zvana.
used1	tiek izmantots	Šī telpa tiek izmantota sanāksmēm.
used2	pieradis	Esmu pieradis pie agriem rītiem.
valuable	vērtīgs	Šis pulkstenis ir vērtīgs.
value	vērtība	Māja pagājušajā gadā zaudēja vērtību.
various	dažāds	Mēs nogaršojām dažādus vietējos ēdienus.
version	versija	Šī versija strādā labāk.
victim	upuris	Upuris piezvanīja policijai.
viewer	skatītājs	Kāds skatītājs uzdeva jautājumu.
violent	vardarbīgs	Filma bija pārāk vardarbīga.
volunteer	strādāt brīvprātīgi	Es strādāju brīvprātīgi bibliotēkā.
vote	balsot	Atceries rīt nobalsot.
warn	brīdināt	Es centos viņu brīdināt.
warning	brīdinājums	Ekrānā parādījās brīdinājums.
waste	izniekot	Neiznieko tīru ūdeni.
weapon	ierocis	Nazis kļuva par ieroci.
weigh	nosvērt	Uzmanīgi nosver miltus.
western	vesterns	Viņi skatījās vesternu.
whatever	ko vien	Izvēlies to, ko vien vēlies.
whenever	kad vien	Zvani, kad vien tev nepieciešama palīdzība.
whether	vai	Es nezinu, vai viņa piekrīt.
wing	spārns	Putns savainoja vienu spārnu.
within	laikā	Lūdzu, atbildiet divu dienu laikā.
wonder	prātot	Es prātoju, kas notika.
wool	vilna	Šis mētelis ir izgatavots no vilnas.
worldwide	visā pasaulē	Dziesma kļuva populāra visā pasaulē.
worth	vērts	Šo grāmatu ir vērts izlasīt.
written	rakstisks	Lūdzu, atsūtiet rakstiskas instrukcijas.
yard	pagalms	Bērni spēlējās pagalmā.
youth	jaunieši	Jauniešu klubi atbalsta vietējos pusaudžus.
