simplified	MY	example_MY
啊	သဘောတူကြောင်းပြ အဆုံးအမှုန်	ကောင်းပြီ၊ အခု သွားကြစို့။
阿姨	အဒေါ်; ကလေးထိန်းအမျိုးသမီး	အဒေါ်သည် စူပါမားကတ်တွင် အလုပ်လုပ်သည်။
矮	နိမ့်သည်; အရပ်ပုသည်	ဤစားပွဲသည် အနည်းငယ် နိမ့်သည်။
爱好	ဝါသနာ; စိတ်ဝင်စားရာ	ကျွန်ုပ်၏ ဝါသနာမှာ သီချင်းနားထောင်ခြင်း ဖြစ်သည်။
安静	တိတ်ဆိတ်သည်; ငြိမ်သက်သည်	စာကြည့်တိုက်တွင် အလွန်တိတ်ဆိတ်သည်။
把	ကိုင်သည်; အရာဝတ္ထုရှေ့အမှုန်	ကျေးဇူးပြု၍ တံခါးပိတ်ပါ။
搬	ရွှေ့သည်; အိမ်ပြောင်းသည်	ကျွန်ုပ်တို့ မနက်ဖြန် အိမ်ပြောင်းမည်။
班	အတန်း; အဖွဲ့	ကျွန်ုပ်တို့အတန်းတွင် ကျောင်းသားနှစ်ဆယ် ရှိသည်။
办法	နည်းလမ်း; ဖြေရှင်းနည်း	ဤနည်းလမ်းသည် အလွန်ကောင်းသည်။
办公室	ရုံးခန်း	မန်နေဂျာသည် ရုံးခန်းတွင် ရှိသည်။
半	တစ်ဝက်	ကျွန်ုပ် နာရီဝက် စောင့်ခဲ့သည်။
帮忙	ကူညီသည်; အကူအညီ	ကူညီနိုင်ပါသလား။
包	အိတ်; ထုပ်သည်	သူမ အိတ်အသစ်တစ်လုံး ဝယ်ခဲ့သည်။
饱	ဗိုက်ပြည့်သည်	ကျွန်ုပ် ဗိုက်ပြည့်နေပြီ။
北方	မြောက်ပိုင်း; မြောက်ဘက်	မြောက်ပိုင်း၏ ဆောင်းရာသီသည် အလွန်အေးသည်။
被	ခံရကြောင်းပြအမှုန်	ကျွန်ုပ်၏ စက်ဘီးကို သူငယ်ချင်း ငှားသွားသည်။
鼻子	နှာခေါင်း	သူ၏ နှာခေါင်းသည် အနည်းငယ် နီသည်။
比较	နှိုင်းယှဉ်သည်; အတော်အတန်	ယနေ့ အတော်ပူသည်။
比赛	ပြိုင်ပွဲ; ပွဲ	ဤပြိုင်ပွဲသည် အလွန်အရေးကြီးသည်။
笔记本	မှတ်စုစာအုပ်	ကျွန်ုပ် မှတ်စုစာအုပ်ကို စားပွဲပေါ်တွင် ထားခဲ့သည်။
必须	မဖြစ်မနေ လုပ်ရသည်	သင် သေချာစွာ ပြန်လေ့လာရမည်။
变化	ပြောင်းလဲမှု; ပြောင်းလဲသည်	ဤမြို့သည် များစွာ ပြောင်းလဲသွားသည်။
别人	အခြားသူ	အခြားသူ၏ ပစ္စည်းများ မယူပါနှင့်။
冰箱	ရေခဲသေတ္တာ	သစ်သီးများသည် ရေခဲသေတ္တာထဲတွင် ရှိသည်။
不但…而且…	မသာ...ပါသေး...လည်း	သူသည် ဉာဏ်ကောင်းရုံမက အလွန်ကြိုးစားသည်။
菜单	မီနူး; အစားအသောက်စာရင်း	ကျေးဇူးပြု၍ မီနူးတစ်ခု ပေးပါ။
参加	ပါဝင်သည်; တက်ရောက်သည်	ကျွန်ုပ် ဤအစည်းအဝေးတွင် ပါဝင်ချင်သည်။
草	မြက်	ခွေးကလေးသည် မြက်ပေါ်တွင် ပြေးနေသည်။
层	အထပ်; အလွှာ	ဤအဆောက်အအုံတွင် သုံးထပ် ရှိသည်။
差	ဆိုးသည်; လိုအပ်သည်; ကွာသည်	ယနေ့ ရာသီဥတု ဆိုးသည်။
超市	စူပါမားကတ်	ကျွန်ုပ် ပေါင်မုန့်ဝယ်ရန် စူပါမားကတ်သို့ သွားမည်။
衬衫	ရှပ်အင်္ကျီ	ဤရှပ်အင်္ကျီသည် အလွန်သန့်သည်။
城市	မြို့	ပေကျင်းသည် မြို့ကြီးတစ်မြို့ ဖြစ်သည်။
成绩	အမှတ်; ရလဒ်	သူ၏ သင်္ချာအမှတ်များ အလွန်ကောင်းသည်။
迟到	နောက်ကျသည်	အတန်းတက်ရာတွင် နောက်မကျပါနှင့်။
除了	အပြင်; မှလွဲ၍	ကော်ဖီအပြင် ကျွန်ုပ် လက်ဖက်ရည်လည်း လိုချင်သည်။
船	လှေ; သင်္ဘော	ကျွန်ုပ်တို့ လှေစီး၍ ထိုမြို့သို့ သွားမည်။
春	နွေဦး	နွေဦးတွင် ပန်းများစွာ ရှိသည်။
词典	အဘိဓာန်	ဤအဘိဓာန်သည် အလွန်အသုံးဝင်သည်။
聪明	ဉာဏ်ကောင်းသည်	ဤကလေးသည် အလွန်ဉာဏ်ကောင်းသည်။
打扫	သန့်ရှင်းရေးလုပ်သည်	ကျွန်ုပ် အပတ်ကုန်တွင် အခန်းသန့်ရှင်းရေးလုပ်သည်။
打算	အစီအစဉ်ဆွဲသည်; အစီအစဉ်	မနက်ဖြန် သင့်တွင် ဘာအစီအစဉ် ရှိသနည်း။
带	ယူလာသည်; ဆောင်ထားသည်	ကျေးဇူးပြု၍ သင့်ပတ်စပို့ကို ယူလာပါ။
担心	စိုးရိမ်သည်	မစိုးရိမ်ပါနှင့်၊ ကျွန်ုပ် ကူညီမည်။
蛋糕	ကိတ်မုန့်	ဤကိတ်မုန့်သည် အလွန်ချိုသည်။
当然	သေချာပေါက်; တကယ်ပင်	သေချာပေါက် ရနိုင်သည်။
地	ကြိယာဝိသေသနဖွဲ့ အမှုန်	သူ ဝမ်းသာစွာ ပြုံးခဲ့သည်။
灯	မီး; မီးအိမ်	ကျေးဇူးပြု၍ မီးဖွင့်ပါ။
地方	နေရာ	ဤနေရာသည် အလွန်တိတ်ဆိတ်သည်။
地铁	မြေအောက်ရထား	ကျွန်ုပ် နေ့တိုင်း မြေအောက်ရထားစီးပြီး အလုပ်သို့ သွားသည်။
地图	မြေပုံ	ကျွန်ုပ် မြေပုံပေါ်တွင် ကျောင်းကို ရှာသည်။
电梯	ဓာတ်လှေကား	ဓာတ်လှေကားသည် ဘယ်ဘက်တွင် ရှိသည်။
电子邮件	အီးမေးလ်	ကျွန်ုပ် ဆရာထံ အီးမေးလ် ပို့သည်။
东	အရှေ့	နေရောင်သည် အရှေ့ဘက်မှ ထွက်သည်။
冬	ဆောင်းရာသီ	ဆောင်းရာသီတွင် ကျွန်ုပ် လက်ဖက်ရည်ပူ သောက်ရတာ ကြိုက်သည်။
动物	တိရစ္ဆာန်	ပန်ဒါသည် တရုတ်နိုင်ငံ၏ နာမည်ကြီး တိရစ္ဆာန် ဖြစ်သည်။
短	တိုသည်	ဤဘောင်းဘီသည် တိုလွန်းသည်။
