source_headword	JA	example_JA
absolutely	絶対に；まったく	あなたに完全に同意します。
academic	学問の；大学の	学年は九月に始まります。
access	利用；アクセス	学生は図書館を利用する必要があります。
accommodation	宿泊施設	駅の近くに宿泊施設を予約しました。
account	口座；アカウント	彼女は新しい銀行口座を開きました。
achievement	達成；成果	そのコースを終えたことは大きな成果でした。
ad	広告	その広告は新しい電話を紹介していました。
addition	追加；加わったもの	プールは役に立つ追加設備です。
admire	感心する；称賛する	私は彼女の落ち着いた態度に感心します。
admit	認める	彼は自分の間違いを認めました。
advanced	上級の；進んだ	これは上級英語のクラスです。
advise	助言する	医者は定期的な運動を勧めます。
afford	支払う余裕がある	私たちはタクシー代を払う余裕がありません。
aged	年齢が	そのコースは十歳の子ども向けです。
agent	代理人；業者	旅行代理店が私たちの切符を変更しました。
agreement	合意；契約	彼らは今日合意に達しました。
ahead	前方に；先に	前方の道ははっきり見えます。
aim	目標；目指す	私たちは早く終えることを目指します。
alarm	警報；目覚まし	目覚ましが六時に鳴りました。
album	アルバム	このアルバムには十曲あります。
alcohol	アルコール；酒	そのホテルは酒を出しません。
alcoholic	アルコール入りの	この飲み物はアルコール入りではありません。
amazed	驚いた	彼女はその結果に驚きました。
ambition	大志；目標	彼の目標はパイロットになることです。
ambitious	野心的な	彼女には野心的な計画があります。
analyse	分析する	私たちは結果を分析する必要があります。
analysis	分析	彼女の分析は明確で丁寧でした。
announce	発表する	彼らは明日勝者を発表します。
announcement	発表；知らせ	その発表は皆を驚かせました。
annoy	いらいらさせる	大きな音楽は近所の人をいらいらさせます。
annoyed	いらいらした	遅れの後で彼はいらいらして見えました。
annoying	迷惑な；うるさい	その音は本当に迷惑です。
apart	離れて	家々は二メートル離れています。
apologize	謝る	遅れてすみませんと謝ります。
application	申請；アプリ	オンラインで申請を完了してください。
appointment	予約；約束	明日歯医者の予約があります。
appreciate	感謝する；評価する	あなたの助けに感謝します。
approximately	およそ	歩くとおよそ二十分かかります。
arrest	逮捕する	警察は運転手を逮捕しました。
arrival	到着	私たちの到着は予想より遅れました。
assignment	課題；任務	その課題は金曜日が締め切りです。
assist	手伝う；補助する	看護師は医者を手伝います。
atmosphere	雰囲気；大気	そのカフェは落ち着いた雰囲気です。
attach	添付する；取り付ける	メールにファイルを添付してください。
attitude	態度	会議の後で彼女の態度は変わりました。
attract	引きつける	明るい花は蜂を引きつけます。
attraction	観光名所；魅力	その城は人気の観光名所です。
authority	当局；権限	地方当局が道路を修理しました。
aware	気づいている	彼女はその危険に気づいています。
backwards	後ろへ	彼は注意深く後ろへ歩きました。
bake	焼く	私は毎週日曜日にパンを焼きます。
balance	バランス；均衡	良い靴はバランスを助けます。
ban	禁止する；禁止	その市は車を禁止する予定です。
bank (river)	川岸	私たちは川岸に座りました。
base	基地；基礎	チームは基地に戻りました。
basic	基本的な	誰もが基本的なコンピューター技能を必要とします。
basis	基礎	信頼は友情の基礎です。
battery	電池；バッテリー	私の携帯の電池が少ないです。
battle	戦い	その戦いは一晩中続きました。
beauty	美しさ	私たちは山々の美しさに見とれました。
bee	蜂	蜂が花に止まりました。
belief	信念	彼の信念は彼に勇気を与えました。
bell	鐘；ベル	学校のベルが大きく鳴りました。
bend	曲げる；曲がる	持ち上げるときは膝を曲げてください。
bite	かむ	その犬は知らない人をかむかもしれません。
block	区画；ふさぐ	倒れた木が道路をふさぎました。
bomb	爆弾	爆弾はいくつかの建物を壊しました。
border	国境；境界	彼らは夜に国境を越えました。
bother	迷惑をかける；邪魔する	妹の邪魔をしないでください。
branch	枝；支店	嵐で枝が折れました。
brand	ブランド	このブランドは学生に人気があります。
brave	勇敢な	勇敢な男性が子どもを救いました。
breath	息；呼吸	深く息を吸ってください。
breathe	呼吸する	この煙の中では息ができません。
breathing	呼吸	彼女の呼吸はゆっくりでした。
bride	花嫁	花嫁は白いドレスを着ていました。
bubble	泡	泡がグラスの上に浮かびました。
bury	埋める；埋葬する	彼らは箱を砂に埋めました。
calm	落ち着いた	試験中は落ち着いてください。
campaign	運動；キャンペーン	そのキャンペーンは学校のために資金を集めました。
campus	キャンパス	学生はキャンパスの近くに住んでいます。
candidate	候補者	各候補者は三つの質問に答えました。
cap	帽子	彼は野球帽をかぶっていました。
captain	主将；船長	主将がチームに話しました。
careless	不注意な	不注意な間違いで時間を失いました。
category	カテゴリー；分類	正しいカテゴリーを選んでください。
ceiling	天井	天井は白く塗られていました。
celebration	祝賀；お祝い	祝賀会は夕方ずっと続きました。
central	中心の	そのホテルは中心部にあります。
ceremony	式；儀式	式は正午に始まりました。
chain	鎖；チェーン	彼女は銀のチェーンを身に着けていました。
challenge	挑戦；課題	このプロジェクトは本当の挑戦です。
champion	チャンピオン；優勝者	チャンピオンはコーチに感謝しました。
channel	チャンネル	チャンネルを変えてください。
chapter	章	今夜次の章を読んでください。
charge	料金；請求	子どもには料金がかかりません。
cheat	不正をする；だます	テストで不正をしてはいけません。
cheerful	陽気な；明るい	彼女は今朝明るい声でした。
chemical	化学の；化学物質	化学的なにおいが強かったです。
chest	胸	走った後で彼の胸が痛みました。
childhood	子ども時代	私は子ども時代の家を覚えています。
claim	主張する	彼らはその製品は安全だと主張しています。
clause	節；条項	この節は意味を変えます。
click	クリックする	青いボタンをクリックしてください。
client	顧客；依頼人	顧客はさらに詳しい説明を求めました。
cloth	布	この布でテーブルを拭いてください。
clue	手がかり	その手がかりは解決の助けになりました。
coal	石炭	その古い列車は石炭を使っていました。
coin	硬貨	彼は床で硬貨を見つけました。
collection	収集品；コレクション	彼女の切手コレクションは大きいです。
coloured	色のついた	彼女は色のついたスカーフをしていました。
combine	組み合わせる；混ぜる	小麦粉と水を混ぜてください。
commercial	商業の；広告	広告の休憩は五分続きました。
commit	約束する；取り組む	私たちはその計画に取り組む必要があります。
communication	コミュニケーション；連絡	良いコミュニケーションは間違いを防ぎます。
comparison	比較	この比較は役に立ちます。
competitive	競争の激しい	その市場はとても競争が激しいです。
competitor	競争相手	私たちの主な競争相手は価格を下げました。
complaint	苦情	彼女は騒音について苦情を言いました。
complex	複雑な	説明が複雑すぎます。
concentrate	集中する	音楽が流れていると集中できません。
conclude	終える；結論づける	今会議を終えます。
conclusion	結論	彼の結論は妥当に思えました。
confident	自信のある	彼女は面接の前に自信を感じました。
confirm	確認する	メールアドレスを確認してください。
confuse	混乱させる	この二つの名前は私を混乱させます。
confused	混乱した	地図で混乱しました。
connection	接続；関係	インターネット接続が遅いです。
consequence	結果；影響	睡眠不足には影響があります。
consist	成る	その食事は三つのコースから成ります。
consume	消費する	大きな車はより多くの燃料を消費します。
consumer	消費者	消費者は明確な情報を求めています。
contact	連絡；連絡する	昼食後に私に連絡してください。
container	容器	スープを容器に入れてください。
content1	内容	そのコースの内容は役に立ちます。
continuous	連続した	機械は連続した音を出しました。
contrast	対比	彼らの間の対比は明らかです。
convenient	便利な	その駅はとても便利です。
convince	納得させる	彼女は彼にもう一度試すよう説得しました。
costume	衣装	彼女はパーティー用の衣装を着ました。
cottage	小さな家；別荘	彼らは湖のそばの小さな家に泊まりました。
cotton	綿	このシャツは綿でできています。
countryside	田舎	私たちは週末に田舎へ行きました。
court	裁判所；コート	裁判所は今日忙しかったです。
covered	覆われた	テーブルは紙で覆われていました。
cruel	残酷な	それは残酷な冗談でした。
cultural	文化の	私たちは文化イベントに参加しました。
currency	通貨	その国は別の通貨を使っています。
current	現在の	現在の計画は変更が必要です。
currently	現在	彼女は現在ロンドンで働いています。
curtain	カーテン	カーテンを閉めてください。
custom	習慣	これは地元の習慣です。
damage	損害；損傷	嵐は深刻な損害を与えました。
decade	十年	その都市は十年で大きく変わりました。
decorate	飾る	私たちは部屋を飾ります。
define	定義する	この単語を定義してください。
definite	明確な	私たちは明確な答えが必要です。
definition	定義	その単語の定義を調べてください。
deliver	配達する；届ける	彼らは明日小包を配達します。
departure	出発	私たちの出発は朝八時です。
despite	にもかかわらず	雨にもかかわらず私たちは歩きました。
destination	目的地	パリが彼らの最終目的地でした。
determine	決定する；判断する	テストがあなたのレベルを判断します。
determined	決意した	彼女は成功しようと決意していました。
development	発展；開発	その町の発展は急速でした。
diagram	図	簡単な図を描いてください。
diamond	ダイヤモンド	指輪には小さなダイヤモンドがありました。
difficulty	困難	彼はドアを開けるのに苦労しました。
directly	直接に	私に直接話してください。
dirt	泥；汚れ	彼の靴は泥で覆われていました。
disadvantage	不利な点	長い旅は不利な点です。
disappointed	失望した	彼女は結果に失望しました。
disappointing	がっかりさせる	結末はがっかりするものでした。
discount	割引	学生はここで割引を受けます。
dislike	嫌う	私はとても大きな音楽が嫌いです。
divide	分ける	ケーキをいくつかに分けてください。
documentary	ドキュメンタリー	私たちは宇宙についてのドキュメンタリーを見ました。
donate	寄付する	多くの人が古い服を寄付します。
doubt	疑い	私はそれについて疑いがありません。
dressed	服を着た	彼は黒い服を着ていました。
drum	太鼓；ドラム	ドラムの音が部屋中に響きました。
drunk	酔った	運転手は酔っていました。
due	期限の；予定の	レポートの締め切りは明日です。
dust	ほこり	古い本はほこりに覆われていました。
duty	義務	助けることは私の義務です。
earthquake	地震	地震が橋を壊しました。
eastern	東の；東部の	東海岸は風が強いです。
economic	経済の	その国は経済問題に直面しています。
economy	経済	今年経済は成長しました。
edge	端	端から離れて立ってください。
editor	編集者	編集者は記事を確認しました。
educate	教育する	学校は若者を教育します。
educated	教育を受けた	彼女は高い教育を受けています。
educational	教育的な	そのゲームは教育的です。
effective	効果的な	この薬は効果的です。
effectively	効果的に	彼女はその規則を効果的に説明しました。
effort	努力	あなたの努力は違いを生みました。
election	選挙	選挙結果は接戦でした。
element	要素	信頼は重要な要素です。
embarrassed	恥ずかしい	彼は転んだ後で恥ずかしく感じました。
embarrassing	恥ずかしい；気まずい	それは恥ずかしい間違いでした。
emergency	緊急事態	緊急時にはこの番号に電話してください。
emotion	感情	恐怖は強い感情です。
employment	雇用	今月雇用が増えました。
encourage	励ます	教師は学生に読書を勧めます。
enemy	敵	その二つの国は敵でした。
engaged	婚約した	彼らは去年の春に婚約しました。
engineering	工学	彼女は大学で工学を学んでいます。
entertain	楽しませる；もてなす	歌手が客を楽しませます。
entertainment	娯楽	その都市は夜の娯楽を提供しています。
entrance	入口	入口で会いましょう。
entry	入場；記入	子どもは入場無料です。
environmental	環境の	私たちは環境問題について話し合いました。
episode	一話；エピソード	最終話はわくわくしました。
equal	等しい；平等な	彼らは同じ賃金を受け取ります。
equally	等しく；同様に	仕事は等しく分けられています。
escape	逃げる	囚人たちは逃げようとしました。
essential	不可欠な	水は生命に不可欠です。
eventually	最終的に	最終的に私たちはホテルを見つけました。
examine	診察する；調べる	医者は私の腕を診察しました。
exchange	交換	私たちは店で交換をしました。
excitement	興奮	試合は興奮に満ちていました。
exhibition	展覧会	美術展は明日開きます。
expand	拡大する	会社は拡大する予定です。
expected	予想された	予想される費用は高いです。
expedition	遠征；探検	遠征隊は砂漠を横断しました。
experienced	経験豊かな	彼女は経験豊かな看護師です。
explode	爆発する	その瓶は熱で爆発するかもしれません。
explore	探検する	私たちは旧市街を探検しました。
explosion	爆発	爆発でいくつかの窓が割れました。
export	輸出	コーヒーは重要な輸出品です。
fairly	かなり	テストはかなり簡単でした。
familiar	なじみのある	彼女の顔は見覚えがありました。
fancy	欲しい；気に入る	コーヒーはいかがですか。
fascinating	魅力的な	その話は魅力的でした。
fashionable	流行の	その靴は流行しています。
fasten	締める；留める	シートベルトを締めてください。
favour	親切；頼み	お願いを一つ聞いてくれますか。
fence	柵	柵が庭を囲んでいます。
fighting	戦闘；けんか	戦闘は夜明けに止まりました。
file	ファイル	閉じる前にファイルを保存してください。
financial	財政の；金融の	彼女は財務の助言が必要です。
fitness	体力；健康	ランニングは体力を高めます。
fixed	固定された	価格は固定されています。
flag	旗	旗が学校の上でなびいていました。
flood	洪水	洪水で多くの家が被害を受けました。
flour	小麦粉	小麦粉をボウルに入れてください。
flow	流れる	川は町を通って流れます。
fold	折る	紙を半分に折ってください。
folk	民俗の；人々	会場に民俗音楽が流れました。
force	力	風には強い力がありました。
forever	永遠に	私はこれを永遠に覚えています。
frame	枠；額	その写真には額が必要です。
freeze	凍る；凍らせる	水は夜の間に凍ります。
frequently	頻繁に	彼は頻繁に両親を訪ねます。
friendship	友情	彼らの友情は何年も続きました。
frighten	怖がらせる	大きな音は赤ちゃんを怖がらせます。
frightened	怖がった	その子どもは怖がって見えました。
frightening	恐ろしい	嵐は恐ろしかったです。
frozen	凍った	湖は凍っていました。
fry	油で炒める；揚げる	玉ねぎを五分炒めてください。
fuel	燃料	車にはもっと燃料が必要です。
function	機能	このボタンには一つの機能があります。
fur	毛皮；毛	その猫の毛は柔らかいです。
garage	ガレージ	車はガレージにあります。
gather	集まる；集める	私たちはテーブルの周りに集まりました。
generally	一般に；たいてい	彼女はたいてい早く到着します。
generation	世代	各世代は新しい問題に直面します。
generous	気前のよい	彼は時間を惜しまず助けてくれます。
gentle	優しい；穏やかな	優しい声を使ってください。
gentleman	紳士	その紳士はドアを開けました。
ghost	幽霊	その物語には幽霊が出ます。
giant	巨大な	巨大なスクリーンが舞台を埋めました。
glad	うれしい	あなたが来てくれてうれしいです。
global	世界的な	気候変動は世界的な問題です。
glove	手袋	私は手袋を片方なくしました。
goods	商品；品物	商品は遅れて届きました。
grade	成績；等級	彼女は高い成績を取りました。
graduate	卒業生	彼は最近の卒業生です。
grain	穀物；粒	米粒が一つ落ちました。
grateful	感謝している	あなたの支援に感謝しています。
growth	成長	その植物は着実に成長しました。
guard	警備員；見張り	警備員が私たちの切符を確認しました。
guilty	罪悪感のある；有罪の	彼はうそをついたことに罪悪感を覚えました。
hang	掛ける；つるす	ここにコートを掛けてください。
happiness	幸福	お金で幸福は買えません。
hardly	ほとんどない	あなたの声がほとんど聞こえませんでした。
headline	見出し	その見出しは私の注意を引きました。
heating	暖房	暖房が動かなくなりました。
heavily	激しく；重く	一晩中激しく雨が降りました。
helicopter	ヘリコプター	ヘリコプターが近くに着陸しました。
highlight	強調する	主な考えを強調してください。
highly	非常に；高く	彼女は非常に尊敬されています。
hire	借りる；雇う	私たちは車を借りる必要があります。
historic	歴史的に重要な	私たちは歴史的な建物を訪れました。
historical	歴史の	彼女は歴史小説が好きです。
honest	正直な	正直な答えをください。
horrible	ひどい；恐ろしい	においはひどかったです。
horror	恐怖；ホラー	彼はホラー映画が好きです。
host	主人；司会者	主人はすべての客を迎えました。
