source_headword	BN	example_BN
prey	শিকার	পেঁচারা রাতে শিকার ধরে।
privatization	বেসরকারিকরণ	বেসরকারিকরণ রেল ব্যবস্থাকে বদলে দিয়েছে।
privilege	বিশেষ সুবিধা	শিক্ষা কোনো বিশেষ সুবিধা হওয়া উচিত নয়।
probe	তদন্ত	তদন্তে মারাত্মক ভুল ধরা পড়েছে।
problematic	সমস্যামূলক	চুক্তিটি এখনও সমস্যামূলক।
proceedings	কার্যধারা	আদালতের কার্যধারা সোমবার শুরু হয়েছে।
proceeds	প্রাপ্ত অর্থ	প্রাপ্ত অর্থ স্থানীয় স্কুলগুলোকে সাহায্য করবে।
processing	প্রক্রিয়াকরণ	ছবি প্রক্রিয়াকরণে সময় লাগে।
processor	প্রসেসর	পরীক্ষার সময় প্রসেসরটি ব্যর্থ হয়েছিল।
proclaim	ঘোষণা করা	নেতারা খুব তাড়াতাড়ি বিজয় ঘোষণা করেন।
productive	ফলপ্রসূ	মিটিংটি ফলপ্রসূ ছিল।
productivity	উৎপাদনশীলতা	প্রশিক্ষণের পর উৎপাদনশীলতা উন্নত হয়েছে।
profitable	লাভজনক	দোকানটি এ বছর লাভজনক হয়েছে।
profound	গভীর	বক্তৃতাটির একটি গভীর প্রভাব ছিল।
projection	পূর্বাভাস	পূর্বাভাসে স্থির প্রবৃদ্ধি দেখা যাচ্ছে।
prominent	বিশিষ্ট	তিনি একজন বিশিষ্ট বিজ্ঞানী হয়ে ওঠেন।
pronounced	স্পষ্ট	তার উচ্চারণ আরও স্পষ্ট হয়ে ওঠে।
propaganda	অপপ্রচার	প্রচারাভিযানে অনলাইনে অপপ্রচার ব্যবহার করা হয়েছিল।
proposition	প্রস্তাব	প্রস্তাবটি একটি ঝুঁকিপূর্ণ বিষয়।
prosecute	মামলা করা	কর্মকর্তারা গুরুতর জালিয়াতির মামলা করেন।
prosecution	প্রসিকিউশন	প্রসিকিউশন নতুন প্রমাণ উপস্থাপন করেছে।
prosecutor	কৌঁসুলি	প্রসিকিউটর সাক্ষীকে জেরা করেছেন।
prospective	সম্ভাব্য	সম্ভাব্য শিক্ষার্থীরা ক্যাম্পাস ঘুরে দেখেছে।
prosperity	সমৃদ্ধি	বাণিজ্য এই অঞ্চলে সমৃদ্ধি নিয়ে এসেছে।
protective	সুরক্ষামূলক	সে সুরক্ষামূলক গ্লাভস পরেছিল।
protocol	প্রোটোকল	প্রোটোকলের জন্য লিখিত অনুমোদন প্রয়োজন।
province	প্রদেশ	প্রদেশটি পরিবহনে বিনিয়োগ করেছে।
provincial	প্রাদেশিক	প্রাদেশিক কর্মকর্তারা পরিকল্পনাটি ঘোষণা করেছেন।
provision	বিধান	চুক্তিতে একটি নিরাপত্তা বিধান অন্তর্ভুক্ত আছে।
provoke	উস্কানি দেওয়া	বক্তৃতাটি তীব্র প্রতিক্রিয়ার উস্কানি দিতে পারে।
psychiatric	মানসিক	হাসপাতালটি একটি মানসিক রোগ ইউনিট খুলেছে।
pulse	নাড়ি	নার্স তার নাড়ি পরীক্ষা করেছেন।
pump	পাম্প	পাম্পটি পানি উপরে তোলে।
punch	ঘুষি	সে রাগে একটি ঘুষি মারে।
query	প্রশ্ন	সাপোর্টে আপনার জিজ্ঞাসা পাঠান।
quest	সন্ধান	তাদের বিচারের সন্ধান অব্যাহত ছিল।
quota	কোটা	দলটি তাদের বিক্রির কোটা পূরণ করেছে।
radar	রাডার	রাডারে ঝড়টি দেখা গেছে।
radical	আমূল	গোষ্ঠীটি আমূল সংস্কারের প্রস্তাব দিয়েছে।
rage	ক্ষোভ	তার ক্ষোভ দ্রুত ম্লান হয়ে যায়।
raid	অভিযান	পুলিশ ভোরে অভিযান চালিয়েছে।
rally	সমাবেশ	সমর্থকরা শহরের কেন্দ্রে সমাবেশে যোগ দেয়।
ranking	র‍্যাঙ্কিং	বিশ্ববিদ্যালয়টি তার র‍্যাঙ্কিং উন্নত করেছে।
rape	ধর্ষণ	ধর্ষণের মামলাগুলোর সতর্ক তদন্ত প্রয়োজন।
ratio	অনুপাত	ক্লাসে শিক্ষকের অনুপাত কম।
rational	যৌক্তিক	তার সিদ্ধান্ত যৌক্তিক ছিল।
ray	রশ্মি	সূর্যের একটি রশ্মি প্রবেশ করেছে।
readily	সহজেই	তিনি সহজেই প্রস্তাবটি গ্রহণ করেছেন।
realization	উপলব্ধি	উপলব্ধিটি তার পরিকল্পনা বদলে দিয়েছে।
realm	ক্ষেত্র	এই প্রশ্নটি অন্য একটি ক্ষেত্রের অন্তর্গত।
rear	পিছনের	আজ পিছনের প্রবেশদ্বার ব্যবহার করুন।
reasoning	যুক্তি	তার যুক্তি স্পষ্ট ছিল।
reassure	আশ্বস্ত করা	ডাক্তার তাকে আশ্বস্ত করার চেষ্টা করেছেন।
rebel	বিদ্রোহী	বিদ্রোহী নেতা ধরা পড়ার হাত থেকে পালিয়ে যায়।
rebellion	বিদ্রোহ	আলোচনার পর বিদ্রোহের অবসান ঘটে।
recipient	প্রাপক	প্রাপক ফর্মে স্বাক্ষর করেছেন।
reconstruction	পুনর্গঠন	বন্যার পর পুনর্গঠন শুরু হয়।
recount1	বর্ণনা করা	সে স্পষ্টভাবে ঘটনা বর্ণনা করতে পারে।
referendum	গণভোট	গণভোট দেশটিকে বিভক্ত করেছিল।
reflection	প্রতিফলন	প্রবন্ধে গভীর ভাবনার প্রয়োজন ছিল।
reform	সংস্কার	সংস্কারটি জনসেবার উন্নতি করেছে।
refuge	আশ্রয়	পরিবারটি বিদেশে আশ্রয় নিয়েছিল।
refusal	প্রত্যাখ্যান	তার প্রত্যাখ্যান কমিটিকে অবাক করেছে।
regain	ফিরে পাওয়া	বিশ্বাস ফিরে পেতে সে কঠোর পরিশ্রম করেছে।
regardless	নির্বিশেষে	সমালোচনা নির্বিশেষে তারা চালিয়ে গেছে।
regime	শাসনব্যবস্থা	শাসনব্যবস্থা বাকস্বাধীনতাকে সীমাবদ্ধ করেছিল।
regulator	নিয়ন্ত্রক	নিয়ন্ত্রক সংস্থা কোম্পানিটিকে জরিমানা করেছে।
regulatory	নিয়ন্ত্রক	নিয়ন্ত্রক অনুমোদন পেতে কয়েক মাস সময় লেগেছিল।
rehabilitation	পুনর্বাসন	পুনর্বাসন তাকে আবার হাঁটতে সাহায্য করেছে।
reign	রাজত্ব	রাজার রাজত্ব কয়েক দশক ধরে স্থায়ী ছিল।
rejection	প্রত্যাখ্যান	প্রত্যাখ্যান তার আত্মবিশ্বাসে আঘাত হেনেছে।
relevance	প্রাসঙ্গিকতা	তথ্যটির সীমিত প্রাসঙ্গিকতা রয়েছে।
reliability	নির্ভরযোগ্যতা	জরুরি ব্যবস্থায় নির্ভরযোগ্যতা গুরুত্বপূর্ণ।
reluctant	অনিচ্ছুক	সে কথা বলতে অনিচ্ছুক ছিল।
remainder	অবশিষ্টাংশ	অবশিষ্টাংশ দাতব্য প্রতিষ্ঠানে দেওয়া হয়েছিল।
remains	দেহাবশেষ	দেহাবশেষগুলো সতর্কতার সাথে পরীক্ষা করা হয়েছিল।
remedy	প্রতিকার	আইন একটি প্রতিকার প্রদান করে।
reminder	অনুস্মারক	ইমেলটি একটি দরকারী অনুস্মারক ছিল।
removal	অপসারণ	বাধা অপসারণ বাণিজ্যে সাহায্য করেছে।
render	পরিণত করা	ভুলটি চুক্তিটিকে অবৈধ করে তুলেছে।
renew	নবায়ন করা	শীঘ্রই আপনার পাসপোর্ট নবায়ন করুন।
renowned	প্রখ্যাত	তিনি তার গবেষণার জন্য প্রখ্যাত।
rental	ভাড়া	ভাড়ার মধ্যে বীমা অন্তর্ভুক্ত রয়েছে।
replacement	প্রতিস্থাপন	প্রতিস্থাপনের অংশটি আজ এসে পৌঁছেছে।
reportedly	রিপোর্ট অনুযায়ী	রিপোর্ট অনুযায়ী, মন্ত্রী গতকাল পদত্যাগ করেছেন।
representation	প্রতিনিধিত্ব	ন্যায্য প্রতিনিধিত্ব এখনও গুরুত্বপূর্ণ।
reproduce	প্রজনন করা	এই গাছগুলো দ্রুত প্রজনন করে।
reproduction	অনুলিপি	ডিজিটাল অনুলিপি অ্যাক্সেস উন্নত করেছে।
republic	প্রজাতন্ত্র	প্রজাতন্ত্রটিতে নির্বাচন অনুষ্ঠিত হয়েছিল।
resemble	সদৃশ হওয়া	দুটি নকশা দেখতে একে অপরের খুব কাছাকাছি।
reside	বসবাস করা	তারা সীমান্তের কাছে বসবাস করে।
residence	বাসভবন	তার সরকারি বাসভবন পাহারায় থাকে।
residential	আবাসিক	এলাকাটি বেশিরভাগই আবাসিক।
residue	অবশিষ্টাংশ	ক্লিনারটি একটি আঠালো অবশিষ্টাংশ রেখে গেছে।
resignation	পদত্যাগ	তার পদত্যাগ বোর্ডকে অবাক করেছে।
resistance	প্রতিরোধ	পরিবর্তনের প্রতি প্রতিরোধ শক্তিশালী ছিল।
respective	নিজ নিজ	তারা তাদের নিজ নিজ অফিসে ফিরে গেছে।
respectively	যথাক্রমে	স্কোরগুলো ছিল যথাক্রমে ৮০ এবং ৯০।
restoration	পুনরুদ্ধার	ভবনটি পুনরুদ্ধারে কয়েক বছর সময় লেগেছিল।
restraint	সংযম	পুলিশ সংযম দেখিয়েছে।
resume	পুনরায় শুরু করা	ক্লাস আগামী সপ্তাহে পুনরায় শুরু হবে।
retreat	পশ্চাদপসরণ	সেনাবাহিনী পশ্চাদপসরণ শুরু করেছে।
retrieve	পুনরুদ্ধার করা	সে ফাইলটি পুনরুদ্ধার করেছে।
revelation	উদ্ঘাটন	এই উদ্ঘাটন তার সুনাম নষ্ট করেছে।
revenge	প্রতিশোধ	সে অপমানের প্রতিশোধ চেয়েছিল।
reverse	বাতিল করা	আদালত সিদ্ধান্তটি বাতিল করেছে।
revival	পুনরুজ্জীবন	শহরটি একটি অর্থনৈতিক পুনরুজ্জীবন দেখেছে।
revive	পুনরুজ্জীবিত করা	উৎসবটি স্থানীয় ঐতিহ্য পুনরুজ্জীবিত করতে সাহায্য করেছে।
revolutionary	বৈপ্লবিক	আবিষ্কারটি ছিল বৈপ্লবিক।
rhetoric	বাগ্মিতা	তার বাগ্মিতা আক্রমণাত্মক শোনাচ্ছিল।
rifle	রাইফেল	রাইফেলটি নিরাপদে সংরক্ষণ করা হয়েছিল।
riot	দাঙ্গা	দাঙ্গাটি কয়েক ঘণ্টা স্থায়ী হয়েছিল।
rip	ছিঁড়ে ফেলা	কাগজটি সাবধানে ছিঁড়ে ফেলুন।
ritual	আচার	আচারটি ফসলের সময়কে চিহ্নিত করে।
robust	মজবুত	সিস্টেমটি মজবুত।
rock	কাঁপানো	বিস্ফোরণটি গ্রামটিকে কাঁপিয়ে দিয়েছিল।
rod	দণ্ড	পর্দাটি একটি দণ্ড থেকে ঝোলানো।
rotate	ঘোরানো	হাতলটি ধীরে ধীরে ঘোরান।
rotation	পর্যায়ক্রম	ফসলের পর্যায়ক্রম মাটিকে রক্ষা করে।
ruling	রায়	আদালত একটি রায় জারি করেছে।
rumour	গুজব	গুজবটি দ্রুত ছড়িয়ে পড়ে।
sack	বরখাস্ত করা	বোর্ড কোচকে বরখাস্ত করতে পারে।
sacred	পবিত্র	মন্দিরটি পবিত্র।
sacrifice	আত্মত্যাগ	পিতামাতারা প্রায়ই আত্মত্যাগ করেন।
saint	সাধু	গির্জাটি একজন স্থানীয় সাধুকে সম্মান জানায়।
sake	খাতির	সে তার খাতিরে থেকে গেছে।
sanction	নিষেধাজ্ঞা	নিষেধাজ্ঞাটি আন্তর্জাতিক বাণিজ্যকে প্রভাবিত করেছে।
say	মতামত	শিডিউল তৈরিতে কর্মচারীদের মতামত ছিল।
scattered	ছড়ানো-ছিটানো	ছড়ানো-ছিটানো কাগজপত্র ডেস্কটি ঢেকে রেখেছিল।
sceptical	সন্দিহান	সে এই দাবির ব্যাপারে সন্দিহান ছিল।
scope	পরিধি	প্রকল্পের পরিধি সম্প্রসারিত হয়েছে।
screw	স্ক্রু	সাবধানে স্ক্রুটি শক্ত করুন।
scrutiny	যাচাই	চুক্তিটি জনগণের যাচাইয়ের মুখোমুখি হয়েছিল।
seal	সিল করা	পোস্ট করার আগে খামটি বন্ধ করুন।
secular	ধর্মনিরপেক্ষ	স্কুলটি একটি ধর্মনিরপেক্ষ পাঠ্যক্রম অনুসরণ করে।
seemingly	আপাতদৃষ্টিতে	কাজটা আপাতদৃষ্টিতে সহজ ছিল।
segment	অংশ	শেষ অংশটি ছোট ছিল।
seize	বাজেয়াপ্ত করা	পুলিশ নথিপত্রগুলো বাজেয়াপ্ত করেছে।
seldom	কদাচিৎ	সে কদাচিৎ ক্লাস মিস করে।
selective	বাছাইকারী	প্রোগ্রামটি অত্যন্ত বাছাইকারী।
senator	সিনেটর	সিনেটর বিলটিকে সমর্থন করেছেন।
sensation	চাঞ্চল্য	আবিষ্কারটি চাঞ্চল্য সৃষ্টি করেছিল।
sensitivity	সংবেদনশীলতা	সমস্যাটির জন্য সংবেদনশীলতার প্রয়োজন।
sentiment	মনোভাব	জনমত দ্রুত পরিবর্তিত হয়েছে।
separation	বিচ্ছেদ	বিচ্ছেদটি কঠিন ছিল।
serial	ক্রমিক	ক্রমিক নম্বরটি নেই।
settlement	নিষ্পত্তি	নিষ্পত্তির মাধ্যমে বিরোধের অবসান ঘটে।
set-up	সেট-আপ	সেট-আপ করতে পুরো সকাল লেগেছে।
sexuality	যৌনতা	কোর্সটিতে পরিচয় এবং যৌনতা নিয়ে আলোচনা করা হয়।
shareholder	শেয়ারহোল্ডার	একজন শেয়ারহোল্ডার বোর্ডকে প্রশ্ন করেছিলেন।
shatter	চুরমার করা	খবরটি তার আত্মবিশ্বাস চুরমার করে দিয়েছিল।
shed	কমানো	কোম্পানিটি কর্মী ছাঁটাই করবে।
sheer	নিছক	এর বিশাল আকার সবাইকে অবাক করেছিল।
shipping	শিপিং	শিপিং খরচ বেড়েছে।
shoot	শুট	ফটো শুট তাড়াতাড়ি শেষ হয়েছিল।
shrink	সংকুচিত হওয়া	শার্টটি সংকুচিত হতে পারে।
shrug	কাঁধ ঝাঁকানো	সে সামান্য কাঁধ ঝাঁকাল।
sigh	দীর্ঘশ্বাস	সে স্বস্তির দীর্ঘশ্বাস ফেলল।
simulate	অনুকরণ করা	সফটওয়্যারটি ট্রাফিক অনুকরণ করতে পারে।
simulation	সিমুলেশন	সিমুলেশনটি বন্যার পূর্বাভাস দিয়েছিল।
simultaneously	একসাথে	দুটি অ্যালার্ম একসাথে বেজে উঠল।
sin	পাপ	অহংকারকে পাপ হিসেবে গণ্য করা হয়।
situated	অবস্থিত	হোটেলটি শহরের কেন্দ্রে অবস্থিত।
sketch	স্কেচ	সে দ্রুত একটি স্কেচ তৈরি করল।
skip	বাদ দেওয়া	সকালের নাস্তা বাদ দেবেন না।
slam	সজোরে বন্ধ করা	সে সজোরে দরজা বন্ধ করতে পারে।
slap	চড় মারা	টেবিলে থাপ্পড় মারবেন না।
slavery	দাসপ্রথা	দাসপ্রথা এই অঞ্চলের ইতিহাস গড়ে তুলেছিল।
slot	স্লট	অনলাইনে একটি সময় স্লট বুক করুন।
smash	ভেঙে টুকরো টুকরো করা	গ্লাসটি মেঝেতে ভেঙে টুকরো টুকরো হয়ে গেল।
snap	মট করে ভাঙা	ডালটি বাতাসে মট করে ভেঙে গেল।
soak	ভিজিয়ে রাখা	শিমগুলো সারারাত ভিজিয়ে রাখুন।
soar	দ্রুত বৃদ্ধি পাওয়া	জ্বালানির দাম দ্রুত বৃদ্ধি পেতে পারে।
socialist	সমাজতান্ত্রিক	দলটি সমাজতান্ত্রিক নীতি সমর্থন করে।
sole	একমাত্র	সে ছিল একমাত্র জীবিত ব্যক্তি।
solely	শুধুমাত্র	সিদ্ধান্তটি শুধুমাত্র তার ছিল।
solicitor	সলিসিটর	আইনজীবী চুক্তিটি প্রস্তুত করেছিলেন।
solidarity	সংহতি	শ্রমিকরা সংহতি প্রকাশ করেছে।
solo	একক	সে একটি একক অ্যালবাম রিলিজ করেছে।
sound	যুক্তিসঙ্গত	পরিকল্পনাটি যুক্তিসঙ্গত এবং বাস্তবসম্মত।
sovereignty	সার্বভৌমত্ব	চুক্তিটি জাতীয় সার্বভৌমত্ব রক্ষা করেছিল।
spam	স্প্যাম	স্প্যামে ইনবক্স ভরে গেছে।
span	বিস্তৃত হওয়া	সেতুটি নদীর উপর দিয়ে বিস্তৃত।
spark	সূত্রপাত করা	একটি ছোট মন্তব্য বিতর্কের সূত্রপাত করেছিল।
specialized	বিশেষায়িত	ক্লিনিকটি বিশেষায়িত সেবা প্রদান করে।
