source_headword	ID	example_ID
stranger	orang asing	Seorang asing menanyakan arah.
strength	kekuatan	Kekuatannya membantu tim.
string	tali	Ikat kotaknya dengan tali.
strongly	sangat / dengan kuat	Saya sangat tidak setuju dengan ide itu.
studio	studio	Seniman itu bekerja di sebuah studio kecil.
stuff	barang-barang	Taruh barang-barangmu di rak.
substance	zat	Polisi menemukan zat yang aneh.
successfully	berhasil / dengan sukses	Mereka berhasil menyelesaikan proyek itu.
sudden	tiba-tiba	Suara yang tiba-tiba membangunkan kami.
suffer	menderita	Banyak tanaman menderita dalam cuaca kering.
suitable	cocok	Jaket ini cocok untuk sekolah.
summarize	merangkum	Bisakah kamu merangkum artikel itu?
summary	ringkasan	Tulislah sebuah ringkasan singkat malam ini.
supply	pasokan	Kota itu membutuhkan pasokan air bersih.
supporter	pendukung	Setiap pendukung bersorak keras.
surely	tentu	Tentu kita bisa menyelesaikan ini.
surface	permukaan	Permukaannya terasa dingin dan halus.
survive	bertahan hidup	Hewan-hewan ini bertahan hidup di musim dingin yang dingin.
switch	mematikan / menyalakan	Matikan lampu dapur.
symptom	gejala	Batuk bisa menjadi sebuah gejala.
tail	ekor	Anjing itu memiliki ekor yang panjang.
talent	bakat	Dia memiliki bakat di bidang musik.
talented	berbakat	Dia adalah aktor muda yang berbakat.
tape	selotip	Gunakan selotip untuk menutup kotak itu.
tax	pajak	Semua orang harus membayar pajak ini.
technical	teknis	Kami mengalami masalah teknis.
technique	teknik	Teknik ini menghemat waktu.
tend	cenderung	Anak-anak cenderung belajar dengan cepat.
tent	tenda	Kami tidur di sebuah tenda kecil.
theirs	milik mereka	Sepeda-sepeda biru itu adalah milik mereka.
theme	tema	Pesta itu memiliki tema pantai.
theory	teori	Teorinya menjelaskan masalah itu.
therefore	karena itu	Hujan turun, karena itu kami tetap di dalam.
though	meskipun	Meskipun lelah, dia tetap bekerja.
throat	tenggorokan	Tenggorokan saya sakit pagi ini.
throughout	sepanjang	Orang-orang menari sepanjang malam.
tight	sempit / ketat	Sepatu-sepatu ini terasa terlalu sempit.
till	sampai	Tunggu di sini sampai saya kembali.
tin	kaleng	Bukalah sekaleng kacang.
tiny	sangat kecil / mungil	Seekor burung mungil hinggap di dekat sini.
toe	jari kaki	Jari kaki saya terluka kemarin.
tongue	lidah	Lidahnya melepuh karena teh.
total	total	Biaya totalnya rendah.
totally	sepenuhnya	Saya sepenuhnya memahami kekhawatiran Anda.
trade	perdagangan	Perdagangan internasional menciptakan lapangan kerja.
translate	menerjemahkan	Tolong terjemahkan kalimat ini.
translation	terjemahan	Terjemahannya terdengar alami.
treat	memperlakukan	Perlakukan semua orang dengan hormat.
treatment	perawatan	Pasien itu membutuhkan perawatan hari ini.
trend	tren	Tren ini berkembang di seluruh dunia.
trick	trik	Trik kartu itu mengejutkan saya.
truth	kebenaran	Tolong katakan yang sebenarnya.
tube	tabung	Tekan tabung itu dengan lembut.
typically	biasanya	Siswa biasanya tiba sebelum jam sembilan.
tyre	ban	Mobil itu membutuhkan ban baru.
ugly	jelek	Warna dinding itu terlihat jelek.
unable	tidak mampu	Dia tidak mampu menjawab.
uncomfortable	tidak nyaman	Kursi ini tidak nyaman.
underwear	pakaian dalam	Kemaslah pakaian dalam yang bersih untuk perjalanan itu.
unemployed	pengangguran	Dia menganggur selama dua bulan.
unemployment	pengangguran	Angka pengangguran meningkat selama musim dingin.
unfair	tidak adil	Keputusan itu terasa tidak adil.
union	serikat pekerja	Serikat pekerja meminta pekerjaan yang lebih aman.
unless	kecuali	Jangan pergi kecuali saya menelepon.
unlike	tidak seperti	Tidak seperti Tom, Ana menyukai musim dingin.
unlikely	tidak mungkin	Salju kecil kemungkinannya minggu ini.
unnecessary	tidak perlu	Tas tambahan tidak diperlukan.
unpleasant	tidak menyenangkan	Ruangan itu memiliki bau yang tidak menyenangkan.
update	memperbarui	Saya perlu memperbarui ponsel saya.
upon	pada	Pada zaman dahulu, ada seorang raja.
upset	kesal	Dia merasa kesal setelah panggilan itu.
used1	digunakan	Ruangan ini digunakan untuk rapat.
used2	terbiasa	Saya terbiasa bangun pagi.
valuable	berharga	Jam tangan ini berharga.
value	nilai	Rumah itu kehilangan nilainya tahun lalu.
various	berbagai	Kami mencoba berbagai hidangan lokal.
version	versi	Versi ini bekerja lebih baik.
victim	korban	Korban menelepon polisi.
viewer	penonton	Seorang penonton mengajukan pertanyaan.
violent	penuh kekerasan	Film itu terlalu penuh kekerasan.
volunteer	menjadi sukarelawan	Saya menjadi sukarelawan di perpustakaan.
vote	memilih	Ingatlah untuk memilih besok.
warn	memperingatkan	Saya mencoba untuk memperingatkannya.
warning	peringatan	Peringatan itu muncul di layar.
waste	membuang-buang	Jangan membuang-buang air bersih.
weapon	senjata	Pisau itu menjadi sebuah senjata.
weigh	menimbang	Timbang tepung itu dengan hati-hati.
western	barat	Mereka menonton film barat.
whatever	apa pun	Pilihlah apa pun yang kamu suka.
whenever	kapan pun	Teleponlah kapan pun kamu butuh bantuan.
whether	apakah	Saya tidak tahu apakah dia setuju.
wing	sayap	Burung itu melukai satu sayapnya.
within	dalam	Tolong balas dalam dua hari.
wonder	bertanya-tanya	Saya bertanya-tanya apa yang terjadi.
wool	wol	Mantel ini terbuat dari wol.
worldwide	di seluruh dunia	Lagu itu menjadi populer di seluruh dunia.
worth	sepadan	Buku ini sepadan untuk dibaca.
written	tertulis	Tolong kirimkan instruksi tertulis.
yard	halaman	Anak-anak bermain di halaman.
youth	pemuda	Klub pemuda mendukung remaja setempat.
