simplified	HI	example_HI	BN	example_BN	TL	example_TL
白天	दिन; दिन में	दिन में मैं स्कूल में पढ़ता हूँ।	দিন; দিনের বেলা	দিনের বেলা আমি স্কুলে পড়ি।	araw; sa araw	Sa araw, nag-aaral ako sa paaralan.
边	बगल; किनारा	किताब मेज़ के पास है।	দিক; প্রান্ত	বইটি টেবিলের পাশে আছে।	gilid; tabi	Nasa tabi ng mesa ang libro.
病	बीमारी; बीमार होना	वह बीमार है।	অসুখ; অসুস্থ হওয়া	সে অসুস্থ।	sakit; magkasakit	May sakit siya.
不要	मत; नहीं चाहना	बहुत ज़्यादा कॉफी मत पीओ।	না; চাই না	কফি বেশি খেও না।	huwag; ayaw	Huwag kang uminom ng sobrang kape.
唱	गाना	मेरी छोटी बहन चीनी गाने गाना पसंद करती है।	গান গাওয়া	আমার ছোট বোন চীনা গান গাইতে ভালোবাসে।	kumanta	Mahilig kumanta ng mga kantang Tsino ang nakababata kong kapatid.
车	कार; वाहन	दरवाज़े के पास एक कार है।	গাড়ি; যান	দরজার কাছে একটি গাড়ি আছে।	kotse; sasakyan	May kotse sa tabi ng pinto.
大学	विश्वविद्यालय	मेरा बड़ा भाई विश्वविद्यालय में पढ़ता है।	বিশ্ববিদ্যালয়	আমার বড় ভাই বিশ্ববিদ্যালয়ে পড়ে।	unibersidad	Nag-aaral sa unibersidad ang kuya ko.
大学生	विश्वविद्यालय छात्र	वह विश्वविद्यालय की छात्रा है।	বিশ্ববিদ্যালয়ের ছাত্র	সে বিশ্ববিদ্যালয়ের ছাত্রী।	estudyante sa unibersidad	Estudyante siya sa unibersidad.
第	क्रमसूचक उपसर्ग	यह पहला पाठ है।	ক্রমসূচক উপসর্গ	এটি প্রথম পাঠ।	panlapi para sa ordinal	Ito ang unang aralin.
店	दुकान	यह दुकान छोटी है।	দোকান	এই দোকানটি ছোট।	tindahan	Maliit ang tindahang ito.
电话	फोन; टेलीफोन कॉल	तुम्हारा फोन नंबर क्या है?	ফোন; টেলিফোন কল	তোমার ফোন নম্বর কী?	telepono; tawag	Ano ang numero ng telepono mo?
电影院	सिनेमा घर	सिनेमा घर स्कूल के पास है।	সিনেমা হল	সিনেমা হলটি স্কুলের পাশে।	sinehan	Nasa tabi ng paaralan ang sinehan.
读书	पढ़ना; अध्ययन करना	बच्चा कमरे में किताब पढ़ रहा है।	পড়া; অধ্যয়ন করা	শিশুটি ঘরে বই পড়ছে।	magbasa; mag-aral	Nagbabasa ang bata sa kuwarto.
饭	खाना; पका चावल	मैं अभी खाना खा रहा हूँ।	খাবার; রান্না ভাত	আমি এখন খাচ্ছি।	pagkain; lutong kanin	Kumakain ako ngayon.
饭店	रेस्तरां; होटल	यह रेस्तरां बहुत प्रसिद्ध है।	রেস্তোরাঁ; হোটেল	এই রেস্তোরাঁটি খুব বিখ্যাত।	restawran; hotel	Sikat ang restawrang ito.
歌	गीत	यह गीत अच्छा सुनाई देता है।	গান	এই গানটি সুন্দর শোনায়।	awit; kanta	Maganda pakinggan ang kantang ito.
国	देश; राज्य	चीन एक बड़ा देश है।	দেশ; রাষ্ট্র	চীন একটি বড় দেশ।	bansa; estado	Malaking bansa ang Tsina.
还	अभी भी; भी	मैं अभी भी चाय पीना चाहता हूँ।	এখনও; এছাড়াও	আমি এখনও চা খেতে চাই।	pa rin; din	Gusto ko pa ring uminom ng tsaa.
汉字	चीनी अक्षर	यह चीनी अक्षर कठिन नहीं है।	চীনা অক্ষর	এই চীনা অক্ষরটি কঠিন নয়।	karakter na Tsino	Hindi mahirap ang karakter na Tsinong ito.
好看	सुंदर; देखने में अच्छा	यह फोटो सुंदर दिखती है।	সুন্দর; দেখতে ভালো	এই ছবিটি সুন্দর দেখায়।	maganda; magandang tingnan	Maganda tingnan ang larawang ito.
好听	सुनने में अच्छा	यह गीत अच्छा सुनाई देता है।	শুনতে ভালো	এই গানটি সুন্দর শোনায়।	magandang pakinggan	Maganda pakinggan ang kantang ito.
好玩儿	मज़ेदार	यह खेल मज़ेदार है।	মজার	এই খেলাটি মজার।	masaya; nakakaaliw	Masaya ang larong ito.
后	पीछे; बाद में	स्कूल के पीछे एक पार्क है।	পিছনে; পরে	স্কুলের পিছনে একটি পার্ক আছে।	likod; pagkatapos	May parke sa likod ng paaralan.
火车	ट्रेन	मैं ट्रेन से बीजिंग जा रहा हूँ।	ট্রেন	আমি ট্রেনে বেইজিং যাচ্ছি।	tren	Pupunta ako sa Beijing sakay ng tren.
家人	परिवार; परिवार का सदस्य	मेरा पूरा परिवार बीजिंग में है।	পরিবার; পরিবারের সদস্য	আমার পুরো পরিবার বেইজিংয়ে আছে।	pamilya; miyembro ng pamilya	Nasa Beijing ang buong pamilya ko.
见	देखना; मिलना	कल मैं शिक्षक से मिलूँगा।	দেখা; দেখা করা	আগামীকাল আমি শিক্ষকের সঙ্গে দেখা করব।	makita; makipagkita	Makikipagkita ako sa guro bukas.
今年	इस साल	इस साल मैं चीनी सीख रहा हूँ।	এ বছর	এ বছর আমি চীনা ভাষা শিখছি।	ngayong taon	Ngayong taon, nag-aaral ako ng Tsino.
开车	कार चलाना	पिताजी हर दिन कार से काम पर जाते हैं।	গাড়ি চালানো	বাবা প্রতিদিন গাড়ি চালিয়ে কাজে যান।	magmaneho	Araw-araw nagmamaneho si tatay papunta sa trabaho.
看病	डॉक्टर को दिखाना	कल मैं अस्पताल में डॉक्टर को दिखाने जाऊँगा।	ডাক্তার দেখানো	আগামীকাল আমি হাসপাতালে ডাক্তার দেখাতে যাব।	magpatingin sa doktor	Bukas pupunta ako sa ospital para magpatingin sa doktor.
没事	कोई बात नहीं; ठीक होना	मैं ठीक हूँ, चिंता मत करो।	কিছু হয়নি; ভালো থাকা	আমি ভালো আছি, চিন্তা কোরো না।	walang problema; ayos lang	Ayos lang ako, huwag kang mag-alala.
没有	नहीं होना; न होना	मेरे पास फोन नहीं है।	নেই; না থাকা	আমার ফোন নেই।	wala; walang mayroon	Wala akong telepono.
们	लोगों के लिए बहुवचन प्रत्यय	शिक्षक दफ़्तर में हैं।	মানুষের বহুবচন প্রত্যয়	শিক্ষকেরা অফিসে আছেন।	panlapi ng maramihan para sa tao	Nasa opisina ang mga guro.
面条儿	नूडल्स	दोपहर में मैं नूडल्स खाता हूँ।	নুডলস	দুপুরে আমি নুডলস খাই।	pansit; noodles	Kumakain ako ng pansit sa tanghali.
明年	अगले साल	अगले साल मैं चीन जाऊँगा।	আগামী বছর	আগামী বছর আমি চীনে যাব।	sa susunod na taon	Sa susunod na taon, pupunta ako sa Tsina.
哪个	कौन सा; कौन सा वाला	तुम्हें कौन सा कप पसंद है?	কোনটি	তোমার কোন কাপটি পছন্দ?	alin; alin sa kanila	Aling tasa ang gusto mo?
哪里	कहाँ	तुम कहाँ रहते हो?	কোথায়	তুমি কোথায় থাকো?	saan	Saan ka nakatira?
哪儿	कहाँ; किधर	तुम कहाँ जा रहे हो?	কোথায়; কোথায় যাওয়া	তুমি কোথায় যাচ্ছ?	saan; papunta saan	Saan ka pupunta?
哪些	कौन-कौन से	कौन-कौन सी किताबें तुम्हारी हैं?	কোনগুলো	কোন বইগুলো তোমার?	alin-alin	Aling mga libro ang sa iyo?
那边	उधर; वह तरफ	दुकान उधर है।	ওদিকে; ওই দিক	দোকানটি ওদিকে।	doon; kabilang panig	Nandoon ang tindahan.
那个	वह; वह वाला	वह छात्र मेरा दोस्त है।	ওটা; ওই	ওই ছাত্রটি আমার বন্ধু।	iyon; yaong	Kaibigan ko ang estudyanteng iyon.
那里	वहाँ	शिक्षक वहाँ हैं।	সেখানে	শিক্ষক সেখানে আছেন।	doon	Nandoon ang guro.
那儿	वहाँ	मेरा दोस्त वहाँ है।	সেখানে	আমার বন্ধু সেখানে আছে।	doon	Nandoon ang kaibigan ko.
那些	वे; वे वाले	वे सेब ताज़े हैं।	ওগুলো	ওই আপেলগুলো টাটকা।	iyon; yaong mga	Sariwa ang mga mansanas na iyon.
男	पुरुष; नर	यह बच्चा लड़का है।	পুরুষ; ছেলে	এই শিশুটি ছেলে।	lalaki; panlalaki	Lalaki ang batang ito.
男朋友	प्रेमी; बॉयफ्रेंड	उसका प्रेमी कार चलाना जानता है।	প্রেমিক	তার প্রেমিক গাড়ি চালাতে পারে।	kasintahang lalaki	Marunong magmaneho ang kasintahan niyang lalaki.
你好	नमस्ते	नमस्ते, मेरा नाम Xiao Li है।	নমস্কার; হ্যালো	নমস্কার, আমার নাম Xiao Li।	kumusta; hello	Kumusta, ang pangalan ko ay Xiao Li.
你们	आप लोग	क्या आज आप लोगों की कक्षा है?	তোমরা; আপনারা	আজ তোমাদের ক্লাস আছে?	kayo	May klase ba kayo ngayon?
女	महिला; स्त्री	वह डॉक्टर है।	নারী; মেয়ে	সে ডাক্তার।	babae; pambabae	Babaeng doktor siya.
女朋友	प्रेमिका; गर्लफ्रेंड	उसकी प्रेमिका को संगीत पसंद है।	প্রেমিকা	তার প্রেমিকা গান ভালোবাসে।	kasintahang babae	Mahilig sa musika ang kasintahan niyang babae.
前	सामने; पहले	स्कूल के सामने किताबों की दुकान है।	সামনে; আগে	স্কুলের সামনে বইয়ের দোকান আছে।	harap; bago	May tindahan ng libro sa harap ng paaralan.
请问	माफ कीजिए, पूछ सकता हूँ	माफ कीजिए, शौचालय कहाँ है?	মাফ করবেন, জিজ্ঞেস করতে পারি	মাফ করবেন, টয়লেট কোথায়?	pasensya na, puwede bang magtanong	Pasensya na, nasaan ang palikuran?
上课	कक्षा होना; कक्षा शुरू होना	हमारी कक्षा आठ बजे है।	ক্লাস হওয়া; ক্লাস শুরু হওয়া	আমাদের ক্লাস আটটায়।	pumasok sa klase; magsimula ang klase	May klase kami nang alas-otso.
上学	स्कूल जाना	बच्चे हर दिन स्कूल जाते हैं।	স্কুল যাওয়া	শিশুরা প্রতিদিন স্কুলে যায়।	pumasok sa paaralan	Araw-araw pumapasok sa paaralan ang mga bata.
事	बात; काम	आज मेरे पास बहुत काम है।	বিষয়; কাজ	আজ আমার অনেক কাজ আছে।	bagay; gawain	Marami akong gagawin ngayon.
书店	किताबों की दुकान	किताबों की दुकान सिनेमा के पास है।	বইয়ের দোকান	বইয়ের দোকানটি সিনেমা হলের পাশে।	tindahan ng libro	Nasa tabi ng sinehan ang tindahan ng libro.
睡	सोना	बच्चा पहले ही सो गया है।	ঘুমানো	শিশুটি ইতিমধ্যে ঘুমিয়ে পড়েছে।	matulog	Natutulog na ang bata.
说	बोलना; कहना	वह चीनी बहुत अच्छी बोलता है।	বলা; কথা বলা	সে খুব ভালো চীনা ভাষায় কথা বলে।	magsalita; sabihin	Napakahusay niyang magsalita ng Tsino.
他们	वे	वे कक्षा में हैं।	তারা	তারা শ্রেণিকক্ষে আছে।	sila	Nasa silid-aralan sila.
它们	वे चीज़ों या जानवरों के लिए	ये बिल्लियाँ छोटी हैं; वे प्यारी हैं।	ওগুলো বস্তু বা প্রাণীর জন্য	এই বিড়ালগুলো ছোট; ওরা মিষ্টি।	mga iyon para sa bagay o hayop	Maliliit ang mga pusang ito; ang cute nila.
她们	वे महिलाएँ	वे सब विश्वविद्यालय की छात्राएँ हैं।	তারা নারী	তারা সবাই বিশ্ববিদ্যালয়ের ছাত্রী।	sila na mga babae	Lahat sila ay mga estudyante sa unibersidad.
天	दिन; आकाश	आज रविवार है।	দিন; আকাশ	আজ রবিবার।	araw; langit	Linggo ngayon.
听见	सुन लेना	मैंने तुम्हारा फोन सुना।	শুনতে পাওয়া	আমি তোমার ফোনের শব্দ শুনেছি।	marinig	Narinig ko ang telepono mo.
外边	बाहर	बाहर बारिश हो रही है।	বাইরে	বাইরে বৃষ্টি হচ্ছে।	labas	Umuulan sa labas.
晚	देर; शाम	अब बहुत देर हो गई है।	দেরি; সন্ধ্যা	এখন অনেক দেরি।	huli; gabi	Huli na ngayon.
晚饭	रात का खाना	रात के खाने में मैं चावल खाना चाहता हूँ।	রাতের খাবার	রাতে আমি ভাত খেতে চাই।	hapunan	Gusto kong kumain ng kanin sa hapunan.
午饭	दोपहर का खाना	दोपहर के खाने में हम नूडल्स खाते हैं।	দুপুরের খাবার	দুপুরে আমরা নুডলস খাই।	tanghalian	Kumakain kami ng pansit sa tanghalian.
下班	काम से निकलना	माँ पाँच बजे काम से निकलती हैं।	কাজ শেষ করা	মা পাঁচটায় কাজ শেষ করেন।	matapos sa trabaho	Natatapos sa trabaho si nanay nang alas-singko.
下课	कक्षा समाप्त होना; कक्षा के बाद	कक्षा के बाद मैं किताबों की दुकान जाता हूँ।	ক্লাস শেষ হওয়া	ক্লাসের পরে আমি বইয়ের দোকানে যাই।	matapos ang klase	Pagkatapos ng klase, pupunta ako sa tindahan ng libro.
小朋友	बच्चा	बच्चे पार्क में खेल रहे हैं।	শিশু; বাচ্চা	শিশুরা পার্কে খেলছে।	bata	Naglalaro ang mga bata sa parke.
小学	प्राथमिक स्कूल	मेरी छोटी बहन प्राथमिक स्कूल जाती है।	প্রাথমিক বিদ্যালয়	আমার ছোট বোন প্রাথমিক বিদ্যালয়ে যায়।	mababang paaralan	Pumapasok sa mababang paaralan ang nakababata kong kapatid.
小学生	प्राथमिक छात्र	वह प्राथमिक स्कूल का छात्र है।	প্রাথমিক বিদ্যালয়ের ছাত্র	সে প্রাথমিক বিদ্যালয়ের ছাত্র।	mag-aaral sa mababang paaralan	Mag-aaral siya sa mababang paaralan.
星期日	रविवार	रविवार को मेरी कक्षा नहीं है।	রবিবার	রবিবার আমার ক্লাস নেই।	Linggo	Wala akong klase tuwing Linggo.
星期天	रविवार	रविवार को मैं फिल्म देखने जाता हूँ।	রবিবার	রবিবার আমি সিনেমা দেখতে যাই।	Linggo	Tuwing Linggo, nanonood ako ng pelikula.
学	सीखना; पढ़ना	मैं चीनी सीख रहा हूँ।	শেখা; পড়া	আমি চীনা ভাষা শিখছি।	matuto; mag-aral	Nag-aaral ako ng Tsino.
一半	आधा	मैंने आधा चावल खा लिया।	অর্ধেক	আমি ভাতের অর্ধেক খেয়েছি।	kalahati	Kinain ko ang kalahati ng kanin.
一下	थोड़ी देर; एक बार	कृपया थोड़ी देर इंतज़ार करो।	একটু; একবার	দয়া করে একটু অপেক্ষা করো।	sandali; minsan	Pakiusap, maghintay ka sandali.
一点儿	थोड़ा	मैं थोड़ा थका हुआ हूँ।	একটু	আমি একটু ক্লান্ত।	kaunti	Medyo pagod ako.
一些	कुछ; थोड़ा	मैंने कुछ सेब खरीदे।	কিছু; কয়েকটি	আমি কয়েকটি আপেল কিনেছি।	ilan; kaunti	Bumili ako ng ilang mansanas.
有的	कुछ	कुछ छात्र गाना पसंद करते हैं।	কিছু	কিছু ছাত্র গান গাইতে ভালোবাসে।	ilan; may iba	May ilang estudyanteng mahilig kumanta.
有点儿	थोड़ा सा	आज थोड़ा ठंडा है।	একটু	আজ একটু ঠান্ডা।	medyo; kaunti	Medyo malamig ngayon.
有些	कुछ	कुछ किताबें शिक्षक के पास हैं।	কিছু	কিছু বই শিক্ষকের কাছে আছে।	ilan; may ilan	May ilang libro sa guro.
雨	बारिश	आज बारिश हो रही है।	বৃষ্টি	আজ বৃষ্টি হচ্ছে।	ulan	Umuulan ngayon.
早	जल्दी; सुबह	वह हर सुबह बहुत जल्दी उठता है।	তাড়াতাড়ি; সকাল	সে প্রতিদিন সকালে খুব তাড়াতাড়ি ওঠে।	maaga; umaga	Maaga siyang gumigising tuwing umaga.
早饭	नाश्ता	नाश्ते में मैं दूध पीता हूँ।	সকালের নাশতা	সকালে আমি দুধ খাই।	almusal	Umiinom ako ng gatas sa almusal.
怎么	कैसे	तुम स्कूल कैसे जाते हो?	কীভাবে	তুমি কীভাবে স্কুলে যাও?	paano	Paano ka pumapasok sa paaralan?
这边	इधर; यह तरफ	कृपया इधर आओ।	এদিকে; এই দিক	দয়া করে এদিকে এসো।	dito; panig na ito	Pumunta ka rito, pakiusap.
这个	यह	यह baozi बहुत स्वादिष्ट है।	এটা; এই	এই baozi খুব সুস্বাদু।	ito	Masarap ang baozi na ito.
这里	यहाँ	यहाँ मेरा स्कूल है।	এখানে	এখানে আমার স্কুল।	dito	Narito ang paaralan ko.
这儿	यहाँ	यहाँ एक रेस्तरां है।	এখানে	এখানে একটি রেস্তোরাঁ আছে।	dito	May restawran dito.
这些	ये	ये चीनी अक्षर लिखने में आसान हैं।	এগুলো	এই চীনা অক্ষরগুলো লেখা সহজ।	mga ito	Madaling isulat ang mga karakter na Tsinong ito.
只	जानवरों या जोड़े की एक चीज़ के लिए माप शब्द	मेज़ के नीचे एक बिल्ली है।	প্রাণী বা জোড়ার একটির গণনাশব্দ	টেবিলের নিচে একটি বিড়াল আছে।	bilang na salita para sa hayop o isa sa pares	May isang pusa sa ilalim ng mesa.
中学	माध्यमिक विद्यालय	मेरा बड़ा भाई माध्यमिक विद्यालय में पढ़ता है।	মাধ্যমিক বিদ্যালয়	আমার বড় ভাই মাধ্যমিক বিদ্যালয়ে পড়ে।	paaralang sekundarya	Nag-aaral sa paaralang sekundarya ang kuya ko.
中学生	माध्यमिक छात्र	वह माध्यमिक विद्यालय की छात्रा है।	মাধ্যমিক বিদ্যালয়ের ছাত্র	সে মাধ্যমিক বিদ্যালয়ের ছাত্রী।	mag-aaral sa sekundarya	Mag-aaral siya sa sekundarya.
字	अक्षर; लिखावट	उसकी लिखावट बहुत सुंदर है।	অক্ষর; হাতের লেখা	তার হাতের লেখা খুব সুন্দর।	karakter; sulat-kamay	Napakaganda ng sulat-kamay niya.
做饭	खाना बनाना	पिताजी रसोई में खाना बना रहे हैं।	রান্না করা	বাবা রান্নাঘরে রান্না করছেন।	magluto	Nagluluto si tatay sa kusina.
