source_headword	SR	example_SR
heal	зацелити	Одмор помаже телу да зацели.
healthcare	здравство	Трошкови здравства су порасли ове године.
helmet	кацига	Носи кацигу на бициклу.
hence	стога	Стога смо променили распоред.
herb	биљка	Босиљак је корисна биљка.
hidden	скривен	Кључ је био скривен испод отирача.
highway	аутопут	Аутопут је био затворен након снега.
hilarious	урнебесан	Филм је био урнебесан.
hip	кук	Повредила је кук током тренинга.
historian	историчар	Историчар је проучавао стара писма.
homeless	бескућник	Склониште помаже породицама бескућника.
honesty	искреност	Искреност гради поверење.
hook	кука	Окачи капут на куку.
hopefully	надајмо се	Надајмо се да воз стиже ускоро.
hunger	глад	Глад може утицати на концентрацију.
hypothesis	хипотеза	Експеримент је тестирао хипотезу.
icon	икона	Икона апликације се променила данас.
ID	лична карта	Покажи своју личну карту на рецепцији.
identical	идентичан	Близанци су носили идентичне јакне.
illusion	илузија	Огледало ствара илузију.
immigration	имиграција	Имиграциона политика се променила прошле године.
immune	имун	Вакцинација може учинити људе имунима.
implement	спровести	Школа ће спровести политику.
implication	импликација	Импликација је била јасна.
incentive	подстицај	Бонус је дао радницима подстицај.
incorporate	укључити	Укључите више поврћа у оброке.
incorrect	нетачан	Одговор је био нетачан.
independence	независност	Земља је славила независност.
index	индекс	Провери индекс за тему.
indication	знак	Осмех је био знак олакшања.
inevitable	неизбежан	Неко кашњење је било неизбежно.
inevitably	неизбежно	Неизбежно, цене су порасле након несташица.
infer	закључити	Можемо закључити одговор из контекста.
inflation	инфлација	Инфлација је повећала цене хране.
info	информација	Веб сајт наводи корисне информације.
infrastructure	инфраструктура	Олуја је оштетила локалну инфраструктуру.
inhabitant	становник	Сваки становник је добио чисту воду.
inherit	наследити	Она ће наследити породичну кућу.
ink	мастило	Штампачу треба црно мастило.
innovation	иновација	Иновација гура индустрију напред.
innovative	иновативан	Компанија је лансирала иновативан производ.
input	унос	Менаџер је тражио унос.
insert	уметнути	Уметните картицу у машину.
inspector	инспектор	Инспектор је проверио зграду.
installation	инсталација	Инсталација је трајала два сата.
instant	тренутни	Апликација је послала тренутни одговор.
instantly	одмах	Екран се одмах укључио.
integrate	интегрисати	Софтвер може интегрисати нове алате.
intellectual	интелектуалан	Расправа је била интелектуална, али пријатељска.
interact	интерактовати	Ученици комуницирају током групног рада.
interaction	интеракција	Интеракција је била пристојна.
interpretation	тумачење	Њено тумачење песме било је оригинално.
interval	интервал	Била је кратка пауза између чинова.
invade	напасти	Војска је покушала да нападне острво.
invasion	инвазија	Инвазија је оштетила многе градове.
