source_headword	HI	example_HI
crawl	रेंगना	बच्चा कालीन पर रेंगने लगा।
creator	निर्माता	निर्माता ने समर्थन के लिए सभी को धन्यवाद दिया।
credibility	विश्वसनीयता	पूछताछ के दौरान गवाह ने अपनी विश्वसनीयता खो दी।
credible	विश्वसनीय	रिपोर्ट में विश्वसनीय साक्ष्य पेश किए गए।
creep	खिसकना	कोहरा घाटी में खिसकने लगा।
critique	समीक्षा	प्रोफेसर ने एक विस्तृत समीक्षा दी।
crown	मुकुट	रानी ने चांदी का मुकुट पहना था।
crude	भद्दा	चित्र भद्दा लेकिन स्पष्ट था।
crush	कुचलना	भारी चट्टानें पाइप को कुचल सकती हैं।
crystal	क्रिस्टल	क्रिस्टल ने सुबह की रोशनी को प्रतिबिंबित किया।
cult	पंथ	पंथ ने अपने सदस्यों को अलग-थलग कर दिया।
cultivate	खेती करना	किसान इस क्षेत्र में चावल की खेती करते हैं।
curiosity	जिज्ञासा	जिज्ञासा ने उसे विज्ञान की ओर प्रेरित किया।
custody	कस्टडी	बच्चा अपने पिता की कस्टडी में रहा।
cutting	कतरन	अखबार ने उसके बारे में एक कतरन छापी।
cynical	निंदक	उनकी निंदक टिप्पणी ने टीम को परेशान कर दिया।
dam	बांध	बांध नदी के पानी को रोकता है।
damaging	हानिकारक	हानिकारक लेख ने अभियान को नुकसान पहुँचाया।
dawn	भोर	हम भोर में गाँव से निकल गए।
debris	मलबा	तूफान के मलबे ने सड़क को अवरुद्ध कर दिया।
debut	शुरुआत	उनके डेब्यू ने राष्ट्रीय ध्यान आकर्षित किया।
decision-making	निर्णय लेना	अच्छे निर्णय लेने के लिए स्पष्ट जानकारी की आवश्यकता होती है।
decisive	निर्णायक	उनके निर्णायक कदम ने आगे के नुकसान को रोक दिया।
declaration	घोषणा	मंत्री ने एक औपचारिक घोषणा पढ़ी।
dedicated	समर्पित	समर्पित नर्स ने रात भर काम किया।
dedication	समर्पण	उनके समर्पण ने युवा खिलाड़ियों को प्रेरित किया।
deed	काम	बहादुरी भरे काम ने दो जानें बचाईं।
deem	मानना	अदालत अनुबंध को अमान्य मान सकती है।
default	डिफ़ॉल्ट	अभी के लिए डिफ़ॉल्ट सेटिंग का उपयोग करें।
defect	खराबी	निरीक्षकों को एक गंभीर खराबी मिली।
defensive	रक्षात्मक	उनके रक्षात्मक लहजे ने सभी को चौंका दिया।
deficiency	कमी	आयरन की कमी स्वास्थ्य को प्रभावित कर सकती है।
deficit	घाटा	बजट घाटे ने अधिकारियों को चिंतित कर दिया।
defy	अवहेलना करना	प्रदर्शनकारियों ने प्रतिबंध की अवहेलना करने का विकल्प चुना।
delegate	प्रतिनिधि	प्रत्येक प्रतिनिधि को एक वोटिंग कार्ड मिला।
delegation	प्रतिनिधिमंडल	प्रतिनिधिमंडल दोपहर से पहले पहुँच गया।
delicate	नाज़ुक	नाज़ुक कांच आसानी से टूट गया।
demon	दानव	कहानी एक प्राचीन दानव का वर्णन करती है।
denial	इनकार	उनके इनकार ने पीड़ितों को गुस्सा दिला दिया।
denounce	निंदा करना	नेता स्कूलों में हिंसा की निंदा करते हैं।
dense	घना	घने जंगल ने धूप को रोक दिया।
density	घनत्व	शहर के केंद्र में जनसंख्या घनत्व अधिक है।
dependence	निर्भरता	तेल पर देश की निर्भरता कम हो गई।
depict	दर्शाना	भित्ति चित्र गाँव के जीवन को दर्शाता है।
deploy	तैनात करना	सेना अतिरिक्त कर्मचारियों को तैनात करेगी।
deployment	तैनाती	सैनिकों की तैनाती सोमवार को शुरू हुई।
deprive	वंचित करना	नींद की कमी छात्रों को ध्यान केंद्रित करने से वंचित कर सकती है।
deputy	डिप्टी	डिप्टी ने समझौते पर हस्ताक्षर किए।
