source_headword	NE	example_NE
heal	निको पार्नु	आरामले शरीरलाई निको पार्न मद्दत गर्छ।
healthcare	स्वास्थ्य सेवा	यस वर्ष स्वास्थ्य सेवा लागत बढ्यो।
helmet	हेल्मेट	साइकल चलाउँदा हेल्मेट लगाउनुहोस्।
hence	त्यसैले	त्यसैले, हामीले तालिका परिवर्तन गर्यौं।
herb	जडीबुटी	तुलसी एउटा उपयोगी जडीबुटी हो।
hidden	लुकाइएको	साँचो डोरम्याटमुनि लुकाइएको थियो।
highway	राजमार्ग	हिउँ परेपछि राजमार्ग बन्द गरिएको थियो।
hilarious	धेरै हास्यास्पद	चलचित्र धेरै हास्यास्पद थियो।
hip	कम्मर	अभ्यासको क्रममा उनको कम्मरमा चोट लाग्यो।
historian	इतिहासकार	इतिहासकारले पुराना चिठीहरूको अध्ययन गरे।
homeless	घरबारविहीन	आश्रयस्थलले घरबारविहीन परिवारहरूलाई मद्दत गर्छ।
honesty	इमानदारी	इमानदारीले विश्वास बढाउँछ।
hook	हुक	हुकमा कोट झुन्ड्याउनुहोस्।
hopefully	आशा छ	आशा छ, रेल छिट्टै आइपुग्नेछ।
hunger	भोक	भोकले एकाग्रतालाई असर गर्न सक्छ।
hypothesis	परिकल्पना	प्रयोगले परिकल्पनाको परीक्षण गर्‍यो।
icon	आइकन	एपको आइकन आज परिवर्तन भयो।
ID	परिचयपत्र	रिसेप्सनमा आफ्नो परिचयपत्र देखाउनुहोस्।
identical	उस्तै	जुम्ल्याहा बच्चाहरूले उस्तै ज्याकेट लगाएका थिए।
illusion	भ्रम	ऐनाले भ्रम सिर्जना गर्छ।
immigration	अध्यागमन	गत वर्ष अध्यागमन नीति परिवर्तन भयो।
immune	प्रतिरोधात्मक	खोपले मानिसहरूलाई प्रतिरोधात्मक बनाउन सक्छ।
implement	लागू गर्नु	विद्यालयले नीति लागू गर्नेछ।
implication	आशय	आशय स्पष्ट थियो।
incentive	प्रोत्साहन	बोनसले कामदारहरूलाई प्रोत्साहन दियो।
incorporate	समावेश गर्नु	खानामा धेरै तरकारीहरू समावेश गर्नुहोस्।
incorrect	गलत	उत्तर गलत थियो।
independence	स्वतन्त्रता	देशले स्वतन्त्रता मनायो।
index	अनुक्रमणिका	विषयको लागि अनुक्रमणिका जाँच गर्नुहोस्।
indication	सङ्केत	मुस्कान राहतको सङ्केत थियो।
inevitable	अपरिहार्य	केही ढिलाइ अपरिहार्य थियो।
inevitably	अनिवार्य रूपमा	अभावपछि अनिवार्य रूपमा मूल्य बढ्यो।
infer	अनुमान गर्नु	हामी सन्दर्भबाट उत्तर अनुमान गर्न सक्छौं।
inflation	मुद्रास्फीति	मुद्रास्फीतिले खानाको मूल्य बढायो।
info	जानकारी	वेबसाइटले उपयोगी जानकारी सूचीबद्ध गर्दछ।
