simplified	BG	example_BG
啊	модална частица за съгласие или потвърждение	Добре, тогава да тръгваме сега.
阿姨	леля; гледачка; по-възрастна жена	Лелята работи в голям магазин.
矮	нисък	Тази маса е малко ниска.
爱好	хоби; интерес	Моето хоби е да слушам музика.
安静	тих; спокоен	В библиотеката е много тихо.
把	държа; хващам; частица за обект	Моля, затворете вратата.
搬	местя се; премествам	Утре се местим.
班	клас; екип	В нашия клас има двадесет ученици.
办法	метод; начин	Този метод е много добър.
办公室	офис; кабинет	Директорът е в офиса.
半	половина; полу-	Чаках половин час.
帮忙	помагам; оказвам помощ	Можеш ли да помогнеш?
包	опаковам; държа; чанта	Тя си купи нова чанта.
饱	сит; наяждам се	Вече съм сит.
北方	север; северна част	Зимата на север е много студена.
被	страдателна частица; от	Колелото ми беше взето назаем от приятел.
鼻子	нос	Носът му е малко червен.
比较	сравнявам; сравнително	Днес е сравнително топло.
比赛	мач; състезание	Този мач е много важен.
笔记本	тетрадка	Сложих тетрадката на масата.
必须	трябва; необходимо е	Трябва да преговориш внимателно.
变化	промяна; променям се	Този град се е променил много.
别人	други хора	Не вземай чужди неща.
冰箱	хладилник	Плодовете са в хладилника.
不但…而且…	не само... но и...	Той е не само умен, но и трудолюбив.
菜单	меню	Моля, дайте ми меню.
参加	участвам; включвам се	Искам да участвам в тази среща.
草	трева	Кученцето тича по тревата.
层	етаж; слой	Тази сграда има три етажа.
差	различавам се; липсвам; лош	Днес времето е лошо.
超市	голям магазин; супермаркет	Отивам в големия магазин да купя хляб.
衬衫	риза; блуза	Тази риза е много чиста.
城市	град	Пекин е голям град.
成绩	оценки; резултати	Оценките му по математика са много добри.
迟到	закъснявам	Не закъснявай за час.
除了	освен; в допълнение към	Освен кафе, искам и чай.
船	лодка; кораб	Отиваме до онзи град с лодка.
春	пролет	През пролетта има много цветя.
词典	речник	Този речник е много полезен.
聪明	умен; интелигентен	Това дете е много умно.
打扫	чистя; мета	През уикенда чистя стаята.
打算	планирам; възнамерявам	Какви планове имаш за утре?
带	нося; вземам със себе си	Моля, носете паспорта си.
担心	тревожа се; притеснен	Не се тревожи, ще ти помогна.
蛋糕	торта; сладкиш	Тази торта е много сладка.
当然	разбира се	Разбира се, че можеш.
地	наречна частица	Той се усмихна щастливо.
灯	лампа; светлина	Моля, включете лампата.
地方	място; район	Това място е много спокойно.
地铁	метро	Всеки ден ходя на работа с метрото.
地图	карта	Търся училището на картата.
电梯	асансьор	Асансьорът е отляво.
电子邮件	електронно писмо	Изпращам електронно писмо на учителя.
东	изток	Слънцето изгрява от изток.
冬	зима	През зимата обичам да пия горещ чай.
动物	животно	Пандата е известно животно в Китай.
短	къс	Тези панталони са твърде къси.
段	абзац; част	Моля, прочетете този абзац.
锻炼	спортувам; тренирам	Всяка сутрин спортувам.
多么	колко; какъв	Колко добра е средата тук!
饿	гладен; огладнявам	Гладен съм и искам да ям хляб.
耳朵	ухо	Ухото ме боли малко.
发	изпращам; издавам	Вечер изпращам електронни писма.
发烧	имам температура	Той има температура и не може да ходи на училище.
发现	откривам; намирам	Открих, че този метод е добър.
方便	удобен	Удобно е да вземеш метрото.
放	слагам; пускам	Моля, сложете книгата на масата.
放心	успокоявам се; не се тревожа	Не се тревожи, ще пристигна навреме.
分	разделям; разпределям	Моля, разделете тортата между всички.
复习	преговарям; преговор	Трябва да преговоря преди изпита.
附近	наблизо; околност	Наблизо има ресторант.
干净	чист	Тази стая е много чиста.
感冒	настивам; настинка	Настинал съм и искам да си почина.
感兴趣	интересувам се	Много се интересувам от китайски.
刚才	току-що; преди малко	Кой ти се обади току-що?
个子	ръст	Той е висок.
根据	според; въз основа на	Според картата училището е на изток.
跟	с; следвам	Отивам в парка с приятел.
更	по-; още по-	Днес е още по-студено от вчера.
公斤	килограм	Тези ябълки тежат един килограм.
公园	парк	Децата играят в парка.
故事	история; разказ	Дядо ми разказва история.
刮风	духа вятър	Днес духа вятър; не карай колело.
关	затварям; изключвам	Моля, затворете вратата.
关系	отношение; връзка	Отношенията ми с колегата са добри.
关心	грижа се; интересувам се	Мама много се грижи за здравето ми.
关于	за; относно	Тази книга е за китайската култура.
国家	държава; страна	Китай е много голяма държава.
过	частица за преживяно действие	Бил съм в Пекин.
过去	минало; преди	Преди тук нямаше метро.
还是	или; все още	Пиеш чай или кафе?
害怕	страхувам се	Не се страхувам от изпита.
黑板	черна дъска	Учителят пише йероглифи на дъската.
后来	по-късно; след това	По-късно отидохме в парка.
护照	паспорт	Моля, носете паспорта си.
96:花	харча; струва	Купуването на телефона струваше две хиляди юана.
97:花	цвете	На масата има цвете.
画	рисувам; картина	По-малката ми сестра обича да рисува панди.
坏	лош; развален	Компютърът ми се развали.
欢迎	посрещам; добре дошъл	Добре дошъл у дома ми.
环境	среда; обстановка	Средата в това училище е много добра.
还	връщам	Моля, върнете ми книгата утре.
换	сменям; разменям	Искам да сменя риза.
黄河	Жълтата река	Жълтата река е много дълга.
回答	отговарям; отговор	Моля, отговорете на въпроса ми.
会议	среща; конференция	Срещата започва в девет часа.
或者	или; може би	Можеш да вземеш метрото или автобуса.
几乎	почти	Той спортува почти всеки ден.
机会	възможност; шанс	Това е добра възможност.
极	изключително; много	Тя е изключително щастлива.
季节	сезон	Есента е любимият ми сезон.
记得	помня	Помниш ли да донесеш кредитната карта?
检查	проверявам; преглеждам	Лекарят ме преглежда.
简单	прост; лесен	Това изречение е много просто.
健康	здраве; здравословен	Спортът е добър за здравето.
见面	срещам се	Утре ще се срещнем в училище.
讲	обяснявам; говоря	Учителят обяснява много ясно.
教	преподавам; уча някого	Той ме учи да пиша китайски йероглифи.
脚	крак; стъпало	Кракът ме боли малко.
角	ъгъл	Магазинът е на ъгъла на улицата.
接	посрещам; получавам; отговарям	Отивам на летището да посрещна приятел.
街道	улица	Тази улица е много чиста.
结婚	женя се; омъжвам се	Те ще се оженят догодина.
结束	свършвам; приключвам	Мачът вече приключи.
节目	предаване; програма	Това телевизионно предаване е много добро.
节日	празник; фестивал	Празникът на пролетта е важен китайски празник.
解决	решавам	Този проблем вече е решен.
借	вземам назаем; давам назаем	Искам да взема твоя речник назаем.
经常	често	Често ходя в библиотеката.
经过	минавам през; процес	Всеки ден минавам през този парк.
经理	директор; ръководител	Директорът е на среща.
久	дълго време	Живея тук от дълго време.
旧	стар; използван	Тази дреха е много стара.
句子	изречение	Моля, напишете едно изречение.
决定	решавам; решение	Реших да уча китайски.
可爱	сладък; мил	Тази котка е много сладка.
渴	жаден	Жаден съм и искам да пия вода.
刻	четвърт час; момент	Осем и четвърт е.
客人	гост; клиент	Днес у дома дойде гост.
空调	климатик	Моля, включете климатика.
口	уста; глътка; броител за хора или животни	Той отпи глътка вода.
哭	плача	Защо плаче детето?
裤子	панталони	Тези панталони са нови.
筷子	клечки за хранене	Мога да ям с клечки за хранене.
蓝	син	Небето е синьо.
老	стар; възрастен	Моят учител не е стар.
离开	заминавам; напускам	Той напуска Пекин утре.
礼物	подарък	Това е подарък за теб.
历史	история	Харесвам китайската история.
脸	лице	Лицето й е много червено.
练习	упражнявам се; упражнение	Моля, упражнявайте повече говорене на китайски.
辆	броител за превозни средства	Пред вратата има такси.
聊天	разговарям; бъбря	Разговарям с приятел.
了解	разбирам; научавам	Искам да разбера китайската култура.
邻居	съсед	Моят съсед е много сърдечен.
留学	уча в чужбина	Тя учи в Китай.
楼	сграда; етаж	Офисът е на третия етаж.
绿	зелен	През пролетта дърветата станаха зелени.
马	кон	Онзи кон тича много бързо.
马上	веднага	Ще се върна веднага.
满意	доволен	Много съм доволен от тази стая.
帽子	шапка	Тази шапка е много красива.
米	метър; ориз	Тази маса е дълга два метра.
面包	хляб	Ям хляб за закуска.
明白	разбирам; ясен	Разбирам какво имаш предвид.
拿	вземам; държа	Моля, вземете една книга за мен.
奶奶	баба по бащина линия; баба	Баба обича да слуша музика.
南	юг	Училището е в южната част на града.
难	труден	Този въпрос не е труден.
难过	тъжен; натъжен	Тя е малко тъжна днес.
年级	клас; учебна година	По-малката ми сестра е в трети клас.
年轻	млад	Този директор е много млад.
鸟	птица	На дървото има птица.
努力	усилие; старая се	Той учи много усърдно.
爬山	изкачвам планина; ходя на планина	Този уикенд ще ходим на планина.
盘子	чиния; поднос	На масата има три чинии.
胖	дебел; пълен	Това куче е малко дебело.
啤酒	бира	Татко не пие бира.
皮鞋	кожени обувки	Този чифт кожени обувки е скъп.
瓶子	бутилка	В бутилката има вода.
其实	всъщност	Всъщност не обичам бира.
其他	друг; останалите	Останалите съученици всички дойдоха.
奇怪	странен	Този звук е много странен.
骑	яздя; карам	Той всеки ден ходи на работа с колело.
起飞	излитам	Самолетът скоро ще излети.
起来	ставам; нагоре	Моля, станете.
清楚	ясен; ясно	Говори много ясно.
请假	искам отпуск; отсъствам по разрешение	Той е настинал и трябва да поиска отпуск.
秋	есен	Времето през есента е приятно.
裙子	пола	Тази пола е много красива.
然后	после; след това	Първо ям, после пиша домашните.
热情	сърдечен; ентусиазиран	Китайските приятели са много сърдечни.
认为	смятам; мисля	Смятам, че този метод е добър.
认真	сериозен; внимателен	Моля, слушайте учителя внимателно.
容易	лесен	Този китайски йероглиф се пише лесно.
如果	ако	Ако вали, ще вземем метрото.
伞	чадър	Вали; моля, вземи чадър.
上网	влизам в интернет	Вечер влизам в интернет, за да проверя картата.
声音	глас; звук	Гласът ти звучи приятно.
生气	ядосан; сърдя се	Не се ядосвай; не го направих нарочно.
世界	свят	Светът е много голям.
试	опитвам; пробвам	Искам да пробвам този чифт кожени обувки.
瘦	слаб	Той е по-слаб от преди.
叔叔	чичо	Чичо ме кара до училище.
舒服	удобен; добре се чувствам	Този стол е удобен.
数学	математика	Часът по математика е интересен.
树	дърво	Пред къщата има дърво.
刷牙	мия си зъбите	Всяка сутрин си мия зъбите.
双	чифт; двоен	Купих чифт кожени обувки.
水平	ниво; норма	Нивото му по китайски е високо.
司机	шофьор	Шофьорът ни чака пред вратата.
太阳	слънце	Днес слънцето е силно.
特别	особено; специален	Това предаване е особено интересно.
疼	боли; болезнен	Боли ме кракът.
提高	повишавам; подобрявам	Повече упражнения могат да подобрят нивото по китайски.
体育	спорт; физическо възпитание	Харесвам часа по спорт.
甜	сладък	Тази напитка е твърде сладка.
条	броител за дълги предмети; брой	Купих една пола.
同事	колега	Моят колега е много зает.
同意	съгласен съм	Съгласен съм с твоето решение.
头发	коса	Косата й е дълга.
突然	внезапен; внезапно	Той внезапно си тръгна.
图书馆	библиотека	Библиотеката днес не е отворена.
腿	крак	След изкачването на планината ме болят краката.
