source_headword	TL	example_TL
clothes	damit	Malinis ang damit ko.
club	club; samahan	Pumupunta siya sa club ng musika.
coat	amerikana	Mainit ang amerikana ko.
coffee	kape	Umiinom ako ng kape sa umaga.
cold	malamig	Malamig ang tubig.
college	kolehiyo; unibersidad	Nag-aaral ang ate ko sa unibersidad.
colour	kulay	Asul ang paborito kong kulay.
come	dumating; pumunta	Pumunta ka rito, pakiusap.
common	karaniwan	Karaniwan ang pangalang ito.
company	kumpanya	Nagtatrabaho ang nanay ko sa isang kumpanya.
compare	ihambing	Ihambing mo ang dalawang larawan.
complete	kumpleto; tapusin	Kumpleto na ang form.
computer	kompyuter	Bago ang kompyuter na ito.
concert	konsiyerto	Pupunta kami sa konsiyerto mamayang gabi.
conversation	pag-uusap	Nagkaroon kami ng maikling pag-uusap.
cook	magluto; tagapagluto	Nagluluto ako ng hapunan sa bahay.
cooking	pagluluto	Gusto ko ang pagluluto kasama si tatay.
cool	malamig; astig	Malamig ang kuwarto.
correct	tama; itama	Tama ang sagot mo.
cost	halaga; magkahalaga	Magkano ang halaga nito?
could modal	maaari; kaya	Maaari kitang tulungan.
country	bansa	Malaking bansa ang Canada.
course	kurso	Kumuha ako ng kursong Ingles.
cousin	pinsan	Malapit lang nakatira ang pinsan ko.
cow	baka	Kumakain ng damo ang baka.
cream	krema	Naglalagay ako ng krema sa kape.
create	lumikha; gumawa	Gumagawa sila ng bagong laro.
culture	kultura	Natututo kami ng lokal na kultura.
cup	tasa	Walang laman ang tasang ito.
customer	kostumer	Nagtatanong ang kostumer.
cut	gupitin	Gupitin mo ang mansanas sa kalahati.
dad	tatay	Nasa trabaho si tatay.
dance	sayaw; sumayaw	Sumasayaw kami pagkatapos ng hapunan.
dancer	mananayaw	Mabilis kumilos ang mananayaw.
dancing	pagsasayaw	Masaya ang pagsasayaw.
dangerous	mapanganib	Mapanganib ang kalsadang ito.
dark	madilim	Madilim ang kuwarto.
date	petsa	Ano ang petsa ngayon?
daughter	anak na babae	Anim na taon ang anak niyang babae.
day	araw	Sana maganda ang araw mo.
