simplified	TA	example_TA
啊	உறுதிப்படுத்தும் வாக்கிய இறுதி துகள்; ஆ	சரி, நாம் இப்போது போகலாம்.
阿姨	அத்தை; குழந்தை பராமரிப்பாளர்	அத்தை பெரிய கடையில் வேலை செய்கிறார்.
矮	தாழ்ந்த; குட்டையான	இந்த மேசை கொஞ்சம் தாழ்ந்தது.
爱好	பொழுதுபோக்கு விருப்பம்; ஆர்வம்	என் பொழுதுபோக்கு இசை கேட்பது.
安静	அமைதியான; சத்தமில்லாத	நூலகத்தில் மிகவும் அமைதியாக இருக்கிறது.
把	பிடித்தல்; பொருளைக் குறிக்கும் துகள்	தயவுசெய்து கதவை மூடுங்கள்.
搬	இடம் மாறுதல்; எடுத்துச் செல்லுதல்	நாங்கள் நாளை வீடு மாறுகிறோம்.
班	வகுப்பு; குழு	எங்கள் வகுப்பில் இருபது மாணவர்கள் உள்ளனர்.
办法	முறை; வழி	இந்த முறை மிகவும் நல்லது.
办公室	அலுவலகம்	மேலாளர் அலுவலகத்தில் இருக்கிறார்.
半	அரை; பாதி	நான் அரை மணி நேரம் காத்திருந்தேன்.
帮忙	உதவுதல்	நீங்கள் உதவ முடியுமா?
包	பை; மடித்தல்	அவள் புதிய பை வாங்கினாள்.
饱	வயிறு நிறைந்த; திருப்தி அடைதல்	எனக்கு ஏற்கனவே வயிறு நிறைந்துவிட்டது.
北方	வடக்கு; வட பகுதி	வடக்கில் குளிர்காலம் மிகவும் குளிராக இருக்கும்.
被	செயப்படுபொருள் துகள்; மூலம்	என் மிதிவண்டியை என் நண்பர் எடுத்துச் சென்றார்.
鼻子	மூக்கு	அவருடைய மூக்கு கொஞ்சம் சிவந்திருக்கிறது.
比较	ஒப்பிடுதல்; சற்று	இன்று சற்று வெப்பமாக இருக்கிறது.
比赛	போட்டி	இந்த போட்டி மிகவும் முக்கியமானது.
笔记本	குறிப்பேடு	நான் குறிப்பேட்டை மேசையின் மேல் வைத்தேன்.
必须	கட்டாயம்; வேண்டும்	நீ கண்டிப்பாக நன்றாக மீண்டும் படிக்க வேண்டும்.
变化	மாற்றம்; மாறுதல்	இந்த நகரம் மிகவும் மாறிவிட்டது.
别人	மற்றவர்கள்	மற்றவர்களின் பொருட்களை எடுக்காதே.
冰箱	குளிர்சாதன பெட்டி	பழங்கள் குளிர்சாதன பெட்டியில் இருக்கின்றன.
