source_headword	UZ	example_UZ
take	olmoq; olib ketmoq	Chipta oling.
talk	gaplashmoq; suhbat	Biz darsdan keyin gaplashamiz.
tall	baland; uzun	Mening o'qituvchim baland bo'yli.
taxi	taksi	Taksi tashqarida turibdi.
tea	choy	Bu choy issiq.
teach	o'qitmoq	Men ingliz tilini o'qitaman.
teacher	o'qituvchi	O'qituvchi tabassum qiladi.
team	jamoa	Bizning jamoa bugun g'olib bo'ladi.
teenager	o'smir	O'smir kitob o'qiydi.
telephone	telefon; telefon qilmoq	Telefon stol ustida.
television	televizor	Televizor yangi.
tell	aytmoq	Ismingizni menga ayting.
ten	o'n	Menda o'n ta kitob bor.
tennis	tennis	Biz bugun tennis o'ynaymiz.
terrible	juda yomon; dahshatli	Ob-havo juda yomon.
test	test; imtihon; tekshirmoq	Test hozir boshlanadi.
text	xabar; matn	Qisqa xabar yuboring.
than	dan ko'ra	O'n ikkidan ko'p.
thank	rahmat aytmoq	O'qituvchingizga rahmat ayting.
thanks	rahmat	Yordamingiz uchun rahmat.
that	u; o'sha	O'sha kitob meniki.
the	ingliz tilidagi aniq artikl	Choy iliq.
theatre	teatr	Teatr bekat yaqinida.
their	ularning	Ularning uyi katta.
them	ularni; ularga	Men ularni bilaman.
then	keyin; unda	Ovqatlaning, keyin o'qing.
there	u yerda	U yerda stul bor.
they	ular	Ular maktabda.
thing	narsa; ish	Bu narsa foydali.
think	o'ylamoq	Men uy haqida o'ylayman.
third	uchinchi	Bu uchinchi dars.
thirsty	chanqagan	Men chanqadim.
thirteen	o'n uch	U o'n uch yoshda.
thirty	o'ttiz	Opam o'ttiz yoshda.
this	bu	Bu chipta yangi.
thousand	ming	Ming kishi keldi.
three	uch	Men uchta qushni ko'ryapman.
through	orqali; ichidan	Biz bog' orqali yuramiz.
Thursday	payshanba	Biz payshanba kuni uchrashamiz.
ticket	chipta	Menga chipta kerak.
time	vaqt; payt	Soat nechchi?
tired	charchagan	Men charchadim.
title	sarlavha	Sarlavhani o'qing.
to	ga; tomon; uchun	Men darsga boraman.
today	bugun	Bugun quyoshli.
together	birga	Biz birga ovqatlanamiz.
toilet	hojatxona	Hojatxona toza.
tomato	pomidor	Bu pomidor qizil.
tomorrow	ertaga	Ertaga ko'rishamiz.
tonight	bugun kechqurun	Biz bugun kechqurun o'qiymiz.
too	ham; juda	Men ham choy xohlayman.
tooth	tish	Tishim og'riyapti.
topic	mavzu	Mavzu tanlang.
tourist	sayyoh	Sayyoh suratlar oladi.
town	shaharcha; shahar	Bu shaharcha tinch.
traffic	yo'l harakati; tirbandlik	Yo'l harakati sekin.
train	poyezd	Poyezd kechikdi.
travel	sayohat qilmoq; sayohat	Biz poyezdda sayohat qilamiz.
tree	daraxt	Daraxt baland.
