source_headword	AZ	example_AZ
institute	institut	Institut yeni tədqiqat proqramı açdı.
institution	müəssisə	Müəssisə qəbul qaydalarını dəyişdirdi.
insurance	sığorta	Onun sığortası xəstəxana xərclərini ödədi.
intended	nəzərdə tutulmuş	Mesaj nəzərdə tutulmuş auditoriyaya çatdı.
intense	intensiv	Debat çox tez intensivləşdi.
internal	daxili	Şirkət daxili yoxlamaya başladı.
interpret	təfsir etmək	Zəhmət olmasa, nəticələri diqqətlə təfsir edin.
interrupt	sözünü kəsmək	İndi danışanın sözünü kəsməyin.
investigation	istintaq	İstintaq ciddi səhvləri aşkar etdi.
investment	investisiya	İnvestisiya bir çox yerli iş yeri yaratdı.
joy	sevinc	Onların uğuru böyük sevinc gətirdi.
judgement	mühakimə	Onun mühakimə qabiliyyəti təcrübə ilə yaxşılaşdı.
junior	kiçik	O, komandaya kiçik analitik kimi qoşuldu.
justice	ədalət	Məhkəmədən sonra ailə ədalət tələb etdi.
justify	əsaslandırmaq	Siz bu qərarı aydın şəkildə əsaslandırmalısınız.
labour	əmək	Layihə ixtisaslı əmək tələb edir.
landscape	mənzərə	Fırtınadan sonra mənzərə dəyişdi.
largely	əsasən	Plan əsasən uğurlu oldu.
launch	buraxmaq	Onlar sabah məhsulu buraxacaqlar.
leadership	liderlik	Güclü liderlik komandanın bərpa olunmasına kömək etdi.
league	liqa	Klubumuz regional liqaya qoşuldu.
lean	söykənmək	Yaş divara söykənməyin.
licence	lisenziya	Lisenziyanın müddəti gələn ay başa çatır.
limited	məhdud	Bu gün məhdud vaxtımız var.
lively	canlı	İclas nahardan sonra canlandı.
load	yük	Yük maşını ağır yük daşıyırdı.
loan	kredit	Bank krediti təsdiqlədi.
logical	məntiqi	Onun arqumenti aydın və məntiqi idi.
long-term	uzunmüddətli	Bu, uzunmüddətli bir həlldir.
loose	boş	Tutacaq boş görünür.
lord	lord	Lord bir neçə kəndin sahibi idi.
lower	aşağı salmaq	Onlar qışda qiymətləri aşağı salırlar.
lung	ağciyər	Siqaret çəkmək ağciyərə zərər verə bilər.
maintain	saxlamaq	Biz müntəzəm əlaqə saxlayırıq.
majority	əksəriyyət	Əksəriyyət təklifi dəstəklədi.
mass	kütlə	Bulud kütləsi göy üzünü örtdü.
massive	kütləvi	Zəlzələ kütləvi dağıntılara səbəb oldu.
master	usta	O, danışıqlar ustası oldu.
matching	uyğun	O, uyğun ayaqqabı və kəmər geyinmişdi.
maximum	maksimum	Otaq maksimum tutuma çatdı.
means	vasitə	E-poçt bizim əsas əlaqə vasitəmizdir.
measurement	ölçü	Ölçü bir az səhv idi.
melt	ərimək	Qar günortaya qədər əriyəcək.
military	hərbi	Hərbi baza keçən il bağlandı.
mineral	mineral	Dəmir vacib bir mineraldır.
minimum	minimum	Minimum yaş on səkkizdir.
minister	nazir	Nazir çətin sualları cavablandırdı.
minor	cüzi	Qəza cüzi zərər vurdu.
minority	azlıq	Azlıq yeni qaydaya qarşı çıxdı.
mission	missiya	Onların missiyası təhlükəsiz başa çatdı.
mixed	qarışıq	Xəbər qarışıq reaksiyalar doğurdu.
modify	dəyişdirmək	Dizaynı daha sonra dəyişdirə bilərik.
monitor	nəzarət etmək	Tibb bacısı onun vəziyyətinə nəzarət edəcək.
moral	əxlaqi	Hekayənin əxlaqi dərsi var.
motor	mühərrik	Mühərrik xəbərdarlıq etmədən dayandı.
mount	quraşdırmaq	Girişin yaxınlığında kameralar quraşdırırlar.
multiple	çoxsaylı	Gecikməyə çoxsaylı amillər səbəb oldu.
multiply	vurmaq	Rəqəmi ona vurun.
mysterious	sirli	Çöldə sirli bir işıq peyda oldu.
neat	səliqəli	Onun masası həmişə səliqəlidir.
nerve	sinir	Zədə sinirə zərər vurdu.
nevertheless	buna baxmayaraq	Tapşırıq çətin idi; buna baxmayaraq, biz onu bitirdik.
nightmare	kabus	Səyahət kabusa çevrildi.
notion	anlayış	Dəyişikliyin mümkünsüz olması anlayışını rədd edin.
numerous	çoxlu	Çoxlu tədqiqatlar bu ideyanı dəstəkləyir.
obey	tabe olmaq	Sürücülər nişanlara tabe olmalıdırlar.
objective	məqsəd	Məqsədimiz tullantıları azaltmaqdır.
obligation	öhdəlik	Valideynlərin uşaqları qorumaq öhdəliyi var.
observation	müşahidə	Onun müşahidəsi müzakirəni dəyişdirdi.
observe	müşahidə etmək	Alimlər hər bahar quşları müşahidə edirlər.
obtain	əldə etmək	Siz yazılı icazə əldə etməlisiniz.
occasionally	hərdən	O, hərdən evdən işləyir.
offence	təhqir	Şərh ciddi təhqirə səbəb oldu.
offend	incitmək	Heç kimi incitmək istəmədim.
offensive	təhqiredici	Plakatda təhqiredici sözlər var idi.
opening	vakansiya	Vakansiya bir çox namizədi cəlb etdi.
operate	işləmək	Maşın avtomatik işləyə bilir.
opponent	rəqib	Onun rəqibi siyasəti tənqid etdi.
oppose	qarşı çıxmaq	Bir çox sakin plana qarşı çıxır.
opposed	əks	Qruplar əks fikirlərə malik idilər.
opposition	müxalifət	Təklif güclü müxalifətlə üzləşdi.
organ	orqan	Ürək həyati bir orqandır.
origin	mənşə	Yanğının mənşəyi məlum deyil.
otherwise	əks halda	İndi gedin; əks halda, gecikəcəksiniz.
outcome	nəticə	Nəticə hamını təəccübləndirdi.
outer	xarici	Xarici divarın təmirə ehtiyacı var.
outline	xülasəsini vermək	Əsas arqumentinizin xülasəsini verin.
overall	ümumi	Ümumi nəticə müsbət oldu.
owe	borclu olmaq	Mən sizə bir üzr borcluyam.
pace	temp	Sabit templə yeriyin.
panel	panel	Panel iqlim siyasətini müzakirə etdi.
parliament	parlament	Parlament yeni qanunu təsdiqlədi.
participant	iştirakçı	Hər bir iştirakçı formanı imzaladı.
partly	qismən	Gecikmə qismən bizim günahımız idi.
passage	parça	Cavab verməzdən əvvəl parçanı oxuyun.
pension1	pensiya	Pensiyası təqaüdə çıxdıqdan sonra onu təmin edir.
permanent	daimi	Onlara daimi həll yolu lazımdır.
permit	icazə vermək	Qaydalar qısa ziyarətlərə icazə verir.
perspective	perspektiv	Onun perspektivini görməyə çalışın.
phase	mərhələ	Layihə son mərhələsinə qədəm qoydu.
phenomenon	hadisə	Bu hadisə bir çox mədəniyyətlərdə baş verir.
philosophy	fəlsəfə	Onun fəlsəfəsi praktiki hərəkətləri qiymətləndirir.
pile	yığın	Masanın üstünü bir yığın kağız örtmüşdü.
pitch	meydança	Komanda meydançanı diqqətlə hazırladı.
plain	aydın	Təlimatlar aydın və birbaşa idi.
pointed	kəskin	O, kəskin bir irad bildirdi.
popularity	məşhurluq	Müğənni onlayn olaraq məşhurluq qazandı.
pose	yaratmaq	Sual problem yarada bilər.
possess	sahib olmaq	Çox az tələbə bu bacarığa sahibdir.
potential	potensial	Bu ideyanın əsl potensialı var.
praise	tərif	Müəllim səmimi tərif etdi.
pregnant	hamilə	O, altı aylıq hamilədir.
preparation	hazırlıq	Yaxşı hazırlıq stresi azaldır.
presence	mövcudluq	Onun mövcudluğu əhval-ruhiyyəni dəyişdi.
preserve	qorumaq	Biz bu tarixi binanı qorumalıyıq.
prime	əsas	Əsas səbəb zəif planlaşdırma idi.
principle	prinsip	Qərar aydın bir prinsipə əsaslanırdı.
priority	prioritet	Təhlükəsizlik bizim ilk prioritetimizdir.
privacy	məxfilik	Müştərilər onlayn olaraq məxfilik gözləyirlər.
procedure	prosedur	Prosedur otuz dəqiqə çəkir.
proof	sübut	Hərəkətə keçməzdən əvvəl bizə sübut lazımdır.
proposal	təklif	Təklifin daha çox təfərrüata ehtiyacı var.
propose	təklif etmək	Mən fərqli bir həll təklif edirəm.
prospect	ehtimal	Uğursuzluq ehtimalı onları narahat etdi.
protection	qorunma	Dəbilqə əsas qorunmanı təmin edir.
psychologist	psixoloq	Psixoloq testin nəticələrini izah etdi.
psychology	psixologiya	O, universitetdə psixologiya oxuyur.
publication	nəşr	Nəşr ictimaiyyətin diqqətini cəlb etdi.
pupil	şagird	Hər bir şagird yeni dərslik aldı.
purchase	almaq	Onlar hər ay ləvazimat alırlar.
pure	təmiz	Su təmiz və soyuq idi.
pursue	davam etdirmək	O, tibb karyerasını davam etdirəcək.
rank	rütbə	O, yüksək rütbə daşıyır.
rapid	sürətli	Ölkədə sürətli inkişaf müşahidə olundu.
rapidly	sürətlə	Bu il qiymətlər sürətlə artdı.
raw	çiy	Aşbaz çiy tərəvəzlər hazırladı.
realistic	real	Real bir son tarix təyin edin.
reasonable	ağlabatan	Bu, ağlabatan bir xahiş kimi görünür.
recall	xatırlamaq	Mən onun dəqiq sözlərini xatırlayıram.
recover	sağalmaq	O, müalicədən sonra sağalacaq.
reduction	azalma	Azalma pula qənaət etdi.
regard	hesab etmək	Bir çox insan onu dürüst hesab edir.
regional	regional	Regional ofis bu gün bağlandı.
register	qeydiyyatdan keçmək	Zəhmət olmasa, konfransdan əvvəl qeydiyyatdan keçin.
regret	peşman olmaq	Mən əvvəlki qərarıma peşmanam.
regulation	qayda	Yeni qayda bütün sürücülərə təsir edir.
relatively	nisbətən	İmtahan nisbətən asan idi.
relevant	müvafiq	Yalnız müvafiq detalları seçin.
relief	rahatlıq	Xəbər böyük rahatlıq gətirdi.
rely	güvənmək	Uşaqlar böyüklərin dəstəyinə güvənirlər.
remark	qeyd	Onun qeydi müzakirəni bitirdi.
representative	nümayəndə	Nümayəndə yerli işçilərlə görüşdü.
reputation	nüfuz	Otelin yaxşı nüfuzu var.
requirement	tələb	Təcrübə əsas tələbdir.
rescue	xilas etmək	Onlar insanları daşqından xilas edirlər.
reserve	rezervasiya etmək	Biz qonaqlar üçün yerlər rezerv edirik.
resident	sakin	Hər bir sakin bildiriş aldı.
resist	müqavimət göstərmək	Təzyiqə müqavimət göstərməyə çalışın.
resolve	həll etmək	Onlar münaqişəni sülh yolu ilə həll etdilər.
resort	kurort	Ada kurortu may ayında açıldı.
retain	saxlamaq	Şirkət işçilərini saxlamaq istəyir.
reveal	aşkar etmək	Hesabat həqiqəti aşkar edəcək.
revolution	inqilab	İnqilab ölkəni dəyişdi.
reward	mükafat	Zəhmət mükafata layiqdir.
rhythm	ritm	Mahnının sabit ritmi var.
rid	qurtulmaq	O köhnə fayllardan qurtulun.
root	kök	Problemin kökü puldur.
rub	sürtmək	Səthi bir parça ilə sürtün.
rubber	rezin	Rezin möhür sızıntıların qarşısını alır.
rural	kənd	Bir çox kənd məktəbləri dəstəyə ehtiyac duyur.
rush	tələsmək	Bu qərara tələsməyin.
satellite	peyk	Peyk yeni görüntülər göndərdi.
satisfied	razı	Müştəri razı görünürdü.
satisfy	qane etmək	Cavab onu qane etmədi.
saving	qənaət	Enerji qənaəti aylıq xərcləri azaldır.
scale	miqyas	Zərərin miqyası böyük idi.
scheme	sxem	Sxem gənc işçilərə kömək edir.
scream	qışqırıq	Onlar çöldə bir qışqırıq eşitdilər.
sector	sektor	Texnologiya sektoru böyüyür.
secure	təhlükəsiz etmək	Təhlükəsiz etmək üçün qapını kilidləyin.
seek	axtarmaq	Onlar mütəxəssislərdən məsləhət axtarırlar.
select	seçmək	Ən yaxşı variantı seçin.
selection	seçim	Mağaza geniş seçim təklif edir.
self	öz	O, öz həqiqi kimliyini göstərdi.
senior	baş	Baş həkim xəstəni yoxladı.
sensitive	həssas	Bu mövzu çox həssasdır.
sequence	ardıcıllıq	Addımların ardıcıllığına əməl edin.
session	sessiya	Təlim sessiyası günorta başlayır.
settle	həll etmək	Onlar mübahisəni tez həll edirlər.
severe	şiddətli	Fırtına şiddətli daşqına səbəb oldu.
shade	kölgə	Kölgədə oturun.
shadow	kölgə	Pəncərədən bir kölgə keçdi.
shallow	dayaz	Göl burada dayazdır.
shame	utanc	O, yalan danışdıqdan sonra utanc hiss etdi.
shelter	sığınacaq	Məktəb təcili sığınacaq təmin etdi.
shock	şok	Qərar bir şok idi.
shocked	şoka düşmüş	O, xəbərdən şoka düşmüş görünürdü.
shooting	atışma	Atışma stansiyanın yaxınlığında baş verdi.
shot	zərbə	Qalibiyyət zərbəsi hər kəsi təəccübləndirdi.
significant	əhəmiyyətli	Kəşf əhəmiyyətli idi.
significantly	əhəmiyyətli dərəcədə	Xərclər keçən il əhəmiyyətli dərəcədə artdı.
silence	səssizlik	Otağa səssizlik çökdü.
silk	ipək	Don ipəkdən hazırlanmışdı.
sincere	səmimi	Lütfən, səmimi təşəkkürümü qəbul edin.
slave	qul	Qanun hər bir qulu azad etdi.
slide	sürüşmək	Uşaq sürüşkəndən aşağı sürüşdü.
slight	cüzi	Cüzi bir gecikmə oldu.
slip	sürüşmək	Nəm döşəmədə sürüşməyin.
slope	yamac	Cığır dik bir yamacla gedir.
solar	günəş	Ev günəş enerjisindən istifadə edir.
somewhat	bir qədər	Təlimatlar bir qədər çaşdırıcı idi.
soul	ruh	Musiqi onun ruhunu oxşadı.
specialist	mütəxəssis	Mütəxəssis xəstəni müayinə etdi.
species	növ	Bu növ çayların yaxınlığında yaşayır.
spiritual	mənəvi	O, mənəvi bir təcrübəni təsvir etdi.
split	bölmək	Onlar hesabı bərabər böldülər.
sponsor	sponsorluq etmək	Şirkət tədbirə sponsorluq edəcək.
stable	sabit	Xəstənin vəziyyəti sabitdir.
stare	zillənib baxmaq	Yad adamlara zillənib baxmayın.
status	status	Onun statusu bir gecədə dəyişdi.
steady	sabit	Sabit sürəti qoruyun.
steel	polad	Körpü poladdan hazırlanıb.
steep	dik	Təpə dikdir.
sticky	yapışqan	Döşəmə yapışqandır.
stiff	sərt	Onun çiyinləri tutulmuşdu.
stock	ehtiyat	Mağazada heç bir ehtiyat qalmayıb.
stream	çay	Sahədən kiçik bir çay keçir.
stretch	uzanmaq	Uçuşdan sonra ayaqlarınızı uzadın.
strict	sərt	Məktəbin sərt qaydaları var.
strike	tətil etmək	İşçilər sabah tətil edə bilərlər.
struggle	mübarizə aparmaq	Bir çox ailələr kirayəni ödəmək üçün mübarizə aparır.
submit	təqdim etmək	Formanı cümə gününə qədər təqdim edin.
sum	məbləğ	Məbləğ gözləniləndən yüksək idi.
surgery	cərrahiyyə	Cərrahiyyə əməliyyatı iki saat davam etdi.
surround	əhatə etmək	Hündür ağaclar evi əhatə edir.
surrounding	ətraf	Ətraf ərazi sakitdir.
suspect	şübhələnmək	Polis yerli bir adamdan şübhələnir.
swear	söyüş söymək	Sinifdə söyüş söyməyin.
sweep	süpürmək	Qonaqlar gəlməzdən əvvəl döşəməni süpürün.
sympathy	həmdərdlik	O, qurbanlara həmdərdlik bildirdi.
tale	nağıl	Nənə qəribə bir nağıl danışdı.
tank	çən	Çəndə təmiz su var.
