source_headword	NE	example_NE
hunt	खोज्नु	उनीहरू शरद ऋतुमा च्याउ खोज्छन्।
hurricane	आँधीबेहरी	आँधीबेहरीले धेरै घरमा क्षति पुर्‍यायो।
hurry	हतार	आज कुनै हतार छैन।
identity	पहिचान	उनको पहिचान गोप्य रह्यो।
ignore	बेवास्ता गर्नु	यो चेतावनी बेवास्ता नगर।
illegal	गैरकानुनी	यहाँ पार्किङ गर्नु गैरकानुनी हो।
imaginary	काल्पनिक	कथामा एउटा काल्पनिक टापु छ।
immediate	तत्काल	हामीलाई तत्काल जवाफ चाहिन्छ।
immigrant	आप्रवासी	आप्रवासीले अंग्रेजी छिटो सिके।
impact	प्रभाव	समाचारको बलियो प्रभाव पर्‍यो।
import	आयात गर्नु	देशले अझ धेरै चामल आयात गर्नेछ।
importance	महत्त्व	उनले निद्राको महत्त्व बुझिन्।
impression	छाप	उनको पहिलो छाप सकारात्मक थियो।
impressive	प्रभावशाली	संग्रहालयको प्रवेशद्वार प्रभावशाली छ।
improvement	सुधार	यस महिनामा स्पष्ट सुधार भयो।
incredibly	अत्यन्तै	परीक्षा अत्यन्तै कठिन थियो।
indeed	साँच्चै	त्यो साँच्चै अनौठो दिन थियो।
indicate	संकेत गर्नु	चिन्हले निकास संकेत गर्नेछ।
indirect	अप्रत्यक्ष	उनले अप्रत्यक्ष जवाफ दिइन्।
indoor	भित्री	होटलमा भित्री पौडी पोखरी छ।
indoors	घरभित्र	आँधीको समयमा हामी घरभित्र बस्यौँ।
influence	प्रभाव	उनका शिक्षकको बलियो प्रभाव थियो।
ingredient	सामग्री	मैदा मुख्य सामग्री हो।
injure	घाइते बनाउनु	आफ्नो ढाड घाइते नबनाऊ।
injured	घाइते	घाइते खेलाडी मैदानबाट बाहिरिए।
innocent	निर्दोष	बालक पूर्ण रूपमा निर्दोष देखिन्थ्यो।
intelligence	बुद्धिमत्ता	उनले कक्षामा ठूलो बुद्धिमत्ता देखाइन्।
intend	इरादा गर्नु	म विदेशमा अध्ययन गर्ने इरादा गर्छु।
intention	इरादा	उनको इरादा मद्दत गर्नु थियो।
invest	लगानी गर्नु	उनीहरूले शिक्षामा पैसा लगानी गर्छन्।
investigate	अनुसन्धान गर्नु	प्रहरीले दुर्घटना अनुसन्धान गर्नेछ।
involved	संलग्न	धेरै विद्यार्थी संलग्न थिए।
iron	फलाम	ढोका फलामबाट बनेको छ।
issue	मुद्दा	यो गम्भीर मुद्दा हो।
IT	आईटी	उनी आईटीमा काम गर्छिन्।
journal	दैनिकी	उनी दैनिकीमा लेख्छन्।
judge	न्यायाधीश	न्यायाधीशले ध्यानपूर्वक सुने।
keen	उत्सुक	उनी सिक्न उत्सुक छिन्।
keyboard	किबोर्ड	मेरो किबोर्डले काम गर्न छोड्यो।
kick	लात हान्नु	बललाई बिस्तारै लात हान।
killing	हत्या	हत्याले गाउँलाई स्तब्ध बनायो।
kind (caring)	दयालु	त्यो दयालु काम थियो।
kiss	चुम्बन गर्नु	उनले बच्चालाई चुम्बन गरिन्।
label	लेबल	प्रयोग गर्नु अघि लेबल पढ।
laboratory	प्रयोगशाला	प्रयोगशाला आज बन्द छ।
lack	अभाव	निद्राको अभावले स्मरणशक्तिलाई असर गर्छ।
latest	नवीनतम	के तिमीले नवीनतम रिपोर्ट पढ्यौ।
lay	राख्नु	किताबलाई टेबुलमा राख।
layer	तह	रङको अर्को तह थप।
leading	अग्रणी	उनी अग्रणी वैज्ञानिक हुन्।
leaf	पात	एउटा पात मेरो कोटमा खस्यो।
leather	छाला	उसको झोला छालाबाट बनेको छ।
legal	कानुनी	हामीलाई कानुनी सल्लाह चाहिन्छ।
leisure	फुर्सद	पढाइ मेरो मनपर्ने फुर्सदको गतिविधि हो।
length	लम्बाइ	कोठाको लम्बाइ नाप।
lie2 (tell a lie)	झूट बोल्नु	आफ्ना आमाबाबुसँग झूट नबोल।
limit	सीमा	गतिको सीमा पचास हो।
lip	ओठ	उनले आफ्नो ओठ टोकिन्।
liquid	तरल	पानी स्पष्ट तरल हो।
literature	साहित्य	उनी फ्रान्सेली साहित्य पढ्छिन्।
live2	प्रत्यक्ष	ब्यान्डले हिजो राति प्रत्यक्ष बजाए।
living	जीवित	जीवित बिरुवालाई प्रकाश चाहिन्छ।
locate	ठाउँ पत्ता लगाउनु	के तिमी फाइलको ठाउँ पत्ता लगाउन सक्छौ।
located	अवस्थित	कार्यालय शहरको बीचमा अवस्थित छ।
location	स्थान	यो राम्रो स्थान हो।
lonely	एक्लो	सरेपछि उनी एक्लो महसुस गरे।
loss	हानि	हानि सबैका लागि कठिन थियो।
luxury	विलासिता	होटलले वास्तविक विलासिता दिन्छ।
mad	रिसाएको	ढिलाइका कारण उनी रिसाइन्।
magic	जादू	कार्यक्रम जादूले भरिएको थियो।
mainly	मुख्य रूपमा	समूह मुख्य रूपमा विद्यार्थीहरू हो।
mall	मल	हामी मलमा भेट्यौँ।
management	व्यवस्थापन	राम्रो व्यवस्थापनले समय बचाउँछ।
marketing	बजारिकरण	बजारिकरणले उत्पादन बेच्न मद्दत गर्छ।
