source_headword	SV	example_SV
hunt	söka efter	De söker efter svamp på hösten.
hurricane	en orkan	Orkanen skadade många hem.
hurry	brådska	Det är ingen brådska idag.
identity	en identitet	Hennes identitet förblev hemlig.
ignore	ignorera	Ignorera inte denna varning.
illegal	olaglig	Det är olagligt att parkera här.
imaginary	påhittad	Berättelsen har en påhittad ö.
immediate	omedelbar	Vi behöver ett omedelbart svar.
immigrant	en invandrare	Invandraren lärde sig engelska snabbt.
impact	en påverkan	Nyheten hade en stark påverkan.
import	importera	Landet kommer att importera mer ris.
importance	vikten	Hon förstod vikten av sömn.
impression	ett intryck	Hans första intryck var positivt.
impressive	imponerande	Museet har en imponerande ingång.
improvement	en förbättring	Det fanns en tydlig förbättring denna månad.
incredibly	otroligt	Provet var otroligt svårt.
indeed	verkligen	Det var verkligen en konstig dag.
indicate	ange	Skylten kommer att ange utgången.
indirect	indirekt	Hon gav ett indirekt svar.
indoor	inomhus	Hotellet har en inomhuspool.
indoors	inomhus	Vi stannade inomhus under stormen.
influence	ett inflytande	Hans lärare hade ett starkt inflytande.
ingredient	en ingrediens	Mjöl är den viktigaste ingrediensen.
injure	skada	Skada inte ryggen.
injured	skadad	Den skadade spelaren lämnade planen.
innocent	oskyldig	Barnet såg helt oskyldigt ut.
intelligence	intelligens	Hon visade stor intelligens i klassen.
intend	ha för avsikt	Jag har för avsikt att studera utomlands.
intention	en avsikt	Hans avsikt var att hjälpa.
invest	investera	De investerar pengar i utbildning.
investigate	undersöka	Polisen ska undersöka olyckan.
involved	inblandad	Flera studenter var inblandade.
iron	järn	Grinden är gjord av järn.
issue	en fråga	Detta är en allvarlig fråga.
IT	IT	Hon arbetar med IT.
journal	en dagbok	Han skriver i en dagbok.
judge	en domare	Domaren lyssnade noggrant.
keen	ivrig	Hon är ivrig att lära sig.
keyboard	ett tangentbord	Mitt tangentbord slutade fungera.
kick	sparka	Sparka bollen försiktigt.
killing	dödandet	Dödandet skakade byn.
kind (caring)	vänlig	Det var en vänlig sak att göra.
kiss	en kyss	Hon gav bebisen en kyss.
label	en etikett	Läs etiketten före användning.
laboratory	ett laboratorium	Laboratoriet är stängt idag.
lack	en brist	Brist på sömn skadar minnet.
latest	senaste	Har du läst den senaste rapporten?
lay	lägga	Lägg boken på bordet.
layer	ett lager	Lägg till ett lager färg.
leading	ledande	Hon är en ledande forskare.
leaf	ett löv	Ett löv föll på min jacka.
leather	läder	Hans väska är gjord av läder.
legal	juridisk	Vi behöver juridisk rådgivning.
leisure	fritid	Läsning är min favoritaktivitet på fritiden.
length	längd	Mät rummets längd.
lie2 (tell a lie)	ljuga	Ljug inte för dina föräldrar.
limit	en gräns	Hastighetsgränsen är femtio.
lip	en läpp	Hon bet sig i läppen.
liquid	en vätska	Vatten är en klar vätska.
literature	litteratur	Hon studerar fransk litteratur.
live2	live	Bandet spelade live igår kväll.
living	levande	Levande växter behöver ljus.
locate	hitta	Kan du hitta filen?
located	belägen	Kontoret är beläget i centrum.
location	en plats	Detta är en bra plats.
lonely	ensam	Han kände sig ensam efter flytten.
loss	en förlust	Förlusten var svår för alla.
luxury	lyx	Hotellet erbjuder riktig lyx.
mad	arg	Hon var arg över förseningen.
magic	magi	Föreställningen var full av magi.
