simplified	HR	example_HR
挨	trpjeti; izdržati	Izdržao je cijelu noć i napokon dočekao zoru.
癌症	rak	Važno je rano otkriti rak.
暧昧	nejasan; dvosmislen	Njegov odgovor bio je vrlo dvosmislen.
爱不释手	ne moći se odvojiti od nečega	Toliko je zavoljela knjigu da je nije mogla ispustiti iz ruku.
爱戴	voljeti i poštovati	Tog učitelja učenici duboko vole i poštuju.
安宁	miran; spokojan	Noći su ovdje vrlo mirne.
安详	spokojan	Izraz lica starca bio je vrlo spokojan.
安置	smjestiti; zbrinuti	Vlada je zbrinula ljude pogođene katastrofom.
按摩	masaža	Rezervirao sam masažu.
暗示	nagovijestiti; aluzija	Nagovijestila mi je da više ne pitam.
案件	slučaj; sudski predmet	Policija istražuje taj slučaj.
案例	primjer; slučaj	Ovaj je slučaj vrlo reprezentativan.
昂贵	skup	Ta je oprema vrlo skupa.
凹凸	neravan	Površina ove ceste je neravna.
熬	dugo kuhati; izdržati	Tri je dana izdržao naporan rad prije nego što je završio izvještaj.
奥秘	tajna; misterij	Znanstvenik želi otkriti tu tajnu.
巴不得	jedva čekati	Jedva čekam odmah krenuti.
巴结	ulizivati se	On se ne želi ulizivati nadređenima.
扒	držati se; prianjati	Dijete se držalo za vrata i gledalo van.
疤	ožiljak	Na ruci ima jedan ožiljak.
拔苗助长	pokvariti stvar pretjeranom žurbom	Takvo tjeranje djeteta na učenje samo kvari stvar žurbom.
把关	provjeravati; kontrolirati	Ovaj ugovor treba provjeriti odvjetnik.
把手	kvaka; ručka	Kvaka na vratima je slomljena.
罢工	štrajk; štrajkati	Radnici su odlučili sutra štrajkati.
霸道	nasilan; samovoljan	Govori previše samovoljno.
掰	prelomiti rukama	Prelomila je kruh na dvije polovice.
摆脱	osloboditi se; riješiti se	Napokon se riješio loše navike.
拜访	posjetiti	Za vikend ćemo posjetiti učitelja.
拜年	čestitati Novu godinu	Za Blagdan proljeća idemo djedu i baki čestitati Novu godinu.
拜托	zamoliti; računati na nekoga	Računam na tebe za ovu stvar.
败坏	narušiti; pokvariti	Takvo ponašanje narušit će ugled tvrtke.
斑	mrlja; pjega	Na mački je crna mrlja.
颁布	objaviti; proglasiti	Nova pravila bit će objavljena idući tjedan.
颁发	dodijeliti; izdati	Škola je odličnim učenicima dodijelila priznanja.
版本	verzija; izdanje	Ovaj softver ima novu verziju.
伴侣	partner; pratilac	Psa smatra svojim pratiteljem.
伴随	pratiti	Uspjeh često prati pritisak.
半途而废	odustati na pola puta	U istraživanju se ne smije odustati na pola puta.
扮演	glumiti	U filmu glumi liječnika.
榜样	uzor	Roditelji su djeci uzor.
绑架	oteti; otmica	Policija je spriječila otmicu.
磅	funta	Ova kutija teži dvadeset funti.
包庇	štititi; prikrivati	Nitko ne smije štititi zločin.
包袱	teret	Kad je spustio teret, osjećao se mnogo lakše.
包围	okružiti	Novinari su okružili glumca.
包装	pakiranje	Pakiranje ovog poklona vrlo je lijepo.
保管	čuvati; jamčiti	Te dokumente čuvam ja.
保密	čuvati tajnu	Sadržaj sastanka mora ostati povjerljiv.
保姆	dadilja; kućna pomoćnica	Zaposlili su dadilju.
保守	konzervativan	Njegove su ideje prilično konzervativne.
保卫	braniti	Vojnici brane granicu.
保养	održavati; njegovati	Ovaj automobil treba redovito održavanje.
保障	jamčiti; zaštititi	Zakon štiti prava građana.
保重	čuvati se	Molim te, čuvaj se dok si daleko od kuće.
饱和	zasićenje	Ovo je tržište već blizu zasićenja.
饱经沧桑	proživjeti mnoge promjene	Taj je starac proživio mnoge nevolje i promjene.
报酬	naknada; plaća	Dobio je razumnu naknadu.
报仇	osvetiti se	Ne želi se osvetiti, samo želi početi iznova.
报答	uzvratiti; odužiti se	Odužit ću se za tvoju pomoć djelima.
报复	osveta; osvetiti se	Osveta će samo produbiti sukob.
报警	prijaviti policiji; oglasiti alarm	Kad otkriješ požar, treba odmah pozvati policiju.
报销	nadoknaditi troškove	Putni troškovi mogu se nadoknaditi.
抱负	ambicija	Od djetinjstva ima velike ambicije.
暴力	nasilje	Protivimo se svakom obliku nasilja.
暴露	razotkriti; izaći na vidjelo	Ovaj se problem postupno razotkrio.
曝光	izloženost; razotkrivanje	Nakon što je fotografija objavljena, privukla je pozornost.
爆发	izbiti; eruptirati	Vulkan je iznenada eruptirao.
爆炸	eksplozija; eksplodirati	U laboratoriju se dogodila eksplozija.
卑鄙	podao; prezira vrijedan	Takav podli pristup izaziva ljutnju.
悲哀	tužan; žalostan	Kad je čuo vijest, osjećao se vrlo tužno.
悲惨	tragičan; jadan	To je bilo tragično razdoblje povijesti.
北极	Arktik; Sjeverni pol	Znanstvenici provode istraživanja na Arktiku.
备份	sigurnosna kopija	Molim te, prvo napravi sigurnosnu kopiju važnih datoteka.
备忘录	bilješka; memorandum	Zapisala je ključne točke u bilješku.
背叛	izdati	Nije mogao prihvatiti prijateljevu izdaju.
背诵	recitirati; naučiti napamet	Učenici recitiraju tekst.
被动	pasivan	U pregovorima ne smijemo biti previše pasivni.
被告	optuženik	Optuženik je zanijekao sve optužbe.
贝壳	školjka	Dijete je skupljalo školjke na moru.
奔波	juriti posvuda; biti stalno u pokretu	Zbog posla stalno juri posvuda.
奔驰	juriti; brzo voziti	Automobil je jurio autocestom.
本能	instinkt	Zaštita djeteta roditeljski je instinkt.
本钱	kapital; sredstva	Za poslovanje je potreban kapital.
本人	osobno; ja	Osobno sam spreman preuzeti odgovornost.
本身	sam po sebi	S planom samim po sebi nema problema.
本事	sposobnost	On je vrlo sposoban.
笨拙	nespretan	Pokreti su mu malo nespretni.
崩溃	srušiti se; kolapsirati	Sustav se iznenada srušio.
甭	nema potrebe	Ne trebaš se brinuti zbog toga.
蹦	skakutati	Štene je skakutalo po travi.
迸发	provaliti; izbiti	Pljesak je provalio iz gomile.
逼迫	prisiliti	Prisilili su ga da potpiše ugovor.
鼻涕	iscjedak iz nosa	Dijete je prehlađeno i stalno mu curi nos.
比方	primjer	Na primjer, možemo prvo probati jedan mjesec.
比喻	metafora; usporedba	Ova metafora je vrlo slikovita.
比重	udio	Udio uslužnog sektora sve je veći.
鄙视	prezirati	Ne preziri trud drugih ljudi.
弊病	nedostatak; mana	Taj sustav ima dosta nedostataka.
弊端	mana; zloupotreba	Novi plan riješio je mane starog sustava.
臂	ruka	Desna mu je ruka ozlijeđena.
闭塞	zabačen; izoliran	Promet u ovom planinskom selu nekad je bio vrlo izoliran.
编织	plesti; tkati	Baka plete džemper.
边疆	pogranično područje	Mnogi vojnici čuvaju granice domovine.
边界	granica	Dvije su zemlje ponovno odredile granicu.
边境	pograničje; granica	U pograničnim područjima pojačane su sigurnosne kontrole.
边缘	rub	Šalica je stavljena na rub stola.
鞭策	poticati; bodriti	Učiteljeve riječi uvijek su me poticale.
扁	plosnat	Ova kutija je široka i plosnata.
贬低	omalovažavati	Ne omalovažavaj olako tuđi trud.
贬义	pogrdno značenje	Ova riječ ovdje ima negativno značenje.
便利	praktičan; pogodan	Metro čini putovanje praktičnijim.
便条	bilješka	Ostavio je bilješku na stolu.
便于	pogodan za; lak za	Ovaj dizajn pogodan je za starije osobe.
变故	nenadan događaj; nesreća	U obitelji se iznenada dogodila nesreća.
变迁	promjene	Promjene u gradu duboko su ga dirnule.
变质	pokvariti se	Mlijeko će se pokvariti ako predugo stoji.
辨认	prepoznati; identificirati	Policija ga je zamolila da identificira osobu na fotografiji.
辩护	braniti	Odvjetnik je branio optuženika.
辩解	opravdavati; objašnjavati	Pokušao je opravdati svoju pogrešku.
辩证	dijalektički	Taj problem trebamo promatrati dijalektički.
