source_headword	SI	example_SI
ability	හැකියාව	ඇගේ පිහිනීමේ හැකියාව පැහැදිලිය.
able	හැකි	ඔහුට අද එන්න හැකිය.
abroad	විදේශයේ	ඇය විදේශයේ ඉගෙන ගැනීමට කැමතිය.
accept	පිළිගන්න	කරුණාකර මෙම කුඩා තෑග්ග පිළිගන්න.
accident	අනතුර	අනතුර පාසල අසල සිදු විය.
according to	අනුව	වාර්තාව අනුව වැසි එයි.
achieve	ලබා ගන්න;සපුරා ගන්න	ඔබට ඔබේ ඉලක්කය සපුරා ගත හැකිය.
act	රඟපාන්න;ක්‍රියා කරන්න	ඔහුට නාට්‍යයක රඟපාන්න හැකිය.
active	සක්‍රීය	ඇය සෑම දිනකම සක්‍රීයය.
actually	ඇත්තටම	ඇත්තටම මට තවත් කාලය අවශ්‍යය.
advantage	වාසිය	මෙම සැලැස්මට වාසියක් ඇත.
adventure	සහසික ගමන	ඔවුන්ගේ ගමන සහසික ගමනක් විය.
advertise	ප්‍රචාරය කරන්න	ඔවුන් නව රැකියාව ප්‍රචාරය කරයි.
advertisement	දැන්වීම	මම දැන්වීමක් දුටුවෙමි.
advertising	දැන්වීම්කරණය	දැන්වීම්කරණය ආහාර විකිණීමට උපකාරී වේ.
affect	බලපාන්න	නිදාගැනීම ඔබේ සෞඛ්‍යයට බලපා හැකිය.
against	විරුද්ධව;එරෙහිව	බිත්තියට ඇලෙන්න එපා.
ah	අහා	අහා මට දැන් තේරෙනවා.
airline	ගුවන් සේවය	ගුවන් සේවය ඉතා කාර්යබහුලය.
alive	ජීවතුන් සිටින	කුඩා මාළුවා ජීවතුන් සිටී.
all right	හරි;සියල්ල හරි	දැන් සියල්ල හරිය.
allow	අවසර දෙන්න	ඔවුන් මෙහි බල්ලන්ට අවසර දෙයි.
almost	ඇතැම් තරම්;ආසන්න වශයෙන්	අපි ආසන්න වශයෙන් සූදානම්ය.
alone	තනියම	ඇය තනියම ජීවත් වේ.
along	දිගේ	මෙම මාර්ගය දිගේ ඇවිදින්න.
already	දැනටමත්	මට පිළිතුර දැනටමත් දනී.
alternative	විකල්පය	මෙම දුම්රිය විකල්පයකි.
although	නමුත්;යද්දත්	යද්දත් ප්‍රමාදය, අපට රැඳී සිටිය හැකිය.
among	අතර	ඔහු ගස් අතර සිටියේය.
amount	ප්‍රමාණය	ප්‍රමාණය ඉතා කුඩාය.
ancient	පුරාණ	මෙම පුරාණ බිත්තිය ප්‍රසිද්ධය.
ankle	කකුල් වළලුකර	මගේ වළලුකර අද රිදෙයි.
anybody	ඕනෑම කෙනෙක්	ඕනෑම කෙනෙකුට මෙයට පිළිතුරු දිය හැකිද?
any more	තවත්	මට තවත් අවශ්‍ය නැත.
