source_headword	ES	example_ES
rock (music)	el rock	Me encanta la música rock.
role	el papel; el rol	Su papel es importante.
roof	el techo	El techo necesita reparación.
round	redondo; alrededor	La mesa es redonda.
route	la ruta	Esta ruta es más corta.
rubbish	la basura	Saca la basura afuera.
rude	grosero	Ese comentario fue grosero.
runner	el corredor; la corredora	El corredor parece cansado.
running	correr; la carrera	Correr me mantiene sano.
sadly	lamentablemente; tristemente	Lamentablemente, perdimos el tren.
safe	seguro	Esta calle parece segura.
sail	navegar; la vela	Navegamos el sábado.
sailing	la navegación a vela	La navegación a vela es popular aquí.
salary	el salario	Su salario ahora es más alto.
sale	la oferta; la venta	La oferta empieza mañana.
sauce	la salsa	Añade salsa al arroz.
save	guardar; ahorrar	Guarda tu trabajo ahora.
scared	asustado	El niño está asustado.
scary	aterrador; de miedo	Esta historia da miedo.
scene	la escena	La escena final fue divertida.
schedule	el horario; programar	Revisa el horario hoy.
score	el marcador; marcar	¿Cuál es el marcador?
screen	la pantalla	Limpia la pantalla con cuidado.
search	buscar; la búsqueda	Busca fotos en internet.
season	la estación; la temporada	El verano es una temporada ocupada.
seat	el asiento	Toma este asiento, por favor.
second1 (next after the first)	en segundo lugar	En segundo lugar, lávate las manos.
secondly	en segundo lugar	En segundo lugar, revisa tu respuesta.
secret	el secreto; secreto	Guarda este secreto.
secretary	el secretario; la secretaria	La secretaria llamó hoy.
seem	parecer	Pareces cansado.
sense	el sentido	Este plan tiene sentido.
separate	separado; separar	Mantén los papeles separados.
series	la serie	Esta serie es popular.
serious	serio	Este problema es serio.
serve	servir	Sirven el almuerzo al mediodía.
service	el servicio	El servicio fue rápido.
several	varios	Varios estudiantes llegaron temprano.
shake	agitar; sacudir	Agita la botella primero.
shall modal	deber; vamos a	¿Empezamos ahora?
shape	la forma	Dibuja una forma cuadrada.
sheet	la sábana; la hoja	Pon la sábana en la cama.
ship	el barco	El barco salió hoy.
shoulder	el hombro	Me duele el hombro.
shout	gritar; el grito	No grites en clase.
shut	cerrar; cerrado	Cierra la ventana, por favor.
side	el lado	Siéntate en este lado.
sign	la señal; firmar	Lee la señal con cuidado.
silver	la plata; plateado	La plata es un metal brillante.
simple	simple; sencillo	Este ejercicio es sencillo.
since	desde	Espero desde el mediodía.
singing	el canto	Cantar me ayuda a relajarme.
single	único; sencillo	Compré un billete sencillo.
