simplified	ML	example_ML
哎	ഏയ്; അയ്യോ	ഏയ്, നീ ഇവിടെ എങ്ങനെ വന്നു?
唉	അയ്യോ; നെടുവീർപ്പ്	അയ്യോ, ഞാൻ വീണ്ടും വൈകി.
爱护	പരിപാലിക്കുക; സംരക്ഷിക്കുക	നാം പരിസ്ഥിതിയെ സംരക്ഷിക്കണം.
爱惜	മൂല്യം മനസ്സിലാക്കി കാക്കുക	ദയവായി നിങ്ങളുടെ സമയം വിലമതിക്കുക.
爱心	കരുണ; സ്നേഹഹൃദയം	അവൾ വളരെ കരുണയുള്ളവളാണ്.
安慰	ആശ്വസിപ്പിക്കുക	എന്റെ സുഹൃത്ത് എന്നെ ആശ്വസിപ്പിച്ചു.
安装	സ്ഥാപിക്കുക; ഘടിപ്പിക്കുക	തൊഴിലാളി എയർ കണ്ടീഷണർ ഘടിപ്പിക്കുന്നു.
岸	കര; തീരം	വഞ്ചി മെല്ലെ കരയിലേക്ക് അടുക്കുന്നു.
暗	ഇരുണ്ട; മങ്ങിയ	മുറിയിൽ വളരെ ഇരുട്ടാണ്.
熬夜	രാത്രി വൈകി ഉറങ്ങാതെ ഇരിക്കുക	രാത്രി വൈകി ഉറങ്ങാതെ ഇരിക്കുന്നത് ആരോഗ്യത്തിന് ദോഷമാണ്.
把握	ഉറപ്പ്; പിടിത്തം	ഇത് നന്നായി ചെയ്യാൻ എനിക്ക് ഉറപ്പില്ല.
摆	ക്രമപ്പെടുത്തി വെക്കുക	ദയവായി കസേരകൾ അച്ചടക്കമായി ക്രമപ്പെടുത്തി വെക്കൂ.
办理	കാര്യങ്ങൾ കൈകാര്യം ചെയ്യുക	ചില കാര്യങ്ങൾ കൈകാര്യം ചെയ്യാൻ ഞാൻ ബാങ്കിലേക്ക് പോകുന്നു.
傍晚	സന്ധ്യാസമയം	സന്ധ്യാസമയം നാം നടക്കാൻ പോകും.
包裹	പൊതി; പാഴ്സൽ	എനിക്ക് ഒരു പാഴ്സൽ ലഭിച്ചു.
包含	ഉൾക്കൊള്ളുക	വിലയിൽ പ്രഭാതഭക്ഷണം ഉൾപ്പെടുന്നു.
包括	ഉൾപ്പെടുക	ഫീസിൽ ഉച്ചഭക്ഷണം ഉൾപ്പെടുന്നു.
薄	പതിഞ്ഞ; മെലിഞ്ഞ	ഈ പുസ്തകം വളരെ പതിഞ്ഞതാണ്.
保持	നിലനിർത്തുക; പാലിക്കുക	ദയവായി ശാന്തത പാലിക്കുക.
保存	സൂക്ഷിക്കുക; സംരക്ഷിക്കുക	ദയവായി ഈ ഫയൽ സൂക്ഷിക്കുക.
保留	മാറ്റിവെക്കുക; നിലനിർത്തുക	ദയവായി എനിക്കായി ഒരു സീറ്റ് മാറ്റിവെക്കൂ.
保险	ഇൻഷുറൻസ്; സുരക്ഷിതം	ഞാൻ യാത്രാ ഇൻഷുറൻസ് വാങ്ങി.
宝贝	നിധി; പ്രിയപ്പെട്ടത്	ഇത് എന്റെ നിധിയാണ്.
宝贵	വിലപ്പെട്ട; അമൂല്യമായ	സമയം വളരെ വിലപ്പെട്ടതാണ്.
报到	രജിസ്റ്റർ ചെയ്യുക; ഹാജരാകുക	പുതിയ വിദ്യാർത്ഥികൾ ഇന്ന് സ്കൂളിൽ രജിസ്റ്റർ ചെയ്യാൻ വരുന്നു.
报道	വാർത്ത റിപ്പോർട്ട് ചെയ്യുക	വാർത്ത ഈ കാര്യം റിപ്പോർട്ട് ചെയ്തു.
报告	റിപ്പോർട്ട്; അറിയിക്കുക	അവൻ ഒരു റിപ്പോർട്ട് അവതരിപ്പിക്കുന്നു.
报社	പത്ര ഓഫീസ്	അവൾ ഒരു പത്ര ഓഫീസിൽ ജോലി ചെയ്യുന്നു.
抱怨	പരാതിപ്പെടുക	ജോലി കൂടുതലാണെന്ന് അവൻ എപ്പോഴും പരാതിപ്പെടുന്നു.
