source_headword	SR	example_SR
abandon	napustiti	Juče su napustili plan.
absolute	apsolutan	Ovde nam treba apsolutna iskrenost.
acceptable	prihvatljiv	Njegov odgovor je bio prihvatljiv.
accompany	pratiti	Njen brat ju je pratio kući.
accurate	tačan	Izveštaj deluje tačno.
accuse	optužiti	Optužili su ga za laganje.
acknowledge	priznati	Molim te, priznaj grešku.
acquire	steći	Brzo je stekla nove veštine.
actual	stvaran	Stvarni trošak je bio niži.
adapt	prilagoditi se	Prilagodili smo se promeni.
additional	dodatni	Dodatna pomoć je stigla danas.
administration	uprava	Uprava je promenila pravila.
adopt	usvojiti	Usvojili su novu metodu.
advance	napredak	Postigli smo mali napredak.
affair	afera	Afera je narušila javno poverenje.
afterwards	posle toga	Posle toga svi su se smirili.
agency	agencija	Agencija je zaposlila tri prevodioca.
agenda	dnevni red	Bezbednost je na dnevnom redu.
aggressive	agresivan	Njegov ton je zvučao agresivno.
aid	pomoć	Medicinska pomoć je brzo stigla.
aircraft	letelica	Letelica je bezbedno sletela.
alter	promeniti	Ne menjaj ugovor.
anger	ljutnja	Njegova ljutnja je sve iznenadila.
angle	ugao	Pokušaj drugi ugao kamere.
anniversary	godišnjica	Njihova godišnjica je sutra.
annual	godišnji	Godišnji sastanak počinje u ponedeljak.
anxious	anksiozan	Pre operacije se osećala anksiozno.
apparent	očigledan	Njegovo razočaranje je bilo očigledno.
apparently	očigledno	Očigledno voz kasni.
appeal	žalba	Odluka može dovesti do žalbe.
approach	pristup	Njen pristup je rešio problem.
appropriate	prikladan	Izaberi prikladan odgovor.
approval	odobrenje	Projektu je potrebno odobrenje.
approve	odobriti	Odbor je odobrio budžet.
arise	nastati	Problemi mogu nastati kasnije.
armed	naoružan	Naoružani čuvari su stajali napolju.
arms	oružje	Položili su oružje.
artificial	veštački	Cveće je izgledalo veštački.
artistic	umetnički	Ona ima umetnički talenat.
ashamed	posramljen	Kasnije se osećao posramljeno.
aspect	aspekt	Pažljivo razmotri svaki aspekt.
assess	proceniti	Moramo proceniti štetu.
assessment	procena	Procena je trajala dva sata.
associate	povezivati	Ljudi povezuju dim sa opasnošću.
associated	povezan	Stres je povezan sa bolešću.
association	udruženje	Udruženje podržava mlade umetnike.
assume	pretpostaviti	Pretpostavljam da se slažeš.
attempt	pokušaj	Njegov prvi pokušaj nije uspeo.
bacteria	bakterije	Bakterije se mogu brzo širiti.
barrier	prepreka	Jezik je bio prepreka.
basically	u osnovi	U osnovi nam treba više vremena.
bear (deal with)	podneti	Ne mogu da podnesem ovu buku.
beg	moliti	Molio je za pomoć.
being	biće	Svakom biću je potrebna voda.
bent	savijen	Metalna šipka je bila savijena.
bet	kladiti se	Kladim se da on zna.
beyond	iza	Selo leži iza reke.
bitter	gorak	Lek je imao gorak ukus.
blame	kriviti	Ne krivi vozača.
blind	slep	Oslepeo je u mladosti.
bond	veza	Poverenje stvara snažnu vezu.
breast	dojka	Osetila je bol u dojci.
brief	kratak	Neka tvoj odgovor bude kratak.
broad	širok	Reka je ovde široka.
broadcast	emitovati	Govor je emitovan uživo.
budget	budžet	Budžet je veoma ograničen.
bullet	metak	Metak je pogodio zid.
bunch	svežanj	Nosila je svežanj ključeva.
bush	grm	Ptica se sakrila u grmu.
cable	kabl	Kabl je oštećen.
calculate	izračunati	Izračunaj ukupan trošak.
cancel	otkazati	Otkazali su sastanak.
cancer	rak	Lečenje raka može biti teško.
capable	sposoban	Ona je sposobna za više.
capacity	kapacitet	Sala je dostigla kapacitet.
capture	uhvatiti	Fotografija hvata raspoloženje.
cast	glumačka postava	Glumačka postava je spremna.
cell	ćelija	Svaka ćelija sadrži podatke.
chairman	predsednik	Predsednik je otvorio sednicu.
characteristic	osobina	Strpljenje je njena glavna osobina.
chief	glavni	Glavni inženjer je stigao kasno.
circumstance	okolnost	Pažljivo razmotri svaku okolnost.
cite	citirati	Molim te, citiraj izvor.
citizen	građanin	Svaki građanin može da glasa.
civil	uljudan	Protest je ostao uljudan.
classic	klasičan	Ovaj film je klasik.
closely	pažljivo	Pažljivo posmatraj proces.
collapse	srušiti se	Stari most može da se sruši.
combination	kombinacija	Kombinacija je dobro funkcionisala.
comfort	uteha	Njene reči su pružile utehu.
command	naredba	Oficir je izdao naredbu.
commission	komisija	Komisija je pregledala slučaj.
commitment	posvećenost	Posao zahteva posvećenost.
committee	odbor	Odbor se sastaje svake nedelje.
commonly	obično	Ova biljka se obično gaji.
complicated	složen	Uputstva su složena.
component	komponenta	Jedna komponenta je otkazala.
concentration	koncentracija	Buka mi remeti koncentraciju.
concept	koncept	Koncept je jednostavan.
concern	briga	Bezbednost je naša glavna briga.
concerned	zabrinut	Roditelji su bili duboko zabrinuti.
conduct	sprovoditi	Oni sprovode lokalno istraživanje.
confidence	samopouzdanje	Vežba gradi samopouzdanje.
conflict	sukob	Sukob je trajao godinama.
confusing	zbunjujući	Mapa je bila zbunjujuća.
conscious	svestan	Ostala je svesna.
conservative	konzervativan	Njegovi stavovi su konzervativni.
consideration	razmatranje	Trošak je važno razmatranje.
consistent	dosledan	Njeni rezultati su dosledni.
constant	stalan	Stalna buka nas je iscrpela.
constantly	stalno	On stalno proverava telefon.
construct	izgraditi	Radnici su izgradili novi most.
construction	gradnja	Gradnja počinje sledećeg meseca.
contemporary	savremen	Galerija prikazuje savremenu umetnost.
contest	takmičenje	Ušla je u takmičenje.
contract	ugovor	Pažljivo pročitaj ugovor.
contribute	doprineti	Svako može doprineti idejama.
contribution	doprinos	Njen doprinos je bio vredan.
convert	pretvoriti	Pretvorili su garažu.
convinced	uveren	Uveren sam da je lagao.
core	srž	Poverenje je srž problema.
corporate	korporativni	Korporativna pravila su se ponovo promenila.
council	veće	Veće je odobrilo plan.
county	okrug	Okrug je popravio put.
courage	hrabrost	Pokazala je pravu hrabrost.
crash	nesreća	Nesreća je blokirala saobraćaj.
creation	stvaranje	Stvaranje je trajalo šest meseci.
creature	stvorenje	Stvorenje se tiho kretalo.
crew	posada	Posada je pripremila brod.
crisis	kriza	Kriza je sve promenila.
criterion	kriterijum	Cena je jedan kriterijum.
critic	kritičar	Kritičar je pohvalio predstavu.
critical	kritičan	Njegovo stanje je kritično.
criticism	kritika	Mirno je prihvatila kritiku.
criticize	kritikovati	Ne kritikuj svaku grešku.
crop	usev	Usev je propao ove godine.
crucial	ključan	Vreme je ovde ključno.
cure	lek	Lekari su pronašli lek.
curve	krivina	Put prati krivinu.
curved	zakrivljen	Zid je blago zakrivljen.
debate	rasprava	Rasprava je trajala satima.
debt	dug	Platio je dug.
decent	pristojan	Našli su pristojan stan.
declare	proglasiti	Proglasili su rezultat.
decline	opadati	Prodaja je nastavila da opada.
decoration	ukras	Ukras je izgledao skupo.
decrease	smanjiti se	Cene se mogu uskoro smanjiti.
deeply	duboko	Bilo joj je duboko stalo do pravde.
defeat	poraz	Tim je prihvatio poraz.
defence	odbrana	Odbrana je bila dobro pripremljena.
defend	braniti	Branila je svoju odluku.
delay	kašnjenje	Loše vreme je izazvalo kašnjenje.
deliberate	namerno	To je bio nameran izbor.
deliberately	namerno	Namerno je ignorisala upozorenje.
delight	oduševiti	Vest je sve oduševila.
delighted	oduševljen	Bili smo oduševljeni poklonom.
delivery	isporuka	Isporuka je stigla rano.
demand	zahtevati	Radnici zahtevaju bolju platu.
demonstrate	pokazati	On je pokazao novi softver.
deny	poreći	Ona je porekla optužbu.
depressed	depresivan	Osećao se depresivno posle poraza.
depressing	depresivan	Film je bio depresivan.
depth	dubina	Bazen ima veliku dubinu.
deserve	zaslužiti	Zaslužuješ pauzu.
desire	želja	Izrazila je želju da putuje.
desperate	očajan	Uputili su očajan poziv.
detailed	detaljan	Vodič je veoma detaljan.
detect	otkriti	Psi mogu da otkriju dim.
dig	kopati	Leti kopaju bunare.
disc	disk	Disk je bio izgreban.
discipline	disciplina	Disciplina pomaže sportistima da napreduju.
dishonest	nepošten	Njegov odgovor je zvučao nepošteno.
dismiss	odbaciti	Menadžer je odbacio pritužbu.
display	prikazati	Ekran prikazuje rezultat.
distribute	podeliti	Volonteri su podelili čistu vodu.
distribution	distribucija	Distribucija je počela posle svitanja.
district	okrug	Okrug je izabrao gradonačelnika.
division	odeljenje	Odeljenje vodi pravne slučajeve.
domestic	domaći	Domaći letovi su jeftiniji.
dominate	dominirati	Jedna kompanija može dominirati tržištem.
downwards	nadole	Staza se spušta nadole.
dozen	tucet	Kupila je tucet jaja.
draft	nacrt	Molim te, pregledaj nacrt.
drag	vući	Ne vuci sto.
dramatic	dramatičan	Rezultati su bili dramatični.
edit	urediti	Uredila je članak.
edition	izdanje	Ovo izdanje uključuje nove fotografije.
efficient	efikasan	Sistem je efikasan.
elderly	stariji	Starijim stanovnicima je potrebna podrška.
elect	izabrati	Birači biraju novo veće.
elsewhere	drugde	Tražili smo pomoć drugde.
emerge	pojaviti se	Detalji su se pojavili posle ponoći.
emotional	emotivan	Govor je bio emotivan.
emphasis	naglasak	Stavi naglasak na bezbednost.
emphasize	naglasiti	Nastavnici naglašavaju svakodnevnu vežbu.
enable	omogućiti	Aplikacija omogućava brza plaćanja.
encounter	naići na	Naišli smo na gust saobraćaj.
engage	angažovati	Kurs angažuje odrasle polaznike.
enhance	poboljšati	Osvetljenje može poboljšati prostoriju.
enquiry	istraga	Istraga je trajala tri meseca.
ensure	osigurati	Proveri dvaput da osiguraš tačnost.
enthusiasm	entuzijazam	Njen entuzijazam je ohrabrio grupu.
enthusiastic	entuzijastičan	Volonteri su bili entuzijastični.
entire	ceo	Celo selo je ostalo bez struje.
entirely	potpuno	Priča je potpuno lažna.
establish	uspostaviti	Uspostavili su jasna pravila.
estate	imanje	Imanje uključuje nekoliko farmi.
estimate	proceniti	Procenjujemo deset hiljada posetilaca.
ethical	etički	Odluka je pokrenula etička pitanja.
evaluate	proceniti	Stručnjaci će proceniti dizajn.
evil	zao	Kralj se plašio zlih duhova.
examination	pregled	Pregled je trajao jedan sat.
excuse	izgovor	Taj izgovor je zvučao slabo.
executive	rukovodilac	Rukovodilac je odobrio dogovor.
existence	postojanje	Njihovo postojanje je bilo nepoznato.
expectation	očekivanje	Očekivanje je bilo veliko pre lansiranja.
expense	trošak	Putovanje je naš najveći trošak.
exploration	istraživanje	Istraživanje svemira inspiriše decu.
expose	razotkriti	Članak je razotkrio korupciju.
extend	produžiti	Produžili su rok.
extent	obim	Obim smo saznali kasnije.
external	spoljašnji	Spoljašnji pritisak je uticao na njih.
extraordinary	izvanredan	Njen oporavak je bio izvanredan.
facility	objekat	Objekat je otvoren u junu.
failure	neuspeh	Neuspeh ga je naučio strpljenju.
faith	vera	Zadržala je veru u njega.
fault	krivica	Nesreća je bila moja krivica.
feather	pero	Pero je palo sa jastuka.
fee	naknada	Naknada uključuje ručak.
feedback	povratna informacija	Povratna informacija je pomogla da se kurs poboljša.
fellow	kolega	Kolege radnici su je podržali.
finance	finansije	Banka će finansirati proširenje.
finding	nalaz	Nalaz je iznenadio istraživače.
firm	firma	Firma je zaposlila novo osoblje.
flame	plamen	Pojavio se mali plamen.
flash	bljesak	Bljesak je osvetlio nebo.
flexible	fleksibilan	Raspored je fleksibilan.
float	plutati	Lišće pluta na vodi.
folding	sklopiv	Nosio je sklopivu stolicu.
forgive	oprostiti	Možeš li da mu oprostiš?
former	bivši	Bivši gradonačelnik se vratio.
fortune	bogatstvo	Izgubili su bogatstvo.
found	osnovati	Osnovali su malu dobrotvornu organizaciju.
freedom	sloboda	Sloboda zahteva odgovornost.
frequency	učestalost	Učestalost se povećala zimi.
fully	potpuno	Hotel je potpuno rezervisan.
fund	fond	Fond podržava lokalne škole.
fundamental	osnovni	Poštovanje je ovde osnovno.
funding	finansiranje	Finansiranje je završeno prošle godine.
furthermore	osim toga	Osim toga, troškovi rastu.
gain	steći	Studenti brzo stiču samopouzdanje.
gang	banda	Banda je kontrolisala ulicu.
generate	proizvoditi	Solarni paneli proizvode energiju.
genre	žanr	Komedija je njen omiljeni žanr.
govern	upravljati	Zakoni upravljaju javnom potrošnjom.
grab	zgrabiti	Zgrabio me je za ruku.
gradually	postepeno	Bol je postepeno nestao.
grand	veličanstven	Hotel ima veličanstven ulaz.
grant	dotacija	Dotacija je platila opremu.
guarantee	garantovati	Ulaznica garantuje ulazak.
handle	rešiti	Smireno je rešila pritužbu.
harm	šteta	Pušenje može naneti štetu zdravlju.
harmful	štetan	Ta hemikalija je štetna.
hearing	sluh	Njen sluh se poboljšao.
heaven	raj	Zamišljali su raj iznad sebe.
heel	peta	Peta ga je jako bolela.
hell	pakao	Putovanje je bilo pakao.
hesitate	oklevati	Ne oklevaj da pitaš.
hollow	šuplji	Drvo je bilo šuplje iznutra.
holy	svet	Posetili su sveto mesto.
honour	čast	Borili su se za čast.
household	domaćinstvo	Svako domaćinstvo je dobilo vodu.
housing	stanovanje	Troškovi stanovanja stalno rastu.
humorous	duhovit	Njegova priča je bila duhovita.
humour	humor	Humor je pomogao da se smanji napetost.
hunting	lov	Lov je ovde zabranjen.
illustrate	ilustrovati	Primeri ilustruju pravilo.
illustration	ilustracija	Ilustracija prikazuje proces.
imagination	mašta	Deca slobodno koriste maštu.
impatient	nestrpljiv	Vozači su postali nestrpljivi.
imply	nagovestiti	Njegovo ćutanje može nagovestiti slaganje.
impose	nametnuti	Sud je nametnuo novčanu kaznu.
impress	impresionirati	Njena hrabrost je sve impresionirala.
impressed	impresioniran	Bio sam impresioniran njenim radom.
inch	inč	Pomeri ga jedan inč ulevo.
incident	incident	Incident je izazvao zabrinutost.
income	prihod	Njihov prihod se polako povećavao.
increasingly	sve više	Stanovanje je sve skuplje.
industrial	industrijski	Grad ima industrijske korene.
infection	infekcija	Infekcija se brzo širila.
inform	obavestiti	Molim te, obavesti menadžera.
initial	početni	Početni trošak je bio visok.
initially	u početku	U početku mu niko nije verovao.
initiative	inicijativa	Pokrenula je novu inicijativu.
inner	unutrašnji	Unutrašnja vrata su bila zaključana.
insight	uvid	Izveštaj nudi koristan uvid.
insist	insistirati	Insistiraju na bezbednosnim proverama.
inspire	inspirisati	Njena priča može inspirisati druge.
install	instalirati	Instalirali su novi grejač.
instance	primer	Ovo je jedan jasan primer.
