simplified	KM	example_KM
挨	ទ្រាំ; អត់ធ្មត់	គាត់បានទ្រាំពេញមួយយប់ ហើយចុងក្រោយក៏រង់ចាំដល់ភ្លឺ។
癌症	មហារីក	ការរកឃើញមហារីកនៅដំណាក់កាលដំបូងមានសារៈសំខាន់ណាស់។
暧昧	មិនច្បាស់លាស់; ស្រពេចស្រពិល	ចម្លើយរបស់គាត់ស្រពេចស្រពិលណាស់។
爱不释手	ស្រឡាញ់ខ្លាំងរហូតមិនចង់ដាក់ចុះ	នាងស្រឡាញ់សៀវភៅនេះខ្លាំងរហូតមិនចង់ដាក់ចុះ។
爱戴	គោរពស្រឡាញ់	គ្រូរូបនេះត្រូវបានសិស្សគោរពស្រឡាញ់យ៉ាងខ្លាំង។
安宁	ស្ងប់សុខ	រាត្រីនៅទីនេះស្ងប់សុខណាស់។
安详	ស្ងប់ស្ងាត់សមរម្យ	ទឹកមុខរបស់មនុស្សចាស់នោះស្ងប់ស្ងាត់សមរម្យ។
安置	រៀបចំទីលំនៅ; ដាក់ឲ្យស្នាក់នៅ	រដ្ឋាភិបាលបានរៀបចំទីលំនៅឲ្យប្រជាជនរងគ្រោះ។
按摩	ម៉ាស្សា	ខ្ញុំបានកក់ការម៉ាស្សាមួយលើក។
暗示	បញ្ជាក់ដោយប្រយោល; ផ្តល់សញ្ញា	នាងបានផ្តល់សញ្ញាឲ្យខ្ញុំកុំសួរទៀត។
案件	ករណី; សំណុំរឿង	ប៉ូលិសកំពុងស៊ើបអង្កេតសំណុំរឿងនេះ។
案例	ករណីឧទាហរណ៍	ករណីឧទាហរណ៍នេះមានលក្ខណៈតំណាងយ៉ាងច្បាស់។
昂贵	ថ្លៃខ្លាំង	ឧបករណ៍នេះថ្លៃខ្លាំងណាស់។
凹凸	មិនរាបស្មើ; មានកន្លែងលិចនិងលេច	ផ្លូវនេះមិនរាបស្មើទេ។
熬	ទ្រាំឆ្លងកាត់; ខំរហូតដល់	គាត់ខំទ្រាំបីថ្ងៃ ទើបបញ្ចប់របាយការណ៍។
奥秘	អាថ៌កំបាំងជ្រាលជ្រៅ	អ្នកវិទ្យាសាស្ត្រចង់បកស្រាយអាថ៌កំបាំងនេះ។
巴不得	ចង់ខ្លាំងណាស់	ខ្ញុំចង់ចេញដំណើរភ្លាមៗខ្លាំងណាស់។
巴结	បញ្ចើចបញ្ចើ; ចូលចិត្តអ្នកមានអំណាច	គាត់មិនចង់បញ្ចើចបញ្ចើមេដឹកនាំទេ។
扒	កាន់ជាប់; តោង	ក្មេងនោះតោងទ្វារមើលទៅខាងក្រៅ។
疤	ស្នាមរបួស	លើដៃរបស់គាត់មានស្នាមរបួសមួយ។
拔苗助长	ជំរុញលឿនពេករហូតខូចការ	ការបង្ខំក្មេងរៀនបែបនេះគ្រាន់តែជាជំរុញលឿនពេករហូតខូចការ។
把关	ត្រួតពិនិត្យចុងក្រោយ	កិច្ចសន្យានេះត្រូវការមេធាវីត្រួតពិនិត្យចុងក្រោយ។
把手	ដៃទ្វារ	ដៃទ្វារខូចហើយ។
罢工	ធ្វើកូដកម្ម	កម្មករបានសម្រេចធ្វើកូដកម្មថ្ងៃស្អែក។
霸道	ផ្តាច់ការ; មិនសមហេតុផល	របៀបនិយាយរបស់គាត់ផ្តាច់ការពេក។
掰	បំបែកដោយដៃ	នាងបានបំបែកនំប៉័ងជាពីរផ្នែក។
摆脱	រួចផុតពី	គាត់ចុងក្រោយបានរួចផុតពីទម្លាប់អាក្រក់។
拜访	ទៅសួរសុខទុក្ខ	យើងទៅសួរសុខទុក្ខគ្រូនៅចុងសប្តាហ៍។
拜年	ជូនពរឆ្នាំថ្មី	នៅពេលបុណ្យចូលឆ្នាំចិន យើងទៅជូនពរឆ្នាំថ្មីដល់ជីតាជីដូន។
拜托	សូមពឹងពាក់	រឿងនេះខ្ញុំសូមពឹងពាក់អ្នកហើយ។
败坏	បំផ្លាញ; ធ្វើឲ្យខូចកេរ្តិ៍ឈ្មោះ	អាកប្បកិរិយាបែបនេះនឹងបំផ្លាញកេរ្តិ៍ឈ្មោះក្រុមហ៊ុន។
斑	ចំណុចពណ៌; ស្នាមពណ៌	លើខ្លួនឆ្មាមានស្នាមពណ៌ខ្មៅមួយ។
颁布	ប្រកាសឲ្យអនុវត្ត	បទប្បញ្ញត្តិថ្មីនឹងប្រកាសឲ្យអនុវត្តសប្តាហ៍ក្រោយ។
颁发	ប្រគល់; ផ្តល់ជូន	សាលាបានប្រគល់វិញ្ញាបនបត្រដល់សិស្សឆ្នើម។
版本	កំណែ	កម្មវិធីនេះមានកំណែថ្មី។
伴侣	ដៃគូជីវិត; ដៃគូ	នាងចាត់ទុកឆ្កែជាដៃគូរបស់ខ្លួន។
伴随	អមជាមួយ	ភាពជោគជ័យជាញឹកញាប់អមជាមួយសម្ពាធ។
半途而废	បោះបង់កណ្តាលផ្លូវ	ការធ្វើស្រាវជ្រាវមិនអាចបោះបង់កណ្តាលផ្លូវបានទេ។
扮演	សម្តែងជា	គាត់សម្តែងជាវេជ្ជបណ្ឌិតក្នុងភាពយន្ត។
榜样	គំរូ	ឪពុកម្តាយជាគំរូសម្រាប់កូនៗ។
绑架	ចាប់ជំរិត	ប៉ូលិសបានទប់ស្កាត់ករណីចាប់ជំរិតមួយ។
磅	ផោន	ប្រអប់នេះមានទម្ងន់ម្ភៃផោន។
包庇	លាក់បាំងការពារ	គ្មានអ្នកណាអាចលាក់បាំងការពារឧក្រិដ្ឋកម្មបានឡើយ។
包袱	បន្ទុក	គាត់បានដាក់បន្ទុកចុះ ហើយមានអារម្មណ៍ធូរស្រាលជាច្រើន។
包围	ឡោមព័ទ្ធ	អ្នកសារព័ត៌មានបានឡោមព័ទ្ធតារាសម្តែង។
包装	ការវេចខ្ចប់	ការវេចខ្ចប់អំណោយនេះស្អាតណាស់។
保管	ថែរក្សាទុក	ឯកសារទាំងនេះខ្ញុំជាអ្នកថែរក្សាទុក។
保密	រក្សាការសម្ងាត់	ខ្លឹមសារកិច្ចប្រជុំត្រូវរក្សាការសម្ងាត់។
保姆	អ្នកមើលថែកុមារ	ពួកគេបានជួលអ្នកមើលថែកុមារម្នាក់។
保守	អភិរក្ស; មិនចូលចិត្តផ្លាស់ប្តូរ	គំនិតរបស់គាត់អភិរក្សជាងគេបន្តិច។
保卫	ការពារ	ទាហានការពារព្រំដែន។
保养	ថែទាំ	រថយន្តនេះត្រូវការថែទាំជាប្រចាំ។
保障	ធានាការពារ	ច្បាប់ធានាការពារសិទ្ធិពលរដ្ឋ។
保重	ថែរក្សាសុខភាព	ពេលនៅក្រៅផ្ទះ សូមថែរក្សាសុខភាពឲ្យបានល្អ។
饱和	ឆ្អែតពេញ; ជិតពេញសមត្ថភាព	ទីផ្សារនេះជិតពេញសមត្ថភាពហើយ។
饱经沧桑	ឆ្លងកាត់ការលំបាកជាច្រើន	មនុស្សចាស់រូបនេះបានឆ្លងកាត់ការលំបាកជាច្រើន។
报酬	ប្រាក់តបស្នង	គាត់ទទួលបានប្រាក់តបស្នងសមហេតុផល។
报仇	សងសឹក	គាត់មិនចង់សងសឹកទេ គ្រាន់តែចង់ចាប់ផ្តើមជាថ្មី។
报答	តបស្នង	ខ្ញុំនឹងប្រើសកម្មភាពដើម្បីតបស្នងការជួយរបស់អ្នក។
报复	សងសឹកវិញ	ការសងសឹកវិញនឹងធ្វើឲ្យជម្លោះកាន់តែជ្រៅ។
报警	រាយការណ៍ទៅប៉ូលិស	បន្ទាប់ពីរកឃើញភ្លើង ត្រូវរាយការណ៍ទៅប៉ូលិសភ្លាមៗ។
报销	សងវិញតាមវិក្កយបត្រ	ចំណាយធ្វើដំណើរការងារអាចសងវិញតាមវិក្កយបត្រ។
抱负	មហិច្ឆតា; បំណងធំ	គាត់មានមហិច្ឆតាធំតាំងពីក្មេង។
暴力	ហិង្សា	យើងប្រឆាំងនឹងហិង្សាគ្រប់ទម្រង់។
暴露	លាតត្រដាង	បញ្ហានេះបានលាតត្រដាងឡើងបន្តិចម្តងៗ។
曝光	បង្ហាញចេញជាសាធារណៈ	បន្ទាប់ពីរូបថតនេះត្រូវបានបង្ហាញចេញ វាបានទាក់ទាញការយកចិត្តទុកដាក់។
