source_headword	RU	example_RU
abolish	отменять	Закон отменит старый сбор.
abortion	аборт	Аборт остается деликатной медицинской проблемой.
absence	отсутствие	Ее отсутствие отложило окончательное решение.
absent	отсутствующий	Два участника отсутствовали на занятии.
absurd	абсурдный	Утверждение показалось всем абсурдным.
abundance	изобилие	В долине изобилие воды.
abuse	злоупотребление	В отчете описывались злоупотребления на рабочем месте.
academy	академия	Академия обучает молодых музыкантов.
accelerate	ускорять	Новое финансирование ускорит исследование.
acceptance	принятие	Его принятие критики впечатлило меня.
accessible	доступный	Музей доступен для инвалидов-колясочников.
accomplishment	достижение	Завершение книги было настоящим достижением.
accordance	соответствие	Работа была выполнена в соответствии с политикой.
accordingly	соответственно	Улики изменились, и мы действовали соответственно.
accountability	подотчетность	Политика повышает подотчетность менеджеров.
accountable	ответственный	Менеджеры несут ответственность за безопасность.
accumulate	накапливать	Пыль может накапливаться за экраном.
accumulation	накопление	Накопление данных заняло месяцы.
accusation	обвинение	Обвинение шокировало комитет.
accused	обвиняемый	Обвиняемый предстал перед судом.
acquisition	приобретение	Приобретение быстро расширило компанию.
acre	акр	Ферма занимает один акр.
activation	активация	Активация карты занимает несколько минут.
activist	активист	Активист выступил на митинге.
acute	острый	Она почувствовала острую боль после бега.
adaptation	адаптация	Адаптация изменила концовку романа.
adhere	придерживаться	Сотрудники должны придерживаться правил безопасности.
adjacent	прилегающий	Отель прилегает к вокзалу.
adjustment	корректировка	Небольшая корректировка решила проблему.
administer	вводить	Медсестры осторожно вводят вакцину.
administrative	административный	Административный персонал обрабатывает формы.
administrator	администратор	Администратор сбросил мой пароль.
admission	вход	Вход в музей бесплатный.
adolescent	подросток	Подростку нужна была дополнительная поддержка.
adoption	усыновление	Усыновление дало ребенку стабильный дом.
adverse	неблагоприятный	Препарат вызвал неблагоприятные эффекты.
advocate	защитник	Защитник отстаивал права арендаторов.
aesthetic	эстетический	Комната имеет спокойный эстетический стиль.
affection	привязанность	Она проявляла привязанность к своей семье.
aftermath	последствия	Последствия шторма были тяжелыми.
aggression	агрессия	Учитель заметил агрессию во время перемены.
agricultural	сельскохозяйственный	Экспорт сельскохозяйственной продукции вырос в этом году.
aide	помощник	Помощник организовал расписание министра.
albeit	хотя и	План сработал, хотя и медленно.
alert	предупреждать	Пожалуйста, немедленно предупредите персонал.
align	выравнивать	Стрелки выровнены по дороге.
alignment	выравнивание	Выравнивание колес улучшило управляемость автомобиля.
alike	одинаково	По выходным близнецы одеваются одинаково.
allegation	утверждение	Заявление появилось в газете.
allege	утверждать	Они утверждают, что средства были утеряны.
allegedly	предположительно	Водитель, предположительно, проигнорировал предупреждение.
alliance	альянс	Стороны образовали временный альянс.
allocate	выделять	Город выделит деньги на школы.
allocation	распределение	Распределение мест было несправедливым.
allowance	пособие	Ее пособие покрывает обед и транспорт.
ally	союзник	Канада стала близким союзником.
aluminium	алюминий	Рама сделана из алюминия.
amateur	любитель	Фотографию сделал фотограф-любитель.
ambassador	посол	Посол встретился с местными студентами.
amend	вносить поправки	Парламент проголосовал за внесение поправок в закон.
amendment	поправка	Поправка изменила один абзац.
amid	среди	Речь прозвучала на фоне растущего напряжения.
analogy	аналогия	Учитель использовал простую аналогию.
anchor	якорь	Лодка бросила якорь возле острова.
