source_headword	DA	example_DA
heal	at hele	Hvile hjælper kroppen med at hele.
healthcare	et sundhedsvæsen	Sundhedsudgifterne steg i år.
helmet	en hjelm	Brug en hjelm på cyklen.
hence	derfor	Derfor ændrede vi tidsplanen.
herb	en urt	Basilikum er en nyttig urt.
hidden	skjult	Nøglen var skjult under måtten.
highway	en motorvej	Motorvejen blev lukket efter snevejr.
hilarious	hylende morsom	Filmen var hylende morsom.
hip	en hofte	Hun slog sin hofte til træning.
historian	en historiker	Historikeren studerede gamle breve.
homeless	hjemløs	Herberget hjælper hjemløse familier.
honesty	ærlighed	Ærlighed skaber tillid.
hook	en krog	Hæng frakken på krogen.
hopefully	forhåbentlig	Forhåbentlig ankommer toget snart.
hunger	sult	Sult kan påvirke koncentrationen.
hypothesis	en hypotese	Eksperimentet testede hypotesen.
icon	et ikon	App-ikonet ændrede sig i dag.
ID	et id	Vis dit id i receptionen.
identical	identisk	Tvillingerne havde identiske jakker på.
illusion	en illusion	Spejlet skaber en illusion.
immigration	en immigration	Immigrationspolitikken blev ændret sidste år.
immune	immun	Vaccination kan gøre folk immune.
implement	at implementere	Skolen vil implementere politikken.
implication	en implikation	Implikationen var tydelig.
incentive	et incitament	Bonussen gav arbejderne et incitament.
incorporate	at inkorporere	Inkorporer flere grøntsager i måltiderne.
incorrect	ukorrekt	Svaret var ukorrekt.
independence	en uafhængighed	Landet fejrede uafhængighed.
index	et indeks	Tjek indekset for emnet.
indication	en indikation	Smilet var en indikation på lettelse.
inevitable	uundgåelig	Noget forsinkelse var uundgåelig.
inevitably	uundgåeligt	Uundgåeligt steg priserne efter manglen.
infer	at udlede	Vi kan udlede svaret fra konteksten.
inflation	en inflation	Inflation øgede madpriserne.
info	en info	Hjemmesiden viser nyttig info.
infrastructure	en infrastruktur	Stormen beskadigede den lokale infrastruktur.
inhabitant	en indbygger	Hver indbygger modtog rent vand.
inherit	at arve	Hun vil arve familiehuset.
ink	et blæk	Printeren mangler sort blæk.
innovation	en innovation	Innovation driver industrien fremad.
innovative	innovativ	Virksomheden lancerede et innovativt produkt.
input	et input	Lederen bad om input.
insert	at indsætte	Indsæt kortet i maskinen.
inspector	en inspektør	Inspektøren tjekkede bygningen.
installation	en installation	Installationen tog to timer.
instant	øjeblikkelig	Appen sendte et øjeblikkeligt svar.
instantly	øjeblikkeligt	Skærmen tændte øjeblikkeligt.
integrate	at integrere	Softwaren kan integrere nye værktøjer.
intellectual	intellektuel	Debatten var intellektuel, men venlig.
interact	at interagere	Elever interagerer under gruppearbejdet.
interaction	en interaktion	Interaktionen var høflig.
interpretation	en fortolkning	Hendes fortolkning af digtet var original.
interval	et interval	Der var et kort interval mellem akterne.
invade	at invadere	Hæren forsøgte at invadere øen.
invasion	en invasion	Invasionen beskadigede mange byer.
investor	en investor	Investoren finansierede en ny startup.
isolate	at isolere	Læger isolerer patienter med alvorlige infektioner.
isolated	isoleret	Landsbyen var isoleret af sne.
jail	et fængsel	Tyven kom i fængsel.
jet	et jetfly	Jetflyet landede ved middagstid.
joint	fælles	De annoncerede et fælles projekt.
journalism	en journalistik	Journalistik kræver nøjagtige fakta.
jury	en jury	Juryen traf en beslutning.
kit	et sæt	Reparationssættet inkluderer skruer.
ladder	en stige	Stigen lænede sig op ad væggen.
landing	en landing	Flyet foretog en blød landing.
lane	en vognbane	Bliv i den højre vognbane.
lately	på det seneste	Jeg har sovet dårligt på det seneste.
leaflet	en brochure	Brochuren forklarer tjenesten.
legend	en legende	Legenden fortæller om en skjult by.
lens	en linse	Rengør kameralinsen forsigtigt.
lifetime	en levetid	Han sparede penge et helt liv.
lighting	en belysning	God belysning forbedrer rummet.
likewise	ligeledes	Hun smilede; han gjorde ligeledes.
limitation	en begrænsning	Planen har én begrænsning.
literally	bogstaveligt talt	Hun løb bogstaveligt talt til bussen.
literary	litterær	Festivalen hylder litterært arbejde.
litre	en liter	Køb en liter mælk.
litter	et affald	Smid ikke affald.
logo	et logo	Logoet vises på hver side.
lottery	et lotteri	Han vandt en lille lotteripræmie.
loyal	loyal	Hunden var loyal mod sin ejer.
lyric	en sangtekst	Sangteksten gentog hovedidéen.
magnificent	storslået	Paladset så storslået ud.
make-up	en makeup	Hun havde simpel makeup på.
making	en fremstilling	Fremstillingen af filmen var svær.
manufacture	at fremstille	Fabrikken vil fremstille telefoner.
manufacturing	en produktion	Produktionsjobbene steg lokalt.
marathon	et maraton	Hun gennemførte maratonet.
margin	en margen	Skriv noter i margen.
marker	en tusch	Brug en tusch til etiketten.
martial	kamp-	Han studerer kampsport.
mate	en kammerat	Min gamle skolekammerat ringede i går.
mayor	en borgmester	Borgmesteren åbnede biblioteket.
mechanic	en mekaniker	Mekanikeren reparerede bussen.
mechanical	mekanisk	Uret har en mekanisk fejl.
mechanism	en mekanisme	Låsemekanismen er simpel.
medal	en medalje	Hun vandt en guldmedalje.
medication	en medicin	Tag medicin med vand.
membership	et medlemskab	Et fitnessmedlemskab koster mindre online.
memorable	mindeværdig	Turen var mindeværdig.
metaphor	en metafor	Digtet bruger en stærk metafor.
miner	en minearbejder	Minearbejderen arbejdede under jorden.
miserable	elendig	Regnen gjorde skovturen elendig.
mode	en tilstand	Skift kameraet til nattilstand.
modest	beskeden	De bor i et beskedent hus.
monster	et monster	Historien har et skræmmende monster.
monthly	månedlig	Vi betaler husleje månedligt.
monument	et monument	Monumentet står nær floden.
moreover	desuden	Desuden sparer planen penge.
mortgage	et realkreditlån	De ansøgte om et realkreditlån.
mosque	en moské	Moskéen ligger nær markedet.
motion	en bevægelse	Sensoren registrerer bevægelse.
motivate	at motivere	Ros kan motivere elever.
motivation	en motivation	Hendes motivation forblev stærk.
moving	rørende	Talen var rørende.
myth	en myte	Myten forklarer bjergets navn.
naked	nøgen	Babyen var nøgen efter badet.
nasty	slem	Riften så slem ud.
navigation	en navigation	Appen forbedrer navigationen.
nearby	nærliggende	En nærliggende café åbner tidligt.
necessity	en nødvendighed	Rent vand er en nødvendighed.
negotiate	at forhandle	De forhandler kontrakten i morgen.
negotiation	en forhandling	Forhandlingen varede hele morgenen.
neutral	neutral	Dommeren forblev neutral.
newly	nyligt	Den nyligt malede dør så lys ud.
norm	en norm	Fjernarbejde blev normen.
notebook	en notesbog	Skriv noter i din notesbog.
novelist	en romanforfatter	Romanforfatteren signerede sin bog.
nowadays	nu om dage	Nu om dage arbejder mange mennesker online.
nursing	sygepleje-	Hun studerer sygepleje.
nutrition	en ernæring	God ernæring støtter sundheden.
obesity	en fedme	Fedme øger sundhedsrisici.
observer	en observatør	Observatøren registrerede resultaterne.
obstacle	en forhindring	Det faldne træ var en forhindring.
