source_headword	BG	example_BG
hunt	търся	Те търсят гъби през есента.
hurricane	ураган	Ураганът повреди много домове.
hurry	бързане	Днес няма бързане.
identity	самоличност	Самоличността ѝ остана тайна.
ignore	игнорирам	Не игнорирай това предупреждение.
illegal	незаконен	Незаконно е да паркираш тук.
imaginary	въображаем	Историята има въображаем остров.
immediate	незабавен	Нуждаем се от незабавен отговор.
immigrant	имигрант	Имигрантът научи английски бързо.
impact	въздействие	Новината имаше силно въздействие.
import	внасям	Страната ще внася повече ориз.
importance	важност	Тя разбра важността на съня.
impression	впечатление	Първото му впечатление беше положително.
impressive	впечатляващ	Музеят има впечатляващ вход.
improvement	подобрение	Този месец имаше ясно подобрение.
incredibly	невероятно	Тестът беше невероятно труден.
indeed	наистина	Това наистина беше странен ден.
indicate	посочвам	Знакът ще посочи изхода.
indirect	косвен	Тя даде косвен отговор.
indoor	вътрешен	Хотелът има вътрешен басейн.
indoors	на закрито	Останахме на закрито по време на бурята.
influence	влияние	Учителят му имаше силно влияние.
ingredient	съставка	Брашното е основната съставка.
injure	наранявам	Не наранявай гърба си.
injured	ранен	Раненият играч напусна терена.
innocent	невинен	Детето изглеждаше напълно невинно.
intelligence	интелигентност	Тя показа голяма интелигентност в клас.
intend	възнамерявам	Възнамерявам да уча в чужбина.
intention	намерение	Намерението му беше да помогне.
invest	инвестирам	Те инвестират пари в образование.
investigate	разследвам	Полицията ще разследва инцидента.
involved	замесен	Няколко ученици бяха замесени.
iron	желязо	Портата е направена от желязо.
issue	проблем	Това е сериозен проблем.
IT	информационни технологии	Тя работи в информационните технологии.
journal	дневник	Той пише в дневник.
judge	съдия	Съдията слушаше внимателно.
keen	нетърпелив	Тя е нетърпелива да учи.
keyboard	клавиатура	Клавиатурата ми спря да работи.
kick	ритам	Ритни топката леко.
killing	убийство	Убийството шокира селото.
kind (caring)	мил; добър	Това беше мил жест.
kiss	целувка	Тя даде целувка на бебето.
label	етикет	Прочети етикета преди употреба.
laboratory	лаборатория	Лабораторията е затворена днес.
lack	липса	Липсата на сън вреди на паметта.
latest	последен	Прочете ли последния доклад?
lay	поставям	Постави книгата на масата.
layer	слой	Добави още един слой боя.
leading	водещ	Тя е водещ учен.
leaf	лист	Лист падна върху палтото ми.
leather	кожа	Чантата му е направена от кожа.
legal	правен	Нуждаем се от правен съвет.
leisure	свободно време	Четенето е любимото ми занимание в свободното време.
length	дължина	Измери дължината на стаята.
lie2 (tell a lie)	лъжа	Не лъжи родителите си.
limit	ограничение	Ограничението на скоростта е петдесет.
lip	устна	Тя прехапа устната си.
liquid	течност	Водата е бистра течност.
literature	литература	Тя изучава френска литература.
live2	на живо	Групата свири на живо снощи.
living	жив	Живите растения имат нужда от светлина.
locate	намирам	Можеш ли да намериш файла?
located	разположен	Офисът е разположен в центъра.
location	местоположение	Това е добро местоположение.
lonely	самотен	Той се почувства самотен след преместването.
loss	загуба	Загубата беше тежка за всички.
luxury	лукс	Хотелът предлага истински лукс.
mad	ядосан	Тя беше ядосана заради закъснението.
magic	магия	Шоуто беше пълно с магия.
mainly	главно	Групата е главно от студенти.
mall	търговски център	Срещнахме се в търговския център.
management	управление	Доброто управление спестява време.
marketing	маркетинг	Маркетингът помага за продажбата на продукта.
marriage	брак	Бракът им продължи тридесет години.
meanwhile	междувременно	Междувременно приготвих вечеря.
measure	измервам	Измери масата внимателно.
medium	среден	Поръчах средна пица.
mental	психически	Стресът влияе на психическото здраве.
mess	бъркотия	Почисти тази бъркотия.
mild	мек	Супата има мек вкус.
mine (hole in the ground)	мина	Мината затвори миналата година.
mix	смесвам	Смеси яйцата с мляко.
mixture	смес	Сместа стана гъста.
mood	настроение	Музиката промени настроението ѝ.
mud	кал	Обувките му бяха покрити с кал.
murder	убийство	Убийството се случи през нощта.
muscle	мускул	Упражненията изграждат мускули.
mystery	тайна	Старата къща е тайна.
nail	нокът	Счупих си нокът.
narrative	разказ	Романът има ясен разказ.
nation	нация	Цялата нация празнува.
native	роден	Испанският е нейният роден език.
naturally	естествено	Децата учат естествено чрез игра.
necessarily	непременно	Скъпата храна не е непременно по-добра.
needle	игла	Иглата е много остра.
neighbourhood	квартал	Те живеят в тих квартал.
net	мрежа	Рибарят поправи мрежата си.
nor	нито	Той нито се усмихна, нито проговори.
northern	северен	Те посетиха северното крайбрежие.
nuclear	ядрен	Дебатът беше за ядрената енергия.
obvious	очевиден	Отговорът беше очевиден.
obviously	очевидно	Очевидно ни трябва повече време.
occasion	повод	Това е специален повод.
occur	случвам се	Инциденти могат да се случат навсякъде.
odd	странен	Това беше странен въпрос.
official	официален	Официалният резултат пристигна днес.
old-fashioned	старомоден	Телефонът ѝ изглежда старомоден.
operation	операция	Операцията продължи два часа.
organized	организиран	Бюрото ѝ е много организирано.
organizer	организатор	Организаторът посрещна гостите.
originally	първоначално	Тя първоначално дойде от Канада.
ought modal	трябва да	Трябва да си починеш.
ours	наш	Тази маса е наша.
outdoor	външен	Купихме външни мебели.
outdoors	навън	Децата трябва да играят навън.
package	пакет	Пакетът пристигна тази сутрин.
painful	болезнен	Порязването беше болезнено.
pale	блед	Лицето му изглеждаше бледо.
pan	тиган	Първо загрей тигана.
participate	участвам	Всеки може да участва.
particularly	особено	Особено харесвам тази песен.
passion	страст	Музиката е нейната страст.
path	пътека	Следвай пътеката през парка.
payment	плащане	Плащането е дължимо утре.
peaceful	спокоен	Градината е спокойна.
percentage	процент	Малък процент се съгласи.
perfectly	идеално	Планът проработи идеално.
performance	изпълнение	Нейното изпълнение беше отлично.
personally	лично	Лично аз предпочитам чай.
persuade	убеждавам	Можеш ли да го убедиш да се присъедини?
photographer	фотограф	Фотографът направи много снимки.
photography	фотография	Фотографията е любимото му хоби.
pin	карфица	Постави карфица на картата.
pipe	тръба	Тръбата пренася вода.
planning	планиране	Планирането отнема време.
pleasant	приятен	Имахме приятна вечер.
pleasure	удоволствие	Беше удоволствие да се запознаем.
plenty	достатъчно	Имаме достатъчно време.
plot	сюжет	Сюжетът беше лесен за следване.
plus1	плюс	Две плюс три е пет.
poem	стихотворение	Тя написа кратко стихотворение.
poet	поет	Поетът четеше на глас.
poetry	поезия	Той харесва съвременна поезия.
poison	отрова	Дръж отровата далеч от деца.
poisonous	отровен	Някои гъби са отровни.
policy	политика	Компанията промени политиката си.
political	политически	Речта беше политическа.
politician	политик	Политикът отговори на въпроси.
politics	политика	Политиката може да бъде сложна.
port	пристанище	Корабът влезе в пристанището.
portrait	портрет	Портретът виси в залата.
possibly	възможно	Възможно е тя да пристигне късно.
pot	саксия	Растението се нуждае от по-голяма саксия.
pour	наливам	Налей млякото бавно.
poverty	бедност	Много семейства живеят в бедност.
powder	прах	Добави праха във вода.
powerful	мощен	Двигателят е мощен.
practical	практичен	Това е практично решение.
pray	моля се	Те се молят всяка сутрин.
prayer	молитва	Тя каза тиха молитва.
prediction	предсказание	Предсказанието му беше вярно.
prepared	подготвен	Подготвен съм за изпита.
presentation	презентация	Презентацията ѝ беше ясна.
press	натискам	Натисни бутона веднъж.
pressure	натиск	Натискът може да повлияе на здравето ти.
pretend	преструвам се	Не се преструвай, че спиш.
previous	предишен	Предишният урок беше по-лесен.
previously	преди	Преди живеехме в Рим.
priest	свещеник	Свещеникът говореше тихо.
primary	основен	Здравето е нашата основна грижа.
prince	принц	Принцът посети училището.
princess	принцеса	Принцесата носеше синя рокля.
printing	печатане	Печатането на доклада отне минути.
prisoner	затворник	Затворникът избяга през нощта.
private	личен	Това е личен разговор.
producer	продуцент	Продуцентът хареса филма.
production	производство	Производството започва следващата седмица.
profession	професия	Преподаването е уважавана професия.
profit	печалба	Магазинът реализира печалба.
promote	насърчавам	Те насърчават здравословното хранене.
proper	подходящ	Носи подходящи обувки за преход.
properly	правилно	Затвори вратата правилно.
property	имот	Те купиха имот край реката.
protest	протест	Протестът приключи мирно.
proud	горд	Тя се почувства горда със сина си.
prove	доказвам	Можеш ли да докажеш отговора си?
punish	наказвам	Учителят не го наказа.
punishment	наказание	Наказанието изглеждаше справедливо.
qualification	квалификация	Нужна ти е квалификация за тази работа.
qualified	квалифициран	Тя е квалифицирана медицинска сестра.
qualify	класирам се	Нашият отбор може да се класира.
queue	опашка	Чакахме на дълга опашка.
quit	отказвам се	Той реши да се откаже от пушенето.
quotation	цитат	Есето започва с цитат.
quote	цитирам	Мога ли да цитирам думите ти?
race (people)	раса	Формулярът пита за раса.
racing	състезания	Конните състезания са популярни там.
range	гама	Магазинът продава широка гама.
rare	рядък	Тази птица е рядка.
rarely	рядко	Рядко ядем навън.
reaction	реакция	Реакцията ѝ ме изненада.
reality	реалност	Реалността беше различна от мечтата му.
receipt	касов бон	Запази касовия бон.
recommendation	препоръка	Благодаря ти за препоръката.
reference	препратка	Добави препратка в края.
reflect	отразявам	Огледалото може да отразява светлина.
regularly	редовно	Тя спортува редовно.
reject	отхвърлям	Те може да отхвърлят предложението.
relate	свързвам се	Мога да се свържа с тази история.
related	свързан	Двата проблема са свързани.
relation	връзка	Има връзка между тях.
relative	относителен	Скоростта е относителна.
relaxed	отпуснат	Той се почувства отпуснат след вечеря.
relaxing	отпускащ	Музиката беше отпускаща.
release	пускам	Те ще пуснат филма скоро.
reliable	надежден	Този автобус обикновено е надежден.
religion	религия	Религията е важна за нея.
religious	религиозен	Те посетиха религиозна сграда.
remain	оставам	Моля, остани спокоен.
remind	напомням	Напомни ми утре.
remote	отдалечен	Те живеят в отдалечено село.
rent	наем	Наемът е дължим днес.
repeated	повтарящ се	Повтарящите се грешки забавиха работата.
represent	представлявам	Звездата представлява надежда.
require	изисквам	Тази работа ще изисква обучение.
reservation	резервация	Направих резервация.
resource	ресурс	Библиотеката е полезен ресурс.
respect	уважавам	Уважавай съучениците си.
responsibility	отговорност	Грижата за деца е голяма отговорност.
responsible	отговорен	Тя е отговорна за билетите.
retire	пенсионирам се	Баща ми ще се пенсионира скоро.
retired	пенсиониран	Той е пенсиониран учител.
revise	преработвам	Преработи есето си тази вечер.
risk	риск	Има риск от дъжд.
robot	робот	Роботът почисти пода.
roll	търкалям	Търкулни топката към мен.
romantic	романтичен	Те имаха романтична вечеря.
rope	въже	Вържи въжето здраво.
rough	неравен	Пътят беше неравен.
row1	ред	Седни на първия ред.
royal	кралски	Кралското семейство пристигна.
rugby	ръгби	Гледахме ръгби по телевизията.
safety	безопасност	Безопасността е важна на работа.
sailor	моряк	Морякът поправи лодката.
sample	проба	Медицинската сестра взе кръвна проба.
sand	пясък	Пясъкът покри обувките ми.
scan	сканирам	Първо сканирай документа.
scientific	научен	Това е научен метод.
script	сценарий	Актьорът прочете сценария.
sculpture	скулптура	Скулптурата стои отвън.
secondary	вторичен	Това е вторичен проблем.
security	охрана	Охраната провери чантите ни.
seed	семе	Посади семето в почвата.
sensible	разумен	Това е разумна идея.
seriously	сериозно	Вземи този проблем сериозно.
servant	слуга	Слугата отвори вратата.
set (put)	поставям	Постави чашата на масата.
set (group)	комплект	Този комплект включва шест чаши.
setting	обстановка	Историята има градска обстановка.
sex	пол	Формулярът пита за възраст и пол.
sexual	сексуален	Класът обсъди сексуалното здраве.
sharp	остър	Този нож е остър.
shelf	рафт	Постави книгата на рафта.
shell	черупка	Черупката беше празна.
shift	смяна	Моята смяна започва в осем.
shine	сияя	Звездите сияят нощем.
shiny	лъскав	Обувките ѝ са лъскави.
shoot	снимам	Фотографът ще снима сцената.
shy	срамежлив	Той е срамежлив с непознати.
sight	гледка	Планината беше красива гледка.
signal	сигнал	Сигналът беше слаб.
silent	тих	Стаята стана тиха.
silly	глупав	Това беше глупава грешка.
similarity	прилика	Има ясна прилика.
similarly	подобно	Вторият план работи подобно.
simply	просто	Просто натисни този бутон.
sink	потъвам	Тежките камъни потъват бързо.
slice	резен	Изядох резен торта.
slightly	леко	Стаята е леко по-топла.
smart	елегантен	Тя носеше елегантно сако.
smooth	гладък	Пътят е гладък.
software	софтуер	Софтуерът се нуждае от обновяване.
soil	почва	Почвата е суха.
solid	здрав	Стената е здрава.
southern	южен	Те живеят на южното крайбрежие.
specifically	конкретно	Поисках конкретно чай.
spending	разходи	Правителствените разходи се увеличиха.
