source_headword	HY	example_HY
take	վերցնել; տանել	Վերցրեք տոմսը։
talk	խոսել; զրույց	Դասից հետո խոսում ենք։
tall	բարձրահասակ; բարձր	Իմ ուսուցիչը բարձրահասակ է։
taxi	տաքսի	Տաքսին դրսում է։
tea	թեյ	Այս թեյը տաք է։
teach	սովորեցնել	Ես անգլերեն եմ սովորեցնում։
teacher	ուսուցիչ	Ուսուցիչը ժպտում է։
team	թիմ	Մեր թիմը այսօր հաղթում է։
teenager	դեռահաս	Դեռահասը գիրք է կարդում։
telephone	հեռախոս; զանգել	Հեռախոսը սեղանի վրա է։
television	հեռուստացույց	Հեռուստացույցը նոր է։
tell	ասել	Ասացեք ձեր անունը։
ten	տասը	Ես տասը գիրք ունեմ։
tennis	թենիս	Այսօր թենիս ենք խաղում։
terrible	սարսափելի; շատ վատ	Եղանակը սարսափելի է։
test	թեստ; քննություն; ստուգել	Թեստը հիմա սկսվում է։
text	տեքստ; հաղորդագրություն	Ուղարկեք կարճ հաղորդագրություն։
than	-ից ավելի	Տասը երկուսից մեծ է։
thank	շնորհակալություն հայտնել	Շնորհակալություն հայտնեք ուսուցչին։
thanks	շնորհակալություն	Շնորհակալություն օգնության համար։
that	այն; այդ	Այդ գիրքը իմն է։
the	անգլերենի որոշյալ հոդ	Թեյը տաք է։
theatre	թատրոն	Թատրոնը կայարանի մոտ է։
their	նրանց	Նրանց տունը մեծ է։
them	նրանց	Ես նրանց ճանաչում եմ։
then	հետո; այն ժամանակ	Կերեք, հետո կարդացեք։
there	այնտեղ	Այնտեղ աթոռ կա։
they	նրանք	Նրանք դպրոցում են։
thing	իր; բան	Այս իրը օգտակար է։
think	մտածել	Ես տան մասին եմ մտածում։
third	երրորդ	Սա երրորդ դասն է։
thirsty	ծարավ	Ես ծարավ եմ։
thirteen	տասներեք	Նա տասներեք տարեկան է։
thirty	երեսուն	Քույրս երեսուն տարեկան է։
this	սա; այս	Այս տոմսը նոր է։
thousand	հազար	Հազար մարդ եկավ։
three	երեք	Ես երեք թռչուն եմ տեսնում։
through	միջով; միջոցով	Մենք այգու միջով ենք անցնում։
Thursday	հինգշաբթի	Հինգշաբթի մենք հանդիպում ենք։
ticket	տոմս	Ինձ տոմս է պետք։
time	ժամանակ	Ժամը քանի՞սն է։
tired	հոգնած	Ես հոգնած եմ։
title	վերնագիր	Կարդացեք վերնագիրը։
to	-ին; դեպի; համար	Ես դասի եմ գնում։
today	այսօր	Այսօր արևոտ է։
together	միասին	Մենք միասին ենք ուտում։
toilet	զուգարան	Զուգարանը մաքուր է։
tomato	լոլիկ	Այս լոլիկը կարմիր է։
tomorrow	վաղը	Վաղը կհանդիպենք։
tonight	այս երեկո	Այս երեկո կարդում ենք։
too	նույնպես; չափազանց	Ես նույնպես թեյ եմ ուզում։
tooth	ատամ	Ատամս ցավում է։
topic	թեմա	Ընտրեք մեկ թեմա։
tourist	զբոսաշրջիկ	Զբոսաշրջիկը լուսանկարներ է անում։
town	քաղաք; ավան	Այս քաղաքը հանգիստ է։
traffic	երթևեկություն; խցանում	Երթևեկությունը դանդաղ է։
train	գնացք	Գնացքը ուշանում է։
travel	ճամփորդել; ճամփորդություն	Մենք գնացքով ենք ճամփորդում։
tree	ծառ	Ծառը բարձր է։
trip	ուղևորություն; ճամփորդություն	Ուղևորությունը վաղը սկսվում է։
trousers	տաբատ	Իմ տաբատը սև է։
true	ճիշտ; իրական	Այս պատմությունը ճիշտ է։
try	փորձել; համտեսել	Փորձեք այս թեյը։
T-shirt	շապիկ	Ես շապիկ եմ հագել։
Tuesday	երեքշաբթի	Երեքշաբթի մենք հանդիպում ենք։
turn	շրջվել; հերթ	Այստեղ ձախ շրջվեք։
TV	հեռուստացույց	Հեռուստացույցի ձայնը բարձր է։
twelve	տասներկու	Ես տասներկու գրիչ ունեմ։
twenty	քսան	Այստեղ քսան ուսանող կա։
twice	երկու անգամ	Շաբաթը երկու անգամ լողում եմ։
two	երկու	Երկու մարդ սպասում է։
type	տեսակ; տպել	Ի՞նչ տեսակի երաժշտություն է պետք։
umbrella	անձրևանոց	Վերցրեք անձրևանոցը։
uncle	հորեղբայր; մորեղբայր	Իմ հորեղբայրը բարի է։
under	տակ	Պայուսակը սեղանի տակ է։
understand	հասկանալ	Ես հարցը հասկանում եմ։
university	համալսարան	Համալսարանը մոտ է։
until	մինչև	Սպասեք մինչև ժամը հինգը։
up	վերև; վեր կենալ	Հիմա վեր կացեք։
upstairs	վերին հարկում	Իմ սենյակը վերին հարկում է։
us	մեզ	Խնդրում եմ, օգնեք մեզ։
use	օգտագործել; օգտագործում	Օգտագործեք այս գրիչը։
useful	օգտակար	Այս քարտեզը օգտակար է։
usually	սովորաբար	Ես սովորաբար տուն եմ գնում ոտքով։
vacation	արձակուրդ	Մեր արձակուրդը վաղը սկսվում է։
vegetable	բանջարեղեն	Գազարը բանջարեղեն է։
very	շատ	Սենյակը շատ հանգիստ է։
video	տեսանյութ	Դիտեք այս տեսանյութը։
village	գյուղ	Գյուղը փոքր է։
visit	այցելել	Մենք մորաքրոջս ենք այցելում։
visitor	այցելու; հյուր	Հյուրը դրսում է սպասում։
wait	սպասել	Խնդրում եմ, այստեղ սպասեք։
waiter	մատուցող	Մատուցողը թեյ է բերում։
wake	արթնանալ; արթնացնել	Ես առավոտյան շուտ եմ արթնանում։
walk	քայլել; ոտքով գնալ	Մենք դպրոց ենք գնում ոտքով։
wall	պատ	Պատը սպիտակ է։
want	ուզել; պետք լինել	Ես ջուր եմ ուզում։
warm	տաք; ջերմ	Սենյակը տաք է։
wash	լվանալ	Լվացեք ձեր ձեռքերը։
watch	նայել; ժամացույց	Ես հեռուստացույց եմ նայում։
water	ջուր; ջրել	Մի քիչ ջուր խմեք։
way	ճանապարհ; ձև	Այս ճանապարհը կարճ է։
we	մենք	Մենք անգլերեն ենք սովորում։
wear	հագնել; կրել	Ես բաճկոն եմ հագել։
weather	եղանակ	Եղանակը ցուրտ է։
website	կայք	Այս կայքը օգտակար է։
Wednesday	չորեքշաբթի	Դասը սկսվում է չորեքշաբթի։
week	շաբաթ	Այս շաբաթը զբաղված է։
weekend	հանգստյան օրեր	Հանգստյան օրերը վաղը սկսվում են։
welcome	բարի գալուստ; դիմավորել	Բարի գալուստ մեր դասարան։
well	լավ	Նա լավ է երգում։
west	արևմուտք	Արևը մայր է մտնում արևմուտքում։
what	ինչ	Սա ի՞նչ է։
when	երբ	Ե՞րբ եք սովորում։
where	որտեղ	Կայարանը որտե՞ղ է։
which	որ	Ո՞ր պայուսակն է ձերը։
white	սպիտակ	Պատը սպիտակ է։
who	ով	Սա ո՞վ է։
why	ինչու	Ինչո՞ւ ուշացաք։
wife	կին; ամուսին	Նրա կինը ուսուցիչ է։
will modal	ապագա ժամանակի օժանդակ բառ	Ես քեզ կօգնեմ։
win	հաղթել	Մեր թիմը կարող է հաղթել։
window	պատուհան	Բացեք պատուհանը։
wine	գինի	Այս գինին կարմիր է։
winter	ձմեռ	Այստեղ ձմեռը ցուրտ է։
with	հետ; միասին	Ինձ հետ եկեք։
without	առանց	Թեյը առանց շաքարի լավ է։
woman	կին	Կինը գիրք է կարդում։
wonderful	հիանալի; հրաշալի	Տեսարանը հիանալի է։
word	բառ	Գրեք մեկ բառ։
work	աշխատել; աշխատանք	Ես տանը եմ աշխատում։
worker	աշխատող	Աշխատողը զբաղված է։
world	աշխարհ	Աշխարհը մեծ է։
would modal	քաղաքավարի ձև; կուզենայի	Ես թեյ կուզենայի։
write	գրել	Գրեք ձեր անունը։
writer	գրող	Գրողը այստեղ է ապրում։
writing	գրել; ձեռագիր	Նրա ձեռագիրը պարզ է։
wrong	սխալ	Այս պատասխանը սխալ է։
yeah	այո	Այո, կարող եմ գալ։
year	տարի	Այս տարին լավ է։
yellow	դեղին	Բանանը դեղին է։
yes	այո	Այո, հասկացա։
yesterday	երեկ	Ես երեկ զանգեցի։
you	դու; դուք	Դու իմ ընկերն ես։
young	երիտասարդ; փոքր	Երեխան փոքր է։
your	քո; ձեր	Քո պայուսակը այստեղ է։
yourself	ինքդ; ինքներդ	Թեյը ինքներդ վերցրեք։
