simplified	PT	example_PT
爱情	o amor romântico; o amor	Esta é uma história de amor comovente.
安排	organizar; planear; o plano	Que planos tens para este fim de semana?
安全	seguro; a segurança	Por favor, tem cuidado.
按时	a horas; pontualmente	Terminei a tarefa a horas.
按照	segundo; de acordo com	Este plano é muito bom; basta segui-lo.
百分之	a percentagem; por cento	Oitenta por cento da tarefa está concluída.
棒	fantástico; excelente	A tua caligrafia está fantástica.
包子	o baozi; o pão recheado cozido a vapor	Os baozi deste restaurante são muito bons.
保护	proteger; defender	As pessoas devem proteger o ambiente.
保证	garantir; prometer; a garantia	Prometo que não volto a chegar atrasado.
报名	inscrever-se; registar-se	Que materiais são necessários para a inscrição?
抱	abraçar; pegar ao colo	Ele pegou na criança ao colo.
抱歉	lamento; desculpar-se	Lamento muito ter-te feito esperar tanto tempo.
倍	a vez; o dobro	O número de estudantes internacionais da nossa escola duplicou em relação ao ano passado.
本来	originalmente; em princípio	Eu ia ver a atuação, mas surgiu uma coisa de repente.
笨	tolo; desajeitado	Não és tolo, só precisas de te esforçar mais.
比如	por exemplo; como	Tenho muitos passatempos, por exemplo nadar e ler.
毕业	formar-se; a graduação	Este ano estou no terceiro ano e vou formar-me no próximo ano.
遍	a vez; uma ronda	Ele repetiu o assunto mais uma vez.
标准	o padrão; padrão	O teu mandarim é muito correto.
表格	o formulário; a tabela	Por favor, escreve o teu nome no formulário.
表示	exprimir; mostrar; significar	Por favor, agradece-lhe.
表演	a atuação; atuar	Que atuação vais apresentar?
表扬	elogiar; o elogio	O diretor elogia-o muitas vezes.
饼干	a bolacha; o biscoito	Comprei bolachas; vamos comer algumas.
并且	e além disso; além disso	Ela é muito inteligente e, além disso, trabalha muito.
博士	o doutor; o doutoramento	Permitam-me apresentar: este é o doutor Li.
不过	mas; contudo; apenas	Ele é excelente, mas não cumpre os requisitos de contratação da empresa.
不得不	ter de; não ter outra opção	Fora está a chover muito, por isso tenho de ficar em casa.
不管	não importa; independentemente de	Não importa como esteja o tempo, tenho de subir a montanha.
不仅	não só	Não só já estive naquela cidade, como estive lá muitas vezes.
部分	a parte; a secção	A parte mais importante do artigo é o terceiro parágrafo.
擦	limpar; esfregar; apagar	Já limpei as janelas.
猜	adivinhar	Adivinha que presente de aniversário preparei para ti.
材料	o material; os dados	Que materiais são necessários para a inscrição?
参观	visitar; fazer uma visita	Quero visitar a Grande Muralha no fim de semana.
餐厅	o restaurante; a cantina	Abriu um restaurante novo perto da escola.
厕所	a casa de banho; o WC	A casa de banho dos homens fica no primeiro andar.
差不多	quase; cerca de; mais ou menos	Levanto-me mais ou menos às sete todos os dias.
尝	provar; experimentar	Vem provar os pratos que preparei. Como estão?
长城	a Grande Muralha	Quero visitar a Grande Muralha no fim de semana.
长江	o rio Yangtzé	O Yangtzé é o rio mais longo da China.
场	o evento; o local; classificador para eventos	Esta chuva veio mesmo a tempo.
超过	superar; exceder	Mais de trezentos voos partem daqui todos os dias.
