simplified	RO	example_RO
挨	a îndura	A îndurat toată noaptea și, în cele din urmă, a așteptat zorii.
癌症	un cancer	Depistarea timpurie a cancerului este foarte importantă.
暧昧	ambiguu	Răspunsul lui a fost foarte ambiguu.
爱不释手	a nu se putea despărți de ceva	Îi plăcea atât de mult cartea, încât abia putea să o lase din mână.
爱戴	a iubi și a respecta	Acest profesor este foarte iubit și respectat de elevi.
安宁	liniștit	Nopțile de aici sunt foarte liniștite.
安详	senin	Expresia bătrânului era foarte senină.
安置	a reloca	Guvernul a relocat oamenii afectați de dezastru.
按摩	un masaj	Am rezervat un masaj.
暗示	a sugera	Ea mi-a sugerat să nu mai întreb.
案件	un caz judiciar	Poliția investighează acest caz.
案例	un caz	Acest caz este foarte reprezentativ.
昂贵	scump	Acest echipament este foarte scump.
凹凸	denivelat	Suprafața acestui drum este denivelată.
熬	a îndura	A îndurat trei zile grele înainte să termine raportul.
奥秘	un mister	Savantul vrea să dezvăluie acest mister.
巴不得	a abia aștepta	Abia aștept să plec imediat.
巴结	a linguși	Nu este dispus să-i lingușească pe conducători.
扒	a se agăța de	Copilul s-a agățat de ușă și s-a uitat afară.
疤	o cicatrice	Are o cicatrice pe braț.
拔苗助长	a strica lucrurile prin grabă	A forța copilul să învețe așa nu face decât să strice lucrurile prin grabă.
把关	a verifica	Acest contract trebuie verificat de un avocat.
把手	un mâner	Mânerul ușii s-a stricat.
罢工	o grevă	Muncitorii au decis să intre mâine în grevă.
霸道	dominant	Vorbește prea dominant.
掰	a rupe cu mâinile	Ea a rupt pâinea în două jumătăți.
摆脱	a scăpa de	În cele din urmă, a scăpat de obiceiul rău.
拜访	a vizita	În weekend vom merge să-l vizităm pe profesor.
拜年	a face urări de Anul Nou	De Sărbătoarea Primăverii mergem la bunici să le facem urări de Anul Nou.
拜托	a ruga	Te rog să te ocupi de această chestiune.
败坏	a deteriora	Un astfel de comportament va deteriora reputația companiei.
斑	o pată	Pisica are o pată neagră pe corp.
颁布	a promulga	Noile reguli vor fi promulgate săptămâna viitoare.
颁发	a acorda	Școala a acordat diplome elevilor remarcabili.
版本	o versiune	Acest software are o versiune nouă.
伴侣	un companion	Ea își tratează câinele ca pe propriul companion.
伴随	a însoți	Succesul este adesea însoțit de presiune.
半途而废	a renunța la jumătatea drumului	În cercetare nu poți renunța la jumătatea drumului.
扮演	a interpreta	El interpretează un medic în film.
榜样	un model	Părinții sunt modele pentru copii.
绑架	a răpi	Poliția a împiedicat un caz de răpire.
磅	o livră	Această cutie cântărește douăzeci de livre.
包庇	a acoperi	Nimeni nu are voie să acopere o infracțiune.
包袱	o povară	După ce și-a lăsat povara jos, s-a simțit mult mai relaxat.
包围	a înconjura	Reporterii l-au înconjurat pe actor.
包装	un ambalaj	Ambalajul acestui cadou este foarte frumos.
保管	a păstra	Aceste documente sunt păstrate de mine.
保密	a păstra confidențial	Conținutul ședinței trebuie păstrat confidențial.
保姆	o bonă	Au angajat o bonă.
保守	conservator	Ideile lui sunt relativ conservatoare.
保卫	a apăra	Soldații apără granița.
保养	a întreține	Această mașină are nevoie de întreținere periodică.
保障	a garanta	Legea garantează drepturile cetățenilor.
保重	a avea grijă de sine	Te rog să ai grijă de tine când ești plecat.
饱和	o saturație	Această piață este deja aproape de saturație.
饱经沧桑	trecut prin multe greutăți	Acest bătrân a trecut prin multe greutăți și schimbări.
报酬	o remunerație	A primit o remunerație rezonabilă.
