simplified	BN	example_BN
哎	এই; আরে	এই, তুমি এখানে কীভাবে এলে?
唉	আহ; দীর্ঘশ্বাস	আহ, আমি আবার দেরি করে ফেলেছি।
爱护	যত্ন নেওয়া; রক্ষা করা	আমাদের পরিবেশের যত্ন নেওয়া উচিত।
爱惜	মূল্য দেওয়া; যত্নে ব্যবহার করা	দয়া করে নিজের সময়ের মূল্য দাও।
爱心	মমতা; সহৃদয়তা	সে খুব মমতাময়ী।
安慰	সান্ত্বনা দেওয়া	বন্ধু আমাকে সান্ত্বনা দিয়েছে।
安装	বসানো; ইনস্টল করা	শ্রমিকটি শীতাতপ নিয়ন্ত্রক বসাচ্ছে।
岸	তীর	নৌকাটি ধীরে ধীরে তীরের কাছে যাচ্ছে।
暗	অন্ধকার; ম্লান	ঘরটি খুব অন্ধকার।
熬夜	রাত জাগা	রাত জাগা স্বাস্থ্যের জন্য ভালো নয়।
把握	নিশ্চয়তা; আয়ত্ত	এই কাজটি ভালোভাবে করতে পারব কি না, আমার নিশ্চয়তা নেই।
摆	সাজিয়ে রাখা; রাখা	দয়া করে চেয়ারগুলো পরিপাটি করে সাজিয়ে রাখুন।
办理	সম্পন্ন করা; প্রক্রিয়া করা	আমি ব্যাংকে কিছু কাজ সম্পন্ন করতে যাচ্ছি।
傍晚	সন্ধ্যার দিকে	সন্ধ্যার দিকে আমরা হাঁটতে যাব।
包裹	পার্সেল; প্যাকেট	আমি একটি পার্সেল পেয়েছি।
包含	অন্তর্ভুক্ত করা	দামের মধ্যে সকালের নাশতা অন্তর্ভুক্ত।
包括	অন্তর্ভুক্ত করা; সহ	ফির মধ্যে দুপুরের খাবার অন্তর্ভুক্ত।
薄	পাতলা	এই বইটি খুব পাতলা।
保持	বজায় রাখা; রাখা	দয়া করে শান্ত থাকুন।
保存	সংরক্ষণ করা	দয়া করে এই ফাইলটি সংরক্ষণ করুন।
保留	রাখা; সংরক্ষিত রাখা	দয়া করে আমার জন্য একটি আসন রেখে দিন।
保险	বিমা; নিরাপদ	আমি ভ্রমণ বিমা কিনেছি।
宝贝	ধন; আদরের জিনিস	এটি আমার ধন।
宝贵	মূল্যবান	সময় খুব মূল্যবান।
报到	উপস্থিতি জানানো; নিবন্ধন করা	নতুন শিক্ষার্থীরা আজ স্কুলে নিবন্ধন করতে এসেছে।
