source_headword	ET	example_ET
hunt	otsima	Nad otsivad sügisel seeni.
hurricane	orkaan	Orkaan kahjustas palju kodusid.
hurry	kiire	Täna pole kiiret.
identity	identiteet	Tema identiteet jäi saladuseks.
ignore	eirama	Ära eira seda hoiatust.
illegal	ebaseaduslik	Siin parkimine on ebaseaduslik.
imaginary	kujuteldav	Loos on kujuteldav saar.
immediate	kohene	Vajame kohest vastust.
immigrant	immigrant	Immigrant õppis kiiresti inglise keelt.
impact	mõju	Uudisel oli tugev mõju.
import	importima	Riik impordib rohkem riisi.
importance	tähtsus	Ta mõistis une tähtsust.
impression	mulje	Tema esimene mulje oli positiivne.
impressive	muljetavaldav	Muuseumil on muljetavaldav sissepääs.
improvement	paranemine	Sel kuul oli selge paranemine.
incredibly	uskumatult	Test oli uskumatult raske.
indeed	tõepoolest	See oli tõepoolest kummaline päev.
indicate	näitama	Märk näitab väljapääsu.
indirect	kaudne	Ta andis kaudse vastuse.
indoor	sise-	Hotellis on sisebassein.
indoors	toas	Me jäime tormi ajal tuppa.
influence	mõju	Tema õpetajal oli tugev mõju.
ingredient	koostisosa	Jahu on peamine koostisosa.
injure	vigastama	Ära vigasta oma selga.
injured	vigastatud	Vigastatud mängija lahkus väljakult.
innocent	süütu	Laps näis täiesti süütu.
intelligence	intelligentsus	Ta näitas klassis suurt intelligentsust.
intend	kavatsema	Kavatsen välismaal õppida.
intention	kavatsus	Tema kavatsus oli aidata.
invest	investeerima	Nad investeerivad raha haridusse.
investigate	uurima	Politsei uurib õnnetust.
involved	seotud	Mitmed õpilased olid seotud.
iron	raud	Värav on rauast.
issue	probleem	See on tõsine probleem.
IT	IT	Ta töötab IT-s.
journal	päevik	Ta kirjutab päevikusse.
judge	kohtunik	Kohtunik kuulas tähelepanelikult.
keen	innukas	Ta on innukas õppima.
keyboard	klaviatuur	Minu klaviatuur lakkas töötamast.
kick	lööma	Löö palli õrnalt.
killing	tapmine	Tapmine šokeeris küla.
kind (caring)	lahke	See oli lahke tegu.
kiss	suudlus	Ta andis beebile suudluse.
label	silt	Loe silti enne kasutamist.
laboratory	labor	Labor on täna suletud.
lack	puudus	Unepuudus kahjustab mälu.
latest	uusim	Kas oled lugenud uusimat aruannet?
lay	asetama	Aseta raamat lauale.
layer	kiht	Lisa veel üks värvikiht.
leading	juhtiv	Ta on juhtiv teadlane.
leaf	leht	Leht langes mu mantlile.
leather	nahk	Tema kott on nahast.
legal	juriidiline	Vajame juriidilist nõu.
leisure	vaba aeg	Lugemine on mu lemmik vaba aja tegevus.
length	pikkus	Mõõda toa pikkust.
lie2 (tell a lie)	valetama	Ära valeta oma vanematele.
limit	piirang	Kiiruspiirang on viiskümmend.
lip	huul	Ta hammustas huult.
liquid	vedelik	Vesi on selge vedelik.
literature	kirjandus	Ta õpib prantsuse kirjandust.
live2	otse	Bänd mängis eile õhtul otse.
living	elav	Elavad taimed vajavad valgust.
locate	leidma	Kas sa leiad faili üles?
located	asuma	Kontor asub kesklinnas.
location	asukoht	See on hea asukoht.
lonely	üksildane	Ta tundis end pärast kolimist üksildasena.
loss	kaotus	Kaotus oli kõigile raske.
luxury	luksus	Hotell pakub tõelist luksust.
mad	vihane	Ta oli viivituse pärast vihane.
magic	maagia	Etendus oli täis maagiat.
mainly	peamiselt	Rühm koosneb peamiselt õpilastest.
mall	kaubanduskeskus	Kohtusime kaubanduskeskuses.
management	juhtimine	Hea juhtimine säästab aega.
marketing	turundus	Turundus aitab toodet müüa.
marriage	abielu	Nende abielu kestis kolmkümmend aastat.
meanwhile	samal ajal	Samal ajal valmistasin õhtusööki.
measure	mõõtma	Mõõda lauda hoolikalt.
medium	keskmine	Tellisin keskmise pitsa.
mental	vaimne	Stress mõjutab vaimset tervist.
mess	segadus	Korista see segadus ära.
mild	mahe	Supil on mahe maitse.
mine (hole in the ground)	kaevandus	Kaevandus suleti eelmisel aastal.
mix	segama	Sega munad piimaga.
mixture	segu	Segu muutus paksuks.
mood	meeleolu	Muusika muutis tema meeleolu.
mud	muda	Tema kingad olid mudaga kaetud.
murder	mõrv	Mõrv toimus öösel.
muscle	lihas	Treening kasvatab lihaseid.
mystery	mõistatus	Vana maja on mõistatus.
nail	küüs	Murdsin küüne.
narrative	jutustus	Romaanil on selge jutustus.
nation	rahvas	Kogu rahvas tähistas.
native	emakeelne	Hispaania keel on tema emakeel.
naturally	loomulikult	Lapsed õpivad mängu kaudu loomulikult.
necessarily	tingimata	Kallis toit ei ole tingimata parem.
needle	nõel	Nõel on väga terav.
neighbourhood	naabruskond	Nad elavad vaikses naabruskonnas.
net	võrk	Kalur parandas oma võrku.
nor	ega	Ta ei naeratanud ega rääkinud.
northern	põhjapoolne	Nad külastasid põhjapoolset rannikut.
nuclear	tuuma-	Arutelu käis tuumaenergia üle.
obvious	ilmne	Vastus oli ilmne.
obviously	ilmselgelt	Ilmselgelt vajame rohkem aega.
occasion	sündmus	See on eriline sündmus.
occur	juhtuma	Õnnetusi võib juhtuda kõikjal.
odd	veider	See oli veider küsimus.
official	ametlik	Ametlik tulemus saabus täna.
old-fashioned	vanamoodne	Tema telefon näeb vanamoodne välja.
operation	operatsioon	Operatsioon kestis kaks tundi.
organized	korrastatud	Tema laud on väga korrastatud.
organizer	korraldaja	Korraldaja tervitas külalisi.
originally	algselt	Ta tuli algselt Kanadast.
ought modal	peaks	Sa peaksid puhkama.
ours	meie oma	See laud on meie oma.
outdoor	väli-	Ostime välimööblit.
outdoors	õues	Lapsed peaksid õues mängima.
package	pakk	Pakk saabus täna hommikul.
painful	valus	Lõige oli valus.
pale	kahvatu	Tema nägu näis kahvatu.
pan	pann	Kuumuta pann kõigepealt.
participate	osalema	Kõik saavad osaleda.
particularly	eriti	Mulle meeldib eriti see laul.
passion	kirg	Muusika on tema kirg.
path	rada	Järgi rada läbi pargi.
payment	makse	Makse tähtaeg on homme.
peaceful	rahulik	Aed on rahulik.
percentage	protsent	Väike protsent nõustus.
