source_headword	MY	example_MY
crawl	တွားသွားသည်	ကလေးသည် ကော်ဇောပေါ်တွင် စတင်တွားသွားခဲ့သည်။
creator	ဖန်တီးသူ	ဖန်တီးသူသည် သူတို့၏ပံ့ပိုးမှုအတွက် အားလုံးကို ကျေးဇူးတင်ခဲ့သည်။
credibility	ယုံကြည်ရမှု	စစ်ဆေးမေးမြန်းနေစဉ်အတွင်း သက်သေသည် ယုံကြည်ရမှုကို ဆုံးရှုံးခဲ့သည်။
credible	ယုံကြည်နိုင်လောက်သော	အစီရင်ခံစာသည် ယုံကြည်နိုင်လောက်သော သက်သေအထောက်အထားကို ပေးစွမ်းခဲ့သည်။
creep	တိုးဝင်လာသည်	မြူနှင်းများသည် တောင်ကြားတစ်လျှောက် တိုးဝင်လာခဲ့သည်။
critique	ဝေဖန်သုံးသပ်ချက်	ပါမောက္ခသည် အသေးစိတ် ဝေဖန်သုံးသပ်ချက်ကို ပေးခဲ့သည်။
crown	သရဖူ	ဘုရင်မသည် ငွေသရဖူကို ဆောင်းထားသည်။
crude	ကြမ်းတမ်းသော	ပုံဆွဲခြင်းသည် ကြမ်းတမ်းသော်လည်း ရှင်းလင်းသည်။
crush	ချေမွသည်	လေးလံသောကျောက်တုံးများသည် ပိုက်ကို ချေမွနိုင်သည်။
crystal	ပုံဆောင်ခဲ	ပုံဆောင်ခဲသည် နံနက်ခင်းအလင်းရောင်ကို ရောင်ပြန်ဟပ်နေသည်။
cult	ဂိုဏ်း	ဂိုဏ်းသည် ၎င်း၏အဖွဲ့ဝင်များကို အထီးကျန်စေခဲ့သည်။
cultivate	စိုက်ပျိုးသည်	လယ်သမားများသည် ဤဒေသတွင် စပါးစိုက်ပျိုးကြသည်။
curiosity	စူးစမ်းလိုစိတ်	စူးစမ်းလိုစိတ်က သူမကို သိပ္ပံပညာသို့ ရောက်ရှိစေခဲ့သည်။
custody	အုပ်ထိန်းခွင့်	ကလေးသည် ဖခင်၏ အုပ်ထိန်းမှုအောက်တွင် ကျန်ရှိနေခဲ့သည်။
cutting	သတင်းစာဖြတ်ပိုင်း	သတင်းစာသည် သူ၏အကြောင်း သတင်းစာဖြတ်ပိုင်းတစ်ခုကို ဖော်ပြခဲ့သည်။
cynical	အဆိုးမြင်သော	သူ၏ အဆိုးမြင်သောမှတ်ချက်က အဖွဲ့ကို စိတ်အနှောင့်အယှက်ဖြစ်စေခဲ့သည်။
dam	ဆည်	ဆည်သည် မြစ်ရေကို တားဆီးထားသည်။
damaging	ပျက်စီးစေသော	ပျက်စီးစေသော ဆောင်းပါးသည် မဲဆွယ်စည်းရုံးရေးကို ထိခိုက်စေခဲ့သည်။
dawn	အရုဏ်တက်ချိန်	ကျွန်ုပ်တို့သည် အရုဏ်တက်ချိန်တွင် ရွာမှ ထွက်ခွာခဲ့ကြသည်။
debris	အပျက်အစီးများ	မုန်တိုင်းအပျက်အစီးများသည် လမ်းကို ပိတ်ဆို့သွားစေသည်။
debut	ပွဲဦးထွက်	သူမ၏ ပွဲဦးထွက်သည် တစ်နိုင်ငံလုံး၏ အာရုံစိုက်မှုကို ရရှိခဲ့သည်။
decision-making	ဆုံးဖြတ်ချက်ချခြင်း	ကောင်းမွန်သော ဆုံးဖြတ်ချက်ချခြင်းအတွက် ရှင်းလင်းသော အချက်အလက်များ လိုအပ်သည်။
decisive	ပြတ်သားသော	သူမ၏ ပြတ်သားသောလုပ်ရပ်က နောက်ထပ်ပျက်စီးမှုများကို ကာကွယ်ပေးခဲ့သည်။
declaration	ကြေညာချက်	ဝန်ကြီးက တရားဝင်ကြေညာချက်ကို ဖတ်ကြားခဲ့သည်။
dedicated	စေတနာပါသော	စေတနာပါသော သူနာပြုသည် ညလုံးပေါက် အလုပ်လုပ်ခဲ့သည်။
dedication	စိတ်အားထက်သန်မှု	သူ၏ စိတ်အားထက်သန်မှုက လူငယ်ကစားသမားများကို စိတ်ခွန်အားဖြစ်စေခဲ့သည်။
deed	လုပ်ရပ်	သတ္တိရှိသောလုပ်ရပ်သည် အသက်နှစ်ချောင်းကို ကယ်တင်ခဲ့သည်။
deem	မှတ်ယူသည်	တရားရုံးသည် စာချုပ်ကို တရားမဝင်ဟု မှတ်ယူနိုင်သည်။
default	မူလသတ်မှတ်ချက်	လောလောဆယ်တွင် မူလသတ်မှတ်ချက်ကို အသုံးပြုပါ။
