source_headword	PT-BR	example_PT-BR
rock (music)	o rock	Eu gosto de rock.
role	o papel	O papel dela é importante.
roof	o telhado	O telhado precisa de conserto.
round	redondo	A mesa é redonda.
route	a rota	Esta rota é mais curta.
rubbish	o lixo	Coloque o lixo para fora.
rude	rude	Esse comentário foi rude.
runner	o corredor	O corredor parece cansado.
running	a corrida	A corrida me mantém saudável.
sadly	infelizmente	Infelizmente, perdemos o trem.
safe	seguro	Esta rua parece segura.
sail	velejar	Vamos velejar no sábado.
sailing	a vela	A vela é popular aqui.
salary	o salário	O salário dela é maior agora.
sale	a promoção	A promoção começa amanhã.
sauce	o molho	Coloque molho no arroz.
save	salvar	Salve seu trabalho agora.
scared	assustado	A criança está assustada.
scary	assustador	Esta história é assustadora.
scene	a cena	A última cena foi engraçada.
schedule	o cronograma	Confira o cronograma hoje.
score	o placar	Qual é o placar?
screen	a tela	Limpe a tela com cuidado.
search	procurar	Procure fotos na web.
season	a temporada	O verão é uma temporada movimentada.
seat	o assento	Por favor, pegue este assento.
second1 (next after the first)	segundo	Segundo, lave as mãos.
secondly	em segundo lugar	Em segundo lugar, confira sua resposta.
secret	o segredo	Guarde este segredo.
secretary	o secretário	O secretário ligou hoje.
seem	parecer	Você parece cansado.
sense	o sentido	Este plano faz sentido.
separate	separado	Mantenha os papéis separados.
series	a série	Esta série é popular.
serious	sério	Este problema é sério.
serve	servir	Eles servem comida ao meio-dia.
service	o serviço	O serviço foi rápido.
several	vários	Vários alunos chegaram cedo.
shake	agitar	Agite a garrafa primeiro.
shall modal	vamos começar?	Vamos começar agora?
shape	a forma	Desenhe uma forma quadrada.
sheet	o lençol	Coloque o lençol na cama.
ship	o navio	O navio parte hoje.
shoulder	o ombro	Meu ombro dói.
shout	gritar	Não grite na sala.
shut	fechar	Por favor, feche a janela.
side	o lado	Sente-se deste lado.
sign	a placa	Leia a placa com cuidado.
silver	a prata	A prata é um metal brilhante.
simple	simples	Este exercício é simples.
since	desde	Estou esperando desde o meio-dia.
singing	o canto	O canto me relaxa.
single	único	Comprei um ingresso único.
sir	o senhor	Senhor, sua bolsa está pronta.
site	o site	Este site é seguro.
size	o tamanho	Que tamanho você precisa?
ski	esquiar	Nós esquiamos no inverno.
skiing	o esqui	Esquiar no inverno é divertido.
skin	a pele	A pele dela parece seca.
sky	o céu	O céu está claro.
slowly	devagar	Ande devagar no gelo.
smartphone	o celular	Meu celular é novo.
smell	cheirar	A sopa cheira bem.
smile	sorrir	Sorria para a câmera.
smoke	a fumaça	A fumaça encheu a sala.
smoking	o fumo	Fumar é proibido.
soap	o sabão	Use sabão e água.
soccer	o futebol	O futebol é popular aqui.
social	social	Este é um evento social.
society	a sociedade	A sociedade muda com o tempo.
sock	a meia	Uma meia está faltando.
soft	macio	Este cobertor é macio.
soldier	o soldado	O soldado voltou para casa.
solution	a solução	Encontramos uma solução.
solve	resolver	Resolva este quebra-cabeça.
somewhere	em algum lugar	Coloque isso em algum lugar seguro.
sort	o tipo	Que tipo você quer?
source	a fonte	Verifique a fonte primeiro.
speaker	o palestrante	O palestrante falou alto.
specific	específico	Precisamos de uma resposta específica.
speech	o discurso	O discurso dela foi curto.
speed	a velocidade	Reduza a velocidade aqui.
spider	a aranha	Há uma aranha na parede.
spoon	a colher	Use uma colher para a sopa.
square	o quadrado	Desenhe uma caixa quadrada.
stage	o palco	A banda está no palco.
stair	o degrau	O degrau está quebrado.
stamp	o selo	Cole o selo na carta.
state	declarar	Declare seu nome claramente.
steal	roubar	Não roube dinheiro.
step	o passo	Dê um passo à frente.
stomach	o estômago	Meu estômago dói.
stone	a pedra	A pedra é pesada.
store	a loja	A loja fecha cedo.
storm	a tempestade	Uma tempestade está chegando.
straight	direto	Vá direto para casa.
strange	estranho	Este som é estranho.
strategy	a estratégia	Precisamos de uma estratégia.
stress	o estresse	O trabalho pode causar estresse.
structure	a estrutura	Esta estrutura é forte.
stupid	bobo	Foi um erro bobo.
succeed	ter sucesso	Você pode ter sucesso aqui.
successful	bem-sucedido	Ela foi bem-sucedida.
such	assim	Ajuda assim é útil.
suddenly	de repente	De repente, o cachorro correu.
suggest	sugerir	Sugiro uma pausa curta.
suggestion	a sugestão	Sua sugestão é útil.
suit	o terno	Este terno é caro.
support	apoiar	Apoiamos nosso time.
suppose	supor	Suponho que você esteja certo.
surprise	a surpresa	A surpresa a deixou feliz.
surprised	surpreso	Ela ficou surpresa hoje.
surprising	surpreendente	O resultado foi surpreendente.
survey	a pesquisa	Por favor, complete a pesquisa.
sweet	doce	Este chá é doce.
symbol	o símbolo	Este símbolo significa perigo.
system	o sistema	O sistema funciona bem.
tablet	o tablet	Meu tablet está na mesa.
target	o alvo	Acerte o alvo com cuidado.
task	a tarefa	Esta tarefa é fácil.
taste	provar	Prove a sopa primeiro.
teaching	o ensino	O ensino é um trabalho difícil.
technology	a tecnologia	A tecnologia muda rapidamente.
teenage	adolescente	Meu irmão adolescente estuda muito.
temperature	a temperatura	A temperatura está baixa.
term	o semestre	Este semestre acaba logo.
themselves	eles mesmos	Eles cozinharam o jantar eles mesmos.
thick	grosso	Este livro é grosso.
thief	o ladrão	O ladrão fugiu.
thin	fino	O papel é fino.
thinking	o pensamento	Pensar leva tempo.
thought	o pensamento	Tive um pensamento estranho.
throw	jogar	Jogue a bola com cuidado.
tidy	arrumado	Mantenha seu quarto arrumado.
tie	amarrar	Amarre seus sapatos agora.
tip	a gorjeta	Deixe uma gorjeta pelo serviço.
tool	a ferramenta	Use a ferramenta certa.
top	o topo	A prateleira de cima está cheia.
touch	tocar	Não toque no vidro.
tour	o passeio	Fizemos um passeio pela cidade.
tourism	o turismo	O turismo ajuda esta cidade.
towards	em direção a	Ande em direção à estação.
towel	a toalha	Traga uma toalha limpa.
tower	a torre	A torre é muito antiga.
toy	o brinquedo	O brinquedo de carro é vermelho.
track	a trilha	A trilha vai para o norte.
tradition	a tradição	Esta tradição é antiga.
traditional	tradicional	Ela usou roupas tradicionais.
trainer	o treinador	Meu treinador ajuda muito.
training	o treino	O treino começa amanhã.
transport	o transporte	O transporte público atrasou.
traveller	o viajante	O viajante pediu ajuda.
trouble	o problema	Tivemos um problema ontem.
truck	o caminhão	O caminhão está lá fora.
twin	o gêmeo	Minha irmã gêmea é mais alta.
typical	típico	Este é um dia típico.
underground	subterrâneo	O trem passa no subterrâneo.
understanding	a compreensão	Sua compreensão está correta.
unfortunately	infelizmente	Infelizmente, a loja está fechada.
unhappy	infeliz	Ela parece infeliz.
uniform	o uniforme	Ela usa uniforme escolar.
unit	a unidade	Esta unidade é pequena.
united	unido	O time permaneceu unido.
unusual	incomum	Este som é incomum.
used to modal	costumava	Nós costumávamos morar aqui.
user	o usuário	Cada usuário tem um número.
usual	habitual	Peguei meu assento habitual.
valley	o vale	O vale é verde.
van	a van	A van está cheia.
variety	a variedade	Precisamos de mais variedade.
vehicle	o veículo	Este veículo é lento.
view	a vista	A vista é bonita.
virus	o vírus	Um vírus o deixou doente.
voice	a voz	A voz dela é baixa.
war	a guerra	A guerra acabou anos atrás.
washing	a roupa para lavar	A roupa para lavar está lá fora.
wave	a onda	Uma onda bateu no barco.
weak	fraco	Minhas pernas parecem fracas.
web	a web	A página da web está aberta.
wedding	o casamento	O casamento começa em breve.
weight	o peso	Confira o peso primeiro.
wet	molhado	Meus sapatos estão molhados.
wheel	a roda	A roda está quebrada.
while	um tempo	Espere aqui por um tempo.
whole	inteiro	Comi a maçã inteira.
whose	de quem	De quem é este telefone?
wide	largo	A estrada é larga.
wild	selvagem	Animais selvagens vivem aqui.
wind1	o vento	O vento está forte.
winner	o vencedor	O vencedor sorriu.
wish	o desejo	Faça um desejo.
wood	a madeira	A cadeira é feita de madeira.
wooden	de madeira	A caixa de madeira é pesada.
working	o trabalho	O dia de trabalho acabou.
worried	preocupado	Estou preocupado hoje.
worry	preocupar-se	Não se preocupe agora.
worse	pior	Esta dor está pior.
worst	o pior	Este foi o pior dia.
wow	uau	Uau, isso é ótimo!
yet	ainda	Já chegamos lá?
yours	seu	Este livro é seu.
zero	o zero	Conte de volta até zero.
