source_headword	ML	example_ML
prey	ഇര	മൂങ്ങകൾ രാത്രിയിൽ ഇര തേടുന്നു.
privatization	സ്വകാര്യവൽക്കരണം	സ്വകാര്യവൽക്കരണം റെയിൽ സംവിധാനത്തിൽ മാറ്റംവരുത്തി.
privilege	പ്രത്യേക അവകാശം	വിദ്യാഭ്യാസം ഒരു പ്രത്യേക അവകാശമാകരുത്.
probe	അന്വേഷണം	അന്വേഷണം ഗുരുതരമായ പിഴവുകൾ വെളിപ്പെടുത്തി.
problematic	പ്രശ്നകരമായ	കരാർ ഇപ്പോഴും പ്രശ്നകരമായി തുടരുന്നു.
proceedings	നടപടികൾ	കോടതി നടപടികൾ തിങ്കളാഴ്ച ആരംഭിച്ചു.
proceeds	വരുമാനം	വരുമാനം പ്രാദേശിക സ്കൂളുകളെ സഹായിക്കും.
processing	പ്രോസസ്സിംഗ്	ചിത്ര പ്രോസസ്സിംഗിന് സമയമെടുക്കും.
processor	പ്രോസസർ	പരിശോധനയ്ക്കിടെ പ്രോസസർ തകരാറിലായി.
proclaim	പ്രഖ്യാപിക്കുക	നേതാക്കൾ വളരെ നേരത്തെ വിജയം പ്രഖ്യാപിക്കുന്നു.
productive	ഉൽപ്പാദനക്ഷമമായ	മീറ്റിംഗ് ഉൽപ്പാദനക്ഷമമായിരുന്നു.
productivity	ഉൽപ്പാദനക്ഷമത	പരിശീലനത്തിനുശേഷം ഉൽപ്പാദനക്ഷമത മെച്ചപ്പെട്ടു.
profitable	ലാഭകരമായ	ഷോപ്പ് ഈ വർഷം ലാഭകരമായി.
profound	അഗാധമായ	പ്രസംഗം അഗാധമായ സ്വാധീനം ചെലുത്തി.
projection	പ്രവചനം	പ്രവചനം സ്ഥിരമായ വളർച്ച കാണിക്കുന്നു.
prominent	പ്രമുഖമായ	അവർ ഒരു പ്രമുഖ ശാസ്ത്രജ്ഞയായി.
pronounced	വ്യക്തമായ	അദ്ദേഹത്തിന്റെ ഉച്ചാരണം കൂടുതൽ വ്യക്തമായി.
propaganda	പ്രചാരണം	ക്യാമ്പയിൻ ഓൺലൈനിൽ പ്രചാരണം ഉപയോഗിച്ചു.
proposition	നിർദ്ദേശം	നിർദ്ദേശം ഒരു അപകടസാധ്യതയുള്ള കാര്യമാണ്.
prosecute	നിയമനടപടി സ്വീകരിക്കുക	ഗുരുതരമായ തട്ടിപ്പ് കേസുകളിൽ ഉദ്യോഗസ്ഥർ നിയമനടപടി സ്വീകരിക്കുന്നു.
prosecution	പ്രോസിക്യൂഷൻ	പ്രോസിക്യൂഷൻ പുതിയ തെളിവുകൾ ഹാജരാക്കി.
prosecutor	പ്രോസിക്യൂട്ടർ	പ്രോസിക്യൂട്ടർ സാക്ഷിയെ ചോദ്യം ചെയ്തു.
prospective	വരാനിരിക്കുന്ന	വരാനിരിക്കുന്ന വിദ്യാർത്ഥികൾ കാമ്പസ് സന്ദർശിച്ചു.
prosperity	സമൃദ്ധി	വ്യാപാരം ഈ പ്രദേശത്ത് സമൃദ്ധി കൊണ്ടുവന്നു.
protective	സംരക്ഷണമായ	അവൾ സംരക്ഷണ ഗ്ലൗസുകൾ ധരിച്ചിരുന്നു.
protocol	പ്രോട്ടോക്കോൾ	പ്രോട്ടോക്കോളിന് രേഖാമൂലമുള്ള അനുമതി ആവശ്യമാണ്.
province	പ്രവിശ്യ	പ്രവിശ്യ ഗതാഗതത്തിൽ നിക്ഷേപം നടത്തി.
provincial	പ്രവിശ്യാതലത്തിലുള്ള	പ്രവിശ്യാ ഉദ്യോഗസ്ഥർ പദ്ധതി പ്രഖ്യാപിച്ചു.
provision	വ്യവസ്ഥ	കരാറിൽ ഒരു സുരക്ഷാ വ്യവസ്ഥ ഉൾപ്പെടുന്നു.
provoke	പ്രകോപിപ്പിക്കുക	പ്രസംഗം ശക്തമായ പ്രതികരണങ്ങളെ പ്രകോപിപ്പിച്ചേക്കാം.
psychiatric	മാനസികരോഗസംബന്ധമായ	ആശുപത്രി ഒരു മാനസികരോഗ വിഭാഗം തുറന്നു.
pulse	നാഡിമിടിപ്പ്	നഴ്സ് അവന്റെ നാഡിമിടിപ്പ് പരിശോധിച്ചു.
pump	പമ്പ്	പമ്പ് വെള്ളം മുകളിലേക്ക് മാറ്റുന്നു.
punch	ഇടിക്കുക	അവൻ ദേഷ്യത്തിൽ ഒരിടി ഇടിച്ചു.
query	ചോദ്യം	നിങ്ങളുടെ അന്വേഷണം സപ്പോർട്ടിലേക്ക് അയയ്ക്കുക.
quest	അന്വേഷണം	നീതിക്കുവേണ്ടിയുള്ള അവരുടെ അന്വേഷണം തുടർന്നു.
quota	ക്വാട്ട	ടീം അതിന്റെ വിൽപ്പന ക്വാട്ട തികച്ചു.
radar	റഡാർ	റഡാറിൽ കൊടുങ്കാറ്റ് പ്രത്യക്ഷപ്പെട്ടു.
radical	തീവ്രമായ	ഗ്രൂപ്പ് തീവ്രമായ പരിഷ്കാരങ്ങൾ നിർദ്ദേശിച്ചു.
rage	കടുത്ത ദേഷ്യം	അവന്റെ ദേഷ്യം വേഗത്തിൽ മാഞ്ഞുപോയി.
raid	റെയ്ഡ്	പോലീസ് പുലർച്ചെ റെയ്ഡ് നടത്തി.
rally	റാലി	പിന്തുണയ്ക്കുന്നവർ നഗരമധ്യത്തിലെ റാലിയിൽ പങ്കെടുത്തു.
ranking	റാങ്കിംഗ്	സർവ്വകലാശാല അതിന്റെ റാങ്കിംഗ് മെച്ചപ്പെടുത്തി.
rape	ബലാത്സംഗം	ബലാത്സംഗ കേസുകൾക്ക് സൂക്ഷ്മമായ അന്വേഷണം ആവശ്യമാണ്.
ratio	അനുപാതം	ക്ലാസ്സിൽ അധ്യാപകരുടെ അനുപാതം കുറവാണ്.
rational	യുക്തിസഹമായ	അവളുടെ തീരുമാനം യുക്തിസഹമായിരുന്നു.
ray	കിരണം	ഒരു സൂര്യപ്രകാശം ഉള്ളിലേക്ക് കടന്നു.
