source_headword	KM	example_KM
rock (music)	តន្ត្រីរ៉ុក	ខ្ញុំស្រឡាញ់តន្ត្រីរ៉ុក។
role	តួនាទី	តួនាទីរបស់នាងសំខាន់។
roof	ដំបូល	ដំបូលត្រូវការជួសជុល។
round	មូល	តុនេះមូល។
route	ផ្លូវ	ផ្លូវនេះខ្លីជាង។
rubbish	សំរាម	ដាក់សំរាមនៅខាងក្រៅ។
rude	អសុភាព	មតិនោះអសុភាព។
runner	អ្នករត់	អ្នករត់មើលទៅហត់។
running	ការរត់	ការរត់ជួយឱ្យខ្ញុំមានសុខភាពល្អ។
sadly	គួរឱ្យសោកស្តាយ	គួរឱ្យសោកស្តាយពួកយើងខករថភ្លើង។
safe	សុវត្ថិភាព	ផ្លូវនេះមានអារម្មណ៍ថាសុវត្ថិភាព។
sail	បើកទូកក្តោង	យើងបើកទូកក្តោងនៅថ្ងៃសៅរ៍។
sailing	ការបើកទូកក្តោង	ការបើកទូកក្តោងពេញនិយមនៅទីនេះ។
salary	ប្រាក់ខែ	ប្រាក់ខែរបស់គាត់ខ្ពស់ជាងមុនឥឡូវនេះ។
sale	ការលក់បញ្ចុះតម្លៃ	ការលក់បញ្ចុះតម្លៃចាប់ផ្តើមថ្ងៃស្អែក។
sauce	ទឹកជ្រលក់	បន្ថែមទឹកជ្រលក់លើបាយ។
save	រក្សាទុក	រក្សាទុកការងាររបស់អ្នកឥឡូវនេះ។
scared	ភ័យខ្លាច	ក្មេងមានអារម្មណ៍ភ័យខ្លាច។
scary	គួរឱ្យខ្លាច	រឿងនេះគួរឱ្យខ្លាច។
scene	ឈុត	ឈុតចុងក្រោយគួរឱ្យអស់សំណើច។
schedule	កាលវិភាគ	ពិនិត្យកាលវិភាគថ្ងៃនេះ។
score	ពិន្ទុ	តើពិន្ទុប៉ុន្មាន?
screen	អេក្រង់	សម្អាតអេក្រង់ដោយប្រុងប្រយ័ត្ន។
search	ស្វែងរក	ស្វែងរករូបថតលើបណ្តាញ។
season	រដូវ	រដូវក្តៅជារដូវមមាញឹក។
seat	កៅអី	សូមយកកៅអីនេះ។
second1 (next after the first)	ទីពីរ	ទីពីរលាងដៃរបស់អ្នក។
secondly	ទីពីរ	ទីពីរពិនិត្យចម្លើយរបស់អ្នក។
secret	អាថ៌កំបាំង	រក្សាអាថ៌កំបាំងនេះឱ្យសុវត្ថិភាព។
secretary	លេខា	លេខាបានទូរស័ព្ទថ្ងៃនេះ។
seem	ហាក់ដូចជា	អ្នកហាក់ដូចជាហត់។
sense	អត្ថន័យ	ផែនការនេះមានអត្ថន័យ។
separate	ដាច់ដោយឡែក	រក្សាក្រដាសឱ្យដាច់ដោយឡែក។
series	ស៊េរី	ស៊េរីនេះពេញនិយម។
serious	ធ្ងន់ធ្ងរ	បញ្ហានេះធ្ងន់ធ្ងរ។
serve	បម្រើ	ពួកគេបម្រើអាហារថ្ងៃត្រង់នៅថ្ងៃត្រង់។
service	សេវាកម្ម	សេវាកម្មលឿន។
several	ជាច្រើន	សិស្សជាច្រើនមកដល់មុន។
shake	អង្រួន	អង្រួនដបមុន។
shall modal	គួរតែ	តើយើងគួរចាប់ផ្តើមឥឡូវនេះទេ?
shape	រូបរាង	គូររូបរាងការ៉េមួយ។
sheet	សន្លឹកក្រណាត់	ដាក់សន្លឹកក្រណាត់លើគ្រែ។
ship	កប៉ាល់	កប៉ាល់ចេញទៅថ្ងៃនេះ។
shoulder	ស្មា	ស្មារបស់ខ្ញុំឈឺ។
shout	ស្រែក	កុំស្រែកក្នុងថ្នាក់។
shut	បិទ	សូមបិទបង្អួច។
side	ខាង	អង្គុយខាងនេះ។
sign	ស្លាកសញ្ញា	អានស្លាកសញ្ញាដោយប្រុងប្រយ័ត្ន។
silver	ប្រាក់	ប្រាក់ជាលោហៈភ្លឺ។
simple	សាមញ្ញ	លំហាត់នេះសាមញ្ញ។
since	តាំងពី	ខ្ញុំបានរង់ចាំតាំងពីថ្ងៃត្រង់។
singing	ការច្រៀង	ការច្រៀងជួយឱ្យខ្ញុំសម្រាក។
single	តែមួយ	ខ្ញុំបានទិញសំបុត្រតែមួយ។
sir	លោក	លោកកាបូបរបស់លោករួចរាល់ហើយ។
site	គេហទំព័រ	គេហទំព័រនេះសុវត្ថិភាព។
size	ទំហំ	អ្នកត្រូវការទំហំណា?
ski	ជិះស្គី	យើងជិះស្គីក្នុងរដូវរងា។
skiing	ការជិះស្គី	ការជិះស្គីសប្បាយក្នុងរដូវរងា។
skin	ស្បែក	ស្បែករបស់នាងស្ងួត។
sky	មេឃ	មេឃស្រឡះ។
slowly	យឺតៗ	ដើរយឺតៗលើទឹកកក។
smartphone	ស្មាតហ្វូន	ស្មាតហ្វូនរបស់ខ្ញុំថ្មី។
smell	ក្លិន	ស៊ុបមានក្លិនឆ្ងាញ់។
smile	ញញឹម	ញញឹមសម្រាប់កាមេរ៉ា។
smoke	ផ្សែង	ផ្សែងបានពេញបន្ទប់។
smoking	ការជក់បារី	មិនអនុញ្ញាតឱ្យជក់បារីទេ។
soap	សាប៊ូ	ប្រើសាប៊ូនិងទឹក។
soccer	បាល់ទាត់	បាល់ទាត់ពេញនិយមនៅទីនេះ។
social	សង្គម	នេះជាព្រឹត្តិការណ៍សង្គម។
society	សង្គម	សង្គមផ្លាស់ប្តូរតាមពេលវេលា។
sock	ស្រោមជើង	ស្រោមជើងមួយបាត់។
soft	ទន់	ភួយនេះទន់។
soldier	ទាហាន	ទាហានបានត្រឡប់ផ្ទះ។
solution	ដំណោះស្រាយ	យើងបានរកឃើញដំណោះស្រាយ។
solve	ដោះស្រាយ	ដោះស្រាយល្បែងផ្គុំរូបនេះ។
somewhere	កន្លែងណាមួយ	ដាក់វានៅកន្លែងណាមួយដែលសុវត្ថិភាព។
sort	ប្រភេទ	អ្នកចង់បានប្រភេទណា?
source	ប្រភព	ពិនិត្យប្រភពមុន។
