source_headword	SV	example_SV
institute	ett institut	Institutet öppnade ett nytt forskningsprogram.
institution	en institution	Institutionen ändrade sina antagningsregler.
insurance	en försäkring	Hennes försäkring täckte sjukhuskostnaderna.
intended	avsedd	Meddelandet nådde sin avsedda publik.
intense	intensiv	Debatten blev snabbt intensiv.
internal	intern	Företaget startade en intern granskning.
interpret	tolka	Vänligen tolka resultaten noggrant.
interrupt	avbryta	Avbryt inte talaren nu.
investigation	en utredning	Utredningen avslöjade allvarliga misstag.
investment	en investering	Investeringen skapade många lokala jobb.
joy	en glädje	Deras framgång medförde stor glädje.
judgement	ett omdöme	Hans omdöme förbättrades med erfarenhet.
junior	junior	Hon gick med i teamet som junior analytiker.
justice	en rättvisa	Familjen krävde rättvisa efter rättegången.
justify	rättfärdiga	Du måste tydligt rättfärdiga det beslutet.
labour	en arbetskraft	Projektet kräver yrkeskunnig arbetskraft.
landscape	ett landskap	Landskapet förändrades efter stormen.
largely	i stort sett	Planen var i stort sett framgångsrik.
launch	lansera	De kommer att lansera produkten i morgon.
leadership	ett ledarskap	Starkt ledarskap hjälpte teamet att återhämta sig.
league	en liga	Vår klubb gick med i en regional liga.
lean	luta sig	Luta dig inte mot den våta väggen.
licence	en licens	Licensen går ut nästa månad.
limited	begränsad	Vi har begränsat med tid idag.
lively	livlig	Mötet blev livligt efter lunchen.
load	en last	Lastbilen bar en tung last.
loan	ett lån	Banken godkände lånet.
logical	logisk	Hennes argument var tydligt och logiskt.
long-term	långsiktig	Det här är en långsiktig lösning.
loose	lös	Handtaget känns löst.
lord	en herre	Herren ägde flera byar.
lower	sänka	De sänker priserna under vintern.
lung	en lunga	Rökning kan skada en lunga.
maintain	upprätthålla	Vi upprätthåller regelbunden kontakt.
majority	en majoritet	Majoriteten stödde förslaget.
mass	en massa	En massa moln täckte himlen.
massive	massiv	Jordbävningen orsakade massiva skador.
master	en mästare	Hon blev en mästare på förhandling.
matching	matchande	Han bar matchande skor och bälte.
maximum	maximal	Rummet nådde maximal kapacitet.
means	ett medel	E-post är vårt huvudsakliga medel för kontakt.
measurement	en mätning	Mätningen var något fel.
melt	smälta	Snön kommer att smälta vid lunchtid.
military	militär	Militärbasen stängdes förra året.
mineral	ett mineral	Järn är ett viktigt mineral.
minimum	minimal	Den minimala åldern är arton.
minister	en minister	Ministern svarade på svåra frågor.
minor	mindre	Olyckan orsakade mindre skador.
minority	en minoritet	En minoritet motsatte sig den nya regeln.
mission	ett uppdrag	Deras uppdrag avslutades säkert.
mixed	blandad	Nyheten fick blandade reaktioner.
modify	modifiera	Vi kan modifiera designen senare.
monitor	en monitor / övervaka	Sjuksköterskan kommer att övervaka hans tillstånd.
moral	moralisk	Berättelsen har en moralisk läxa.
motor	en motor	Motorn stannade utan förvarning.
mount	montera	De monterar kameror nära ingången.
multiple	flera	Flera faktorer orsakade förseningen.
multiply	multiplicera	Multiplicera talet med tio.
mysterious	mystisk	Ett mystiskt ljus dök upp utanför.
neat	prydlig	Hennes skrivbord är alltid prydligt.
nerve	en nerv	Skadan skadade en nerv.
nevertheless	ändå	Uppgiften var svår; ändå blev vi klara.
nightmare	en mardröm	Resan blev en mardröm.
notion	en uppfattning	Avvisa uppfattningen att förändring är omöjlig.
numerous	talrik	Talrika studier stöder denna idé.
obey	lyda	Förare måste lyda skyltarna.
objective	ett mål	Vårt mål är att minska avfallet.
obligation	en skyldighet	Föräldrar har en skyldighet att skydda barn.
observation	en observation	Hans observation förändrade diskussionen.
observe	observera	Forskare observerar fåglarna varje vår.
obtain	erhålla	Du måste erhålla skriftligt tillstånd.
occasionally	ibland	Hon arbetar ibland hemifrån.
offence	en förolämpning	Kommentaren orsakade allvarlig förolämpning.
offend	förolämpa	Jag menade inte att förolämpa någon.
offensive	stötande	Affischen innehöll stötande språk.
opening	en öppning	Jobböppningen lockade många sökande.
operate	fungera	Maskinen kan fungera automatiskt.
opponent	en motståndare	Hennes motståndare kritiserade policyn.
oppose	motsätta sig	Många invånare motsätter sig planen.
opposed	motsatt	Grupperna hade motsatta åsikter.
opposition	ett motstånd	Förslaget mötte starkt motstånd.
organ	ett organ	Hjärtat är ett vitalt organ.
origin	ett ursprung	Brandens ursprung är okänt.
otherwise	annars	Gå nu; annars kommer du att bli sen.
outcome	ett resultat	Resultatet överraskade alla.
outer	yttre	Den yttre väggen behöver repareras.
outline	en skiss / skissera	Vänligen skissera ditt huvudargument.
overall	övergripande	Det övergripande resultatet var positivt.
owe	vara skyldig	Jag är skyldig dig en ursäkt.
pace	en takt	Gå i en jämn takt.
panel	en panel	Panelen diskuterade klimatpolitiken.
parliament	ett parlament	Parlamentet godkände den nya lagen.
participant	en deltagare	Varje deltagare skrev under blanketten.
partly	delvis	Förseningen var delvis vårt fel.
passage	en passage	Läs passagen innan du svarar.
pension1	en pension	Hans pension försörjer honom efter pensioneringen.
permanent	permanent	De behöver en permanent lösning.
permit	tillåta	Reglerna tillåter korta besök.
perspective	ett perspektiv	Försök att se hennes perspektiv.
phase	en fas	Projektet gick in i sin sista fas.
phenomenon	ett fenomen	Fenomenet förekommer i många kulturer.
philosophy	en filosofi	Hennes filosofi värderar praktisk handling.
pile	en hög	En hög med papper täckte skrivbordet.
pitch	en plan	Laget förberedde planen noggrant.
plain	tydlig	Instruktionerna var tydliga och direkta.
pointed	spetsig	Han fällde en bitsk kommentar.
popularity	en popularitet	Sångaren vann popularitet på nätet.
pose	utgöra	Frågan kan utgöra ett problem.
possess	besitta	Få studenter besitter den färdigheten.
potential	potentiell	Idén har verklig potential.
praise	ett beröm	Läraren gav ärligt beröm.
pregnant	gravid	Hon är gravid i sjätte månaden.
preparation	en förberedelse	Bra förberedelse minskar stress.
presence	en närvaro	Hans närvaro förändrade stämningen.
preserve	bevara	Vi måste bevara den här historiska byggnaden.
prime	främst	Den främsta orsaken var dålig planering.
principle	en princip	Beslutet följde en tydlig princip.
priority	en prioritet	Säkerhet är vår första prioritet.
privacy	en integritet	Kunder förväntar sig integritet på nätet.
procedure	en procedur	Proceduren tar trettio minuter.
proof	ett bevis	Vi behöver bevis innan vi agerar.
proposal	ett förslag	Förslaget behöver fler detaljer.
propose	föreslå	Jag föreslår en annan lösning.
prospect	en utsikt	Utsikten att misslyckas oroade dem.
protection	ett skydd	Hjälmen ger ett grundläggande skydd.
psychologist	en psykolog	Psykologen förklarade testresultaten.
psychology	en psykologi	Hon studerar psykologi på universitetet.
publication	en publikation	Publikationen väckte allmänhetens uppmärksamhet.
pupil	en elev	Varje elev fick en ny lärobok.
purchase	ett inköp	De köper in förnödenheter varje månad.
pure	ren	Vattnet var rent och kallt.
pursue	ägna sig åt	Han ska göra en medicinsk karriär.
rank	en rang	Hon har en hög rang.
rapid	snabb	Landet upplevde en snabb tillväxt.
rapidly	snabbt	Priserna steg snabbt i år.
raw	rå	Kocken förberedde råa grönsaker.
realistic	realistisk	Sätt en realistisk tidsgräns.
reasonable	rimlig	Det verkar vara en rimlig begäran.
recall	minnas	Jag minns hans exakta ord.
recover	återhämta sig	Hon kommer att återhämta sig efter behandlingen.
reduction	en minskning	Minskningen sparade pengar.
regard	betrakta	Många betraktar henne som ärlig.
regional	regional	Det regionala kontoret stängde i dag.
register	registrera sig	Vänligen registrera dig före konferensen.
regret	ångra	Jag ångrar mitt tidigare beslut.
regulation	en regel	Den nya regeln påverkar alla förare.
relatively	relativt	Provet var relativt lätt.
relevant	relevant	Välj bara relevanta detaljer.
relief	en lättnad	Nyheten medförde stor lättnad.
rely	förlita sig på	Barn förlitar sig på vuxnas stöd.
remark	en anmärkning	Hans kommentar avslutade diskussionen.
representative	en representant	Representanten träffade lokala arbetare.
reputation	ett rykte	Hotellet har ett gott rykte.
requirement	ett krav	Erfarenhet är ett grundkrav.
rescue	rädda	De räddar människor från översvämningar.
reserve	en reserv	Vi reserverar platser för gäster.
resident	en invånare	Varje boende fick ett meddelande.
resist	stå emot	Försök att stå emot pressen.
resolve	lösa	De löste tvisten fredligt.
resort	en resort	Ö-resorten öppnade i maj.
retain	behålla	Företaget vill behålla sin personal.
reveal	avslöja	Rapporten kommer att avslöja sanningen.
revolution	en revolution	Revolutionen förändrade landet.
reward	en belöning	Hårt arbete förtjänar en belöning.
rhythm	en rytm	Låten har en stadig rytm.
rid	bli av med	Bli av med de där gamla filerna.
root	en rot	Roten till problemet är pengar.
rub	gnugga	Gnugga ytan med en trasa.
rubber	ett gummi	Gummitätningen förhindrar läckor.
rural	lantlig	Många landsbygdsskolor behöver stöd.
rush	hasta	Stressa inte fram det här beslutet.
satellite	en satellit	Satelliten skickade nya bilder.
satisfied	nöjd	Kunden verkade nöjd.
satisfy	tillfredsställa	Svaret tillfredsställde honom inte.
saving	en besparing	Energibesparing minskar månadskostnaderna.
scale	en skala	Omfattningen av skadorna var enorm.
scheme	ett program	Programmet hjälper unga arbetare.
scream	ett skrik	De hörde ett skrik utanför.
sector	en sektor	Tekniksektorn växer.
secure	säkra	Lås dörren för att säkra den.
seek	söka	De söker råd från experter.
select	välja	Välj det bästa alternativet.
selection	ett urval	Butiken erbjuder ett stort urval.
self	ett jag	Hon visade sitt sanna jag.
senior	äldre	En överläkare undersökte patienten.
sensitive	känslig	Det här ämnet är mycket känsligt.
sequence	en sekvens	Följ sekvensen av steg.
session	en session	Träningspasset börjar vid middagstid.
settle	lösa	De löser grälet snabbt.
severe	allvarlig	Stormen orsakade svåra översvämningar.
shade	en skugga	Sitt i skuggan.
shadow	en skugga	En skugga rörde sig över fönstret.
shallow	grund	Sjön är grund här.
shame	en skam	Han kände skam efter att ha ljugit.
shelter	ett skyddsrum	Skolan erbjöd nödboende.
shock	en chock	Beslutet var en chock.
shocked	chockad	Hon såg chockad ut av nyheten.
shooting	en skjutning	Skjutningen hände nära stationen.
shot	ett skott	Vinnarskottet överraskade alla.
significant	betydande	Upptäckten var betydande.
significantly	avsevärt	Kostnaderna ökade avsevärt förra året.
silence	en tystnad	Rummet föll i tystnad.
silk	ett silke	Klänningen var gjord av silke.
sincere	uppriktig	Vänligen acceptera mitt uppriktiga tack.
slave	en slav	Lagen frigav varje slav.
slide	glida	Barnet åkte nerför rutchkanan.
slight	lätt	Det var en lätt försening.
slip	halka	Halka inte på det våta golvet.
slope	en sluttning	Stigen följer en brant sluttning.
solar	sol-	Huset använder solenergi.
somewhat	något	Instruktionerna var något förvirrande.
soul	en själ	Musiken lyfte hennes själ.
specialist	en specialist	Specialisten undersökte patienten.
species	en art	Denna art lever nära floder.
spiritual	andlig	Hon beskrev en andlig upplevelse.
split	dela	De delade notan lika.
sponsor	sponsra	Företaget kommer att sponsra evenemanget.
stable	stabil	Patienten är stabil.
stare	stirra	Stirra inte på främlingar.
status	en status	Hans status ändrades över en natt.
steady	stadig	Håll en stadig hastighet.
steel	ett stål	Bron är gjord av stål.
steep	brant	Kullen är brant.
sticky	klibbig	Golvet känns klibbigt.
stiff	stel	Hans axel kändes stel.
stock	ett lager	Butiken har inget lager kvar.
stream	en ström	En liten ström korsar fältet.
stretch	sträcka	Sträck på benen efter flygresan.
strict	strikt	Skolan har strikta regler.
strike	strejka	Arbetarna kan komma att strejka i morgon.
struggle	kämpa	Många familjer kämpar med hyran.
submit	skicka in	Skicka in formuläret senast fredag.
sum	en summa	Summan var högre än förväntat.
surgery	en operation	Operationen varade i två timmar.
surround	omge	Höga träd omger huset.
surrounding	omgivande	Det omgivande området är tyst.
suspect	misstänka	Polisen misstänker en lokal man.
swear	svära	Svär inte i klassrummet.
sweep	sopa	Sopa golvet innan gästerna anländer.
sympathy	en sympati	Hon uttryckte sympati för offren.
tale	en berättelse	Mormor berättade en märklig berättelse.
tank	en tank	Tanken rymmer rent vatten.
tear1	riva	Riv inte sönder dokumentet.
tear2	en tår	En tår rullade nerför hennes kind.
temporary	tillfällig	Kontoret är ett tillfälligt skyddsrum.
therapy	en terapi	Fysioterapi hjälpte hans återhämtning.
threat	ett hot	Meddelandet innehöll ett hot.
threaten	hota	Stormen kan hota skördarna.
thus	därför	Vägen var avstängd; därför väntade vi.
tone	en ton	Hans ton lät lugn.
tough	tuff	Intervjun var tuff.
transfer	överföra	De överför data varje natt.
transform	förvandla	Den nya policyn kommer att förvandla tjänsterna.
transition	en övergång	Övergången tog flera månader.
trial	en rättegång	Rättegången börjar nästa vecka.
tropical	tropisk	Tropiska stormar är vanliga här.
truly	verkligen	Jag uppskattar verkligen din hjälp.
trust	en tillit	Det tar tid att bygga upp förtroende.
tune	en melodi	Bandet spelade en glad melodi.
tunnel	en tunnel	Tunneln går under floden.
ultimately	i slutändan	I slutändan lyckades planen.
unconscious	medvetslös	Patienten förblev medvetslös.
unexpected	oväntad	Förseningen var oväntad.
unique	unik	Varje design är unik.
universe	ett universum	Universum expanderar.
unknown	okänd	Namnet förblir okänt.
upper	övre	Den övre hyllan är tom.
upwards	uppåt	Röken rörde sig uppåt.
urban	urban	Urbana områden behöver bättre transport.
urge	uppmana	Läkare uppmanar människor att träna.
vary	variera	Priserna varierar beroende på region.
vast	vidsträckt	Öknen täcker ett vidsträckt område.
venue	en lokal	Lokalen rymmer femhundra personer.
via	via	Skicka dokumentet via e-post.
victory	en seger	Laget firade sin seger.
violence	ett våld	Staden led av politiskt våld.
virtual	virtuell	Mötet är virtuellt.
vision	en vision	Hennes vision formade företaget.
visual	visuell	Rapporten innehåller visuella exempel.
vital	livsviktig	Vatten är livsviktigt för livet.
vitamin	en vitamin	Apelsiner innehåller vitamin C.
volume	en volym	Sänk volymen.
wage	en lön	Arbetarna krävde en högre lön.
weakness	en svaghet	Planen har en svaghet.
wealth	en rikedom	Hans rikedom kom från handel.
wealthy	rik	Den rika familjen finansierade museet.
whereas	medan	Hon gillar te, medan jag föredrar kaffe.
wherever	var som helst	Sitt var du än känner dig bekväm.
whisper	viska	Vänligen viska under ceremonin.
whom	vem	Vem bjöd du in?
widely	i stor utsträckning	Boken är mycket läst.
wildlife	ett djurliv	Parken skyddar det lokala djurlivet.
willing	villig	Hon är villig att hjälpa till.
wind2	linda	Linda kabeln runt rullen.
wire	en kabel	Kabeln ansluter de två enheterna.
wise	klok	Det var ett klokt val.
witness	ett vittne	Ett vittne beskrev olyckan.
wound	ett sår	Rengör såret noggrant.
wrap	slå in	Slå in presenten i papper.
zone	en zon	Denna zon är stängd för trafik.
